time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
27.38,-27.0959,-19.5091,8.0165,83.996,117.9823,170.211
27.4,-27.2996,-19.3054,9.7222,84.3477,68.3254,121.6582
27.42,-27.4115,-19.1094,10.5244,83.1416,48.8206,102.901
27.44,-27.5248,-18.8794,11.2803,81.4457,36.4228,91.4236
27.46,-27.6452,-18.6288,11.9764,79.6148,28.5176,84.4367
27.48,-27.7757,-18.3432,12.6269,77.7325,22.7068,79.5514
27.5,-27.9732,-17.7605,13.8015,74.0219,15.513,73.5981
27.52,-28.0698,-17.4697,14.3046,72.3175,13.0337,71.5285
27.54,-28.1549,-17.1872,14.7487,70.7982,10.9878,69.5602
27.56,-28.2395,-16.9203,15.1256,69.4768,9.2583,67.7478
27.58,-28.3371,-16.673,15.4213,68.3583,7.6491,65.8188
27.6,-28.4289,-16.2506,15.9101,66.5169,5.336,62.3585
27.62,-28.4254,-16.0899,16.095,65.8079,4.6647,60.8453
27.64,-28.4745,-16.0175,16.1584,65.5563,3.8637,59.5164
27.66,-28.4899,-15.9805,16.1907,65.4475,3.4272,58.6336
27.68,-28.5091,-16.0089,16.1432,65.6577,3.19,58.1715
27.7,-28.465,-16.1825,15.9207,66.4814,3.617,58.4191
27.72,-28.418,-16.3472,15.7348,67.2403,4.3835,59.3554
27.74,-28.3836,-16.5722,15.4657,68.3148,5.2425,60.6575
27.76,-28.3406,-16.8264,15.1439,69.4596,6.5502,62.6388
27.78,-28.3128,-17.1034,14.7456,70.8509,8.1529,65.3301
27.8,-28.1661,-17.6945,13.8204,73.7934,13.8496,73.4466
27.82,-28.0906,-17.9634,13.279,75.319,17.8008,78.6587
27.84,-28.0055,-18.2475,12.6833,76.8845,22.8592,84.825
27.86,-27.9221,-18.5176,12.0417,78.4687,29.0279,91.9132
27.88,-27.8043,-18.7779,11.3893,79.8746,37.1103,100.6879
27.9,-27.6203,-19.2692,9.8944,82.2905,62.2726,126.6559
27.92,-27.5069,-19.4379,9.1145,82.7565,79.3897,143.7254
27.94,-27.422,-19.5439,8.2765,82.621,97.9998,162.3672
27.96,-27.3131,-19.6096,7.4277,81.7907,114.4672,178.9544
27.98,-27.2338,-19.6418,6.5267,80.4467,127.6812,192.6225
28,-27.0231,-19.617,4.7074,76.823,144.4607,209.487
28.02,-26.9269,-19.5337,3.7723,74.7615,150.1016,214.9344
28.04,-26.802,-19.3951,2.8577,72.6437,154.376,218.7016
28.06,-26.7037,-19.189,1.9208,70.4143,157.7925,222.0602
28.08,-26.5948,-18.9298,0.9998,68.097,160.2486,224.9103
28.1,-26.3817,-18.2774,-0.7832,63.1979,163.4813,228.7648
28.12,-26.2732,-17.8965,-1.6107,60.7412,164.5743,229.836
28.14,-26.1628,-17.4975,-2.3829,58.3389,165.4935,230.5895
28.16,-26.0642,-17.0875,-3.1105,56.0001,166.3068,231.2076
28.18,-25.971,-16.6849,-3.7872,53.7117,166.9884,231.7217
28.2,-25.8133,-15.9026,-4.9588,49.5479,167.91,232.5855
28.22,-25.752,-15.5308,-5.4462,47.7105,168.1437,232.8756
28.24,-25.7032,-15.1775,-5.8649,46.0517,168.2521,233.1355
28.26,-25.6681,-14.8496,-6.2155,44.6033,168.3017,233.545
28.28,-25.647,-14.5571,-6.5064,43.3684,168.3447,234.1298
28.3,-25.6342,-14.1172,-6.905,41.5903,168.6167,234.9059
28.32,-25.6404,-13.9842,-7.0169,41.0407,168.8189,234.7644
28.34,-25.6541,-13.9063,-7.063,40.7717,169.0643,234.2566
28.36,-25.6783,-13.8791,-7.0461,40.7284,169.3591,233.5238
28.38,-25.7124,-13.8956,-6.9738,40.948,169.6568,232.8808
28.4,-25.8243,-14.0829,-6.6139,42.168,170.2293,231.6691
28.42,-25.8924,-14.245,-6.3381,43.1684,170.5376,230.7435
28.44,-25.9695,-14.4482,-5.9902,44.42,170.9281,229.4932
28.46,-26.0561,-14.6871,-5.5729,45.9279,171.4251,228.2275
28.48,-26.1582,-14.9601,-5.1038,47.6391,171.9618,227.497
28.5,-26.3851,-15.6088,-3.9961,51.6631,172.9186,226.0661
28.52,-26.5069,-15.9773,-3.3674,53.9058,173.2182,225.1787
28.54,-26.6334,-16.3573,-2.6869,56.2899,173.3811,224.4496
28.56,-26.7676,-16.7438,-1.9693,58.7565,173.296,223.9455
28.58,-26.9114,-17.122,-1.2193,61.2625,172.9533,223.8703
28.6,-27.1874,-17.8361,0.3925,66.2525,171.342,223.2874
28.62,-27.3187,-18.1529,1.2443,68.7251,170.2349,222.4777
28.64,-27.4428,-18.4397,2.1171,71.142,168.9885,221.3672
28.66,-27.5548,-18.6969,3.0113,73.5584,167.4712,219.8849
28.68,-27.6672,-18.9091,3.9085,75.9691,165.6186,218.0524
28.7,-27.867,-19.1961,5.7182,80.6536,159.3062,211.7269
28.72,-27.973,-19.2521,6.6055,82.9196,153.245,205.6188
28.74,-28.0574,-19.2606,7.4911,85.0022,141.5881,193.9597
28.76,-28.1604,-19.2146,8.3378,86.6301,116.9255,169.5538
28.78,-28.2524,-19.1248,9.1661,86.995,73.9268,126.9958
28.8,-28.4353,-18.8454,10.7108,83.9754,26.3959,80.5865
28.82,-28.5121,-18.6551,11.4285,81.9685,18.6338,73.3199
28.84,-28.5985,-18.4482,12.0889,80.0209,13.8742,68.8851
28.86,-28.6722,-18.2174,12.7082,78.1099,10.7531,66.0001
28.88,-28.7571,-17.9617,13.2568,76.2969,8.3117,64.0453
28.9,-28.8428,-17.4151,14.2186,72.977,5.3209,61.1783
28.92,-28.885,-17.1526,14.5931,71.618,4.2534,59.9898
28.94,-28.893,-16.8903,14.9288,70.3437,3.4627,58.8587
28.96,-28.9159,-16.6557,15.1881,69.2698,2.7708,57.9716
28.98,-28.9194,-16.4725,15.3952,68.3922,2.4542,57.4945
29,-28.8855,-16.2284,15.6347,67.3048,2.2638,57.1312
29.02,-28.8353,-16.1786,15.6871,67.0259,2.5827,57.3061
29.04,-28.8009,-16.2196,15.657,67.135,2.9856,57.8509
29.06,-28.7419,-16.2861,15.5941,67.3392,3.6916,58.7645
29.08,-28.6631,-16.4501,15.4373,67.9471,4.7924,60.169
29.1,-28.4981,-16.8442,14.9894,69.5288,7.3392,63.3941
29.12,-28.4036,-17.1018,14.6612,70.6603,9.1072,65.5958
29.14,-28.2823,-17.3838,14.289,71.9682,11.4509,68.3034
29.16,-28.1735,-17.6748,13.8362,73.4355,14.2141,71.499
29.18,-28.0431,-17.9749,13.3305,75.0034,17.8567,75.5087
29.2,-27.7726,-18.566,12.1516,78.2668,28.3903,86.5704
29.22,-27.6237,-18.8417,11.4902,79.8136,36.2065,94.4879
29.24,-27.4849,-19.0922,10.7725,81.2097,46.8557,105.047
29.26,-27.3479,-19.299,10.0074,82.2736,61.1637,119.2971
29.28,-27.2168,-19.4491,9.1953,82.7895,79.0338,137.2467
29.3,-26.9644,-19.6008,7.4757,81.727,114.3104,172.8365
29.32,-26.8431,-19.6305,6.5761,80.3669,127.2361,185.751
29.34,-26.7337,-19.6172,5.6553,78.6983,137.0838,195.3375
29.36,-26.6214,-19.5589,4.7214,76.7797,144.4429,202.3878
29.38,-26.5194,-19.4362,3.7768,74.6781,150.0086,207.9783
29.4,-26.3363,-19.0247,1.8732,70.0204,157.4027,216.0807
29.42,-26.2486,-18.7472,0.9467,67.5832,159.9323,218.7733
29.44,-26.1628,-18.433,0.0483,65.126,162.0358,220.8098
29.46,-26.0795,-18.0903,-0.8116,62.6641,163.8274,222.2374
29.48,-25.9986,-17.7224,-1.623,60.2403,165.3675,223.2729
29.5,-25.8677,-16.9248,-3.0877,55.5403,167.5215,224.916
29.52,-25.8184,-16.5131,-3.7323,53.3053,168.1539,225.7133
29.54,-25.7797,-16.1092,-4.3132,51.2105,168.5676,226.4002
29.56,-25.7487,-15.726,-4.828,49.2849,168.8155,226.7107
29.58,-25.7284,-15.3689,-5.281,47.5626,169.108,227.2739
29.6,-25.7146,-14.7679,-6.0013,44.7017,169.5818,228.1333
29.62,-25.7174,-14.5361,-6.2654,43.486,169.8623,228.1865
29.64,-25.7291,-14.3516,-6.4665,42.6363,170.1243,228.0791
29.66,-25.7493,-14.2147,-6.6065,42.0365,170.3284,228.0288
29.68,-25.7809,-14.1279,-6.6923,41.6768,170.4702,228.2379
29.7,-25.8667,-14.1183,-6.7132,41.6778,170.5522,229.0824
29.72,-25.9149,-14.1936,-6.6527,42.0274,170.5495,229.3747
29.74,-25.9776,-14.3411,-6.5138,42.6311,170.5558,229.4943
29.76,-26.0385,-14.5248,-6.3191,43.4602,170.5604,229.4125
29.78,-26.1056,-14.7441,-6.0537,44.5256,170.583,229.1921
29.8,-26.2557,-15.2777,-5.3028,47.3503,170.7625,228.3022
29.82,-26.3394,-15.5866,-4.8272,49.0737,170.8145,227.8982
29.84,-26.4291,-15.9197,-4.2907,50.981,170.7707,227.6168
29.86,-26.5229,-16.2749,-3.6979,53.0596,170.5384,227.3261
29.88,-26.6212,-16.6409,-3.0469,55.2822,170.1504,227.0372
29.9,-26.8204,-17.3879,-1.5835,60.0218,168.6479,226.2833
29.92,-26.9188,-17.7567,-0.7779,62.5102,167.5522,225.6845
29.94,-27.0155,-18.1246,0.0645,65.0277,166.2694,224.7605
29.96,-27.1018,-18.4936,0.9379,67.5266,164.8103,223.2995
29.98,-27.1816,-18.8446,1.8386,70.0108,163.1573,221.3209
30,-27.3152,-19.4171,3.7106,74.8361,158.9139,215.4992
30.02,-27.3774,-19.6077,4.6627,77.1705,155.8723,211.4353
30.04,-27.4396,-19.7143,5.6173,79.468,151.5821,206.0504
30.06,-27.5028,-19.7581,6.5584,81.6268,144.7007,198.354
30.08,-27.5775,-19.7276,7.4825,83.6142,133.3504,186.4355
30.1,-27.7276,-19.5604,9.2357,85.6153,85.1034,137.7109
30.12,-27.808,-19.4163,10.0583,84.9745,57.5263,110.2478
30.14,-27.9,-19.225,10.8333,83.5658,39.2473,92.1862
30.16,-27.9891,-19.0076,11.561,81.7984,28.5578,81.9594
30.18,-28.0721,-18.7566,12.2504,79.9135,21.7169,75.5408
30.2,-28.2364,-18.2046,13.4611,76.2191,13.8814,68.3997
30.22,-28.3025,-17.9221,13.9912,74.4711,11.4022,66.1222
30.24,-28.3586,-17.6537,14.4651,72.8528,9.4753,64.0468
30.26,-28.403,-17.3883,14.8864,71.3789,8.0319,62.3594
