time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.86,-25.635,10.5876,6.9123,358.2354,356.4996,1.294
11.88,-25.6345,10.5874,6.9122,358.2358,356.5023,1.2933
11.9,-25.6351,10.5869,6.9111,358.2376,356.4971,1.2953
11.92,-25.6347,10.5868,6.911,358.2384,356.4976,1.2961
11.94,-25.635,10.5868,6.9111,358.239,356.4988,1.2953
11.96,-25.6341,10.5874,6.9115,358.2357,356.5051,1.2937
11.98,-25.6338,10.5872,6.9112,358.2367,356.5049,1.2948
12,-25.6339,10.5872,6.9099,358.2362,356.5028,1.2941
12.02,-25.6347,10.5873,6.9101,358.2349,356.5002,1.2935
12.04,-25.6351,10.5871,6.9107,358.2362,356.5005,1.294
12.06,-25.6346,10.5869,6.9114,358.2369,356.5057,1.2935
12.08,-25.6317,10.5881,6.9121,358.2312,356.5167,1.2895
12.1,-25.6324,10.5876,6.911,358.2349,356.5072,1.2886
12.12,-25.634,10.5873,6.9112,358.235,356.4999,1.2914
12.14,-25.6336,10.5874,6.9124,358.2347,356.5084,1.2921
12.16,-25.6346,10.5873,6.9119,358.235,356.5045,1.2924
12.18,-25.6326,10.5873,6.9123,358.2356,356.5133,1.2916
12.2,-25.6334,10.5875,6.9111,358.2336,356.5108,1.2911
12.22,-25.633,10.5882,6.9117,358.2304,356.5129,1.2894
12.24,-25.6357,10.5874,6.9109,358.2343,356.5028,1.2928
12.26,-25.6352,10.5879,6.9108,358.2322,356.5035,1.2909
12.28,-25.6348,10.5878,6.9106,358.2327,356.5015,1.2916
12.3,-25.6337,10.5873,6.9114,358.2357,356.5035,1.292
12.32,-25.6342,10.588,6.9112,358.2329,356.502,1.2909
12.34,-25.6336,10.5877,6.9118,358.2346,356.5093,1.2907
12.36,-25.6341,10.5878,6.9113,358.2338,356.5061,1.2914
12.38,-25.6353,10.5871,6.9105,358.2376,356.4961,1.2959
12.4,-25.6348,10.5872,6.911,358.236,356.4954,1.2949
12.42,-25.6342,10.5876,6.9123,358.234,356.504,1.2923
12.44,-25.6358,10.5875,6.9115,358.2345,356.4952,1.2932
12.46,-25.6362,10.5875,6.9115,358.2342,356.4935,1.2932
12.48,-25.6366,10.5874,6.9114,358.2362,356.4898,1.2938
12.5,-25.6352,10.5876,6.9124,358.2347,356.4948,1.2927
12.52,-25.6355,10.5871,6.9124,358.2372,356.4914,1.2931
12.54,-25.636,10.5871,6.9124,358.2365,356.4897,1.2926
12.56,-25.6365,10.5869,6.9125,358.2378,356.4879,1.2927
12.58,-25.6355,10.5882,6.9133,358.2319,356.4945,1.2873
12.6,-25.6363,10.5872,6.913,358.2361,356.4862,1.2911
12.62,-25.638,10.5856,6.9121,358.244,356.47,1.2967
12.64,-25.6371,10.5866,6.9128,358.2402,356.4789,1.2912
12.66,-25.6369,10.5873,6.9129,358.235,356.4805,1.29
12.68,-25.6373,10.5865,6.913,358.2404,356.4774,1.2924
12.7,-25.6329,10.5877,6.9157,358.2368,356.4982,1.2849
12.72,-25.6364,10.5872,6.913,358.2378,356.4801,1.288
12.74,-25.6369,10.5869,6.9129,358.2378,356.4791,1.2881
12.76,-25.6372,10.5867,6.9132,358.2387,356.4807,1.2892
12.78,-25.6371,10.5877,6.9131,358.2343,356.4821,1.2873
12.8,-25.6369,10.5871,6.913,358.2365,356.4814,1.2887
12.82,-25.636,10.5875,6.9131,358.2347,356.4865,1.2877
12.84,-25.6373,10.5865,6.9127,358.2393,356.4816,1.2922
12.86,-25.6375,10.587,6.9128,358.237,356.4823,1.2916
12.88,-25.6364,10.5872,6.9134,358.2365,356.4871,1.2904
12.9,-25.6375,10.5867,6.9123,358.2395,356.4707,1.2959
12.92,-25.6364,10.587,6.9128,358.2373,356.4834,1.2906
12.94,-25.6384,10.5863,6.9122,358.2398,356.4802,1.2928
12.96,-25.6377,10.5863,6.9133,358.2403,356.4836,1.293
12.98,-25.6369,10.5869,6.9133,358.2384,356.4846,1.2919
13,-25.6371,10.5867,6.9125,358.2395,356.4795,1.2908
13.02,-25.6376,10.5871,6.9121,358.2375,356.4782,1.2914
13.04,-25.6379,10.5874,6.9125,358.2359,356.4832,1.2914
13.06,-25.6377,10.5873,6.9129,358.2364,356.4864,1.2921
13.08,-25.637,10.5871,6.9127,358.2381,356.4845,1.2934
13.1,-25.6353,10.586,6.9124,358.2411,356.4845,1.2942
13.12,-25.6361,10.5872,6.9118,358.2364,356.4874,1.2942
13.14,-25.6355,10.5872,6.9127,358.237,356.4954,1.2942
13.16,-25.6348,10.5878,6.9126,358.2334,356.4984,1.2926
13.18,-25.6337,10.5871,6.9122,358.2368,356.4978,1.2935
13.2,-25.6332,10.587,6.9107,358.2367,356.496,1.2936
13.22,-25.6332,10.5877,6.9108,358.2338,356.5026,1.2917
13.24,-25.6345,10.5882,6.9111,358.2316,356.5032,1.2914
13.26,-25.6333,10.588,6.9117,358.2324,356.5075,1.2925
13.28,-25.6311,10.5875,6.9116,358.2347,356.5087,1.2921
13.3,-25.6292,10.5887,6.9109,358.2325,356.5108,1.2882
13.32,-25.6333,10.5878,6.9112,358.2328,356.5029,1.2899
13.34,-25.6334,10.5889,6.913,358.2271,356.5112,1.2852
13.36,-25.6342,10.5878,6.9126,358.2325,356.5037,1.2899
13.38,-25.6326,10.5871,6.9125,358.2367,356.5045,1.2913
13.4,-25.6322,10.5875,6.9109,358.2357,356.4989,1.2902
13.42,-25.6341,10.5872,6.9112,358.2366,356.4955,1.2911
13.44,-25.6364,10.5871,6.9114,358.2352,356.4948,1.2919
13.46,-25.635,10.5871,6.9122,358.2356,356.4984,1.2912
13.48,-25.6339,10.5875,6.9113,358.2347,356.4983,1.29
13.5,-25.6298,10.5871,6.9128,358.2368,356.5097,1.2888
13.52,-25.6334,10.588,6.9121,358.233,356.5017,1.2888
13.54,-25.6338,10.5874,6.9124,358.2351,356.502,1.2905
13.56,-25.6338,10.5871,6.912,358.2364,356.5008,1.292
13.58,-25.6326,10.5879,6.9117,358.2331,356.5039,1.2897
13.6,-25.6328,10.5875,6.9109,358.2344,356.5011,1.2913
13.62,-25.6347,10.5865,6.9118,358.239,356.4971,1.2948
13.64,-25.6349,10.5865,6.9119,358.2387,356.498,1.2954
13.66,-25.6349,10.5872,6.9116,358.2357,356.4971,1.2939
13.68,-25.6345,10.5871,6.9114,358.2368,356.4955,1.2938
13.7,-25.6338,10.5869,6.9115,358.2383,356.4957,1.293
13.72,-25.6334,10.5871,6.9123,358.2379,356.4947,1.2938
13.74,-25.6335,10.5863,6.9128,358.2422,356.4954,1.295
13.76,-25.6339,10.5871,6.9125,358.239,356.4942,1.2936
13.78,-25.6343,10.5872,6.9124,358.2379,356.4913,1.2935
13.8,-25.6342,10.587,6.9133,358.2392,356.4935,1.2932
13.82,-25.6351,10.5876,6.9134,358.2362,356.4893,1.2906
13.84,-25.6357,10.5868,6.9134,358.2395,356.4859,1.2923
13.86,-25.6368,10.5869,6.9133,358.2389,356.481,1.2916
13.88,-25.6371,10.5871,6.9135,358.2383,356.481,1.2888
13.9,-25.6381,10.5874,6.9135,358.2365,356.4778,1.2884
13.92,-25.6379,10.587,6.9138,358.2385,356.4743,1.2901
13.94,-25.6372,10.5867,6.9141,358.2394,356.476,1.2901
13.96,-25.637,10.5868,6.9139,358.2399,356.4746,1.2898
13.98,-25.6373,10.587,6.9137,358.2385,356.4738,1.2895
14,-25.6372,10.5866,6.914,358.2403,356.4753,1.2905
14.02,-25.6375,10.5869,6.9137,358.238,356.4752,1.2892
14.04,-25.6365,10.5868,6.9142,358.2394,356.4807,1.2902
14.06,-25.6371,10.5864,6.9138,358.241,356.4772,1.2908
14.08,-25.6371,10.5867,6.9136,358.2395,356.4773,1.289
14.1,-25.6399,10.5852,6.9118,358.2452,356.4616,1.2974
14.12,-25.638,10.5869,6.913,358.2376,356.4742,1.2908
14.14,-25.6388,10.586,6.9126,358.2432,356.4677,1.2943
14.16,-25.6378,10.5863,6.9132,358.2413,356.473,1.2925
14.18,-25.6372,10.5867,6.9135,358.2398,356.4763,1.2908
14.2,-25.6374,10.5865,6.9133,358.2414,356.4788,1.2921
14.22,-25.6371,10.5869,6.9136,358.2395,356.4807,1.2908
14.24,-25.6376,10.5872,6.9134,358.2379,356.4786,1.2907
14.26,-25.6376,10.5869,6.9135,358.239,356.4792,1.2913
14.28,-25.6377,10.5867,6.9132,358.24,356.4778,1.2928
14.3,-25.6367,10.587,6.9132,358.2379,356.4807,1.2915
14.32,-25.6347,10.5871,6.9127,358.2386,356.4838,1.2921
14.34,-25.6336,10.588,6.9129,358.2349,356.4907,1.2903
14.36,-25.633,10.5878,6.9127,358.2344,356.4968,1.291
14.38,-25.6322,10.5877,6.9123,358.235,356.5042,1.2931
14.4,-25.6283,10.5886,6.9124,358.2327,356.5228,1.2888
14.42,-25.6267,10.5887,6.9106,358.2303,356.5237,1.2896
14.44,-25.6281,10.5876,6.91,358.2365,356.5107,1.294
14.46,-25.6287,10.5879,6.911,358.2349,356.5096,1.2914
14.48,-25.63,10.5875,6.9125,358.2361,356.5093,1.2921
14.5,-25.6303,10.5875,6.9124,358.2365,356.5104,1.2939
14.52,-25.6313,10.5879,6.9099,358.2336,356.5031,1.2914
14.54,-25.6293,10.5887,6.9117,358.2304,356.5162,1.2872
14.56,-25.6313,10.5878,6.9117,358.2346,356.5092,1.2901
14.58,-25.6317,10.5876,6.9119,358.2344,356.5096,1.2911
14.6,-25.6326,10.5884,6.9108,358.2308,356.5068,1.2894
14.62,-25.6315,10.5884,6.9104,358.2303,356.5053,1.2877
14.64,-25.6315,10.5884,6.9114,358.2301,356.5044,1.2868
14.66,-25.6323,10.5883,6.912,358.2316,356.5028,1.2867
14.68,-25.6327,10.5878,6.9121,358.2343,356.5031,1.2886
14.7,-25.6339,10.5879,6.911,358.2328,356.4996,1.2891
14.72,-25.631,10.5879,6.912,358.2335,356.5078,1.2886
14.74,-25.6305,10.5879,6.9125,358.2344,356.5096,1.2874
14.76,-25.6313,10.5876,6.9123,358.2354,356.507,1.2898
14.78,-25.6324,10.5878,6.9115,358.235,356.5029,1.2901
14.8,-25.6313,10.5872,6.9122,358.2361,356.5071,1.2916
14.82,-25.6323,10.5875,6.9117,358.2357,356.5016,1.2908
14.84,-25.6324,10.5875,6.9119,358.2361,356.5007,1.29
14.86,-25.6331,10.5877,6.9116,358.2347,356.4989,1.2909
14.88,-25.6338,10.5877,6.9114,358.2341,356.4976,1.2918
14.9,-25.6343,10.5876,6.911,358.2347,356.4937,1.2915
14.92,-25.6327,10.5867,6.9118,358.2406,356.4943,1.2947
14.94,-25.633,10.5872,6.9117,358.2379,356.4943,1.2924
14.96,-25.6331,10.5875,6.912,358.2368,356.4956,1.2916
14.98,-25.6334,10.5875,6.9123,358.2362,356.4972,1.2922
15,-25.6331,10.5874,6.913,358.2377,356.4995,1.2919
15.02,-25.6333,10.5878,6.9129,358.236,356.4958,1.29
15.04,-25.6337,10.5873,6.9128,358.2384,356.4929,1.2916
15.06,-25.6344,10.5878,6.9128,358.2353,356.4908,1.2893
15.08,-25.6348,10.5874,6.9132,358.2375,356.4894,1.2907
15.1,-25.6351,10.587,6.9134,358.2394,356.4859,1.2925
15.12,-25.6351,10.5871,6.9135,358.2396,356.483,1.2905
15.14,-25.638,10.5867,6.9121,358.2402,356.466,1.2942
15.16,-25.6361,10.5876,6.9136,358.2348,356.4793,1.2889
15.18,-25.6368,10.587,6.9136,358.2378,356.4742,1.2911
15.2,-25.6368,10.5872,6.9137,358.2377,356.4733,1.2881
15.22,-25.6352,10.5874,6.9142,358.2363,356.4791,1.2875
15.24,-25.6364,10.5867,6.9135,358.2397,356.4731,1.2913
15.26,-25.6367,10.5871,6.9135,358.2385,356.4758,1.2885
15.28,-25.6373,10.5869,6.9133,358.2392,356.4748,1.29
15.3,-25.6366,10.5872,6.9133,358.2378,356.4766,1.2894
15.32,-25.6349,10.5875,6.913,358.2354,356.4847,1.2864
15.34,-25.6335,10.5876,6.914,358.2353,356.495,1.2848
15.36,-25.6353,10.5871,6.9132,358.2385,356.4859,1.2895
15.38,-25.6357,10.5874,6.9131,358.2369,356.4845,1.2884
15.4,-25.637,10.5868,6.9122,358.2387,356.4766,1.2921
15.42,-25.634,10.5866,6.9134,358.2402,356.4858,1.2907
15.44,-25.6338,10.5877,6.9134,358.2344,356.4887,1.2859
15.46,-25.6344,10.5877,6.9135,358.2346,356.4891,1.2872
15.48,-25.6356,10.5875,6.9132,358.2366,356.4863,1.2892
15.5,-25.637,10.5879,6.9126,358.2349,356.4825,1.2902
15.52,-25.6357,10.5876,6.9129,358.2362,356.4834,1.2911
15.54,-25.6336,10.5881,6.9136,358.2346,356.4915,1.2884
15.56,-25.6342,10.5868,6.9133,358.2405,356.4867,1.293
15.58,-25.6344,10.5869,6.9134,358.2397,356.4885,1.2928
15.6,-25.6342,10.5875,6.9135,358.237,356.4926,1.2912
15.62,-25.6331,10.5875,6.9131,358.237,356.4952,1.292
15.64,-25.632,10.5877,6.9131,358.2368,356.5012,1.289
15.66,-25.6332,10.5884,6.9122,358.2325,356.501,1.2887
15.68,-25.6341,10.5881,6.9122,358.2336,356.5017,1.291
15.7,-25.6344,10.5877,6.9118,358.2351,356.5007,1.2932
15.72,-25.6299,10.5881,6.9113,358.2333,356.5114,1.2923
15.74,-25.63,10.5876,6.9105,358.2363,356.5076,1.2924
15.76,-25.631,10.5878,6.9104,358.2348,356.5049,1.2922
15.78,-25.6314,10.588,6.9111,358.2333,356.5069,1.2914
15.8,-25.6332,10.5873,6.9109,358.2364,356.4963,1.2932
15.82,-25.6301,10.5877,6.9117,358.2352,356.5041,1.2898
15.84,-25.6308,10.5878,6.9112,358.2344,356.5013,1.2891
15.86,-25.6311,10.5876,6.9119,358.2357,356.5038,1.2894
15.88,-25.6329,10.5876,6.9121,358.2351,356.5,1.2893
15.9,-25.6322,10.5883,6.9127,358.2318,356.505,1.2871
15.92,-25.6322,10.588,6.9114,358.2333,356.4993,1.2871
15.94,-25.632,10.5879,6.9116,358.234,356.503,1.2884
15.96,-25.6324,10.588,6.9121,358.2332,356.5043,1.2883
15.98,-25.633,10.5877,6.9123,358.2341,356.5014,1.2897
16,-25.6332,10.5875,6.9121,358.2356,356.4977,1.2893
16.02,-25.6319,10.5882,6.9113,358.2326,356.4993,1.2881
16.04,-25.6321,10.5885,6.9117,358.2305,356.5027,1.2868
16.06,-25.6314,10.5877,6.9127,358.236,356.5076,1.2893
