time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30.24,-0.0085,-0.0006,-0.0001,356.5591,359.4079,0.0526
30.26,-0.0074,-0.0009,0.0002,356.5602,359.4071,0.0525
30.28,-0.0068,-0.0006,0.0006,356.5594,359.4045,0.0537
30.3,-0.0063,-0.0004,0.0003,356.558,359.4053,0.0535
30.32,-0.0062,-0.0009,-0.0007,356.5595,359.4133,0.0503
30.34,-0.008,-0.0004,0.0006,356.5582,359.4046,0.0537
30.36,-0.007,-0.0001,0.0006,356.5571,359.404,0.054
30.38,-0.007,-0.0003,0.0007,356.5575,359.3999,0.0529
30.4,-0.007,-0.0003,0.0001,356.5571,359.4033,0.0524
30.42,-0.0075,-0.0007,-0.0001,356.5591,359.4048,0.0516
30.44,-0.007,-0.0005,0.0002,356.5579,359.4077,0.0515
30.46,-0.0078,-0.0004,0.001,356.5587,359.4026,0.0524
30.48,-0.0076,-0.0004,0.0005,356.5585,359.4069,0.0514
30.5,-0.0085,-0.0005,0.0006,356.5592,359.4077,0.0514
30.52,-0.009,-0.0006,0.0012,356.5605,359.4071,0.0517
30.54,-0.0065,-0.0002,0.0012,356.5588,359.4099,0.0524
30.56,-0.0067,-0.0001,0.0014,356.5585,359.4097,0.0521
30.58,-0.0081,0.0002,0.002,356.5577,359.4083,0.0539
30.6,-0.0083,-0.0001,0.002,356.5591,359.4129,0.0543
30.62,-0.0068,-0.0009,0.0019,356.5639,359.4274,0.0497
30.64,-0.0038,-0.0007,0.0033,356.562,359.4279,0.0528
30.66,-0.0018,-0.0008,0.0026,356.5625,359.4418,0.0517
30.68,-0.0021,-0.0015,0.003,356.5673,359.4474,0.0508
30.7,-0.0036,-0.0011,0.0041,356.5652,359.4445,0.0526
30.72,-0.0059,-0.0001,0.0061,356.5635,359.4342,0.0575
30.74,-0.0033,-0.001,0.0047,356.5651,359.4404,0.0549
30.76,-0.0029,-0.0009,0.0044,356.5647,359.4405,0.0552
30.78,-0.0027,-0.0011,0.0038,356.565,359.4502,0.0523
30.8,-0.0039,-0.0009,0.0043,356.5639,359.4423,0.0551
30.82,-0.0049,-0.0007,0.0048,356.5646,359.4356,0.0574
30.84,-0.0021,-0.0009,0.0027,356.5636,359.4388,0.0551
30.86,-0.0022,-0.001,0.0032,356.5642,359.4352,0.0556
30.88,-0.0018,-0.001,0.0028,356.5632,359.4381,0.0554
30.9,-0.0031,-0.0008,0.0032,356.5628,359.4359,0.0564
30.92,-0.003,-0.001,0.0029,356.5641,359.4384,0.0551
30.94,-0.0013,-0.0009,0.0022,356.5628,359.438,0.0543
30.96,-0.0014,-0.0006,0.0024,356.5623,359.4334,0.0559
30.98,-0.0052,0.0005,0.0048,356.5598,359.423,0.0592
31,-0.0043,-0.0004,0.0034,356.5618,359.4315,0.0551
31.02,-0.004,-0.0008,0.0029,356.5628,359.4371,0.0537
31.04,-0.0014,-0.0007,0.0023,356.5619,359.4349,0.0543
31.06,0.0002,-0.0011,0.0019,356.5625,359.435,0.0531
31.08,-0.0004,-0.0012,0.0015,356.5632,359.4373,0.0519
31.1,-0.0037,-0.0014,0.0029,356.5652,359.4325,0.0519
31.12,-0.0049,-0.0011,0.0028,356.5648,359.4323,0.0527
31.14,-0.0011,-0.0006,0.0019,356.5619,359.4327,0.0514
31.16,-0.0018,-0.0003,0.0032,356.5606,359.4269,0.052
31.18,-0.0066,-0.0002,0.0046,356.561,359.4096,0.054
31.2,-0.0089,-0.0006,0.0034,356.5639,359.4187,0.0536
31.22,-0.0088,-0.0009,0.0024,356.5643,359.4263,0.053
31.24,-0.0041,-0.0003,0.0031,356.5627,359.4214,0.0512
31.26,-0.0046,-0.0011,0.0031,356.5632,359.4201,0.0484
31.28,-0.0083,-0.0007,0.0021,356.563,359.4151,0.0489
31.3,-0.011,-0.0005,0.0012,356.5627,359.4092,0.0523
31.32,-0.0093,-0.0005,0.0007,356.5614,359.408,0.0515
31.34,-0.0035,-0.0007,0.0001,356.5597,359.4053,0.0495
31.36,-0.0055,-0.0005,-0.0009,356.5581,359.4046,0.0502
31.38,-0.0088,-0.0004,-0.0011,356.5581,359.403,0.0515
31.4,-0.0102,0.0002,-0.0002,356.557,359.4,0.0535
31.42,-0.007,-0.0006,0.0003,356.5605,359.4016,0.0504
31.44,-0.0043,-0.0006,-0.0006,356.5577,359.4011,0.0509
31.46,-0.0081,-0.0001,-0.0005,356.5563,359.3991,0.055
31.48,-0.0112,0.0004,0.0005,356.5562,359.3993,0.0566
31.5,-0.0104,-0.0007,0.0018,356.5604,359.4038,0.0554
31.52,-0.009,-0.0006,0.003,356.5615,359.4004,0.0568
31.54,-0.0057,-0.0006,0.0005,356.5589,359.4053,0.0539
31.56,-0.0076,-0.0002,0.0004,356.5577,359.4027,0.0557
31.58,-0.0089,-0.0004,0.0009,356.5589,359.4006,0.0556
31.6,-0.0084,-0.0005,0.001,356.5591,359.4015,0.0541
31.62,-0.0077,-0.0003,0.0009,356.5572,359.3984,0.055
31.64,-0.0077,-0.0005,-0.0002,356.5579,359.4014,0.0534
31.66,-0.0095,-0.0003,0.0005,356.5583,359.401,0.0543
31.68,-0.0113,0.0002,0.0023,356.558,359.3984,0.0552
31.7,-0.0087,-0.0006,0.0012,356.5589,359.3999,0.0536
31.72,-0.0085,-0.0003,0.0006,356.5585,359.3986,0.0543
31.74,-0.0099,-0.0002,0.0003,356.5578,359.3962,0.0545
31.76,-0.0102,-0.0003,0.0006,356.5597,359.3978,0.0533
31.78,-0.0094,-0.0005,0.0006,356.5592,359.4032,0.0497
31.8,-0.0093,-0.0005,0.0009,356.5597,359.3993,0.0515
31.82,-0.0092,-0.0004,0.0007,356.5591,359.3987,0.0516
31.84,-0.0103,-0.0006,0.0014,356.561,359.4005,0.0509
31.86,-0.0093,-0.0003,0.0017,356.5594,359.4042,0.0506
31.88,-0.0076,-0.0004,0.002,356.5591,359.4048,0.052
31.9,-0.0057,-0.0003,0.0013,356.5589,359.4111,0.0518
31.92,-0.0063,-0.0005,0.0016,356.5607,359.4172,0.0529
31.94,-0.009,-0.0003,0.0037,356.5634,359.4233,0.0547
31.96,-0.0079,-0.0009,0.0046,356.5667,359.4283,0.0521
31.98,-0.0072,0,0.0062,356.5636,359.4245,0.0564
32,-0.0031,-0.0006,0.0053,356.5641,359.4377,0.0542
32.02,-0.0019,-0.0011,0.0051,356.5665,359.4468,0.053
32.04,-0.0051,-0.0009,0.0061,356.5673,359.4429,0.0544
32.06,-0.0059,-0.0008,0.0063,356.5679,359.4388,0.0551
32.08,-0.0055,-0.0009,0.0062,356.5675,359.4365,0.0555
32.1,-0.0045,-0.0011,0.0056,356.5674,359.4379,0.0546
32.12,-0.0043,-0.0009,0.0052,356.5664,359.4375,0.0556
32.14,-0.0043,-0.0006,0.0047,356.5641,359.4403,0.0575
32.16,-0.0049,-0.0006,0.0049,356.5636,359.4356,0.0573
32.18,-0.0042,-0.0009,0.0044,356.5656,359.4373,0.0563
32.2,-0.0043,-0.0009,0.0045,356.565,359.437,0.0558
32.22,-0.0043,-0.001,0.0044,356.5652,359.4384,0.0551
32.24,-0.0043,-0.0009,0.0041,356.5645,359.4377,0.0552
32.26,-0.0046,-0.0009,0.0043,356.5651,359.4348,0.0557
32.28,-0.0042,-0.0015,0.0041,356.5674,359.4379,0.0511
32.3,-0.0047,-0.001,0.0042,356.5652,359.4341,0.0544
32.32,-0.005,-0.0009,0.0043,356.5657,359.4324,0.0557
32.34,-0.0039,-0.0008,0.0043,356.5651,359.4315,0.0558
32.36,-0.0034,-0.0008,0.0041,356.5645,359.4329,0.0542
32.38,-0.0054,-0.0007,0.0051,356.5646,359.427,0.0547
32.4,-0.0061,-0.0007,0.005,356.5645,359.4307,0.0545
32.42,-0.0061,-0.0006,0.0049,356.5648,359.4319,0.0556
32.44,-0.0026,-0.0004,0.0038,356.5633,359.4336,0.0534
32.46,-0.0042,-0.0008,0.0045,356.5642,359.4271,0.0531
32.48,-0.0054,-0.0007,0.0042,356.5639,359.427,0.0537
32.5,-0.0062,-0.0007,0.0037,356.5642,359.4277,0.054
32.52,-0.0062,-0.0006,0.0034,356.5642,359.427,0.0542
32.54,-0.0055,-0.0005,0.0038,356.5635,359.4196,0.0507
32.56,-0.0079,-0.0002,0.0039,356.5627,359.4125,0.0535
32.58,-0.009,-0.0003,0.0027,356.5615,359.4158,0.0525
32.6,-0.0095,-0.0008,0.0028,356.5646,359.411,0.0533
32.62,-0.0067,-0.0008,0.0022,356.5639,359.4136,0.0522
32.64,-0.0058,-0.0007,0.0026,356.5625,359.4031,0.052
32.66,-0.0085,-0.0008,0.002,356.5629,359.4017,0.0518
32.68,-0.0121,-0.0008,0.0017,356.5637,359.3932,0.0533
32.7,-0.0105,-0.0005,0.001,356.5628,359.3956,0.0531
32.72,-0.0064,-0.0003,0.0004,356.5593,359.4001,0.0517
32.74,-0.0044,-0.0003,-0.0002,356.5573,359.3983,0.0527
32.76,-0.0088,0.0001,0.0004,356.5581,359.3953,0.0559
32.78,-0.0091,-0.0005,-0.0001,356.5596,359.4105,0.0512
32.8,-0.0089,-0.0009,0.0011,356.5625,359.4101,0.0518
32.82,-0.0063,-0.0012,0.0023,356.563,359.4103,0.0507
32.84,-0.0046,-0.0007,0.0007,356.5607,359.4089,0.0533
32.86,-0.0057,-0.001,0,356.5607,359.4131,0.0526
32.88,-0.0058,-0.001,0.0003,356.5623,359.4161,0.0516
32.9,-0.005,-0.0011,0.0008,356.5623,359.4142,0.0508
32.92,-0.0047,-0.0005,0.0011,356.559,359.4075,0.0543
