time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.12,-24.6667,16.7437,-9.2695,358.2353,356.5141,1.3092
7.14,-24.6661,16.7439,-9.2698,358.2335,356.515,1.3093
7.16,-24.6649,16.7433,-9.2696,358.2378,356.5172,1.3074
7.18,-24.6651,16.7442,-9.2688,358.2326,356.5155,1.3058
7.2,-24.667,16.7441,-9.2698,358.2324,356.5046,1.3065
7.22,-24.6662,16.7436,-9.2693,358.2338,356.5093,1.3074
7.24,-24.6659,16.7438,-9.2692,358.2339,356.5106,1.3065
7.26,-24.6659,16.7434,-9.2688,358.2362,356.5116,1.3075
7.28,-24.667,16.7439,-9.2685,358.2343,356.5113,1.306
7.3,-24.6673,16.7443,-9.2688,358.232,356.5119,1.3051
7.32,-24.6671,16.7445,-9.2695,358.231,356.511,1.3047
7.34,-24.667,16.7443,-9.2696,358.2314,356.5111,1.3052
7.36,-24.6703,16.7428,-9.2711,358.237,356.4915,1.3136
7.38,-24.668,16.7439,-9.2691,358.2335,356.5077,1.3076
7.4,-24.6652,16.7442,-9.2678,358.2316,356.5221,1.3057
7.42,-24.6665,16.7441,-9.2691,358.233,356.5116,1.3066
7.44,-24.6665,16.7439,-9.2689,358.2343,356.5103,1.3067
7.46,-24.6657,16.7442,-9.268,358.2327,356.5168,1.3065
7.48,-24.6673,16.7445,-9.2683,358.2318,356.5134,1.305
7.5,-24.6689,16.7434,-9.2689,358.2369,356.5035,1.3079
7.52,-24.6686,16.7438,-9.2686,358.2345,356.5027,1.3063
7.54,-24.669,16.7439,-9.2682,358.2337,356.5016,1.3061
7.56,-24.6707,16.7435,-9.2686,358.2362,356.4921,1.308
7.58,-24.6709,16.7435,-9.268,358.2359,356.4915,1.3079
7.6,-24.6696,16.7434,-9.2672,358.2371,356.4925,1.307
7.62,-24.6696,16.7435,-9.267,358.2368,356.4927,1.3061
7.64,-24.6715,16.7429,-9.2677,358.2392,356.483,1.309
7.66,-24.6713,16.7436,-9.2669,358.2352,356.4913,1.305
7.68,-24.6722,16.7436,-9.2668,358.2347,356.4867,1.3048
7.7,-24.6716,16.7434,-9.2665,358.2363,356.4861,1.3044
7.72,-24.6712,16.7433,-9.2664,358.2366,356.4858,1.3037
7.74,-24.6718,16.743,-9.2667,358.2375,356.485,1.3042
7.76,-24.6733,16.7433,-9.2676,358.2367,356.4779,1.3044
7.78,-24.6701,16.7431,-9.266,358.2387,356.491,1.3033
7.8,-24.67,16.743,-9.2665,358.239,356.4874,1.3046
7.82,-24.6703,16.7432,-9.2667,358.2379,356.4872,1.3046
7.84,-24.6706,16.7432,-9.2667,358.2365,356.4894,1.3045
7.86,-24.6707,16.7436,-9.2665,358.2346,356.4924,1.3028
7.88,-24.6698,16.7432,-9.2664,358.2376,356.4905,1.3041
7.9,-24.6683,16.7437,-9.2664,358.2373,356.4908,1.303
7.92,-24.6691,16.7433,-9.2666,358.2378,356.4896,1.3041
7.94,-24.6701,16.7433,-9.2665,358.2382,356.4896,1.3041
7.96,-24.6702,16.7431,-9.2657,358.2379,356.4933,1.3059
7.98,-24.6689,16.7437,-9.2663,358.2363,356.493,1.3044
8,-24.6703,16.7425,-9.2679,358.2408,356.4823,1.3097
8.02,-24.6695,16.7434,-9.2675,358.2373,356.4897,1.306
8.04,-24.6713,16.7438,-9.2678,358.2353,356.4887,1.3065
8.059999,-24.6727,16.7436,-9.2682,358.2344,356.4899,1.3078
8.08,-24.6687,16.7444,-9.2675,358.2316,356.5023,1.3042
8.099999,-24.6681,16.7438,-9.2685,358.2348,356.5016,1.3045
8.12,-24.6681,16.7442,-9.2688,358.2329,356.5031,1.3054
8.139999,-24.6689,16.7436,-9.2688,358.2349,356.5032,1.3078
8.16,-24.669,16.7436,-9.2687,358.235,356.505,1.3081
8.179999,-24.6662,16.743,-9.2692,358.2379,356.507,1.3101
8.2,-24.6657,16.744,-9.2699,358.2339,356.5086,1.3063
8.22,-24.6653,16.7442,-9.2695,358.2327,356.5124,1.3047
8.24,-24.6666,16.7443,-9.2692,358.232,356.5115,1.3043
8.26,-24.6665,16.7442,-9.2685,358.2322,356.5141,1.3052
8.28,-24.6654,16.7443,-9.2685,358.2321,356.5124,1.3037
8.3,-24.6618,16.7448,-9.2668,358.2302,356.527,1.3006
8.32,-24.6661,16.7439,-9.2689,358.233,356.5121,1.3034
8.34,-24.6665,16.7445,-9.2684,358.2316,356.5138,1.3028
8.36,-24.6662,16.7445,-9.2678,358.2309,356.5167,1.3024
8.38,-24.6664,16.7441,-9.2686,358.2323,356.5119,1.3035
8.4,-24.6659,16.7445,-9.2687,358.2304,356.5132,1.3021
8.42,-24.6661,16.7443,-9.2686,358.2315,356.5125,1.303
8.44,-24.667,16.7445,-9.2688,358.2304,356.5093,1.3036
8.46,-24.6676,16.7436,-9.2687,358.235,356.5068,1.3062
8.48,-24.6668,16.7438,-9.2687,358.2346,356.5085,1.3047
8.5,-24.664,16.745,-9.2673,358.2304,356.5211,1.3015
8.52,-24.666,16.7438,-9.2681,358.2348,356.5124,1.3059
8.54,-24.6661,16.744,-9.2682,358.2353,356.5096,1.3057
8.559999,-24.6699,16.7439,-9.2708,358.2355,356.4855,1.3092
8.58,-24.6677,16.7432,-9.2684,358.2385,356.5003,1.3081
8.599999,-24.6677,16.744,-9.2679,358.2337,356.5049,1.3044
8.62,-24.6686,16.7436,-9.2677,358.2354,356.5003,1.3062
8.639999,-24.6694,16.7436,-9.2678,358.236,356.4957,1.3052
8.66,-24.6689,16.7438,-9.2672,358.2353,356.4976,1.3022
8.679999,-24.6699,16.7432,-9.2671,358.2374,356.4924,1.3067
