time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
78.1,4.3265,-1.1561,-2,0,0,40
78.12,-4.2986,-1.1793,-2,0,0,320.3085
78.14,-4.3251,-1.1572,-2,0,0,320.0154
78.16,-4.318,-1.1632,-2,0,0,320.0942
78.18,-4.2773,-1.1969,-2,0,0,320.5445
78.2,-4.2024,-1.2577,-2,0,0,321.3649
78.22,-4.0926,-1.3436,-2,0,0,322.5522
78.24,-3.9465,-1.4524,-2,0,0,324.1026
78.25999,-3.7629,-1.5806,-2,0,0,326.0089
78.28,-3.5407,-1.7242,-2,0,0,328.2615
78.3,-3.2788,-1.8781,-2,0,0,330.8473
78.32,-2.9772,-2.0365,-2,0,0,333.7478
78.34,-2.6361,-2.1931,-2,0,0,336.9426
78.36,-2.2575,-2.3409,-2,0,0,340.4031
78.38,-1.8444,-2.4731,-2,0,0,344.0958
78.4,-1.4015,-2.5832,-2,0,0,347.9819
78.42,-0.9348,-2.6655,-2,0,0,352.0169
78.43999,-0.4518,-2.7156,-2,0,0,356.1513
78.46,0.0394,-2.7307,-2,0,0,0.3357
78.48,0.53,-2.7099,-2,0,0,4.5159
78.5,1.011,-2.6544,-2,0,0,8.6388
78.52,1.4744,-2.5673,-2,0,0,12.6531
78.54,1.9128,-2.4533,-2,0,0,16.5099
78.56,2.3206,-2.3181,-2,0,0,20.1679
78.58,2.6934,-2.1684,-2,0,0,23.5879
78.6,3.0282,-2.0111,-2,0,0,26.7374
78.62,3.3235,-1.853,-2,0,0,29.5896
78.64,3.579,-1.7004,-2,0,0,32.1229
78.66,3.7949,-1.5589,-2,0,0,34.3201
78.68,3.9724,-1.4335,-2,0,0,36.17
78.7,4.1126,-1.3282,-2,0,0,37.6626
78.72,4.2168,-1.2462,-2,0,0,38.7916
78.74,4.2861,-1.1897,-2,0,0,39.5528
78.75999,4.3214,-1.1603,-2,0,0,39.9434
78.78,4.3231,-1.1589,-2,0,0,39.9626
78.8,4.2913,-1.1854,-2,0,0,39.61
78.82,4.2255,-1.2391,-2,0,0,38.8868
78.84,4.1249,-1.3187,-2,0,0,37.7954
78.86,3.9885,-1.4217,-2,0,0,36.3398
78.88,3.815,-1.5452,-2,0,0,34.5269
78.9,3.603,-1.6852,-2,0,0,32.3643
78.92,3.3516,-1.8369,-2,0,0,29.8647
78.93999,3.0603,-1.9948,-2,0,0,27.0444
78.96,2.7295,-2.1525,-2,0,0,23.9243
78.98,2.3607,-2.3032,-2,0,0,20.5317
79,1.9563,-2.4402,-2,0,0,16.8965
79.02,1.5206,-2.5567,-2,0,0,13.0573
79.04,1.0595,-2.6469,-2,0,0,9.0569
79.06,0.5799,-2.7057,-2,0,0,4.9428
79.08,0.09,-2.7302,-2,0,0,0.7661
79.1,-0.4014,-2.7188,-2,0,0,356.5809
79.12,-0.8858,-2.6722,-2,0,0,352.4378
79.14,-1.3545,-2.5931,-2,0,0,348.3901
79.16,-1.8002,-2.4856,-2,0,0,344.4867
79.18,-2.2166,-2.3553,-2,0,0,340.7722
79.2,-2.5988,-2.2088,-2,0,0,337.2872
79.22,-2.9438,-2.0529,-2,0,0,334.0637
79.24,-3.2497,-1.8943,-2,0,0,331.131
79.25999,-3.5156,-1.7397,-2,0,0,328.5119
79.28,-3.7419,-1.5948,-2,0,0,326.2244
79.3,-3.9294,-1.4647,-2,0,0,324.282
79.32,-4.0792,-1.3538,-2,0,0,322.6952
79.34,-4.1928,-1.2654,-2,0,0,321.47
79.36,-4.2712,-1.202,-2,0,0,320.6117
79.38,-4.3153,-1.1654,-2,0,0,320.1233
79.4,-4.3259,-1.1566,-2,0,0,320.0064
79.42,-4.3029,-1.1757,-2,0,0,320.2612
79.43999,-4.2461,-1.2224,-2,0,0,320.887
79.46,-4.1548,-1.2954,-2,0,0,321.8818
79.48,-4.0279,-1.3925,-2,0,0,323.2421
79.5,-3.8643,-1.511,-2,0,0,324.9621
79.52,-3.6626,-1.647,-2,0,0,327.0333
79.54,-3.4216,-1.7962,-2,0,0,329.4456
79.56,-3.1409,-1.953,-2,0,0,332.1833
79.58,-2.8204,-2.1114,-2,0,0,335.2268
79.6,-2.4612,-2.2646,-2,0,0,338.5513
79.62,-2.0658,-2.4059,-2,0,0,342.1264
79.64,-1.638,-2.5284,-2,0,0,345.9148
79.66,-1.183,-2.626,-2,0,0,349.8772
79.68,-0.7075,-2.6935,-2,0,0,353.9662
79.7,-0.2195,-2.7272,-2,0,0,358.1315
79.72,0.2725,-2.7252,-2,0,0,2.3206
79.74,0.7595,-2.6878,-2,0,0,6.4789
79.75999,1.2331,-2.6168,-2,0,0,10.5566
79.78,1.6855,-2.5163,-2,0,0,14.5025
79.8,2.1102,-2.3914,-2,0,0,18.2708
79.82,2.5018,-2.2485,-2,0,0,21.8205
79.84,2.8569,-2.0944,-2,0,0,25.116
79.86,3.173,-1.9359,-2,0,0,28.1267
79.88,3.4495,-1.7796,-2,0,0,30.8302
79.9,3.6862,-1.6317,-2,0,0,33.2065
79.92,3.8838,-1.4972,-2,0,0,35.2408
79.93999,4.0434,-1.3809,-2,0,0,36.9223
79.96,4.1663,-1.2863,-2,0,0,38.243
79.98,4.2539,-1.2161,-2,0,0,39.1982
80,4.307,-1.1723,-2,0,0,39.7841
80.02,4.3264,-1.1562,-2,0,0,39.9989
80.04,4.3122,-1.168,-2,0,0,39.8418
80.06,4.2644,-1.2075,-2,0,0,39.3134
80.08,4.1822,-1.2737,-2,0,0,38.4156
80.1,4.0648,-1.3647,-2,0,0,37.1511
80.12,3.911,-1.4779,-2,0,0,35.5251
80.14,3.7194,-1.6098,-2,0,0,33.5449
80.16,3.4888,-1.756,-2,0,0,31.2208
80.18,3.2186,-1.9113,-2,0,0,28.5678
80.2,2.9085,-2.0699,-2,0,0,25.6026
80.22,2.5594,-2.2252,-2,0,0,22.3493
80.24,2.1732,-2.3703,-2,0,0,18.8369
80.25999,1.7534,-2.4984,-2,0,0,15.1
80.28,1.3049,-2.6031,-2,0,0,11.1787
80.3,0.8342,-2.6789,-2,0,0,7.1195
80.32,0.3487,-2.7217,-2,0,0,2.9693
80.34,-0.1432,-2.7292,-2,0,0,358.7813
80.36,-0.6324,-2.701,-2,0,0,354.6088
80.38,-1.1104,-2.6386,-2,0,0,350.5046
80.4,-1.5689,-2.5454,-2,0,0,346.5206
80.42,-2.0014,-2.4263,-2,0,0,342.7014
80.43999,-2.4022,-2.2875,-2,0,0,339.0905
80.46,-2.7671,-2.1357,-2,0,0,335.725
80.48,-3.0937,-1.9776,-2,0,0,332.6361
80.5,-3.3807,-1.8202,-2,0,0,329.8495
80.52,-3.6277,-1.6695,-2,0,0,327.3863
80.54,-3.8355,-1.531,-2,0,0,325.2608
80.56,-4.005,-1.4096,-2,0,0,323.4855
80.58,-4.1375,-1.3089,-2,0,0,322.0691
80.6,-4.2342,-1.2321,-2,0,0,321.0173
80.62,-4.2963,-1.1812,-2,0,0,320.3342
80.64,-4.3245,-1.1577,-2,0,0,320.0216
80.66,-4.3192,-1.1622,-2,0,0,320.0808
80.68,-4.2802,-1.1945,-2,0,0,320.5116
80.7,-4.2072,-1.2538,-2,0,0,321.3127
80.72,-4.0992,-1.3385,-2,0,0,322.4812
80.74,-3.9551,-1.4462,-2,0,0,324.0123
80.75999,-3.7735,-1.5735,-2,0,0,325.9001
80.78,-3.5533,-1.7164,-2,0,0,328.1349
80.8,-3.2936,-1.8699,-2,0,0,330.7035
80.82,-2.9939,-2.0283,-2,0,0,333.5889
80.84,-2.655,-2.185,-2,0,0,336.768
80.86,-2.2783,-2.3335,-2,0,0,340.2154
80.88,-1.8669,-2.4667,-2,0,0,343.8969
80.9,-1.4254,-2.5781,-2,0,0,347.7738
80.92,-0.9597,-2.662,-2,0,0,351.8022
80.93999,-0.4774,-2.7138,-2,0,0,355.9326
80.96,0.0136,-2.7308,-2,0,0,0.1158
80.98,0.5044,-2.7118,-2,0,0,4.2975
81,0.9861,-2.6581,-2,0,0,8.4247
81.02,1.4506,-2.5726,-2,0,0,12.4459
81.04,1.8906,-2.4598,-2,0,0,16.3131
81.06,2.3,-2.3256,-2,0,0,19.9815
81.08,2.6747,-2.1765,-2,0,0,23.4149
81.1,3.0116,-2.0194,-2,0,0,26.5793
81.12,3.309,-1.8612,-2,0,0,29.4476
81.14,3.5666,-1.7081,-2,0,0,31.9982
81.16,3.7845,-1.566,-2,0,0,34.2133
81.18,3.964,-1.4397,-2,0,0,36.0817
81.2,4.1061,-1.3332,-2,0,0,37.5933
81.22,4.2122,-1.2498,-2,0,0,38.7415
81.24,4.2833,-1.192,-2,0,0,39.522
81.25999,4.3204,-1.1612,-2,0,0,39.9322
81.28,4.3238,-1.1583,-2,0,0,39.9708
81.3,4.2938,-1.1833,-2,0,0,39.6377
81.32,4.2298,-1.2357,-2,0,0,38.9339
81.34,4.1311,-1.3139,-2,0,0,37.8618
81.36,3.9965,-1.4158,-2,0,0,36.4252
81.38,3.825,-1.5383,-2,0,0,34.6308
81.4,3.6151,-1.6775,-2,0,0,32.4863
81.42,3.3658,-1.8288,-2,0,0,30.004
81.43999,3.0766,-1.9865,-2,0,0,27.2001
81.46,2.7479,-2.1443,-2,0,0,24.0951
81.48,2.3808,-2.2956,-2,0,0,20.7151
81.5,1.9783,-2.4335,-2,0,0,17.0927
81.52,1.5442,-2.5512,-2,0,0,13.2632
81.54,1.0842,-2.6429,-2,0,0,9.2701
81.56,0.6054,-2.7035,-2,0,0,5.1608
81.58,0.1158,-2.7298,-2,0,0,0.986
81.6,-0.3757,-2.7203,-2,0,0,356.8
81.62,-0.8607,-2.6755,-2,0,0,352.6534
81.64,-1.3305,-2.598,-2,0,0,348.5994
81.66,-1.7775,-2.4918,-2,0,0,344.6872
81.68,-2.1956,-2.3626,-2,0,0,340.9618
81.7,-2.5798,-2.2168,-2,0,0,337.4629
81.72,-2.9267,-2.0612,-2,0,0,334.2259
81.74,-3.2346,-1.9026,-2,0,0,331.2773
81.75999,-3.5027,-1.7476,-2,0,0,328.6413
81.78,-3.731,-1.602,-2,0,0,326.336
81.8,-3.9205,-1.4711,-2,0,0,324.3752
81.82,-4.0723,-1.3591,-2,0,0,322.7696
81.84,-4.1877,-1.2694,-2,0,0,321.5252
81.86,-4.2679,-1.2046,-2,0,0,320.6476
81.88,-4.3139,-1.1666,-2,0,0,320.1397
81.9,-4.3262,-1.1563,-2,0,0,320.0033
81.92,-4.3049,-1.174,-2,0,0,320.2387
81.93999,-4.2499,-1.2193,-2,0,0,320.845
81.96,-4.1605,-1.2909,-2,0,0,321.8205
81.98,-4.0355,-1.3868,-2,0,0,323.1617
82,-3.8738,-1.5043,-2,0,0,324.863
82.02,-3.674,-1.6396,-2,0,0,326.9166
82.04,-3.4353,-1.7881,-2,0,0,329.3107
82.06,-3.1566,-1.9447,-2,0,0,332.0318
82.08,-2.8382,-2.1031,-2,0,0,335.0599
82.1,-2.481,-2.2568,-2,0,0,338.3703
82.12,-2.0874,-2.3989,-2,0,0,341.9331
82.14,-1.6611,-2.5226,-2,0,0,345.7124
82.16,-1.2074,-2.6216,-2,0,0,349.6657
82.18,-0.7329,-2.6908,-2,0,0,353.7492
82.2,-0.2453,-2.7263,-2,0,0,357.9118
82.22,0.2468,-2.7262,-2,0,0,2.101
82.24,0.7343,-2.6906,-2,0,0,6.2634
82.25999,1.2087,-2.6213,-2,0,0,10.3454
82.28,1.6624,-2.5222,-2,0,0,14.2995
82.3,2.0887,-2.3985,-2,0,0,18.0781
82.32,2.4822,-2.2564,-2,0,0,21.6402
82.34,2.8392,-2.1026,-2,0,0,24.9498
82.36,3.1574,-1.9442,-2,0,0,27.9761
82.38,3.436,-1.7877,-2,0,0,30.6963
82.4,3.6747,-1.6391,-2,0,0,33.0902
82.42,3.8743,-1.5039,-2,0,0,35.1427
82.43999,4.0359,-1.3865,-2,0,0,36.843
82.46,4.1608,-1.2907,-2,0,0,38.183
82.48,4.2501,-1.2191,-2,0,0,39.1572
82.5,4.3051,-1.174,-2,0,0,39.7626
82.52,4.3262,-1.1563,-2,0,0,39.9969
82.54,4.3138,-1.1667,-2,0,0,39.8593
82.56,4.2677,-1.2048,-2,0,0,39.3503
82.58,4.1874,-1.2696,-2,0,0,38.4719
82.6,4.0719,-1.3594,-2,0,0,37.2265
82.62,3.92,-1.4715,-2,0,0,35.6193
82.64,3.7304,-1.6025,-2,0,0,33.6575
82.66,3.5019,-1.748,-2,0,0,31.3512
82.68,3.2337,-1.9031,-2,0,0,28.7142
82.7,2.9258,-2.0616,-2,0,0,25.7656
82.72,2.5787,-2.2172,-2,0,0,22.5268
82.74,2.1943,-2.363,-2,0,0,19.0272
82.75999,1.7762,-2.4922,-2,0,0,15.3011
82.78,1.329,-2.5982,-2,0,0,11.3884
82.8,0.8594,-2.6757,-2,0,0,7.3353
82.82,0.3744,-2.7203,-2,0,0,3.1885
82.84,-0.1173,-2.7297,-2,0,0,359.0012
82.86,-0.6069,-2.7034,-2,0,0,354.8265
82.88,-1.0857,-2.6426,-2,0,0,350.7175
82.9,-1.5456,-2.5509,-2,0,0,346.7249
82.92,-1.9795,-2.4331,-2,0,0,342.897
82.93999,-2.382,-2.2952,-2,0,0,339.2742
82.96,-2.7489,-2.1438,-2,0,0,335.895
82.98,-3.0776,-1.986,-2,0,0,332.7909
83,-3.3666,-1.8283,-2,0,0,329.9879
83.02,-3.6157,-1.6771,-2,0,0,327.5073
83.04,-3.8255,-1.5379,-2,0,0,325.3637
83.06,-3.997,-1.4155,-2,0,0,323.5699
83.08,-4.1314,-1.3136,-2,0,0,322.1344
83.1,-4.23,-1.2355,-2,0,0,321.0634
83.12,-4.2939,-1.1832,-2,0,0,320.3607
83.14,-4.3239,-1.1582,-2,0,0,320.0288
83.16,-4.3203,-1.1612,-2,0,0,320.0685
83.18,-4.2831,-1.1921,-2,0,0,320.4798
83.2,-4.2119,-1.2501,-2,0,0,321.2614
83.22,-4.1057,-1.3335,-2,0,0,322.4108
83.24,-3.9636,-1.44,-2,0,0,323.9229
83.25999,-3.784,-1.5664,-2,0,0,325.7923
83.28,-3.5659,-1.7086,-2,0,0,328.0091
83.3,-3.3082,-1.8617,-2,0,0,330.5607
83.32,-3.0106,-2.0199,-2,0,0,333.43
83.34,-2.6736,-2.177,-2,0,0,336.5952
83.36,-2.2989,-2.326,-2,0,0,340.0283
83.38,-1.8893,-2.4602,-2,0,0,343.6984
83.4,-1.4492,-2.5729,-2,0,0,347.5661
83.42,-0.9847,-2.6584,-2,0,0,351.5878
83.43999,-0.5029,-2.712,-2,0,0,355.7152
83.46,-0.0122,-2.7308,-2,0,0,359.8958
83.48,0.4788,-2.7137,-2,0,0,4.0789
83.5,0.9612,-2.6618,-2,0,0,8.2103
83.52,1.4268,-2.5778,-2,0,0,12.2383
83.54,1.8682,-2.4663,-2,0,0,16.1147
83.56,2.2795,-2.333,-2,0,0,19.7956
83.58,2.656,-2.1846,-2,0,0,23.2411
83.6,2.9949,-2.0278,-2,0,0,26.4204
83.62,3.2944,-1.8694,-2,0,0,29.3048
83.64,3.5541,-1.7159,-2,0,0,31.8725
83.66,3.7741,-1.5731,-2,0,0,34.1062
83.68,3.9555,-1.4458,-2,0,0,35.9924
83.7,4.0996,-1.3382,-2,0,0,37.5229
83.72,4.2075,-1.2536,-2,0,0,38.6904
83.74,4.2804,-1.1944,-2,0,0,39.4903
83.75999,4.3192,-1.1621,-2,0,0,39.9199
83.78,4.3245,-1.1577,-2,0,0,39.9781
83.8,4.2962,-1.1813,-2,0,0,39.6645
83.82,4.234,-1.2323,-2,0,0,38.9801
83.84,4.1371,-1.3092,-2,0,0,37.9272
83.86,4.0045,-1.4099,-2,0,0,36.5096
83.88,3.8349,-1.5314,-2,0,0,34.7332
83.9,3.6271,-1.6699,-2,0,0,32.6074
83.92,3.3799,-1.8206,-2,0,0,30.1425
83.93999,3.0928,-1.9781,-2,0,0,27.3549
83.96,2.7661,-2.1361,-2,0,0,24.2651
83.98,2.401,-2.288,-2,0,0,20.8988
84,2.0003,-2.4267,-2,0,0,17.2884
84.02,1.5677,-2.5457,-2,0,0,13.4686
84.04,1.1089,-2.6388,-2,0,0,9.483
84.06,0.6309,-2.7011,-2,0,0,5.3785
84.08,0.1417,-2.7293,-2,0,0,1.2059
84.1,-0.3502,-2.7217,-2,0,0,357.0179
84.12,-0.8355,-2.6787,-2,0,0,352.8691
84.14,-1.3063,-2.6028,-2,0,0,348.8091
84.16,-1.7547,-2.498,-2,0,0,344.8883
84.18,-2.1744,-2.3699,-2,0,0,341.152
84.2,-2.5605,-2.2247,-2,0,0,337.6404
84.22,-2.9095,-2.0695,-2,0,0,334.3889
84.24,-3.2194,-1.9109,-2,0,0,331.4244
84.25999,-3.4896,-1.7555,-2,0,0,328.7715
84.28,-3.72,-1.6094,-2,0,0,326.4485
84.3,-3.9115,-1.4775,-2,0,0,324.4694
84.32,-4.0653,-1.3644,-2,0,0,322.8445
84.34,-4.1825,-1.2735,-2,0,0,321.5814
84.36,-4.2646,-1.2074,-2,0,0,320.6844
84.38,-4.3123,-1.1679,-2,0,0,320.1572
84.4,-4.3263,-1.1562,-2,0,0,320.0012
84.42,-4.3069,-1.1724,-2,0,0,320.2171
84.43999,-4.2537,-1.2163,-2,0,0,320.804
84.46,-4.166,-1.2865,-2,0,0,321.7602
84.48,-4.043,-1.3812,-2,0,0,323.0823
84.5,-3.8832,-1.4976,-2,0,0,324.7649
84.52,-3.6855,-1.6321,-2,0,0,326.8003
84.54,-3.4487,-1.7801,-2,0,0,329.1775
84.56,-3.1722,-1.9364,-2,0,0,331.8812
84.58,-2.8559,-2.0949,-2,0,0,334.8937
84.6,-2.5007,-2.249,-2,0,0,338.19
84.62,-2.1089,-2.3919,-2,0,0,341.7404
84.64,-1.6842,-2.5167,-2,0,0,345.5093
84.66,-1.2318,-2.6171,-2,0,0,349.4545
84.68,-0.7582,-2.6879,-2,0,0,353.5325
84.7,-0.271,-2.7253,-2,0,0,357.6922
84.72,0.221,-2.7271,-2,0,0,1.8813
84.74,0.709,-2.6933,-2,0,0,6.0465
84.75999,1.1844,-2.6257,-2,0,0,10.1351
84.78,1.6393,-2.5281,-2,0,0,14.0959
84.8,2.0671,-2.4055,-2,0,0,17.8849
84.82,2.4624,-2.2642,-2,0,0,21.4592
84.84,2.8214,-2.1109,-2,0,0,24.7829
84.86,3.1418,-1.9525,-2,0,0,27.8256
84.88,3.4224,-1.7958,-2,0,0,30.5615
84.9,3.6632,-1.6466,-2,0,0,32.9729
84.92,3.8648,-1.5106,-2,0,0,35.0437
84.93999,4.0284,-1.3922,-2,0,0,36.7627
84.96,4.1551,-1.2951,-2,0,0,38.1218
84.98,4.2463,-1.2222,-2,0,0,39.1155
85,4.303,-1.1756,-2,0,0,39.74
85.02,4.3259,-1.1565,-2,0,0,39.9938
85.04,4.3153,-1.1654,-2,0,0,39.8758
85.06,4.271,-1.2021,-2,0,0,39.3862
85.08,4.1925,-1.2656,-2,0,0,38.5268
85.1,4.0789,-1.3541,-2,0,0,37.3009
85.12,3.9289,-1.4651,-2,0,0,35.7126
85.14,3.7413,-1.5952,-2,0,0,33.7691
85.16,3.5149,-1.7401,-2,0,0,31.4806
85.18,3.2488,-1.8948,-2,0,0,28.8605
85.2,2.943,-2.0533,-2,0,0,25.9278
85.22,2.5978,-2.2092,-2,0,0,22.7035
85.24,2.2154,-2.3557,-2,0,0,19.2168
85.25999,1.7989,-2.4859,-2,0,0,15.5017
85.28,1.3531,-2.5933,-2,0,0,11.5977
85.3,0.8843,-2.6724,-2,0,0,7.5496
85.32,0.4001,-2.7189,-2,0,0,3.4076
85.34,-0.0915,-2.7301,-2,0,0,359.2211
85.36,-0.5814,-2.7056,-2,0,0,355.0445
85.38,-1.061,-2.6466,-2,0,0,350.9307
85.4,-1.522,-2.5564,-2,0,0,346.9307
85.42,-1.9574,-2.4399,-2,0,0,343.0932
85.43999,-2.3617,-2.3028,-2,0,0,339.4586
85.46,-2.7306,-2.152,-2,0,0,336.0658
85.48,-3.0613,-1.9943,-2,0,0,332.9465
