time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
78.1,-24.7151,-13.0024,-4.8902,53.3246,144.493,12.7293
78.12,-24.7727,-13.2612,-4.5934,54.4049,143.719,11.6683
78.14,-24.8401,-13.5717,-4.2419,55.5256,142.6969,9.9411
78.16,-24.9094,-13.926,-3.828,56.7441,141.3967,7.6918
78.18,-24.9766,-14.316,-3.3515,58.075,139.7343,5.0443
78.2,-25.0869,-15.1518,-2.1966,61.2259,134.656,358.4365
78.22,-25.1221,-15.5598,-1.5172,62.8942,131.1294,354.684
78.24,-25.1406,-15.9413,-0.7768,64.4199,126.6762,350.0992
78.25999,-25.1446,-16.2888,0.0118,65.6907,121.2325,344.5908
78.28,-25.1341,-16.5994,0.8379,66.6878,115.0818,338.3275
78.3,-25.0936,-17.1005,2.5444,67.7829,101.3773,324.6337
78.32,-25.0694,-17.2886,3.4056,67.7773,94.5217,317.8056
78.34,-25.0416,-17.4319,4.2674,67.4682,87.9258,311.0029
78.36,-25.015,-17.5413,5.1125,66.9348,81.6751,304.459
78.38,-25.0021,-17.6022,5.9421,66.2573,75.8777,298.1202
78.4,-25.0127,-17.6358,7.5021,64.5277,66.9234,287.6772
78.42,-25.033,-17.6148,8.2296,63.6406,63.2045,283.1778
78.43999,-25.061,-17.5689,8.9189,62.7118,59.684,278.9315
78.46,-25.0898,-17.4974,9.5659,61.7857,56.619,275.1402
78.48,-25.1256,-17.4248,10.1534,60.9338,54.004,271.9709
78.5,-25.1887,-17.2127,11.1694,59.2324,49.6746,266.6912
78.52,-25.2155,-17.0994,11.5794,58.4304,48.1137,264.9152
78.54,-25.2309,-16.9809,11.9254,57.6336,46.7732,263.4771
78.56,-25.2342,-16.8575,12.2056,56.9091,45.6315,262.4445
78.58,-25.2243,-16.7482,12.4167,56.2402,44.8245,261.8408
78.6,-25.2034,-16.6185,12.6133,55.44,44.0159,261.7292
78.62,-25.1881,-16.586,12.619,55.2427,43.9074,262.008
