time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.88,-23.1667,16.5287,-11.5598,358.2923,356.4891,1.2817
10.9,-23.1664,16.529,-11.5601,358.2916,356.4896,1.281
10.92,-23.1673,16.5289,-11.5608,358.292,356.4859,1.2819
10.94,-23.1682,16.5287,-11.561,358.2921,356.4833,1.2825
10.96,-23.1679,16.5288,-11.5601,358.2927,356.4868,1.2808
10.98,-23.168,16.5287,-11.5601,358.2931,356.487,1.2815
11,-23.1704,16.5282,-11.5618,358.2947,356.478,1.2841
11.02,-23.1688,16.5286,-11.5606,358.2937,356.485,1.2837
11.04,-23.1673,16.5298,-11.5596,358.287,356.4956,1.2787
11.06,-23.169,16.529,-11.5602,358.2917,356.4839,1.2821
11.08,-23.1683,16.5291,-11.5597,358.2917,356.4887,1.2799
11.1,-23.1685,16.529,-11.5597,358.292,356.4864,1.2808
11.12,-23.1691,16.5292,-11.5596,358.2911,356.4805,1.2807
11.14,-23.1685,16.5293,-11.5589,358.2913,356.4839,1.2789
11.16,-23.1708,16.5289,-11.5598,358.2915,356.4725,1.2815
11.18,-23.1717,16.5284,-11.5595,358.294,356.4706,1.2822
11.2,-23.1713,16.5291,-11.5589,358.2909,356.4749,1.2792
11.22,-23.1723,16.5287,-11.559,358.2921,356.4669,1.2805
11.24,-23.1724,16.5282,-11.5591,358.2962,356.4625,1.2808
11.26,-23.1712,16.5283,-11.5585,358.2953,356.4684,1.2816
11.28,-23.1706,16.5285,-11.558,358.2945,356.4706,1.2803
11.3,-23.1719,16.5286,-11.5588,358.2938,356.4654,1.2795
11.32,-23.1711,16.5285,-11.5584,358.294,356.4686,1.279
11.34,-23.1706,16.5287,-11.5585,358.2927,356.4698,1.2788
11.36,-23.1704,16.5287,-11.5586,358.2924,356.4706,1.2789
11.38,-23.1704,16.5288,-11.5589,358.2924,356.4706,1.2786
11.4,-23.17,16.5284,-11.5587,358.2951,356.4707,1.2806
11.42,-23.1685,16.5284,-11.558,358.2955,356.4734,1.2803
11.44,-23.1684,16.5283,-11.558,358.2958,356.4756,1.2792
11.46,-23.1707,16.5282,-11.5593,358.2954,356.4676,1.2801
11.48,-23.1706,16.5284,-11.5586,358.2947,356.4699,1.2807
11.5,-23.1714,16.5279,-11.5584,358.2966,356.4673,1.282
11.52,-23.1702,16.5282,-11.5582,358.2959,356.469,1.2815
11.54,-23.1702,16.5277,-11.5585,358.2996,356.4657,1.2832
11.56,-23.17,16.5281,-11.5585,358.2966,356.469,1.282
11.58,-23.1707,16.5282,-11.5587,358.2958,356.4706,1.2822
11.6,-23.1703,16.5285,-11.558,358.2961,356.4821,1.2833
11.62,-23.1703,16.5284,-11.5586,358.2955,356.4741,1.2814
11.64,-23.1694,16.5285,-11.5589,358.295,356.4777,1.2827
11.66,-23.1709,16.5284,-11.5604,358.2949,356.4702,1.2836
11.68,-23.1687,16.529,-11.5594,358.2923,356.4811,1.281
11.7,-23.1686,16.5283,-11.5591,358.2956,356.4814,1.2838
11.72,-23.1681,16.5286,-11.5594,358.2945,356.4865,1.2825
11.74,-23.1686,16.5286,-11.5603,358.2935,356.4854,1.2839
11.76,-23.1692,16.5293,-11.5611,358.291,356.4862,1.2821
11.78,-23.1686,16.529,-11.5606,358.2914,356.4887,1.2828
11.8,-23.1673,16.5291,-11.5605,358.2908,356.4917,1.2817
11.82,-23.1675,16.5286,-11.5609,358.2931,356.4885,1.2831
11.84,-23.1671,16.5292,-11.561,358.2902,356.4895,1.2813
11.86,-23.1647,16.5299,-11.5594,358.2888,356.4981,1.2782
11.88,-23.1663,16.529,-11.5599,358.2921,356.4918,1.2797
11.9,-23.166,16.5291,-11.5598,358.2914,356.4911,1.2793
11.92,-23.1667,16.5286,-11.5602,358.2939,356.4876,1.2817
11.94,-23.1676,16.5289,-11.5604,358.2921,356.4857,1.2811
11.96,-23.167,16.5287,-11.5596,358.2926,356.4911,1.282
11.98,-23.1678,16.529,-11.5601,358.2908,356.4875,1.2816
12,-23.1673,16.5289,-11.5599,358.2921,356.4921,1.281
12.02,-23.1674,16.5294,-11.5602,358.2903,356.4906,1.2785
12.04,-23.1676,16.529,-11.5602,358.291,356.489,1.2809
12.06,-23.1676,16.5292,-11.5602,358.2905,356.488,1.2804
12.08,-23.1676,16.5289,-11.5602,358.2923,356.4865,1.2819
12.1,-23.1676,16.5291,-11.5604,358.2924,356.4863,1.2824
12.12,-23.1683,16.5289,-11.5603,358.2929,356.486,1.2819
12.14,-23.1707,16.5285,-11.5609,358.2937,356.4761,1.284
12.16,-23.1696,16.5291,-11.56,358.2918,356.4821,1.2815
12.18,-23.1692,16.529,-11.5598,358.2912,356.4823,1.2808
