time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
42.48,-0.0151,0.0022,0.0054,356.5571,359.3979,0.0619
42.5,-0.0159,0.0017,0.0048,356.5589,359.3989,0.0587
42.52,-0.0132,0.0013,0.002,356.5583,359.4046,0.0589
42.54,-0.0079,0.0015,0.0015,356.5547,359.4121,0.0573
42.56,-0.0068,0.0018,0.0026,356.5547,359.4068,0.0579
42.58,-0.0074,0.0015,0.0021,356.5545,359.4054,0.0582
42.6,-0.0106,0.0017,0.0013,356.5542,359.4028,0.0595
42.62,-0.0129,0.0018,0.0015,356.554,359.3984,0.062
42.64,-0.0104,0.0016,0.0022,356.5548,359.3977,0.0618
42.66,-0.0087,0.0017,0.0023,356.5529,359.4011,0.0611
42.68,-0.0078,0.0018,0.0006,356.552,359.4115,0.0613
42.7,-0.0109,0.0019,0.0008,356.5522,359.4071,0.0631
42.72,-0.0101,0.0012,0.0006,356.5566,359.42,0.0588
42.74,-0.0096,0.0014,0.0019,356.5553,359.4091,0.0596
42.76,-0.0095,0.0015,0.0022,356.5558,359.4046,0.0614
42.78,-0.0109,0.002,0.0021,356.5529,359.4011,0.0623
42.8,-0.0118,0.0015,0.0014,356.5551,359.4044,0.0613
42.82,-0.0113,0.0018,0.0017,356.5544,359.4055,0.062
42.84,-0.0099,0.002,0.0019,356.5536,359.4045,0.0612
42.86,-0.0089,0.0015,0.0009,356.5558,359.41,0.0583
42.88,-0.0088,0.0014,-0.0001,356.5562,359.4145,0.0581
42.9,-0.0102,0.0014,0.0008,356.5557,359.41,0.0586
42.92,-0.0102,0.001,0.0023,356.5583,359.4023,0.0584
42.94,-0.0098,0.0013,0.0022,356.5571,359.4063,0.0588
42.96,-0.0096,0.0014,0.0014,356.5564,359.4127,0.0584
42.98,-0.0093,0.001,0.0007,356.559,359.4274,0.0521
43,-0.0115,0.0016,0.0021,356.5554,359.408,0.0588
43.02,-0.0111,0.0007,0.0017,356.5596,359.4165,0.0568
43.04,-0.0121,0.0015,0.0028,356.5577,359.4158,0.0588
43.06,-0.0109,0.001,0.003,356.5602,359.4243,0.0563
43.08,-0.0116,0.0009,0.0041,356.562,359.4188,0.0576
43.1,-0.0125,0.0013,0.0045,356.5591,359.4186,0.0599
43.12,-0.0136,0.0009,0.0044,356.5627,359.4341,0.0582
43.14,-0.015,0.0015,0.0061,356.5609,359.4254,0.0617
43.16,-0.0143,0.0016,0.0067,356.5622,359.4253,0.0639
43.18,-0.0133,0.0011,0.0067,356.5634,359.4281,0.0615
43.2,-0.0133,0.0013,0.0063,356.5628,359.4281,0.0621
43.22,-0.0141,0.0013,0.0055,356.5615,359.426,0.0632
43.24,-0.0137,0.0013,0.0057,356.5614,359.425,0.0633
43.26,-0.0129,0.0014,0.0064,356.5622,359.4176,0.0655
43.28,-0.0122,0.0019,0.0062,356.5588,359.4171,0.0675
43.3,-0.0116,0.0016,0.0051,356.5586,359.4234,0.0652
43.32,-0.012,0.0009,0.0043,356.5612,359.4359,0.0596
