time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.64,-18.0615,-0.1713,-0.6992,359.5504,351.3075,1.8132
7.66,-18.0615,-0.1713,-0.6992,359.5504,351.3075,1.8132
7.68,-18.0615,-0.1713,-0.6992,359.5504,351.3075,1.8132
7.7,-18.061,-0.1715,-0.6997,359.5506,351.3062,1.8142
7.72,-18.0592,-0.1721,-0.6997,359.5527,351.3059,1.8152
7.74,-18.0599,-0.1719,-0.699,359.5525,351.3068,1.8167
7.76,-18.0604,-0.1717,-0.6986,359.5516,351.3071,1.819
7.78,-18.0601,-0.1717,-0.6988,359.5518,351.3067,1.8199
7.8,-18.0588,-0.1712,-0.6997,359.5503,351.3074,1.8189
7.82,-18.0578,-0.1713,-0.6996,359.5497,351.3081,1.8197
7.84,-18.0581,-0.1713,-0.6991,359.5501,351.3077,1.821
7.86,-18.0574,-0.1711,-0.6991,359.5488,351.31,1.8208
7.88,-18.0564,-0.1709,-0.6994,359.5478,351.3105,1.8209
7.9,-18.0561,-0.1714,-0.6996,359.5493,351.3081,1.8218
7.92,-18.056,-0.1713,-0.6987,359.5499,351.3104,1.8231
7.94,-18.0563,-0.1714,-0.6986,359.5506,351.3108,1.8249
7.96,-18.0567,-0.1711,-0.6992,359.5499,351.3099,1.8258
7.98,-18.0572,-0.1713,-0.6997,359.5502,351.3085,1.8269
8,-18.0576,-0.1715,-0.6996,359.5509,351.3086,1.8273
8.02,-18.0571,-0.1714,-0.6995,359.5507,351.3078,1.8275
8.04,-18.0561,-0.1712,-0.6995,359.5496,351.3083,1.8274
8.059999,-18.0554,-0.1712,-0.6998,359.5493,351.3079,1.8267
8.08,-18.0553,-0.1714,-0.6999,359.5513,351.3071,1.8265
8.099999,-18.0559,-0.1714,-0.7,359.5517,351.3063,1.8273
8.12,-18.0553,-0.1715,-0.6993,359.5525,351.3086,1.8279
8.139999,-18.0548,-0.1715,-0.6988,359.552,351.3105,1.8263
8.16,-18.0554,-0.1714,-0.699,359.551,351.308,1.827
8.179999,-18.0557,-0.1713,-0.6989,359.551,351.3094,1.8271
8.2,-18.0562,-0.1714,-0.6991,359.5513,351.3088,1.8276
8.22,-18.0563,-0.1716,-0.6993,359.5516,351.3084,1.829
8.24,-18.0563,-0.1713,-0.6996,359.5498,351.3071,1.8289
8.26,-18.056,-0.171,-0.6996,359.5489,351.308,1.827
8.28,-18.0561,-0.1712,-0.6997,359.55,351.3071,1.828
8.3,-18.0562,-0.1714,-0.6997,359.551,351.3069,1.8285
8.32,-18.0561,-0.1714,-0.6996,359.5515,351.3079,1.8286
8.34,-18.0562,-0.1715,-0.6995,359.5521,351.3086,1.8289
8.36,-18.0565,-0.1715,-0.6994,359.5513,351.3079,1.8295
8.38,-18.0565,-0.1714,-0.6994,359.5511,351.3068,1.8288
8.4,-18.0561,-0.1714,-0.6991,359.5517,351.3084,1.8279
8.42,-18.0567,-0.1713,-0.6996,359.5517,351.3073,1.8284
8.44,-18.0572,-0.1717,-0.6998,359.5529,351.3062,1.8295
8.46,-18.0569,-0.1716,-0.6997,359.5525,351.307,1.829
8.48,-18.0567,-0.1716,-0.6997,359.5521,351.3068,1.8291
8.5,-18.0566,-0.1715,-0.6997,359.5519,351.3069,1.8289
8.52,-18.0571,-0.1713,-0.6998,359.5508,351.3051,1.8294
8.54,-18.057,-0.1714,-0.6998,359.5509,351.3057,1.8291
8.559999,-18.0567,-0.1713,-0.6997,359.551,351.3065,1.8284
8.58,-18.0566,-0.1715,-0.6997,359.552,351.3055,1.8287
8.599999,-18.0563,-0.1712,-0.6996,359.5508,351.3072,1.8283
8.62,-18.0566,-0.1713,-0.6995,359.5509,351.3074,1.8291
8.639999,-18.0564,-0.1713,-0.6994,359.5512,351.3081,1.8285
8.66,-18.0564,-0.1712,-0.6995,359.5504,351.3076,1.8283
8.679999,-18.0567,-0.1711,-0.6998,359.5497,351.3067,1.8284
