time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.64,-18.7083,-0.1764,-0.8999,356.6227,7.9001,358.4261
19.66,-18.7083,-0.1763,-0.8999,356.6218,7.8999,358.4263
19.68,-18.708,-0.1765,-0.8997,356.6232,7.9015,358.4266
19.7,-18.7079,-0.1764,-0.8997,356.6227,7.9019,358.4263
19.72,-18.7079,-0.1764,-0.8997,356.6224,7.902,358.426
19.74,-18.7081,-0.1765,-0.8997,356.6228,7.9014,358.4269
19.76,-18.7084,-0.1765,-0.8998,356.6223,7.8993,358.4265
19.78,-18.7082,-0.1765,-0.8997,356.6229,7.9003,358.4269
19.8,-18.708,-0.1764,-0.8996,356.6227,7.9017,358.4263
19.82,-18.7081,-0.1765,-0.8998,356.6221,7.9004,358.427
19.84,-18.7081,-0.1763,-0.8998,356.6218,7.9008,358.4256
19.86,-18.7083,-0.1764,-0.8998,356.6218,7.9004,358.4259
19.88,-18.7081,-0.1764,-0.8998,356.6218,7.9007,358.4254
19.9,-18.7081,-0.1764,-0.8998,356.6221,7.9003,358.425
19.92,-18.7079,-0.1763,-0.8997,356.6222,7.9014,358.4247
19.94,-18.7082,-0.1764,-0.8997,356.6223,7.9002,358.4257
19.96,-18.7081,-0.1764,-0.8997,356.6217,7.9009,358.4257
19.98,-18.7082,-0.1764,-0.8998,356.6219,7.9007,358.426
20,-18.7083,-0.1763,-0.8999,356.6211,7.8994,358.4256
20.02,-18.7083,-0.1762,-0.8998,356.6212,7.9001,358.4252
20.04,-18.7081,-0.1762,-0.8998,356.6208,7.9002,358.4252
20.06,-18.7082,-0.1763,-0.8997,356.6216,7.9003,358.4254
20.08,-18.7082,-0.1763,-0.8998,356.6216,7.9,358.4249
20.1,-18.7083,-0.1764,-0.8998,356.6216,7.8995,358.4256
20.12,-18.7081,-0.1762,-0.8997,356.6211,7.9007,358.4245
20.14,-18.708,-0.1764,-0.8996,356.622,7.9014,358.4254
20.16,-18.7082,-0.1763,-0.8997,356.6216,7.9003,358.425
20.18,-18.7084,-0.1764,-0.8998,356.6212,7.8991,358.426
20.2,-18.7084,-0.1767,-0.8997,356.6228,7.8987,358.4267
20.22,-18.7081,-0.1765,-0.8996,356.6223,7.9006,358.426
20.24,-18.7082,-0.1766,-0.8997,356.6221,7.8998,358.4268
20.26,-18.7084,-0.1762,-0.8999,356.6199,7.8988,358.4255
20.28,-18.7084,-0.1765,-0.8998,356.6206,7.8983,358.4263
20.3,-18.7084,-0.1765,-0.8998,356.621,7.8982,358.4266
20.32,-18.7082,-0.1764,-0.8997,356.6216,7.8995,358.4255
20.34,-18.7083,-0.1764,-0.8997,356.6211,7.8996,358.4257
20.36,-18.708,-0.1762,-0.8996,356.6203,7.9012,358.4246
20.38,-18.708,-0.1762,-0.8996,356.6205,7.9007,358.424
20.4,-18.7084,-0.1763,-0.8998,356.6206,7.8987,358.4248
20.42,-18.7084,-0.1763,-0.8998,356.6209,7.8981,358.4249
20.44,-18.7084,-0.1765,-0.8997,356.6215,7.8983,358.4258
20.46,-18.7083,-0.1765,-0.8997,356.6214,7.8986,358.4261
20.48,-18.7085,-0.1764,-0.8999,356.6212,7.8974,358.4258
20.5,-18.7083,-0.1762,-0.8998,356.6197,7.8986,358.4261
20.52,-18.7081,-0.1761,-0.8997,356.6193,7.8999,358.4251
20.54,-18.7082,-0.1765,-0.8996,356.6207,7.9001,358.4259
20.56,-18.7082,-0.1762,-0.8997,356.6196,7.8996,358.4258
20.58,-18.7079,-0.1754,-0.8999,356.6166,7.9001,358.4219
20.6,-18.7082,-0.1755,-0.9001,356.6162,7.899,358.4228
20.62,-18.7079,-0.1754,-0.9,356.6164,7.9002,358.4217
20.64,-18.708,-0.1753,-0.9001,356.6153,7.8997,358.4215
20.66,-18.708,-0.1757,-0.8999,356.6174,7.9002,358.4225
20.68,-18.7081,-0.1755,-0.9001,356.616,7.8991,358.4228
20.7,-18.7079,-0.1758,-0.8998,356.6177,7.9006,358.4233
20.72,-18.7079,-0.1757,-0.8999,356.6174,7.9005,358.4227
20.74,-18.7078,-0.1755,-0.8999,356.6161,7.9007,358.4221
20.76,-18.7079,-0.1755,-0.8999,356.6162,7.8997,358.4225
20.78,-18.7082,-0.1757,-0.9,356.6171,7.8982,358.4221
20.8,-18.7083,-0.1758,-0.9001,356.6168,7.8971,358.4234
20.82,-18.7083,-0.1755,-0.9001,356.6155,7.8972,358.4226
20.84,-18.708,-0.1755,-0.8999,356.6159,7.8995,358.4222
20.86,-18.7081,-0.1754,-0.9,356.6153,7.899,358.4209
20.88,-18.7081,-0.1756,-0.9,356.6158,7.8987,358.4219
20.9,-18.7083,-0.1757,-0.9,356.6166,7.8977,358.4226
20.92,-18.7082,-0.1755,-0.9,356.6154,7.8985,358.4222
20.94,-18.7082,-0.1754,-0.9002,356.6151,7.8978,358.4208
20.96,-18.7081,-0.1752,-0.9001,356.6143,7.8984,358.4206
20.98,-18.7082,-0.1752,-0.9001,356.6143,7.8974,358.4208
21,-18.7083,-0.1752,-0.9002,356.614,7.8972,358.421
21.02,-18.708,-0.1753,-0.9,356.614,7.8994,358.4212
21.04,-18.7078,-0.1753,-0.8999,356.6145,7.9004,358.4211
21.06,-18.7082,-0.1754,-0.9001,356.615,7.8973,358.4216
21.08,-18.7081,-0.1753,-0.9001,356.6139,7.8978,358.4213
21.1,-18.7084,-0.1757,-0.9001,356.6156,7.8971,358.4227
21.12,-18.7083,-0.1752,-0.9002,356.6138,7.8968,358.422
21.14,-18.7083,-0.1756,-0.9,356.6158,7.8975,358.422
21.16,-18.7079,-0.1754,-0.8999,356.615,7.9003,358.421
21.18,-18.7082,-0.1756,-0.9,356.6158,7.8979,358.4221
21.2,-18.708,-0.1756,-0.8999,356.6153,7.8986,358.4217
21.22,-18.7081,-0.1754,-0.9,356.6141,7.8989,358.4211
21.24,-18.708,-0.1754,-0.9,356.6142,7.8983,358.4215
21.26,-18.7081,-0.1751,-0.9,356.614,7.8989,358.4196
21.28,-18.7083,-0.1755,-0.9,356.6149,7.8977,358.4218
21.3,-18.7084,-0.1757,-0.9,356.6152,7.8963,358.4229
21.32,-18.7081,-0.1758,-0.8998,356.616,7.8982,358.4225
21.34,-18.7082,-0.1754,-0.9,356.6144,7.8977,358.4213
21.36,-18.708,-0.175,-0.9,356.6128,7.8982,358.42
21.38,-18.7081,-0.175,-0.9,356.6117,7.8986,358.4206
21.4,-18.7081,-0.1752,-0.9,356.6133,7.8981,358.4217
21.42,-18.7079,-0.1753,-0.8999,356.614,7.8996,358.4206
21.44,-18.7081,-0.1753,-0.9,356.6139,7.8985,358.4208
21.46,-18.708,-0.1754,-0.8999,356.6139,7.8989,358.4211
21.48,-18.7082,-0.1755,-0.9,356.6136,7.8982,358.4225
21.5,-18.7083,-0.1754,-0.9001,356.6136,7.8969,358.4219
21.52,-18.7081,-0.1755,-0.8999,356.6143,7.8981,358.4211
21.54,-18.7082,-0.1756,-0.9,356.6155,7.897,358.4213
21.56,-18.708,-0.176,-0.8997,356.616,7.8992,358.4229
21.58,-18.7074,-0.1758,-0.8996,356.6164,7.9023,358.4209
21.6,-18.7072,-0.1761,-0.8994,356.6176,7.9025,358.4227
21.62,-18.707,-0.1763,-0.8992,356.6185,7.904,358.4224
21.64,-18.7072,-0.1766,-0.8993,356.6197,7.9039,358.4233
21.66,-18.7075,-0.1762,-0.8996,356.6174,7.9009,358.423
21.68,-18.7072,-0.1763,-0.8993,356.6186,7.9038,358.4234
21.7,-18.7072,-0.1759,-0.8995,356.617,7.9039,358.4215
21.72,-18.707,-0.1759,-0.8994,356.6169,7.9049,358.4208
21.74,-18.707,-0.1759,-0.8994,356.6168,7.9046,358.4213
21.76,-18.7071,-0.176,-0.8994,356.6176,7.9043,358.4214
21.78,-18.7072,-0.1763,-0.8993,356.6188,7.9038,358.4225
21.8,-18.7073,-0.1761,-0.8994,356.6175,7.9027,358.422
21.82,-18.7074,-0.1764,-0.8994,356.6188,7.9022,358.4225
21.84,-18.7075,-0.1763,-0.8995,356.6191,7.9009,358.4221
21.86,-18.7073,-0.176,-0.8995,356.6172,7.9028,358.4217
21.88,-18.7071,-0.1759,-0.8994,356.6161,7.9045,358.421
