time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11,-17.5916,0.0604,0.0535,0.2573,356.7232,356.0238
11.02,-17.5915,0.0605,0.0535,0.2573,356.7232,356.0236
11.04,-17.5919,0.0607,0.0533,0.2555,356.7225,356.024
11.06,-17.5916,0.0605,0.0535,0.2561,356.723,356.0242
11.08,-17.5919,0.0606,0.0532,0.2555,356.7213,356.0244
11.1,-17.5919,0.0604,0.0534,0.2573,356.7219,356.0249
11.12,-17.5919,0.0606,0.0533,0.2561,356.7215,356.0247
11.14,-17.5915,0.0608,0.0534,0.2552,356.7236,356.0229
11.16,-17.5918,0.0607,0.0532,0.2561,356.7224,356.0232
11.18,-17.5921,0.0605,0.0531,0.256,356.7196,356.0245
11.2,-17.592,0.0605,0.0531,0.2557,356.7196,356.0244
11.22,-17.5922,0.0603,0.0531,0.2564,356.7195,356.0253
11.24,-17.5923,0.0605,0.053,0.2558,356.7186,356.0246
11.26,-17.592,0.0605,0.0532,0.2562,356.7208,356.0247
11.28,-17.5919,0.0606,0.0531,0.2559,356.7209,356.0241
11.3,-17.5919,0.0608,0.0531,0.2549,356.7209,356.0242
11.32,-17.5919,0.0606,0.0531,0.2558,356.7208,356.0242
11.34,-17.5922,0.0604,0.0531,0.2572,356.7191,356.0244
11.36,-17.5921,0.0605,0.0531,0.2563,356.7195,356.0236
11.38,-17.5923,0.0602,0.0531,0.2579,356.7183,356.0247
11.4,-17.5922,0.0605,0.0531,0.2565,356.719,356.0247
11.42,-17.5921,0.0605,0.0531,0.256,356.7203,356.0247
11.44,-17.5922,0.0604,0.053,0.2571,356.7192,356.0243
11.46,-17.5922,0.0604,0.0531,0.2569,356.719,356.0247
11.48,-17.5921,0.0603,0.0532,0.2572,356.7196,356.0246
11.5,-17.5921,0.0608,0.053,0.2546,356.7198,356.0242
11.52,-17.592,0.0606,0.0531,0.2559,356.7212,356.0253
11.54,-17.592,0.0606,0.0532,0.2555,356.7206,356.0235
11.56,-17.5919,0.0606,0.0532,0.256,356.7209,356.0237
11.58,-17.5921,0.0607,0.0531,0.2556,356.7197,356.0244
11.6,-17.5924,0.0604,0.0529,0.2566,356.7175,356.0252
11.62,-17.5921,0.0604,0.0531,0.2563,356.719,356.0249
11.64,-17.5921,0.0604,0.0531,0.2571,356.7197,356.0247
11.66,-17.5921,0.0605,0.0531,0.2562,356.7196,356.0242
11.68,-17.5921,0.061,0.053,0.2538,356.7199,356.024
11.7,-17.5923,0.0608,0.0528,0.2542,356.718,356.025
11.72,-17.5924,0.0605,0.0529,0.2551,356.7181,356.0257
11.74,-17.5921,0.0605,0.0532,0.2559,356.7205,356.0252
11.76,-17.5919,0.0606,0.0532,0.2553,356.7207,356.0248
11.78,-17.5921,0.0604,0.0532,0.2565,356.7198,356.0247
11.8,-17.5921,0.0604,0.0531,0.2564,356.7198,356.0252
11.82,-17.5921,0.0604,0.0531,0.2573,356.7201,356.0249
11.84,-17.592,0.0606,0.0532,0.2559,356.7209,356.0238
11.86,-17.5919,0.0606,0.0532,0.2556,356.7212,356.0237
11.88,-17.5919,0.0606,0.0532,0.2561,356.7208,356.0237
11.9,-17.5917,0.0608,0.0532,0.2544,356.7216,356.0242
11.92,-17.5921,0.0608,0.0531,0.255,356.7202,356.0241
11.94,-17.5922,0.0606,0.0531,0.2561,356.7194,356.0243
11.96,-17.5922,0.0605,0.0531,0.2565,356.7196,356.024
11.98,-17.5923,0.0605,0.0531,0.2559,356.7183,356.0247
12,-17.5922,0.0603,0.0532,0.2576,356.7187,356.0248
12.02,-17.5921,0.0602,0.0532,0.2581,356.7195,356.0247
12.04,-17.592,0.0604,0.0532,0.2568,356.7194,356.0244
12.06,-17.5921,0.0603,0.0532,0.2576,356.7193,356.0256
12.08,-17.592,0.0604,0.0532,0.2573,356.7202,356.0246
12.1,-17.592,0.0603,0.0532,0.2572,356.7204,356.0247
12.12,-17.592,0.0605,0.0532,0.2567,356.7203,356.0242
12.14,-17.592,0.0604,0.0532,0.2572,356.72,356.0239
12.16,-17.5919,0.0607,0.0531,0.2558,356.7203,356.0241
12.18,-17.592,0.0607,0.0531,0.2555,356.7205,356.0231
12.2,-17.5921,0.061,0.0529,0.2536,356.7193,356.0233
12.22,-17.5927,0.0611,0.0525,0.2522,356.7153,356.0245
12.24,-17.5917,0.0608,0.0532,0.2549,356.7218,356.0231
12.26,-17.5917,0.0613,0.0531,0.2532,356.7222,356.0219
12.28,-17.5919,0.0607,0.0532,0.2554,356.721,356.024
12.3,-17.5919,0.0608,0.0531,0.2546,356.7207,356.0231
12.32,-17.5922,0.061,0.0529,0.2531,356.7191,356.0232
12.34,-17.5921,0.0609,0.0529,0.2537,356.7195,356.0236
12.36,-17.5923,0.0605,0.0529,0.2556,356.7173,356.0241
12.38,-17.5922,0.0606,0.053,0.2553,356.7183,356.0236
12.4,-17.5922,0.0609,0.0529,0.2538,356.7182,356.0234
12.42,-17.5922,0.0612,0.0527,0.2521,356.7183,356.0233
12.44,-17.592,0.0608,0.0531,0.2548,356.72,356.0239
12.46,-17.5919,0.061,0.0531,0.2539,356.7205,356.0231
12.48,-17.592,0.0611,0.053,0.2533,356.7198,356.0228
12.5,-17.5918,0.061,0.0532,0.2544,356.7216,356.0226
12.52,-17.5919,0.0609,0.0531,0.2547,356.7213,356.0224
12.54,-17.5921,0.0607,0.0531,0.2551,356.7195,356.0239
12.56,-17.5919,0.0607,0.0532,0.2551,356.721,356.0238
12.58,-17.592,0.061,0.053,0.2537,356.7206,356.0234
12.6,-17.592,0.0609,0.053,0.2538,356.7203,356.023
12.62,-17.5922,0.0609,0.0529,0.2535,356.7189,356.024
12.64,-17.592,0.0608,0.0531,0.2551,356.7199,356.0229
12.66,-17.592,0.061,0.053,0.2538,356.7198,356.0233
12.68,-17.5924,0.0606,0.053,0.2551,356.7176,356.0249
12.7,-17.5922,0.0604,0.0532,0.2567,356.72,356.0238
12.72,-17.5921,0.0608,0.0531,0.255,356.7208,356.0232
12.74,-17.5921,0.0609,0.053,0.255,356.7194,356.0233
12.76,-17.592,0.0608,0.0531,0.2549,356.7206,356.0239
12.78,-17.592,0.061,0.053,0.2533,356.7203,356.0239
12.8,-17.592,0.061,0.053,0.2535,356.7195,356.0233
12.82,-17.592,0.0609,0.053,0.2542,356.7197,356.0237
12.84,-17.5921,0.0607,0.0531,0.255,356.719,356.0244
12.86,-17.592,0.0607,0.0531,0.2554,356.7209,356.0233
12.88,-17.592,0.0608,0.0531,0.2548,356.7206,356.0237
12.9,-17.592,0.0607,0.0531,0.2549,356.7204,356.0237
12.92,-17.5915,0.0608,0.0535,0.2548,356.7245,356.0224
12.94,-17.5918,0.061,0.0532,0.2541,356.7213,356.0226
12.96,-17.5918,0.0609,0.0532,0.2537,356.7212,356.0235
12.98,-17.5917,0.0606,0.0534,0.256,356.7221,356.0226
13,-17.592,0.0608,0.0531,0.255,356.7209,356.0233
13.02,-17.5918,0.0609,0.0532,0.2551,356.722,356.0227
13.04,-17.5918,0.061,0.0532,0.2541,356.7218,356.0227
13.06,-17.5921,0.0611,0.053,0.2534,356.7195,356.0222
13.08,-17.5921,0.0611,0.0529,0.2532,356.7191,356.022
13.1,-17.5923,0.0608,0.0529,0.2542,356.7184,356.0241
13.12,-17.5922,0.061,0.0529,0.2535,356.719,356.0233
13.14,-17.592,0.0609,0.0531,0.2537,356.7211,356.0236
13.16,-17.5918,0.0608,0.0531,0.2548,356.722,356.0234
13.18,-17.5914,0.0606,0.0534,0.2563,356.7242,356.0229
13.2,-17.5915,0.0605,0.0534,0.2565,356.7234,356.0231
13.22,-17.5916,0.0603,0.0534,0.2576,356.7222,356.0237
13.24,-17.5917,0.0607,0.0532,0.2553,356.7221,356.0233
13.26,-17.5915,0.0606,0.0534,0.2562,356.7241,356.0234
13.28,-17.5915,0.06,0.0536,0.2583,356.7244,356.0246
13.3,-17.5915,0.0605,0.0533,0.2567,356.7234,356.024
13.32,-17.5916,0.0606,0.0533,0.2558,356.7232,356.0238
13.34,-17.5911,0.0607,0.0536,0.2556,356.7258,356.023
13.36,-17.5912,0.0606,0.0535,0.2564,356.7258,356.0228
13.38,-17.5913,0.0608,0.0534,0.2556,356.7243,356.0226
13.4,-17.5913,0.0607,0.0534,0.255,356.7238,356.0236
13.42,-17.5913,0.0607,0.0534,0.2546,356.7232,356.0232
13.44,-17.5912,0.0608,0.0535,0.2549,356.7254,356.0226
13.46,-17.5914,0.0608,0.0534,0.2558,356.7243,356.0221
13.48,-17.5914,0.0607,0.0534,0.2554,356.724,356.0228
13.5,-17.5913,0.0606,0.0535,0.2558,356.7245,356.0236
13.52,-17.5914,0.0605,0.0535,0.2565,356.7238,356.0235
13.54,-17.5916,0.0606,0.0534,0.2563,356.723,356.0232
13.56,-17.5915,0.0607,0.0534,0.2557,356.7237,356.023
13.58,-17.5916,0.0604,0.0534,0.2573,356.7233,356.0238
13.6,-17.5918,0.0604,0.0533,0.257,356.722,356.0241
13.62,-17.5915,0.0606,0.0533,0.2556,356.7238,356.0236
13.64,-17.5914,0.0605,0.0534,0.2563,356.7239,356.0236
13.66,-17.5918,0.0605,0.0532,0.256,356.7218,356.0243
13.68,-17.5915,0.0607,0.0533,0.2555,356.7231,356.0241
13.7,-17.5915,0.0608,0.0533,0.2551,356.7231,356.0239
13.72,-17.5917,0.0607,0.0532,0.2553,356.7225,356.0241
13.74,-17.5914,0.0605,0.0535,0.2569,356.7238,356.0231
13.76,-17.5914,0.0606,0.0534,0.2564,356.7241,356.023
13.78,-17.5914,0.0604,0.0535,0.257,356.7234,356.0232
13.8,-17.5916,0.0605,0.0533,0.2565,356.7224,356.0234
13.82,-17.5917,0.0604,0.0533,0.2569,356.7227,356.0245
13.84,-17.5914,0.0605,0.0535,0.2572,356.7242,356.0234
13.86,-17.5917,0.0603,0.0533,0.2571,356.7226,356.0245
13.88,-17.5915,0.0602,0.0535,0.2581,356.7238,356.0245
13.9,-17.5913,0.0606,0.0535,0.2556,356.725,356.0234
13.92,-17.5914,0.0605,0.0534,0.2558,356.7235,356.0244
13.94,-17.5918,0.0605,0.0533,0.2566,356.7208,356.0244
13.96,-17.5918,0.0604,0.0533,0.2566,356.7218,356.0248
13.98,-17.5917,0.0606,0.0533,0.2561,356.7215,356.0242
14,-17.5913,0.0608,0.0534,0.2553,356.7251,356.0237
14.02,-17.5915,0.061,0.0533,0.2542,356.7232,356.0231
14.04,-17.5915,0.0608,0.0533,0.2548,356.7241,356.023
14.06,-17.5915,0.0607,0.0534,0.2556,356.723,356.0236
14.08,-17.5914,0.0607,0.0535,0.2564,356.7244,356.0232
14.1,-17.5913,0.0605,0.0536,0.2566,356.7246,356.0233
14.12,-17.5913,0.0606,0.0536,0.2557,356.7248,356.024
14.14,-17.5913,0.0609,0.0535,0.2546,356.7248,356.0232
14.16,-17.5917,0.0607,0.0532,0.255,356.7223,356.0234
14.18,-17.5919,0.0608,0.053,0.2544,356.7212,356.0243
14.2,-17.5922,0.0605,0.0529,0.2556,356.7191,356.0242
14.22,-17.5924,0.0606,0.0528,0.2554,356.7175,356.0254
14.24,-17.5921,0.0603,0.053,0.2575,356.7194,356.0253
14.26,-17.5919,0.0602,0.0533,0.2577,356.721,356.0253
14.28,-17.592,0.0603,0.0531,0.2583,356.7199,356.024
14.3,-17.5921,0.0606,0.053,0.2569,356.7199,356.0232
