time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
18.36,4.3265,-1.1561,-2,0,0,40
18.38,3.0424,-2.0039,-2,0,0,26.873
18.4,3.339,-1.8442,-2,0,0,29.7413
18.42,3.5949,-1.6904,-2,0,0,32.2827
18.44,3.8104,-1.5484,-2,0,0,34.4797
18.46,3.9866,-1.4231,-2,0,0,36.32
18.48,4.1248,-1.3188,-2,0,0,37.7943
18.5,4.2263,-1.2385,-2,0,0,38.8962
18.52,4.2923,-1.1845,-2,0,0,39.6216
18.54,4.3236,-1.1585,-2,0,0,39.9679
18.56,4.3205,-1.161,-2,0,0,39.934
18.58,4.2831,-1.1921,-2,0,0,39.5201
18.6,4.2109,-1.2509,-2,0,0,38.7275
18.62,4.1029,-1.3357,-2,0,0,37.5589
18.64,3.958,-1.444,-2,0,0,36.0188
18.66,3.7749,-1.5725,-2,0,0,34.1142
18.68,3.5523,-1.717,-2,0,0,31.8549
18.7,3.2892,-1.8723,-2,0,0,29.2539
18.72,2.9853,-2.0325,-2,0,0,26.3295
18.74,2.6412,-2.1909,-2,0,0,23.1044
18.76,2.2586,-2.3405,-2,0,0,19.6072
18.78,1.8408,-2.4742,-2,0,0,15.8722
18.8,1.3925,-2.5851,-2,0,0,11.9401
18.82,0.92,-2.6676,-2,0,0,7.8565
18.84,0.431,-2.717,-2,0,0,3.6717
18.86,-0.0659,-2.7304,-2,0,0,359.439
18.88,-0.5616,-2.7073,-2,0,0,355.2138
18.9,-1.047,-2.6488,-2,0,0,351.0508
18.92,-1.5138,-2.5583,-2,0,0,347.0022
18.94,-1.9546,-2.4407,-2,0,0,343.1181
18.96,-2.3635,-2.3022,-2,0,0,339.4425
18.98,-2.7361,-2.1495,-2,0,0,336.0143
19,-3.0697,-1.99,-2,0,0,332.866
19.02,-3.3628,-1.8305,-2,0,0,330.0253
19.04,-3.6151,-1.6775,-2,0,0,327.5133
19.06,-3.8272,-1.5368,-2,0,0,325.3466
19.08,-4.0001,-1.4132,-2,0,0,323.5377
19.1,-4.135,-1.3108,-2,0,0,322.0955
19.12,-4.2334,-1.2327,-2,0,0,321.026
19.14,-4.2964,-1.1812,-2,0,0,320.3334
19.16,-4.3247,-1.1576,-2,0,0,320.02
19.18,-4.3186,-1.1626,-2,0,0,320.0868
19.2,-4.2783,-1.1961,-2,0,0,320.5336
19.22,-4.203,-1.2572,-2,0,0,321.359
19.24,-4.0918,-1.3442,-2,0,0,322.5599
19.26,-3.9437,-1.4544,-2,0,0,324.1318
19.28,-3.7572,-1.5845,-2,0,0,326.0677
19.3,-3.5311,-1.7301,-2,0,0,328.3572
19.32,-3.2645,-1.8861,-2,0,0,330.9868
19.34,-2.9571,-2.0464,-2,0,0,333.9382
19.36,-2.6095,-2.2043,-2,0,0,337.1883
19.38,-2.2238,-2.3528,-2,0,0,340.7075
19.4,-1.8031,-2.4848,-2,0,0,344.4611
19.42,-1.3524,-2.5935,-2,0,0,348.4085
19.44,-0.8782,-2.6732,-2,0,0,352.5029
19.46,-0.3882,-2.7196,-2,0,0,356.6939
19.48,0.109,-2.7299,-2,0,0,0.9279
19.5,0.6042,-2.7036,-2,0,0,5.1502
19.52,1.0883,-2.6422,-2,0,0,9.3053
19.54,1.5531,-2.5491,-2,0,0,13.3412
19.56,1.9913,-2.4294,-2,0,0,17.2089
19.58,2.3973,-2.2894,-2,0,0,20.8649
19.6,2.7666,-2.1359,-2,0,0,24.27
19.62,3.0967,-1.9761,-2,0,0,27.3924
19.64,3.3863,-1.8169,-2,0,0,30.2057
19.66,3.6351,-1.6648,-2,0,0,32.6883
19.68,3.8437,-1.5253,-2,0,0,34.8243
19.7,4.0132,-1.4035,-2,0,0,36.6018
19.72,4.145,-1.303,-2,0,0,38.012
19.74,4.2403,-1.2272,-2,0,0,39.0489
19.76,4.3002,-1.178,-2,0,0,39.7088
19.78,4.3255,-1.1569,-2,0,0,39.9893
19.8,4.3165,-1.1644,-2,0,0,39.8895
19.82,4.2731,-1.2004,-2,0,0,39.4099
19.84,4.1948,-1.2638,-2,0,0,38.5519
19.86,4.0805,-1.3528,-2,0,0,37.3185
19.88,3.9291,-1.4649,-2,0,0,35.7148
19.9,3.7392,-1.5966,-2,0,0,33.7479
19.92,3.5096,-1.7433,-2,0,0,31.4283
19.94,3.2395,-1.8999,-2,0,0,28.7699
19.96,2.9286,-2.0603,-2,0,0,25.7916
19.98,2.5776,-2.2176,-2,0,0,22.5172
20,2.1887,-2.365,-2,0,0,18.976
20.02,1.7652,-2.4952,-2,0,0,15.2039
20.04,1.3122,-2.6016,-2,0,0,11.2422
20.06,0.8363,-2.6786,-2,0,0,7.1374
20.08,0.3452,-2.7219,-2,0,0,2.9402
20.1,-0.1521,-2.7291,-2,0,0,358.705
20.12,-0.6467,-2.6996,-2,0,0,354.4867
20.14,-1.1295,-2.6353,-2,0,0,350.3395
20.16,-1.5922,-2.5397,-2,0,0,346.3163
20.18,-2.0279,-2.418,-2,0,0,342.4653
20.2,-2.4307,-2.2765,-2,0,0,338.83
20.22,-2.7968,-2.1222,-2,0,0,335.4478
