time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
18.36,-17.5421,0.3785,0.2792,358.4489,3.2216,0.2605
18.38,-17.5411,0.3784,0.279,358.4284,3.2306,0.2298
18.4,-17.5381,0.3806,0.2782,358.2499,3.3105,359.8929
18.42,-17.5364,0.3806,0.2813,358.4204,3.8279,359.6986
18.44,-17.5355,0.3816,0.2832,358.3984,4.1141,359.4316
18.46,-17.5169,0.3915,0.2747,358.12,3.494,357.4785
18.48,-17.4998,0.4002,0.266,357.8104,2.9766,356.0919
18.5,-17.4876,0.4061,0.2605,357.6368,2.8596,355.1254
18.52,-17.4695,0.4076,0.2557,357.9665,2.3391,354.0183
18.54,-17.4541,0.4076,0.258,358.1443,2.3764,353.447
18.56,-17.426,0.4076,0.2679,358.6021,3.2347,352.4107
18.58,-17.4149,0.4063,0.2748,358.9535,3.7706,352.0814
18.6,-17.4104,0.4056,0.2807,359.2222,4.1426,351.8332
18.62,-17.4108,0.4058,0.2841,359.4263,4.2808,351.6336
18.64,-17.4114,0.4069,0.284,359.4992,4.2429,351.3846
18.66,-17.4107,0.4101,0.2794,359.344,3.8586,351.0256
18.68,-17.4105,0.4114,0.2777,359.2213,3.5846,350.9003
18.7,-17.4121,0.4122,0.2767,359.146,3.3567,350.8152
18.72,-17.4135,0.4121,0.2767,359.1035,3.1752,350.7646
18.74,-17.4143,0.4126,0.2758,359.0093,3.0624,350.6805
18.76,-17.4105,0.415,0.2746,358.9508,3.1253,350.3279
18.78,-17.4092,0.4154,0.2759,359.0173,3.196,350.1536
18.8,-17.4076,0.4155,0.2794,359.213,3.2535,349.8906
18.82,-17.405,0.4157,0.284,359.3646,3.3903,349.5898
18.84,-17.4001,0.416,0.2881,359.5187,3.6133,349.2794
18.86,-17.3921,0.4184,0.2911,359.8503,3.8291,348.606
18.88,-17.3883,0.4203,0.2926,0.1356,3.8365,348.0941
18.9,-17.3882,0.4216,0.2919,0.1465,3.7757,347.9119
18.92,-17.3898,0.4224,0.2907,0.1184,3.6225,347.7593
18.94,-17.3923,0.4236,0.289,0.112,3.3878,347.5532
18.96,-17.3926,0.4249,0.2909,0.253,3.1381,347.1551
18.98,-17.3909,0.4252,0.2937,0.3345,3.1585,346.9295
19,-17.3876,0.4265,0.2968,0.4718,3.2467,346.6169
19.02,-17.3859,0.4276,0.2972,0.4527,3.3987,346.3785
19.04,-17.3849,0.4289,0.2971,0.3795,3.5458,346.1089
19.06,-17.3818,0.4371,0.2921,359.8291,3.7767,345.233
19.08,-17.3784,0.4406,0.2911,359.641,3.9878,344.8637
19.1,-17.3759,0.4419,0.2912,359.5324,4.0671,344.6811
