time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.56,-0.0004,0.0001,0.0001,359.3038,2.1625,354.4253
3.58,-0.0001,0,0,359.3043,2.1636,354.4248
3.6,-0.0006,0,0.0001,359.3039,2.1611,354.4247
3.62,-0.0003,0.0002,0,359.3038,2.1632,354.425
3.64,-0.0003,0,0.0001,359.3046,2.1631,354.4249
3.66,-0.0008,-0.0001,0.0004,359.3049,2.1603,354.425
3.68,-0.0005,-0.0001,0.0002,359.3049,2.1619,354.4241
3.7,-0.0003,0.0003,0.0001,359.303,2.163,354.425
3.72,-0.0005,0.0001,0.0002,359.3036,2.1621,354.425
3.74,-0.0004,0.0001,0.0001,359.3036,2.1626,354.4249
3.76,-0.0005,-0.0001,0.0003,359.3046,2.1613,354.4243
3.78,-0.0003,0.0001,0.0001,359.3041,2.1632,354.4249
3.8,-0.0007,0,0.0004,359.3039,2.1614,354.4249
3.82,-0.0001,0,0.0001,359.3038,2.1634,354.424
3.84,-0.0003,0.0002,0,359.3025,2.1626,354.4243
3.86,-0.0005,0.0001,0.0001,359.3033,2.1615,354.4251
3.88,-0.0005,0,0.0002,359.3042,2.1611,354.4245
3.9,-0.0005,-0.0002,0.0002,359.3055,2.1617,354.4245
3.92,-0.0006,-0.0005,0.0003,359.3072,2.1613,354.4238
3.94,-0.0004,-0.0001,0.0002,359.3043,2.1622,354.4239
3.96,-0.0002,-0.0002,0.0001,359.3051,2.1631,354.4234
3.98,-0.0001,-0.0001,0.0001,359.3041,2.1641,354.4235
4,-0.0003,0,0.0001,359.3036,2.1627,354.4243
4.02,-0.0003,0.0002,0.0001,359.303,2.1626,354.4249
4.04,-0.0004,0,0.0001,359.3041,2.1621,354.4247
4.06,-0.0002,0.0001,0.0001,359.3037,2.1629,354.4253
4.08,-0.0001,-0.0001,0.0001,359.3043,2.1635,354.4243
4.1,-0.0002,0.0001,0.0001,359.3037,2.1635,354.4245
4.12,-0.0007,-0.0005,0.0003,359.3059,2.1609,354.4239
4.14,-0.0005,0.0001,0.0002,359.304,2.1616,354.425
4.16,0,0.0003,-0.0001,359.3024,2.1643,354.4249
4.18,-0.0003,0.0001,0.0001,359.3038,2.1626,354.4247
4.2,-0.0004,-0.0003,0.0002,359.3053,2.1619,354.4247
4.22,-0.0002,-0.0001,0.0001,359.3043,2.1635,354.424
4.24,-0.0003,0,0.0002,359.3042,2.1631,354.4245
4.26,-0.0003,-0.0001,0.0002,359.3048,2.1622,354.4239
4.28,-0.0004,0.0001,0.0001,359.3041,2.1627,354.425
4.3,-0.0005,-0.0001,0.0002,359.3044,2.1618,354.4236
4.32,-0.0006,-0.0002,0.0002,359.3044,2.1605,354.4238
4.34,-0.0006,0,0.0003,359.3043,2.1607,354.4246
4.36,-0.0004,0.0003,0.0001,359.3029,2.1622,354.4255
4.38,-0.0007,0,0.0003,359.3049,2.1607,354.4246
4.4,-0.0007,0.0002,0.0003,359.3029,2.1606,354.4252
4.42,-0.0005,-0.0002,0.0002,359.3047,2.1612,354.4237
4.44,0,-0.0003,0.0001,359.305,2.164,354.4226
4.46,0.0001,-0.0001,0,359.3038,2.1646,354.4229
4.48,-0.0004,-0.0002,0.0002,359.305,2.1621,354.4242
4.5,0,-0.0002,0,359.3049,2.1641,354.4238
4.52,-0.0004,-0.0002,0.0001,359.3047,2.1617,354.4242
4.54,0.0001,-0.0003,0,359.305,2.1646,354.4231
4.56,-0.0001,-0.0001,0,359.3044,2.1638,354.4241
4.58,-0.0007,-0.0004,0.0003,359.3055,2.1609,354.424
4.6,-0.0004,0.0003,0.0002,359.3029,2.1627,354.4246
4.62,-0.0001,0.0001,0,359.3032,2.1646,354.4248
4.64,-0.0005,0,0.0001,359.3038,2.1617,354.4243
4.66,-0.0004,0,0.0001,359.3037,2.1625,354.4244
4.68,-0.0003,0,0.0001,359.3042,2.1629,354.4243
4.7,0,-0.0003,0.0001,359.3052,2.1638,354.4234
4.72,-0.0003,-0.0001,0.0001,359.3049,2.1625,354.424
4.74,0,-0.0001,0,359.3043,2.1647,354.4238
4.76,-0.0004,-0.0003,0.0003,359.3056,2.1622,354.4236
4.78,0,0.0001,0,359.3034,2.1644,354.4235
4.8,0.0001,0,-0.0001,359.3039,2.1648,354.4234
4.82,-0.0001,-0.0001,0,359.3047,2.1645,354.4237
4.84,-0.0002,0,0.0001,359.3043,2.1638,354.4243
4.86,-0.0003,-0.0001,0.0001,359.3044,2.1633,354.4239
4.88,-0.0004,0.0001,0.0001,359.3033,2.1626,354.4243
4.9,0.0001,0.0001,-0.0002,359.3034,2.1652,354.4238
4.92,0,0.0001,-0.0001,359.3034,2.1645,354.4241
4.94,-0.0001,0.0002,-0.0001,359.303,2.164,354.4248
4.96,0.0001,-0.0002,0,359.3052,2.1651,354.4227
4.98,-0.0003,-0.0002,0.0001,359.3057,2.1635,354.4241
5,-0.0004,-0.0004,0.0004,359.3059,2.1626,354.423
5.02,0,0,0,359.304,2.1652,354.4233
5.04,-0.0002,-0.0001,0.0001,359.3047,2.1631,354.4231
5.06,-0.0001,-0.0001,0,359.304,2.1636,354.4231
5.08,-0.0001,-0.0001,0,359.304,2.1635,354.4233
5.1,-0.0005,-0.0002,0.0003,359.3065,2.1614,354.4238
5.12,-0.0003,-0.0001,0.0002,359.3047,2.1627,354.4236
5.14,0.0006,0.0003,-0.0002,359.3028,2.1677,354.4232
5.16,0.0001,-0.0002,-0.0001,359.3044,2.165,354.4231
5.18,-0.0001,-0.0003,0,359.305,2.1642,354.423
5.2,-0.0002,0,0.0001,359.3039,2.1637,354.4245
5.22,-0.0004,-0.0001,0.0002,359.3043,2.1624,354.4241
5.24,-0.0001,-0.0001,0,359.3049,2.1644,354.4237
5.26,-0.0004,-0.0001,0.0002,359.3046,2.1626,354.4238
5.28,-0.0003,-0.0001,0.0002,359.3048,2.1629,354.4242
5.3,-0.0005,0,0.0002,359.3043,2.1625,354.4243
5.32,-0.0002,0.0001,0.0001,359.3033,2.1635,354.4243
5.34,-0.0004,0,0.0001,359.3038,2.1626,354.4239
5.36,-0.0003,0.0001,0.0001,359.3034,2.1633,354.4237
5.38,-0.0006,0.0005,0.0001,359.3016,2.1619,354.4261
5.4,0.0001,0.0003,-0.0001,359.3023,2.1653,354.4245
5.42,-0.0003,-0.0004,0.0003,359.3066,2.1633,354.4234
5.44,0.0002,-0.0002,0,359.3054,2.1654,354.4232
5.46,0.0001,0,-0.0001,359.3042,2.1652,354.4236
5.48,0.0002,0.0001,-0.0002,359.3033,2.1655,354.4236
5.5,-0.0001,0.0001,0,359.3033,2.1638,354.4235
5.52,0,0.0001,-0.0001,359.3033,2.1648,354.4241
5.54,-0.0001,0.0002,-0.0001,359.303,2.1646,354.4236
5.56,-0.0002,0.0002,0,359.3025,2.163,354.4243
5.58,-0.0003,0.0001,0.0001,359.3039,2.163,354.4241
5.6,-0.0003,-0.0001,0.0001,359.3038,2.1629,354.4242
5.62,0.0001,-0.0002,-0.0001,359.3055,2.1655,354.4234
5.64,-0.0003,-0.0004,0.0002,359.3066,2.1632,354.4233
5.66,0,-0.0002,0,359.3051,2.1644,354.4236
5.68,0.0001,0,-0.0001,359.3042,2.1649,354.4236
5.7,-0.0003,-0.0002,0.0002,359.3049,2.1623,354.4232
5.72,-0.0002,-0.0002,0.0001,359.3052,2.1632,354.423
5.74,-0.0001,-0.0003,0.0001,359.3058,2.1632,354.4227
5.76,0,-0.0002,0,359.3052,2.1643,354.4231
5.78,0.0002,0.0003,-0.0001,359.3027,2.1665,354.4238
5.8,0.0003,-0.0001,-0.0001,359.3041,2.166,354.423
5.82,-0.0001,0,-0.0001,359.3041,2.1648,354.424
5.84,-0.0008,-0.0002,0.0002,359.305,2.161,354.4244
5.86,-0.0002,-0.0001,0,359.3042,2.164,354.4245
5.88,-0.0004,0,0.0001,359.3043,2.1629,354.4241
5.9,-0.0005,0.0002,0.0001,359.3031,2.162,354.4243
5.92,-0.0006,0,0.0002,359.3038,2.1614,354.4239
5.94,-0.0005,0,0.0001,359.3036,2.1618,354.4241
5.96,-0.0001,0.0001,0,359.3031,2.1647,354.4251
5.98,-0.0004,-0.0002,0.0002,359.3049,2.1625,354.4244
6,-0.0002,0,0.0001,359.3049,2.1632,354.4245
6.02,0,0,-0.0001,359.3037,2.1652,354.4238
6.04,0.0004,0,-0.0001,359.3035,2.1672,354.4214
6.06,0,0.0001,0,359.3038,2.1657,354.4231
6.08,0.0001,-0.0002,0,359.3049,2.166,354.4235
6.1,-0.0002,0,0.0001,359.3034,2.164,354.4241
6.12,0.0002,0.0001,-0.0001,359.3033,2.166,354.4231
6.14,0.0004,0.0002,-0.0002,359.3026,2.1673,354.4232
6.16,0.0001,0.0001,0,359.3036,2.165,354.4239
6.18,-0.0001,-0.0001,0.0001,359.3052,2.1644,354.4236
6.2,0,0.0001,-0.0001,359.3035,2.1649,354.4243
6.22,0.0004,0,-0.0003,359.3032,2.1675,354.4235
6.24,0.0003,0.0003,-0.0003,359.3016,2.1664,354.4238
6.26,0.0001,0.0001,-0.0001,359.3032,2.1654,354.4232
6.28,0.0003,0.0001,-0.0002,359.3032,2.1664,354.4231
6.3,0.0001,-0.0001,-0.0001,359.3034,2.1654,354.4229
6.32,-0.0005,-0.0002,0.0003,359.3043,2.1614,354.424
6.34,-0.0005,-0.0003,0.0002,359.3051,2.162,354.4245
6.36,-0.0001,-0.0001,0,359.3035,2.1639,354.4236
6.38,-0.0001,-0.0001,0,359.3038,2.1639,354.4235
6.4,0,-0.0002,0,359.3047,2.1645,354.4229
6.42,0.0001,-0.0001,-0.0001,359.3043,2.1655,354.4232
6.44,0.0003,0.0001,-0.0002,359.3032,2.1662,354.4243
6.46,0.0001,0.0004,-0.0002,359.3018,2.1647,354.425
6.48,0.0001,0,0,359.3038,2.1643,354.4229
6.5,-0.0001,0.0002,-0.0001,359.3022,2.1638,354.4232
6.52,0.0005,0.0002,-0.0004,359.3025,2.1672,354.4236
6.54,0,-0.0001,-0.0001,359.3042,2.1651,354.4237
6.56,0,0,-0.0001,359.3034,2.1648,354.4233
6.58,0.0003,0,-0.0002,359.3034,2.1666,354.4229
6.6,-0.0001,-0.0002,0,359.3051,2.1637,354.4235
6.62,-0.0004,0.0001,0.0001,359.3035,2.1625,354.4244
6.64,-0.0004,0.0002,0.0001,359.3029,2.1632,354.4244
6.66,-0.0002,0.0001,0,359.3035,2.1637,354.4232
6.68,0.0004,0,-0.0002,359.3036,2.1665,354.4236
6.7,-0.0002,-0.0001,0.0001,359.3043,2.1637,354.4231
6.72,-0.0003,-0.0001,0.0001,359.304,2.1634,354.4236
6.74,-0.0004,-0.0001,0.0002,359.3042,2.1622,354.4241
6.76,-0.0003,-0.0002,0.0002,359.3048,2.1629,354.4239
6.78,-0.0003,-0.0002,0.0002,359.3052,2.163,354.4232
6.8,-0.0001,0.0001,0,359.3032,2.1641,354.4237
6.82,0,-0.0001,0,359.3039,2.165,354.4229
6.84,-0.0001,-0.0004,0.0001,359.3063,2.1636,354.4227
6.86,0,-0.0004,0,359.3063,2.1646,354.4225
6.88,0.0001,-0.0002,0,359.3052,2.1648,354.4232
6.9,0,-0.0001,0,359.3048,2.1646,354.4234
6.92,0.0002,0,-0.0002,359.3036,2.1661,354.423
6.94,-0.0002,0.0002,0,359.302,2.1633,354.424
6.96,-0.0002,0.0002,-0.0001,359.3029,2.1637,354.4239
6.98,0,0.0003,-0.0002,359.3022,2.1648,354.424
7,0,0.0002,-0.0001,359.3027,2.1651,354.4239
7.02,-0.0001,0.0001,0,359.3035,2.1642,354.4234
7.04,0,0,0,359.3038,2.1649,354.4229
7.06,0.0001,0.0001,-0.0001,359.3035,2.1655,354.4234
7.08,0,0.0002,-0.0002,359.3024,2.1651,354.4238
7.1,0.0001,0,-0.0001,359.3035,2.1657,354.4235
7.12,0.0002,-0.0001,-0.0002,359.3037,2.1661,354.4227
7.14,-0.0002,0,0,359.3039,2.1649,354.424
7.16,-0.0001,-0.0001,0,359.3044,2.1647,354.4234
7.18,0,0,-0.0001,359.3039,2.1654,354.4235
7.2,0.0002,0.0002,-0.0002,359.3022,2.1661,354.4236
7.22,0.0003,-0.0003,-0.0001,359.305,2.1661,354.4219
7.24,-0.0003,-0.0003,0.0001,359.3047,2.1641,354.4229
7.26,-0.0001,-0.0001,0,359.304,2.1641,354.4229
7.28,0,-0.0001,-0.0001,359.3039,2.1644,354.4242
7.3,0.0002,0.0001,-0.0003,359.3027,2.1658,354.423
7.32,0.0003,0.0002,-0.0003,359.3021,2.1664,354.4231
7.34,-0.0001,0.0001,-0.0001,359.3019,2.1641,354.4225
7.36,0.0004,0,-0.0003,359.3022,2.1664,354.4215
7.38,0.0002,0.0002,-0.0003,359.3016,2.1656,354.423
7.4,-0.0001,0,0,359.3039,2.1634,354.4235
7.42,0,0,-0.0001,359.3038,2.1641,354.4238
