time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
93.82,4.3265,-1.1561,-2,0,0,40
93.84,4.1405,-1.3066,-2,0,0,37.9635
93.86,4.2372,-1.2297,-2,0,0,39.0152
93.88,4.2985,-1.1794,-2,0,0,39.69
93.9,4.3251,-1.1572,-2,0,0,39.9854
93.92,4.3175,-1.1636,-2,0,0,39.9006
93.93999,4.2755,-1.1984,-2,0,0,39.4359
93.96,4.1985,-1.2608,-2,0,0,38.5927
93.98,4.0857,-1.3489,-2,0,0,37.3741
94,3.9358,-1.4601,-2,0,0,35.7849
94.02,3.7474,-1.5911,-2,0,0,33.8321
94.04,3.5194,-1.7373,-2,0,0,31.5261
94.06,3.2509,-1.8936,-2,0,0,28.8809
94.07999,2.9416,-2.054,-2,0,0,25.9148
94.1,2.5922,-2.2116,-2,0,0,22.6513
94.12,2.2047,-2.3595,-2,0,0,19.1202
94.14,1.7825,-2.4905,-2,0,0,15.3565
94.16,1.3305,-2.598,-2,0,0,11.4011
94.18,0.8554,-2.6762,-2,0,0,7.3009
94.2,0.3648,-2.7209,-2,0,0,3.1067
94.22,-0.1325,-2.7295,-2,0,0,358.872
94.24,-0.6274,-2.7015,-2,0,0,354.6516
94.25999,-1.1108,-2.6385,-2,0,0,350.501
94.28,-1.5745,-2.544,-2,0,0,346.472
94.3,-2.0113,-2.4232,-2,0,0,342.613
94.32,-2.4156,-2.2824,-2,0,0,338.9684
94.34,-2.7831,-2.1284,-2,0,0,335.5759
94.36,-3.1113,-1.9685,-2,0,0,332.4676
94.38,-3.399,-1.8095,-2,0,0,329.6695
94.4,-3.6458,-1.6578,-2,0,0,327.2029
94.42,-3.8526,-1.5191,-2,0,0,325.0836
94.43999,-4.0203,-1.3982,-2,0,0,323.3233
94.46,-4.1503,-1.2989,-2,0,0,321.9305
94.48,-4.2439,-1.2242,-2,0,0,320.9114
94.5,-4.3022,-1.1764,-2,0,0,320.2694
94.52,-4.3258,-1.1566,-2,0,0,320.0069
94.54,-4.3152,-1.1655,-2,0,0,320.1246
94.56,-4.2702,-1.2027,-2,0,0,320.6222
94.57999,-4.1902,-1.2674,-2,0,0,321.498
94.6,-4.0742,-1.3576,-2,0,0,322.749
94.62,-3.921,-1.4707,-2,0,0,324.3701
94.64,-3.7293,-1.6032,-2,0,0,326.3538
94.66,-3.4978,-1.7506,-2,0,0,328.6899
94.68,-3.2257,-1.9075,-2,0,0,331.3638
94.7,-2.9129,-2.0678,-2,0,0,334.3566
94.72,-2.5601,-2.2249,-2,0,0,337.6443
94.74,-2.1694,-2.3716,-2,0,0,341.1973
94.75999,-1.7444,-2.5008,-2,0,0,344.9793
94.78,-1.2902,-2.606,-2,0,0,348.9489
94.8,-0.8134,-2.6814,-2,0,0,353.0592
94.82,-0.3218,-2.7231,-2,0,0,357.2595
94.84,0.1756,-2.7285,-2,0,0,1.4951
94.86,0.6698,-2.6974,-2,0,0,5.7112
94.88,1.1519,-2.6315,-2,0,0,9.8537
94.9,1.6135,-2.5345,-2,0,0,13.8698
94.92,2.0477,-2.4117,-2,0,0,17.7116
94.93999,2.4489,-2.2695,-2,0,0,21.3358
94.96,2.8131,-2.1147,-2,0,0,24.7051
94.98,3.1378,-1.9546,-2,0,0,27.7875
95,3.4219,-1.796,-2,0,0,30.5574
95.02,3.6653,-1.6452,-2,0,0,32.9947
95.04,3.8686,-1.5079,-2,0,0,35.0833
95.06,4.033,-1.3887,-2,0,0,36.812
95.07999,4.1598,-1.2914,-2,0,0,38.1725
95.1,4.2503,-1.219,-2,0,0,39.1592
95.12,4.3056,-1.1735,-2,0,0,39.7683
95.14,4.3263,-1.1562,-2,0,0,39.9979
95.16,4.3127,-1.1676,-2,0,0,39.8473
95.18,4.2647,-1.2073,-2,0,0,39.3169
95.2,4.1816,-1.2742,-2,0,0,38.4084
95.22,4.0624,-1.3666,-2,0,0,37.1252
95.24,3.9059,-1.4815,-2,0,0,35.4723
95.25999,3.7108,-1.6154,-2,0,0,33.4576
