time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.16,0.001,-0.0003,-0.0005,354.5791,0.7293,356.6776
10.18,0.001,-0.0003,-0.0005,354.5791,0.7293,356.6776
10.2,0.0008,-0.0001,-0.0004,354.5781,0.7283,356.6783
10.22,0.0009,-0.0003,-0.0006,354.5793,0.7304,356.6772
10.24,0.001,-0.0004,-0.0004,354.5807,0.7307,356.678
10.26,0.0012,-0.0003,-0.0005,354.5799,0.7304,356.6777
10.28,0.0014,-0.0001,-0.0006,354.5787,0.7307,356.6775
10.3,0.0013,0,-0.0006,354.5773,0.731,356.6777
10.32,0.0009,0,-0.0004,354.5779,0.7283,356.6777
10.34,0.0009,-0.0002,-0.0005,354.5788,0.7283,356.6789
10.36,0.0013,-0.0003,-0.0005,354.5794,0.73,356.678
10.38,0.001,-0.0001,-0.0004,354.5787,0.7288,356.6783
10.4,0.0008,0,-0.0005,354.5782,0.7283,356.6787
10.42,0.001,-0.0002,-0.0006,354.5795,0.7294,356.678
10.44,0.0011,-0.0003,-0.0004,354.5799,0.7301,356.6781
10.46,0.0009,-0.0002,-0.0004,354.5792,0.7289,356.6772
10.48,0.0011,-0.0002,-0.0005,354.5788,0.7301,356.6772
10.5,0.0013,-0.0001,-0.0007,354.5786,0.7297,356.6776
10.52,0.0024,0.0001,-0.0007,354.5775,0.7294,356.6777
10.54,0.0025,-0.0002,-0.0005,354.5791,0.7296,356.6771
10.56,0.002,-0.0002,-0.0006,354.5788,0.7304,356.6766
10.58,0.0013,-0.0002,-0.0004,354.5791,0.7322,356.6774
10.6,0.0004,0,0.001,354.579,0.7334,356.6781
10.62,0.0011,-0.0004,0.001,354.5809,0.7316,356.6769
10.64,0.0023,0,-0.001,354.5792,0.7319,356.6758
10.66,0.0015,0.0002,-0.0011,354.5774,0.7301,356.6758
10.68,0.0029,-0.0005,-0.0003,354.5799,0.7304,356.676
10.7,0.0042,-0.0002,0.0006,354.5803,0.7332,356.6765
10.72,0.0041,-0.0005,0.0015,354.5834,0.7377,356.6764
10.74,0.0031,-0.0008,0.0009,354.5837,0.7368,356.6748
10.76,0.0022,-0.0008,0.0005,354.5841,0.7325,356.6768
10.78,0.0041,-0.0006,0,354.582,0.7338,356.6748
10.8,0.0051,-0.0003,-0.0004,354.5817,0.7321,356.674
10.82,0.0035,-0.0002,-0.0037,354.5788,0.7266,356.6728
10.84,0.0028,-0.0001,-0.004,354.5787,0.7281,356.6754
10.86,0.0032,-0.0006,-0.0025,354.5811,0.7269,356.6739
10.88,0.004,-0.0007,-0.001,354.5821,0.7263,356.6735
10.9,0.0043,-0.0001,-0.001,354.5803,0.7283,356.6724
10.92,-0.0049,0.0001,0.0008,354.5813,0.7309,356.6746
10.94,-0.0047,0.0004,-0.0001,354.5791,0.7262,356.6764
10.96,0.001,0.0003,-0.0022,354.5786,0.7292,356.6749
10.98,0.0039,0.0002,-0.0022,354.578,0.7318,356.6718
11,0.0035,0.0001,-0.0011,354.5783,0.7327,356.6701
11.02,-0.0035,0.0003,-0.0006,354.5794,0.7322,356.6743
11.04,-0.0024,0.0003,-0.0016,354.5784,0.7329,356.675
11.06,0.0003,-0.0003,-0.0013,354.5804,0.7296,356.6735
11.08,0.0033,-0.0001,-0.0009,354.5812,0.7288,356.6711
11.1,0.0023,-0.0005,-0.0007,354.5822,0.7304,356.6709
11.12,-0.0034,-0.0002,-0.0006,354.5825,0.7304,356.6744
11.14,-0.0019,-0.0005,-0.0006,354.5837,0.7286,356.6739
11.16,0.0008,-0.0004,-0.0006,354.5834,0.7263,356.6732
11.18,0.0026,-0.0004,-0.001,354.5832,0.7283,356.6718
11.2,0.0006,-0.0008,-0.0005,354.5847,0.7282,356.672
11.22,-0.0032,-0.0004,-0.0004,354.5845,0.7267,356.6758
11.24,-0.0014,-0.0007,-0.0003,354.5847,0.7255,356.675
11.26,0.002,-0.001,-0.0003,354.5855,0.7268,356.6735
11.28,0.0016,-0.0003,0,354.5836,0.7264,356.6726
11.3,-0.0005,-0.0003,-0.0003,354.5828,0.7273,356.6733
11.32,-0.003,-0.0004,0.0003,354.5842,0.7215,356.6769
11.34,-0.0014,-0.0002,0.0007,354.5828,0.7194,356.6769
11.36,0.0008,0.0003,-0.0003,354.5795,0.723,356.6765
11.38,0.0003,0,-0.0007,354.5797,0.725,356.6755
11.4,-0.0014,-0.0006,-0.0004,354.5837,0.7248,356.6771
11.42,-0.0035,0.0004,0.0005,354.5829,0.7198,356.6812
11.44,-0.0021,0.0005,0.0003,354.5824,0.7231,356.6826
11.46,0.0002,-0.0008,0.0011,354.5847,0.7224,356.6799
11.48,-0.0016,-0.0003,0.0003,354.5845,0.7224,356.6796
11.5,-0.0044,0.0006,-0.0002,354.5823,0.7216,356.6823
11.52,-0.0028,-0.0011,0.0016,354.5877,0.7173,356.6812
11.54,-0.0024,-0.0005,0.0013,354.5867,0.7173,356.683
11.56,-0.0018,-0.0004,0.0007,354.5848,0.7175,356.6833
11.58,-0.0023,-0.0009,0.0007,354.5856,0.7184,356.6823
11.6,-0.0044,-0.0005,0.001,354.5859,0.7184,356.6859
11.62,-0.0021,-0.0013,0.0021,354.5881,0.7189,356.6858
11.64,-0.0015,-0.0013,0.0012,354.5889,0.7177,356.6844
11.66,-0.0022,-0.0006,0.0004,354.5868,0.7181,356.6851
11.68,-0.0036,-0.0011,0.0013,354.5881,0.7164,356.6862
11.7,-0.0048,-0.0016,0.0027,354.5913,0.7161,356.6891
11.72,-0.0025,-0.0016,0.0018,354.5919,0.7167,356.6883
11.74,-0.0022,-0.001,0.0012,354.5893,0.7154,356.6879
11.76,-0.0028,-0.0014,0.0013,354.5901,0.7159,356.6877
11.78,-0.0036,-0.002,0.0023,354.5923,0.7187,356.6884
11.8,-0.0037,-0.0018,0.0028,354.5931,0.7194,356.6894
11.82,-0.0011,-0.0018,0.0011,354.5918,0.7201,356.687
11.84,-0.0015,-0.0024,0.0013,354.5938,0.7202,356.6861
11.86,-0.0029,-0.0025,0.0022,354.5946,0.7184,356.6879
11.88,-0.0035,-0.0023,0.0029,354.5943,0.7196,356.6886
11.9,-0.0032,-0.0021,0.0025,354.5938,0.7194,356.6887
11.92,-0.0028,-0.0023,0.0021,354.5939,0.7107,356.6897
11.94,-0.0028,-0.0023,0.0017,354.4784,0.6203,356.714
11.96,-0.0076,-0.0021,-0.0017,354.4514,0.0446,356.755
11.98,-0.008,-0.0027,-0.0022,354.5569,359.8775,356.6903
12,-0.0079,-0.0024,-0.0017,354.6225,359.6383,356.6709
12.02,-0.0082,-0.0031,-0.0011,354.7413,359.0817,356.7378
12.04,-0.0114,-0.0036,-0.0011,354.7658,358.844,356.7631
12.06,-0.0141,-0.0032,-0.0004,354.8337,358.6896,356.7256
12.08,-0.0142,-0.0034,0.0006,354.8884,358.5406,356.6933
12.1,-0.013,-0.0034,0.0019,354.9852,358.4293,356.6461
12.12,-0.0139,-0.0031,0.0018,354.9646,357.9933,356.7141
12.14,-0.0169,-0.0033,0.0024,355.0245,357.9778,356.6714
12.16,-0.0177,-0.0029,0.003,355.0432,357.9545,356.6515
12.18,-0.0173,-0.003,0.0035,355.0322,357.9604,356.6698
12.2,-0.0164,-0.0022,0.0034,355.0132,357.9693,356.6886
12.22,-0.0165,-0.0027,0.0032,354.9916,357.9734,356.7003
12.24,-0.0185,-0.0018,0.0033,354.9723,357.9731,356.7035
12.26,-0.0181,-0.0017,0.0037,354.9388,357.9792,356.6997
12.28,-0.0167,-0.0019,0.0038,354.9435,357.9749,356.6877
12.3,-0.0162,-0.0019,0.0034,354.9477,357.9721,356.683
12.32,-0.0154,-0.0008,0.0033,354.881,358.1324,356.7036
12.34,0.0076,0.0007,0.0155,354.9289,359.7215,356.6884
12.36,0.0312,-0.0009,0.035,355.3903,1.5014,356.5461
12.38,0.05,-0.0024,0.0535,355.9548,3.3729,356.3142
12.4,0.0621,-0.0065,0.0734,356.6346,5.1403,356.2729
12.42,0.0591,-0.0068,0.0977,357.3013,6.587,356.4438
12.44,0.0445,-0.0034,0.0922,356.9911,5.6786,356.5093
12.46,0.0137,0.0037,0.0298,354.3115,2.9045,357.4769
12.48,0.0152,0.0054,0.0098,353.6905,1.8954,357.0972
12.5,0.0146,0.0063,0.0096,353.6163,1.9273,357.1061
12.52,-0.0286,0.002,0.0304,354.5169,359.0259,358.1267
12.54,-0.0246,0.0026,0.0299,354.454,359.3939,357.8794
12.56,-0.0167,0.0032,0.0278,354.4037,359.6388,357.5428
12.58,0.0404,0.0081,0.0246,354.5362,1.749,355.9142
12.6,0.0792,0.0111,0.0433,355.6547,4.1955,353.857
12.62,0.1233,0.0149,0.0876,358.2387,7.8455,351.2698
12.64,0.1383,0.019,0.0979,358.9332,8.9389,350.2487
12.66,0.1497,0.0249,0.1004,359.0112,9.8501,349.4326
12.68,0.1619,0.0346,0.099,358.687,10.6738,347.8936
12.7,0.1667,0.0438,0.0977,358.3339,11.237,346.6868
12.72,0.1814,0.0602,0.0932,357.7997,11.5179,344.3239
12.74,0.2021,0.0881,0.0729,355.6591,11.7443,341.1832
12.76,0.2237,0.1239,0.0488,353.7974,11.7511,336.7249
12.78,0.2761,0.2011,0.0061,350.3252,11.7275,324.2782
12.8,0.3507,0.2698,-0.071,345.1044,12.6162,309.7273
12.82,0.4065,0.296,-0.1398,340.3269,12.1371,298.8715
12.84,0.4053,0.2941,-0.136,340.1355,11.1361,298.4339
12.86,0.409,0.2959,-0.1325,339.8814,10.677,298.5522
