time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
84.72,4.3265,-1.1561,-2,0,0,40
84.74,-4.1547,-1.2955,-2,0,0,321.8834
84.75999,-4.2469,-1.2218,-2,0,0,320.8789
84.78,-4.3037,-1.175,-2,0,0,320.2519
84.8,-4.3261,-1.1564,-2,0,0,320.0043
84.82,-4.3141,-1.1664,-2,0,0,320.137
84.84,-4.2677,-1.2048,-2,0,0,320.6496
84.86,-4.1863,-1.2705,-2,0,0,321.5402
84.88,-4.0689,-1.3617,-2,0,0,322.8058
84.9,-3.9142,-1.4756,-2,0,0,324.4414
84.92,-3.7209,-1.6088,-2,0,0,326.4393
84.93999,-3.4878,-1.7566,-2,0,0,328.7888
84.96,-3.2142,-1.9137,-2,0,0,331.4756
84.98,-2.8997,-2.0741,-2,0,0,334.4808
85,-2.5454,-2.2309,-2,0,0,337.7795
85.02,-2.1533,-2.377,-2,0,0,341.342
85.04,-1.727,-2.5054,-2,0,0,345.1322
85.06,-1.2718,-2.6095,-2,0,0,349.1086
85.08,-0.7942,-2.6837,-2,0,0,353.2234
85.1,-0.3023,-2.724,-2,0,0,357.4258
85.12,0.1952,-2.7279,-2,0,0,1.662
85.14,0.6891,-2.6954,-2,0,0,5.8762
85.16,1.1705,-2.6282,-2,0,0,10.0144
85.18,1.6311,-2.5301,-2,0,0,14.0245
85.2,2.0641,-2.4064,-2,0,0,17.8588
85.22,2.464,-2.2636,-2,0,0,21.4736
85.24,2.8266,-2.1085,-2,0,0,24.832
85.25999,3.1498,-1.9483,-2,0,0,27.9027
85.28,3.4323,-1.7899,-2,0,0,30.6599
85.3,3.6741,-1.6395,-2,0,0,33.0835
85.32,3.8758,-1.5028,-2,0,0,35.1582
85.34,4.0387,-1.3844,-2,0,0,36.8727
85.36,4.1641,-1.2881,-2,0,0,38.2185
85.38,4.2532,-1.2167,-2,0,0,39.1903
85.4,4.307,-1.1723,-2,0,0,39.7846
85.42,4.3264,-1.1561,-2,0,0,39.9992
85.43999,4.3115,-1.1686,-2,0,0,39.8336
85.46,4.2621,-1.2094,-2,0,0,39.2883
85.48,4.1776,-1.2774,-2,0,0,38.3649
85.5,4.057,-1.3707,-2,0,0,37.067
85.52,3.899,-1.4865,-2,0,0,35.3998
85.54,3.7023,-1.621,-2,0,0,33.371
85.56,3.4657,-1.7699,-2,0,0,30.9915
85.58,3.1885,-1.9276,-2,0,0,28.2763
85.6,2.8706,-2.0879,-2,0,0,25.2449
85.62,2.5129,-2.2441,-2,0,0,21.9218
85.64,2.1177,-2.389,-2,0,0,18.338
85.66,1.6887,-2.5155,-2,0,0,14.53
85.68,1.2312,-2.6172,-2,0,0,10.54
85.7,0.752,-2.6886,-2,0,0,6.4152
85.72,0.2593,-2.7258,-2,0,0,2.2077
85.74,-0.2382,-2.7266,-2,0,0,357.9715
85.75999,-0.7314,-2.6909,-2,0,0,353.7614
85.78,-1.2113,-2.6209,-2,0,0,349.6324
85.8,-1.6698,-2.5204,-2,0,0,345.6357
85.82,-2.1001,-2.3947,-2,0,0,341.819
85.84,-2.4969,-2.2505,-2,0,0,338.2247
85.86,-2.8562,-2.0947,-2,0,0,334.8902
85.88,-3.1759,-1.9344,-2,0,0,331.8459
85.9,-3.4548,-1.7765,-2,0,0,329.1169
85.92,-3.6931,-1.6271,-2,0,0,326.7227
85.93999,-3.8915,-1.4918,-2,0,0,324.6789
85.96,-4.051,-1.3752,-2,0,0,322.9962
85.98,-4.1732,-1.2809,-2,0,0,321.6824
86,-4.2592,-1.2118,-2,0,0,320.7432
86.02,-4.3101,-1.1698,-2,0,0,320.1818
86.04,-4.3264,-1.1561,-2,0,0,320.0001
86.06,-4.3086,-1.171,-2,0,0,320.1986
86.08,-4.2562,-1.2143,-2,0,0,320.7768
86.1,-4.1686,-1.2845,-2,0,0,321.7327
86.12,-4.0448,-1.3799,-2,0,0,323.0629
86.14,-3.8835,-1.4974,-2,0,0,324.7618
86.16,-3.6834,-1.6334,-2,0,0,326.8214
86.18,-3.4434,-1.7833,-2,0,0,329.2306
86.2,-3.1626,-1.9415,-2,0,0,331.9742
86.22,-2.8411,-2.1017,-2,0,0,335.0319
86.24,-2.4801,-2.2572,-2,0,0,338.3787
86.25999,-2.0818,-2.4007,-2,0,0,341.9833
86.28,-1.6501,-2.5254,-2,0,0,345.8092
86.3,-1.1904,-2.6247,-2,0,0,349.8128
86.32,-0.7098,-2.6932,-2,0,0,353.9466
86.34,-0.2162,-2.7273,-2,0,0,358.159
86.36,0.2813,-2.7249,-2,0,0,2.3951
86.38,0.7736,-2.6862,-2,0,0,6.6
86.4,1.2519,-2.6133,-2,0,0,10.7196
86.42,1.7083,-2.5104,-2,0,0,14.7028
86.43999,2.1359,-2.3829,-2,0,0,18.5018
86.46,2.5295,-2.2374,-2,0,0,22.0747
86.48,2.8855,-2.0809,-2,0,0,25.3855
86.5,3.2017,-1.9205,-2,0,0,28.4034
86.52,3.4771,-1.7631,-2,0,0,31.1041
86.54,3.7118,-1.6148,-2,0,0,33.4682
86.56,3.9068,-1.4809,-2,0,0,35.4814
86.58,4.0631,-1.3661,-2,0,0,37.1324
86.6,4.1821,-1.2739,-2,0,0,38.4138
86.62,4.265,-1.207,-2,0,0,39.3204
86.64,4.3129,-1.1675,-2,0,0,39.849
86.66,4.3263,-1.1562,-2,0,0,39.9978
86.68,4.3054,-1.1737,-2,0,0,39.7663
86.7,4.25,-1.2193,-2,0,0,39.1553
86.72,4.1593,-1.2918,-2,0,0,38.1668
86.74,4.0323,-1.3892,-2,0,0,36.8045
86.75999,3.8677,-1.5085,-2,0,0,35.074
86.78,3.6642,-1.646,-2,0,0,32.9835
86.8,3.4206,-1.7968,-2,0,0,30.5447
86.82,3.1364,-1.9554,-2,0,0,27.7732
86.84,2.8114,-2.1155,-2,0,0,24.6891
86.86,2.447,-2.2702,-2,0,0,21.3187
86.88,2.0456,-2.4124,-2,0,0,17.6933
86.9,1.6113,-2.5351,-2,0,0,13.8506
86.92,1.1495,-2.6319,-2,0,0,9.8335
86.93999,0.6674,-2.6976,-2,0,0,5.6908
86.96,0.1732,-2.7285,-2,0,0,1.4744
86.98,-0.3242,-2.723,-2,0,0,357.2389
87,-0.8157,-2.6812,-2,0,0,353.0389
87.02,-1.2925,-2.6055,-2,0,0,348.9292
87.04,-1.7465,-2.5002,-2,0,0,344.9604
87.06,-2.1714,-2.3709,-2,0,0,341.1791
87.08,-2.5619,-2.2241,-2,0,0,337.6276
87.1,-2.9145,-2.067,-2,0,0,334.3412
87.12,-3.2271,-1.9067,-2,0,0,331.3499
87.14,-3.499,-1.7498,-2,0,0,328.6775
87.16,-3.7303,-1.6025,-2,0,0,326.3433
87.18,-3.9218,-1.4701,-2,0,0,324.3613
87.2,-4.0749,-1.3571,-2,0,0,322.7419
87.22,-4.1907,-1.267,-2,0,0,321.4928
87.24,-4.2705,-1.2025,-2,0,0,320.6188
87.25999,-4.3154,-1.1654,-2,0,0,320.1231
87.28,-4.3258,-1.1566,-2,0,0,320.0073
87.3,-4.302,-1.1765,-2,0,0,320.2717
87.32,-4.2435,-1.2245,-2,0,0,320.9154
87.34,-4.1498,-1.2993,-2,0,0,321.9364
87.36,-4.0196,-1.3987,-2,0,0,323.331
87.38,-3.8517,-1.5198,-2,0,0,325.093
87.4,-3.6447,-1.6586,-2,0,0,327.2141
87.42,-3.3976,-1.8103,-2,0,0,329.6825
87.43999,-3.1098,-1.9693,-2,0,0,332.482
87.46,-2.7814,-2.1292,-2,0,0,335.5917
87.48,-2.4137,-2.2831,-2,0,0,338.9856
87.5,-2.0092,-2.4239,-2,0,0,342.6316
87.52,-1.5723,-2.5446,-2,0,0,346.4912
87.54,-1.1085,-2.6389,-2,0,0,350.5209
87.56,-0.625,-2.7017,-2,0,0,354.6724
87.58,-0.1301,-2.7295,-2,0,0,358.8926
87.6,0.3672,-2.7207,-2,0,0,3.1272
87.62,0.8577,-2.6759,-2,0,0,7.3212
87.64,1.3328,-2.5975,-2,0,0,11.421
87.66,1.7846,-2.4899,-2,0,0,15.3753
87.68,2.2066,-2.3588,-2,0,0,19.138
87.7,2.594,-2.2108,-2,0,0,22.6679
87.72,2.9432,-2.0532,-2,0,0,25.93
87.74,3.2523,-1.8929,-2,0,0,28.8945
87.75999,3.5206,-1.7366,-2,0,0,31.5382
