time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.04,-18.7746,0.1498,0.0124,355.6176,4.9711,358.3997
16.06,-18.7746,0.1498,0.0124,355.6176,4.9711,358.3997
16.08,-18.7746,0.1498,0.0124,355.6176,4.9711,358.3997
16.1,-18.7747,0.1496,0.0125,355.6193,4.9705,358.4005
16.12,-18.7749,0.1496,0.0123,355.6196,4.9704,358.4007
16.14,-18.7749,0.1496,0.0123,355.6201,4.9706,358.4007
16.16,-18.7749,0.1497,0.0122,355.619,4.9701,358.4005
16.18,-18.7748,0.1496,0.0123,355.6198,4.9703,358.4006
16.2,-18.7748,0.1498,0.0123,355.6187,4.9704,358.4001
16.22,-18.7751,0.1496,0.0122,355.6193,4.9685,358.4018
16.24,-18.7751,0.1494,0.0123,355.6208,4.9688,358.4021
16.26,-18.7749,0.1494,0.0124,355.6208,4.9706,358.4017
16.28,-18.775,0.1494,0.0125,355.6207,4.9711,358.4019
16.3,-18.7748,0.1494,0.0124,355.6207,4.9713,358.4016
16.32,-18.7748,0.1494,0.0125,355.6202,4.971,358.4016
16.34,-18.7748,0.1495,0.0125,355.6195,4.9707,358.4012
16.36,-18.7751,0.1494,0.0124,355.6199,4.9691,358.4018
16.38,-18.7751,0.1493,0.0123,355.62,4.9679,358.4026
16.4,-18.7753,0.1493,0.0121,355.6205,4.9667,358.4027
16.42,-18.7752,0.1492,0.0123,355.6215,4.9689,358.4034
16.44,-18.7753,0.1491,0.0122,355.6222,4.9686,358.4027
16.46,-18.7751,0.1492,0.0123,355.6217,4.9696,358.4019
16.48,-18.7755,0.149,0.0122,355.6219,4.9676,358.4039
16.5,-18.7758,0.149,0.012,355.6227,4.9648,358.4043
16.52,-18.7759,0.1486,0.0121,355.6243,4.9656,358.4075
16.54,-18.776,0.1485,0.0121,355.6238,4.9656,358.4077
16.56,-18.7763,0.1479,0.0122,355.6265,4.9646,358.4102
16.58,-18.7762,0.1482,0.012,355.6251,4.9638,358.4095
16.6,-18.7766,0.1483,0.0119,355.6244,4.9622,358.4107
16.62,-18.7766,0.1486,0.0118,355.6232,4.9605,358.4089
16.64,-18.7767,0.1486,0.0118,355.6232,4.9606,358.4085
16.66,-18.7771,0.1483,0.0117,355.6237,4.9576,358.4108
16.68,-18.7772,0.148,0.0118,355.6252,4.957,358.4116
16.7,-18.7773,0.1486,0.0116,355.6227,4.9566,358.4107
16.72,-18.7775,0.1487,0.0114,355.6219,4.9547,358.4109
16.74,-18.7776,0.1488,0.0114,355.6211,4.9546,358.4109
16.76,-18.7775,0.1488,0.0115,355.621,4.9551,358.4108
16.78,-18.7775,0.149,0.0114,355.6206,4.9553,358.4094
16.8,-18.7774,0.1491,0.0114,355.6203,4.9546,358.4086
16.82,-18.7774,0.1492,0.0114,355.6194,4.9557,358.4091
