time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.84,0.0001,-0.0006,0,348.6645,16.953,359.4588
15.86,0,-0.0005,0,348.664,16.9528,359.459
15.88,-0.0001,-0.0005,0.0001,348.6646,16.9523,359.4592
15.9,0.0001,-0.0007,0.0001,348.6652,16.9534,359.4588
15.92,-0.0001,-0.0008,0.0001,348.6673,16.9515,359.4597
15.94,0.0001,-0.0008,0,348.6661,16.9528,359.4595
15.96,0.0001,-0.0007,0,348.6658,16.9537,359.4596
15.98,0.0001,-0.0006,0,348.6651,16.9538,359.4595
16,0,-0.0006,0.0001,348.6653,16.9526,359.4596
16.02,0.0003,-0.0005,-0.0001,348.6645,16.9549,359.458
16.04,0.0001,-0.0005,0,348.6642,16.9536,359.4594
16.06,-0.0001,-0.0006,0.0002,348.6649,16.9523,359.4596
16.08,-0.0003,-0.0005,0.0002,348.6645,16.9511,359.4598
16.1,-0.0005,-0.0008,0.0004,348.6666,16.9489,359.4602
16.12,-0.0002,-0.0006,0.0002,348.665,16.951,359.4599
16.14,0.0002,-0.0006,0,348.6649,16.9543,359.4591
16.16,0,-0.0004,0,348.6633,16.9534,359.4586
16.18,-0.0001,-0.0006,0.0001,348.6647,16.9522,359.4596
16.2,0,-0.0005,0.0001,348.6646,16.9528,359.4596
16.22,-0.0003,-0.0005,0.0002,348.6646,16.9507,359.4602
16.24,0.0001,-0.0005,0,348.6645,16.9532,359.4599
16.26,0,-0.0007,0.0001,348.6655,16.9526,359.4595
16.28,0,-0.0006,0.0001,348.6649,16.9526,359.4597
16.3,-0.0001,-0.0005,0.0001,348.6646,16.9525,359.4604
16.32,-0.0001,-0.0005,0.0001,348.6643,16.9522,359.46
16.34,-0.0001,-0.0005,0.0001,348.6649,16.9522,359.4596
16.36,0.0003,-0.0003,-0.0001,348.6637,16.9546,359.459
16.38,-0.0002,-0.0005,0.0001,348.6644,16.9521,359.4589
16.4,0.0001,-0.0006,0.0001,348.6651,16.9534,359.4582
