time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.26,0.0008,0,-0.0004,352.9143,350.1741,359.3709
11.28,0.0008,0,-0.0004,352.9143,350.1741,359.3709
11.3,0.0004,0,-0.0002,352.915,350.1722,359.372
11.32,0.0006,0.0001,-0.0003,352.914,350.1733,359.3717
11.34,0.0005,0.0001,-0.0003,352.914,350.1732,359.3718
11.36,0.0001,0.0001,-0.0002,352.9147,350.1706,359.372
11.38,0.0003,-0.0001,-0.0002,352.9145,350.1711,359.3713
11.4,0.0007,-0.0003,-0.0003,352.9158,350.1731,359.3703
11.42,0.0007,-0.0005,-0.0005,352.9167,350.1733,359.3705
11.44,0.0007,0.0003,-0.0006,352.9138,350.1739,359.3731
11.46,0.0005,0.0001,-0.0004,352.915,350.1726,359.3723
11.48,0.0007,0.0005,-0.0006,352.9115,350.1737,359.3734
11.5,0.0006,-0.0001,-0.0004,352.9151,350.1732,359.3703
11.52,0.0005,-0.0001,-0.0004,352.9145,350.1729,359.3708
11.54,0.0003,0.0001,-0.0004,352.914,350.1717,359.3718
11.56,0.0004,-0.0002,-0.0002,352.915,350.1721,359.3715
11.58,0.0004,0.0001,-0.0002,352.9138,350.1724,359.3715
11.6,0.0002,0.0003,-0.0002,352.9132,350.1713,359.3727
11.62,0.0009,0.0006,-0.0006,352.9117,350.1754,359.3727
11.64,0.0005,0.0003,-0.0004,352.9133,350.1733,359.3731
11.66,0.0007,0.0004,-0.0005,352.9123,350.1739,359.3723
11.68,0.0005,0,-0.0004,352.914,350.1727,359.3719
11.7,0.0004,-0.0001,-0.0003,352.9147,350.1729,359.3708
11.72,0.0007,0.0002,-0.0005,352.9134,350.1741,359.3709
11.74,0.0003,0.0002,-0.0003,352.9141,350.1718,359.3719
11.76,0.0004,0.0001,-0.0002,352.9142,350.1722,359.3714
11.78,-0.0001,0,-0.0001,352.915,350.1696,359.3727
11.8,0.0003,0.0004,-0.0004,352.9135,350.1722,359.3729
11.82,0.0004,0,-0.0004,352.9148,350.1722,359.3719
11.84,0.0008,0,-0.0005,352.9145,350.1743,359.3723
11.86,0.0004,0.0001,-0.0002,352.9141,350.1723,359.3719
11.88,0.0002,-0.0002,-0.0002,352.9153,350.1706,359.3707
11.9,-0.0001,-0.0001,-0.0001,352.9153,350.1687,359.3716
11.92,0.0001,0,-0.0002,352.9146,350.1697,359.3713
11.94,0.0005,0.0001,-0.0004,352.9144,350.1715,359.3719
11.96,0.0005,0.0002,-0.0004,352.9141,350.1725,359.3722
11.98,0.0006,0.0002,-0.0005,352.9139,350.1733,359.3726
12,0.0007,-0.0001,-0.0005,352.9146,350.1738,359.3718
12.02,0.0009,0.0001,-0.0006,352.914,350.1757,359.3713
12.04,0.0007,0.0001,-0.0005,352.9136,350.1738,359.3722
12.06,0.0003,0.0004,-0.0004,352.9132,350.1722,359.3726
12.08,0.0004,-0.0001,-0.0003,352.9149,350.173,359.3713
12.1,0.0004,-0.0001,-0.0003,352.9153,350.1733,359.3713
12.12,0.0006,0.0002,-0.0005,352.9129,350.1735,359.3713
12.14,0.0006,0,-0.0004,352.9138,350.1736,359.3712
12.16,0.0005,0.0001,-0.0005,352.9138,350.1728,359.372
12.18,0.0007,0,-0.0005,352.9142,350.1751,359.3702
12.2,0.0009,0,-0.0006,352.9141,350.1749,359.3709
12.22,0.0007,0.0001,-0.0005,352.9135,350.1744,359.3712
12.24,0.0008,0.0001,-0.0006,352.9142,350.1752,359.3709
12.26,0.0008,0.0002,-0.0007,352.9132,350.175,359.3717
12.28,0.0003,-0.0003,-0.0004,352.9155,350.1715,359.3709
12.3,0.0008,-0.0003,-0.0005,352.9162,350.1746,359.3705
12.32,0.0008,-0.0002,-0.0005,352.9155,350.1747,359.3703
12.34,0.0006,0.0002,-0.0005,352.9133,350.1738,359.3715
12.36,0.0011,0.0003,-0.0007,352.9128,350.1765,359.3722
12.38,0.001,0.0002,-0.0007,352.914,350.1765,359.3721
12.4,0.0007,0.0004,-0.0005,352.9128,350.1746,359.3725
12.42,0.0005,0.0003,-0.0005,352.9129,350.1729,359.3721
12.44,-0.0001,-0.0001,-0.0003,352.9149,350.1706,359.3722
12.46,0.0007,0,-0.0005,352.9141,350.1741,359.3716
12.48,0.0003,-0.0005,-0.0002,352.9173,350.1711,359.3705
12.5,0.0004,0,-0.0004,352.9145,350.1724,359.3708
12.52,0.0004,0.0001,-0.0004,352.9133,350.1725,359.3713
12.54,0.0007,0.0001,-0.0005,352.913,350.1748,359.3701
12.56,0.0004,0.0001,-0.0003,352.9138,350.173,359.371
12.58,-0.0001,-0.0001,-0.0001,352.9162,350.1666,359.3716
12.6,0.0006,0.0002,-0.0005,352.9129,350.1743,359.3717
12.62,0.0007,0.0002,-0.0006,352.913,350.1747,359.3723
12.64,0.0006,0.0002,-0.0005,352.9137,350.1737,359.3721
12.66,0.0003,0.0003,-0.0004,352.9131,350.1722,359.3728
12.68,0.0007,0.0001,-0.0006,352.9141,350.1738,359.3717
12.7,0.0006,0,-0.0005,352.9147,350.1725,359.3718
12.72,0.0003,0,-0.0004,352.9153,350.172,359.3725
12.74,0.0001,0.0002,-0.0004,352.9139,350.1711,359.3732
12.76,0.0004,0.0001,-0.0004,352.9136,350.1727,359.3718
12.78,0.0005,0.0002,-0.0005,352.9134,350.1721,359.373
12.8,0.0006,0,-0.0004,352.9146,350.1727,359.3716
12.82,0.0003,0.0002,-0.0004,352.9131,350.1714,359.372
12.84,-0.0002,0,-0.0002,352.9145,350.1692,359.3731
12.86,0.0007,0.0001,-0.0006,352.914,350.1738,359.3723
12.88,0.0007,0.0002,-0.0007,352.9133,350.1733,359.3733
