time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
278.38,4.3265,-1.1561,-2,0,0,40
278.4,2.8878,-2.0798,-2,0,0,25.4072
278.42,2.5321,-2.2363,-2,0,0,22.0986
278.44,2.1385,-2.382,-2,0,0,18.5251
278.46,1.7111,-2.5096,-2,0,0,14.7275
278.48,1.2549,-2.6127,-2,0,0,10.7456
278.5,0.7764,-2.6858,-2,0,0,6.6242
278.52,0.2842,-2.7248,-2,0,0,2.4196
278.54,-0.2134,-2.7274,-2,0,0,358.1835
278.56,-0.7072,-2.6935,-2,0,0,353.9686
278.58,-1.188,-2.6251,-2,0,0,349.8343
278.6,-1.6477,-2.526,-2,0,0,345.8299
278.62,-2.0798,-2.4014,-2,0,0,342.001
278.64,-2.4783,-2.2579,-2,0,0,338.3952
278.66,-2.8395,-2.1025,-2,0,0,335.0471
278.68,-3.1613,-1.9422,-2,0,0,331.9862
278.7,-3.4423,-1.784,-2,0,0,329.2415
278.72,-3.6826,-1.634,-2,0,0,326.8295
278.74,-3.8828,-1.4979,-2,0,0,324.7686
278.76,-4.0443,-1.3803,-2,0,0,323.0684
278.78,-4.1682,-1.2848,-2,0,0,321.7362
278.8,-4.2559,-1.2144,-2,0,0,320.7792
278.82,-4.3084,-1.1711,-2,0,0,320.1999
278.84,-4.3264,-1.1561,-2,0,0,320.0001
278.86,-4.3102,-1.1697,-2,0,0,320.1808
278.88,-4.2594,-1.2116,-2,0,0,320.7413
278.9,-4.1734,-1.2807,-2,0,0,321.6802
278.92,-4.0513,-1.3749,-2,0,0,322.9931
278.94,-3.8918,-1.4915,-2,0,0,324.675
278.96,-3.6934,-1.6269,-2,0,0,326.7195
278.98,-3.4552,-1.7762,-2,0,0,329.113
279,-3.1763,-1.9342,-2,0,0,331.8415
279.02,-2.8565,-2.0945,-2,0,0,334.8872
279.04,-2.4972,-2.2504,-2,0,0,338.2216
279.06,-2.1003,-2.3947,-2,0,0,341.8176
279.08,-1.67,-2.5203,-2,0,0,345.6341
279.1,-1.2115,-2.6208,-2,0,0,349.6308
