time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.62,-0.0002,-0.0003,0,354.9573,359.0107,358.9903
6.64,-0.0003,-0.0003,0.0001,354.9576,359.0106,358.9908
6.66,-0.0003,-0.0002,0,354.957,359.0105,358.9909
6.68,0.0001,0,-0.0001,354.9551,359.0139,358.9913
6.7,0.0003,-0.0001,-0.0002,354.955,359.0146,358.9898
6.72,0,-0.0001,-0.0001,354.9564,359.0122,358.9913
6.74,0,-0.0002,-0.0001,354.9572,359.0123,358.9913
6.76,-0.0004,-0.0002,0.0001,354.9567,359.0101,358.9901
6.78,-0.0007,-0.0002,0.0003,354.957,359.0088,358.9909
6.8,-0.0006,-0.0001,0.0002,354.9564,359.0087,358.9911
6.82,-0.0009,-0.0002,0.0005,354.9565,359.0077,358.9908
6.84,-0.0006,-0.0002,0.0003,354.957,359.0092,358.9912
6.86,-0.0005,-0.0002,0.0002,354.9572,359.0098,358.9909
6.88,-0.0008,0.0001,0.0003,354.9553,359.0087,358.9918
6.9,-0.0007,-0.0001,0.0003,354.9559,359.0083,358.9913
6.92,-0.0005,-0.0002,0.0002,354.9571,359.0099,358.991
6.94,-0.0005,-0.0005,0.0002,354.9585,359.01,358.9902
6.96,-0.0007,-0.0001,0.0003,354.9568,359.0089,358.9915
6.98,-0.0002,-0.0002,-0.0001,354.9573,359.011,358.9914
7,0,0.0001,-0.0002,354.9555,359.0125,358.9911
7.02,-0.0001,0,-0.0001,354.9554,359.0117,358.9913
7.04,0,0.0001,-0.0002,354.9553,359.0127,358.991
7.06,-0.0003,0.0001,0,354.9549,359.0111,358.9912
7.08,-0.0006,-0.0005,0.0003,354.9586,359.0086,358.9902
7.1,-0.0004,-0.0002,0.0001,354.957,359.0098,358.9914
7.12,-0.0002,-0.0004,0.0001,354.9582,359.0114,358.9911
7.14,-0.0004,-0.0001,0.0001,354.9562,359.0102,358.9914
7.16,-0.0003,0,0.0001,354.9557,359.0113,358.9906
7.18,-0.0003,-0.0001,0.0001,354.956,359.0109,358.9909
7.2,-0.0008,0,0.0003,354.9563,359.0077,358.992
7.22,-0.0007,-0.0002,0.0003,354.9569,359.0082,358.9915
7.24,-0.0003,-0.0001,0.0002,354.9562,359.0105,358.9907
7.26,-0.0008,0.0001,0.0003,354.9551,359.0085,358.9916
7.28,-0.0008,-0.0003,0.0003,354.9574,359.0074,358.9909
7.3,-0.0005,-0.0004,0.0002,354.958,359.0093,358.9913
7.32,-0.0001,-0.0007,0.0001,354.959,359.0108,358.9903
7.34,-0.0005,0,0.0002,354.956,359.0094,358.9915
7.36,-0.0005,0.0002,0.0001,354.9547,359.01,358.9917
7.38,-0.0003,0.0001,0,354.9551,359.0109,358.991
7.4,-0.0004,-0.0001,0.0002,354.9569,359.0096,358.9915
7.42,-0.0002,-0.0003,0.0001,354.9576,359.0109,358.9904
7.44,0.0003,-0.0003,-0.0003,354.9575,359.0148,358.9904
7.46,0.0004,-0.0004,-0.0003,354.9575,359.0145,358.9894
7.48,0.0003,-0.0004,-0.0003,354.9572,359.0137,358.9896
7.5,0.0003,-0.0008,-0.0002,354.9601,359.0134,358.9892
7.52,0.0003,-0.0008,-0.0002,354.96,359.0135,358.9896
7.54,0.0005,-0.0005,-0.0004,354.9574,359.015,358.989
7.56,0.0006,-0.0003,-0.0004,354.9566,359.0156,358.9888
7.58,0.0006,-0.0002,-0.0005,354.9564,359.0163,358.9894
7.6,0.0006,0,-0.0005,354.9557,359.0162,358.9903
7.62,0.0001,-0.0002,-0.0002,354.9566,359.0128,358.9905
7.64,0.0001,-0.0005,-0.0001,354.9577,359.0134,358.9897
7.66,0.0001,-0.0001,-0.0002,354.9561,359.013,358.9902
7.68,0.0003,-0.0005,-0.0003,354.9574,359.0136,358.9893
7.7,0.0005,-0.0006,-0.0003,354.9579,359.0147,358.9889
7.72,0.0007,-0.0006,-0.0004,354.9578,359.0164,358.9884
7.74,0.0009,-0.0003,-0.0005,354.9568,359.0177,358.9887
7.76,0.0002,-0.0001,-0.0002,354.9555,359.0141,358.9896
7.78,-0.0001,-0.0004,-0.0001,354.9577,359.0121,358.9887
7.8,0.0006,-0.0003,-0.0004,354.9565,359.0159,358.9893
7.82,-0.0001,-0.0001,0,354.9553,359.0125,358.9898
7.84,0.0004,-0.0005,-0.0002,354.9579,359.0141,358.9893
7.86,0.0008,-0.0002,-0.0005,354.9557,359.0163,358.9888
7.88,0.0007,-0.0001,-0.0005,354.9552,359.0161,358.9896
7.9,0.0008,-0.0003,-0.0005,354.9558,359.0169,358.9887
7.92,0.0004,-0.0003,-0.0003,354.9563,359.0151,358.9888
7.94,0.0006,-0.0003,-0.0004,354.9562,359.0163,358.9894
7.96,-0.0001,-0.0001,0,354.955,359.0123,358.9898
7.98,0.0003,-0.0003,-0.0002,354.9567,359.0147,358.989
8,0.0001,-0.0001,-0.0003,354.9564,359.0139,358.9899
8.02,0.0002,-0.0004,-0.0002,354.9576,359.0135,358.9889
8.04,0.0006,-0.0005,-0.0004,354.9574,359.015,358.9889
8.059999,0.0004,-0.0004,-0.0003,354.9573,359.0145,358.9899
8.08,0.0004,-0.0003,-0.0003,354.9568,359.0149,358.9897
8.099999,0.0003,-0.0002,-0.0003,354.9561,359.0143,358.9903
8.12,0.0005,-0.0001,-0.0003,354.9556,359.0152,358.9898
8.139999,0.0007,-0.0002,-0.0004,354.9556,359.0165,358.989
8.16,0.0007,-0.0001,-0.0005,354.9554,359.0169,358.9896
8.179999,0.0005,-0.0004,-0.0003,354.9573,359.0158,358.9895
8.2,0.0004,0,-0.0004,354.9556,359.0157,358.9901
8.22,0.0004,-0.0004,-0.0003,354.9574,359.0151,358.9888
8.24,0.0005,-0.0004,-0.0002,354.9576,359.0154,358.9895
8.26,0.0006,-0.0001,-0.0003,354.9559,359.0162,358.989
8.28,0.0007,-0.0002,-0.0004,354.9564,359.0167,358.9893
8.3,0.0003,-0.0001,-0.0002,354.9562,359.0145,358.9898
8.32,0.001,-0.0005,-0.0005,354.9577,359.0182,358.9887
8.34,0.0009,-0.0004,-0.0005,354.9569,359.0168,358.9884
8.36,0.0003,-0.0008,-0.0002,354.9589,359.0129,358.9885
8.38,0.0005,-0.0002,-0.0004,354.9561,359.015,358.9896
8.4,0.0001,-0.0001,-0.0002,354.9551,359.013,358.9903
8.42,0.0004,0.0002,-0.0005,354.9536,359.0149,358.9908
8.44,0.0006,-0.0002,-0.0005,354.9557,359.0161,358.9902
8.46,0.0007,0.0007,-0.0008,354.9513,359.017,358.9905
8.48,0.0003,0.0005,-0.0006,354.9527,359.0152,358.9916
8.5,0.0008,0.0002,-0.0007,354.9543,359.017,358.9911
8.52,0.0006,0.0005,-0.0006,354.9524,359.0162,358.9914
8.54,0.0006,0.0003,-0.0006,354.9528,359.0161,358.9912
8.559999,0.0002,0.0005,-0.0005,354.9521,359.0144,358.9915
8.58,0.0002,0.0004,-0.0005,354.9529,359.0141,358.9922
8.599999,0.0006,0.0004,-0.0007,354.953,359.0157,358.992
8.62,0.0004,0.0003,-0.0005,354.9529,359.0156,358.9908
8.639999,0.0005,0.0002,-0.0006,354.9541,359.0153,358.9909
8.66,0.0005,0.0001,-0.0005,354.9539,359.0156,358.9906
8.679999,0.0005,0.0002,-0.0005,354.9541,359.0154,358.9908
8.7,0.0002,0.0002,-0.0004,354.9542,359.0139,358.9908
8.72,-0.0006,0.0005,-0.0002,354.9518,359.0099,358.9924
8.74,0.0004,-0.0002,-0.0005,354.9565,359.0146,358.9904
8.76,-0.0002,0.0002,-0.0002,354.9547,359.0117,358.9914
8.78,-0.0001,0.0003,-0.0003,354.9538,359.0123,358.9919
8.8,0.0007,0.0001,-0.0006,354.9537,359.0153,358.9908
8.82,0.0003,0.0003,-0.0005,354.9533,359.0134,358.9914
8.84,0.0002,0.0005,-0.0005,354.9522,359.0138,358.9916
8.86,0.0002,0.0005,-0.0005,354.9525,359.0143,358.9912
8.88,0.0005,0.0006,-0.0007,354.9516,359.0162,358.9909
8.9,0.0004,0.0005,-0.0006,354.9523,359.0152,358.9916
8.92,0.0007,0.0002,-0.0006,354.9537,359.0168,358.9906
8.94,0.0003,0.0005,-0.0005,354.9526,359.0145,358.992
8.96,0.0011,0.0004,-0.0008,354.9525,359.0189,358.9908
8.98,0.0007,0.0003,-0.0006,354.9535,359.0161,358.9902
9,-0.0001,0.0002,-0.0002,354.9532,359.0132,358.9909
9.02,-0.0003,0.0002,0,354.9538,359.0118,358.9912
9.04,0.0002,0.0002,-0.0003,354.9538,359.0143,358.9902
9.059999,0.001,0.0001,-0.0008,354.9545,359.0184,358.9896
9.08,0.0004,0.0003,-0.0005,354.9536,359.0154,358.9905
9.099999,-0.0004,0.0007,-0.0001,354.9518,359.011,358.9925
9.12,0.0001,0.0004,-0.0004,354.9529,359.0133,358.991
9.139999,0.0007,0.0004,-0.0007,354.9525,359.0174,358.9909
9.16,0.001,0.0005,-0.0008,354.9523,359.0182,358.991
9.179999,0.0006,0.0005,-0.0006,354.9521,359.016,358.9918
9.2,0.0005,0.0009,-0.0007,354.9495,359.0165,358.9908
9.22,0.0013,0.0005,-0.001,354.9523,359.0204,358.9907
9.24,0.0008,0.0007,-0.0008,354.9513,359.0167,358.9915
9.26,0.0002,0.0001,-0.0004,354.9559,359.0123,358.9911
9.28,0.0005,0.0004,-0.0006,354.9531,359.0157,358.9911
9.3,0.0002,0.0004,-0.0004,354.9528,359.0135,358.9914
9.32,0.0003,0.0005,-0.0004,354.9518,359.015,358.9907
9.34,0.0006,0.0007,-0.0006,354.9507,359.0155,358.991
