time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.64,-17.905,0.1062,0.1541,353.3599,4.8291,0.7948
3.66,-17.9049,0.1066,0.1541,353.3582,4.8293,0.7939
3.68,-17.905,0.1066,0.154,353.358,4.8285,0.7944
3.7,-17.9049,0.1066,0.154,353.3577,4.8285,0.794
3.72,-17.9047,0.1067,0.1541,353.3579,4.8304,0.7931
3.74,-17.9047,0.1063,0.1543,353.3604,4.8313,0.7948
3.76,-17.9044,0.1063,0.1544,353.3602,4.8331,0.7939
3.78,-17.9048,0.1065,0.1541,353.3591,4.8297,0.7941
3.8,-17.9047,0.1066,0.1541,353.3581,4.8305,0.7938
3.82,-17.9045,0.1069,0.1541,353.3576,4.8313,0.7934
3.84,-17.9049,0.1066,0.1541,353.3585,4.8295,0.7942
3.86,-17.9049,0.1067,0.154,353.358,4.8285,0.7942
3.88,-17.9047,0.1067,0.1542,353.3579,4.8309,0.7936
3.9,-17.9046,0.1067,0.1542,353.3585,4.8306,0.7929
3.92,-17.9045,0.1066,0.1543,353.3591,4.8317,0.7935
3.94,-17.9047,0.1067,0.1542,353.3584,4.8301,0.7931
3.96,-17.9047,0.1068,0.1541,353.3573,4.8303,0.7929
3.98,-17.9046,0.1066,0.1542,353.3584,4.8311,0.7939
4,-17.9047,0.1066,0.1542,353.3587,4.8307,0.793
4.02,-17.9045,0.1068,0.1543,353.3579,4.8315,0.7929
4.04,-17.9047,0.1066,0.1543,353.3584,4.8303,0.7937
4.06,-17.9048,0.1066,0.1542,353.3587,4.8293,0.7927
4.08,-17.9048,0.1065,0.1542,353.3593,4.8302,0.7934
4.1,-17.9048,0.1067,0.1542,353.3576,4.8304,0.7932
4.12,-17.9047,0.1068,0.1542,353.3578,4.8304,0.7932
4.14,-17.9053,0.1065,0.154,353.3585,4.8269,0.7943
4.16,-17.9051,0.1068,0.154,353.3568,4.8281,0.7942
4.18,-17.9048,0.1068,0.1542,353.3571,4.83,0.7935
4.2,-17.9045,0.1075,0.1538,353.3549,4.8302,0.7909
4.22,-17.9045,0.1073,0.154,353.355,4.8313,0.7912
4.24,-17.9043,0.1076,0.1539,353.3533,4.8318,0.7906
4.26,-17.9045,0.1076,0.1539,353.3533,4.8307,0.7905
4.28,-17.9049,0.1074,0.1537,353.3536,4.8289,0.7919
4.3,-17.9047,0.1075,0.1539,353.3541,4.8303,0.7906
4.32,-17.9047,0.1075,0.1538,353.3542,4.8294,0.7908
4.34,-17.9048,0.1076,0.1538,353.3542,4.8294,0.7908
4.36,-17.9047,0.1074,0.154,353.3544,4.83,0.7909
4.38,-17.9047,0.1077,0.1538,353.3539,4.8299,0.7895
4.4,-17.9047,0.1074,0.1538,353.3549,4.8296,0.7909
4.42,-17.9047,0.1075,0.1538,353.3538,4.8293,0.791
4.44,-17.9047,0.1074,0.1538,353.3543,4.8294,0.7906
4.46,-17.9047,0.1072,0.1539,353.356,4.8298,0.7914
4.48,-17.9047,0.1073,0.154,353.3553,4.8301,0.7914
4.5,-17.9047,0.1073,0.1539,353.3554,4.8298,0.791
4.52,-17.9046,0.1072,0.154,353.3557,4.8303,0.7906
4.54,-17.9046,0.1075,0.1539,353.3543,4.8304,0.7904
4.56,-17.9045,0.1074,0.154,353.3549,4.8303,0.7904
4.58,-17.9048,0.1075,0.1538,353.3543,4.8289,0.7899
4.6,-17.9047,0.1075,0.1539,353.3539,4.8293,0.7907
4.62,-17.9048,0.1076,0.1538,353.3539,4.8293,0.7906
4.64,-17.9046,0.1077,0.1539,353.3535,4.8305,0.7901
4.66,-17.9047,0.1076,0.1539,353.3535,4.8298,0.7906
4.68,-17.9044,0.1077,0.1541,353.354,4.8319,0.7898
4.7,-17.9046,0.1075,0.1541,353.3546,4.8308,0.791
4.72,-17.9045,0.1078,0.1539,353.3524,4.8317,0.79
4.74,-17.9046,0.1078,0.1539,353.3524,4.8314,0.7907
4.76,-17.9045,0.1078,0.154,353.3528,4.8318,0.79
4.78,-17.9047,0.1075,0.154,353.3537,4.8304,0.7913
4.8,-17.9047,0.1075,0.154,353.3542,4.8296,0.7906
4.82,-17.9047,0.1075,0.154,353.3545,4.8298,0.7909
4.84,-17.9045,0.1077,0.154,353.3534,4.831,0.7905
4.86,-17.9045,0.1075,0.1541,353.3545,4.8312,0.7902
4.88,-17.9045,0.1074,0.1541,353.3546,4.8313,0.7908
4.9,-17.9047,0.1076,0.154,353.3534,4.8309,0.7916
4.92,-17.9047,0.1074,0.154,353.3545,4.8304,0.7915
4.94,-17.9049,0.1076,0.154,353.3534,4.829,0.7908
4.96,-17.9049,0.1074,0.1539,353.3541,4.829,0.792
4.98,-17.905,0.1075,0.1539,353.3537,4.8284,0.7915
5,-17.9048,0.1075,0.154,353.3543,4.8298,0.7912
5.02,-17.9047,0.1076,0.154,353.3542,4.8305,0.7904
5.04,-17.9046,0.1075,0.1541,353.3546,4.8311,0.7903
5.06,-17.9043,0.1074,0.1542,353.355,4.8329,0.7904
5.08,-17.9044,0.1073,0.1542,353.3555,4.8319,0.7918
5.1,-17.9046,0.1076,0.1541,353.3543,4.83,0.7908
5.12,-17.9046,0.1078,0.154,353.3532,4.8311,0.7895
5.14,-17.9046,0.1076,0.1541,353.3542,4.8318,0.7898
5.16,-17.9048,0.1075,0.154,353.3544,4.8292,0.7905
5.18,-17.9049,0.1073,0.1541,353.3553,4.8297,0.7904
5.2,-17.9033,0.1066,0.1546,353.3593,4.8388,0.7911
5.22,-17.9034,0.1063,0.1548,353.3617,4.839,0.7919
5.24,-17.9036,0.1066,0.1546,353.3596,4.8367,0.7911
5.26,-17.9036,0.1066,0.1546,353.3591,4.8362,0.7921
5.28,-17.9035,0.1066,0.1546,353.359,4.8372,0.7924
5.3,-17.9031,0.1065,0.1549,353.3606,4.8401,0.7908
5.32,-17.9031,0.1071,0.1547,353.3574,4.84,0.7901
5.34,-17.9033,0.1068,0.1547,353.3583,4.8396,0.7909
5.36,-17.9033,0.1068,0.1547,353.359,4.8396,0.7905
5.38,-17.9033,0.1067,0.1548,353.3595,4.8397,0.7911
5.4,-17.9032,0.1068,0.1548,353.3581,4.8397,0.7904
5.42,-17.9035,0.1068,0.1547,353.3586,4.8382,0.7908
5.44,-17.9035,0.1068,0.1547,353.3584,4.838,0.791
5.46,-17.9037,0.1068,0.1546,353.3587,4.8365,0.7909
5.48,-17.9037,0.1066,0.1547,353.3593,4.8366,0.7916
5.5,-17.9035,0.1064,0.1548,353.3606,4.8379,0.791
5.52,-17.9033,0.1064,0.1549,353.361,4.8399,0.7918
5.54,-17.9035,0.1064,0.1548,353.3605,4.8383,0.7913
5.56,-17.9033,0.1067,0.1547,353.3591,4.8394,0.7909
5.58,-17.9035,0.1065,0.1547,353.3597,4.8379,0.7908
5.6,-17.9034,0.1068,0.1547,353.3586,4.838,0.7911
5.62,-17.9035,0.1066,0.1548,353.3596,4.8377,0.7919
5.64,-17.9034,0.1065,0.1549,353.36,4.8381,0.792
5.66,-17.9034,0.1066,0.1548,353.3599,4.8383,0.7915
5.68,-17.9034,0.1069,0.1547,353.3585,4.8388,0.7907
5.7,-17.9036,0.1067,0.1547,353.3598,4.8374,0.7912
5.72,-17.9036,0.1065,0.1548,353.3606,4.8372,0.792
5.74,-17.9037,0.1065,0.1548,353.3601,4.8369,0.7914
5.76,-17.9034,0.1067,0.1549,353.3592,4.8386,0.7907
5.78,-17.9032,0.1067,0.1549,353.3596,4.8394,0.7899
5.8,-17.9033,0.1068,0.1548,353.3588,4.8388,0.7907
5.82,-17.9035,0.1067,0.1548,353.3592,4.8375,0.7909
5.84,-17.9034,0.1067,0.1548,353.3594,4.8386,0.7911
5.86,-17.9032,0.1068,0.1549,353.3589,4.84,0.79
5.88,-17.9032,0.1067,0.1549,353.36,4.8398,0.7905
5.9,-17.9038,0.1069,0.1547,353.3587,4.8363,0.7904
5.92,-17.9036,0.1064,0.155,353.3611,4.838,0.7914
5.94,-17.9036,0.1068,0.1548,353.3582,4.8374,0.7915
5.96,-17.9036,0.1067,0.1548,353.3589,4.8371,0.7915
5.98,-17.9036,0.1067,0.1547,353.3595,4.8369,0.791
6,-17.9033,0.1068,0.1549,353.3592,4.839,0.7904
6.02,-17.9034,0.1067,0.1549,353.3593,4.8391,0.7909
6.04,-17.9035,0.1066,0.1549,353.3599,4.838,0.7917
6.06,-17.9034,0.1065,0.1549,353.36,4.8387,0.7916
6.08,-17.9036,0.1065,0.1548,353.3606,4.8364,0.7915
6.1,-17.9036,0.1067,0.1548,353.3591,4.8373,0.7918
6.12,-17.9037,0.1066,0.1548,353.3594,4.8367,0.7915
6.14,-17.9034,0.1066,0.1549,353.3601,4.8388,0.7913
6.16,-17.9034,0.1065,0.155,353.3602,4.8388,0.7918
6.18,-17.9034,0.1064,0.155,353.361,4.8388,0.792
6.2,-17.9042,0.1066,0.1544,353.3591,4.8338,0.7928
6.22,-17.905,0.1064,0.154,353.3589,4.8293,0.7949
6.24,-17.905,0.1063,0.154,353.3593,4.8286,0.7948
6.26,-17.9047,0.1065,0.1541,353.3584,4.8298,0.7945
6.28,-17.905,0.1062,0.154,353.3596,4.8287,0.7952
6.3,-17.905,0.1062,0.1541,353.36,4.8287,0.7949
6.32,-17.9049,0.1061,0.1542,353.3612,4.8285,0.7937
6.34,-17.9048,0.1065,0.1541,353.3587,4.8298,0.7936
6.36,-17.9047,0.1062,0.1542,353.36,4.8298,0.7949
6.38,-17.9047,0.1064,0.1541,353.359,4.8298,0.7941
6.4,-17.9049,0.1065,0.154,353.3578,4.8288,0.7947
6.42,-17.905,0.1064,0.154,353.3586,4.8281,0.7951
6.44,-17.9048,0.1064,0.1541,353.3589,4.8296,0.7945
6.46,-17.9048,0.1061,0.1542,353.3601,4.8299,0.7954
6.48,-17.9047,0.1062,0.1542,353.3602,4.8307,0.7942
6.5,-17.9049,0.1062,0.1541,353.3591,4.8292,0.7952
6.52,-17.905,0.1061,0.1542,353.36,4.8287,0.7954
6.54,-17.905,0.1062,0.1541,353.3598,4.8287,0.7945
6.56,-17.905,0.1061,0.1541,353.36,4.8288,0.7958
6.58,-17.9049,0.1063,0.1541,353.3593,4.8296,0.7949
6.6,-17.9048,0.1066,0.1542,353.3582,4.8302,0.7944
6.62,-17.9049,0.1064,0.1542,353.3593,4.83,0.7935
6.64,-17.9046,0.1063,0.1543,353.3596,4.8308,0.7939
6.66,-17.9046,0.1065,0.1543,353.3592,4.8313,0.7935
6.68,-17.9048,0.1064,0.1542,353.3591,4.8298,0.7941
6.7,-17.9048,0.1064,0.1542,353.359,4.83,0.795
6.72,-17.905,0.1059,0.1543,353.3613,4.8291,0.7957
6.74,-17.9049,0.1062,0.1542,353.36,4.8292,0.7953
6.76,-17.9046,0.1064,0.1543,353.3591,4.8315,0.7937
6.78,-17.9047,0.1063,0.1544,353.36,4.831,0.7939
6.8,-17.9047,0.1061,0.1544,353.3608,4.8307,0.795
6.82,-17.9048,0.1062,0.1543,353.3603,4.83,0.7952
6.84,-17.905,0.1064,0.1541,353.3586,4.8286,0.7951
6.86,-17.9049,0.1064,0.1542,353.3589,4.8292,0.7951
6.88,-17.9047,0.1064,0.1543,353.3586,4.8306,0.7946
6.9,-17.9047,0.1063,0.1543,353.3596,4.8301,0.795
6.92,-17.9049,0.1066,0.1541,353.3582,4.8283,0.7944
6.94,-17.905,0.1063,0.1542,353.3597,4.829,0.7947
6.96,-17.9049,0.1063,0.1542,353.3598,4.8298,0.7949
6.98,-17.9048,0.1064,0.1542,353.3593,4.8295,0.794
7,-17.905,0.1064,0.1542,353.3593,4.8289,0.7939
7.02,-17.905,0.1061,0.1542,353.3607,4.8285,0.7951
7.04,-17.9048,0.1062,0.1544,353.3604,4.83,0.7947
7.06,-17.9047,0.1064,0.1543,353.3595,4.8307,0.7934
7.08,-17.9049,0.1063,0.1543,353.3605,4.8292,0.7939
7.1,-17.9048,0.1067,0.1542,353.3576,4.8303,0.7947
7.12,-17.905,0.1065,0.1541,353.3587,4.829,0.7948
