time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.52,0.0015,-0.0009,0.0084,355.1375,1.6673,359.0403
3.54,0.0015,-0.0009,0.0084,355.1375,1.6673,359.0403
3.56,0.0015,-0.0009,0.0084,355.1375,1.6673,359.0403
3.58,0.0013,-0.0007,0.0085,355.1373,1.6657,359.0417
3.6,0.0016,-0.0007,0.0084,355.1376,1.6667,359.0412
3.62,0.0015,-0.0008,0.0085,355.138,1.6664,359.042
3.64,0.0017,-0.0007,0.0084,355.1371,1.6669,359.0412
3.66,0.0017,-0.0009,0.0084,355.1376,1.667,359.0408
3.68,0.0016,-0.0008,0.0084,355.1374,1.6676,359.0419
3.7,0.0016,-0.0007,0.0084,355.1367,1.668,359.0413
3.72,0.0011,-0.0003,0.0086,355.1352,1.6658,359.0426
3.74,0.0013,-0.0007,0.0085,355.137,1.6668,359.0419
3.76,0.0011,-0.0007,0.0086,355.1371,1.6662,359.0414
3.78,0.001,-0.0005,0.0086,355.1363,1.6661,359.0417
3.8,0.0011,-0.0006,0.0086,355.1364,1.6672,359.0417
3.82,0.0009,-0.0006,0.0086,355.137,1.6663,359.0417
3.84,0.0008,-0.0005,0.0086,355.1359,1.6645,359.0426
3.86,0.0009,-0.0005,0.0085,355.1363,1.6653,359.0423
3.88,0.0008,-0.0005,0.0086,355.1365,1.6646,359.0427
3.9,0.0011,-0.0005,0.0085,355.1362,1.6655,359.0418
3.92,0.0011,-0.0006,0.0085,355.1371,1.6663,359.0414
3.94,0.001,-0.0008,0.0086,355.1378,1.6655,359.0416
3.96,0.0008,-0.0005,0.0085,355.1366,1.6664,359.0413
3.98,-0.0004,-0.0007,0.0088,355.137,1.664,359.0411
4,-0.0013,-0.0008,0.0087,355.1377,1.6635,359.0413
4.02,-0.0033,-0.0006,0.0091,355.1385,1.6598,359.041
4.04,-0.0047,-0.0008,0.0092,355.1397,1.6541,359.0411
4.06,-0.0044,-0.0002,0.0083,355.1373,1.655,359.0409
4.08,-0.0038,0,0.0079,355.1358,1.6534,359.0411
4.1,-0.0022,-0.0002,0.0073,355.1366,1.6543,359.0404
4.12,-0.0001,-0.0005,0.0069,355.1367,1.659,359.0395
4.14,0.002,-0.0002,0.0065,355.1351,1.6682,359.0406
4.16,0.0034,-0.0004,0.0078,355.1359,1.6792,359.0427
4.18,0.0031,-0.0008,0.0084,355.1385,1.6809,359.0421
4.2,0.0016,-0.0003,0.008,355.1359,1.6721,359.0448
