time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.4,-18.5239,-0.2379,-0.0696,357.4986,356.6797,2.2312
9.42,-18.5242,-0.2381,-0.0697,357.4999,356.6782,2.2311
9.44,-18.5245,-0.2384,-0.0697,357.5005,356.6757,2.2332
9.46,-18.5242,-0.2382,-0.0697,357.5001,356.678,2.2322
9.48,-18.5241,-0.2381,-0.0697,357.4999,356.6784,2.2315
9.5,-18.5242,-0.2382,-0.0697,357.4997,356.6783,2.2321
9.52,-18.5244,-0.2383,-0.0698,357.5002,356.6766,2.2322
9.54,-18.5237,-0.2379,-0.0696,357.4984,356.6793,2.2313
9.559999,-18.5243,-0.2383,-0.0697,357.4996,356.6774,2.2319
9.58,-18.5242,-0.238,-0.0698,357.4983,356.6777,2.2309
9.599999,-18.5243,-0.238,-0.0698,357.4993,356.6777,2.2302
9.62,-18.5242,-0.2384,-0.0696,357.5013,356.678,2.2316
9.639999,-18.5245,-0.2382,-0.0699,357.5002,356.6769,2.231
9.66,-18.5243,-0.2381,-0.0698,357.4998,356.6773,2.231
9.679999,-18.5242,-0.2381,-0.0697,357.4992,356.6796,2.2309
9.7,-18.5239,-0.2382,-0.0696,357.4998,356.681,2.2308
9.719999,-18.524,-0.2381,-0.0697,357.4991,356.6798,2.231
9.74,-18.5242,-0.2384,-0.0696,357.5018,356.6782,2.2323
9.76,-18.5243,-0.2384,-0.0696,357.5011,356.6777,2.232
9.78,-18.5241,-0.2383,-0.0696,357.5012,356.6791,2.2305
9.8,-18.524,-0.2384,-0.0695,357.5016,356.68,2.2308
9.82,-18.524,-0.2384,-0.0695,357.5018,356.6793,2.2311
9.84,-18.5244,-0.2381,-0.0698,357.498,356.6754,2.2329
9.86,-18.5243,-0.2381,-0.0697,357.4994,356.6779,2.2313
9.88,-18.5241,-0.2381,-0.0696,357.4999,356.6791,2.2308
9.9,-18.5242,-0.2381,-0.0697,357.4995,356.6783,2.2324
9.92,-18.5242,-0.2382,-0.0696,357.4998,356.679,2.2317
9.94,-18.5242,-0.2382,-0.0696,357.4998,356.6786,2.2319
9.96,-18.5242,-0.2382,-0.0696,357.5001,356.6786,2.2317
9.98,-18.524,-0.238,-0.0697,357.4988,356.6794,2.2318
10,-18.5246,-0.2383,-0.0698,357.5008,356.6743,2.2334
10.02,-18.5245,-0.2383,-0.0698,357.4999,356.6763,2.2325
10.04,-18.5241,-0.2381,-0.0697,357.4998,356.6796,2.23
10.06,-18.5244,-0.2382,-0.0698,357.5003,356.6774,2.2311
10.08,-18.5243,-0.2384,-0.0697,357.5011,356.6783,2.231
10.1,-18.5242,-0.2382,-0.0697,357.5001,356.6783,2.2318
10.12,-18.5238,-0.2381,-0.0696,357.4994,356.6801,2.2303
10.14,-18.5242,-0.238,-0.0698,357.4991,356.6773,2.2307
10.16,-18.5242,-0.2381,-0.0697,357.4997,356.6783,2.2311
10.18,-18.5241,-0.238,-0.0697,357.4989,356.6792,2.2306
10.2,-18.524,-0.2381,-0.0696,357.4994,356.6799,2.2313
10.22,-18.5239,-0.2382,-0.0695,357.5002,356.6803,2.2311
10.24,-18.524,-0.2383,-0.0696,357.4999,356.6798,2.2318
10.26,-18.5241,-0.2381,-0.0696,357.5001,356.6788,2.2312
10.28,-18.5239,-0.2381,-0.0696,357.5,356.6794,2.2308
10.3,-18.5239,-0.2381,-0.0696,357.4995,356.6797,2.2313
10.32,-18.5243,-0.2381,-0.0697,357.4999,356.6776,2.2316
10.34,-18.5241,-0.238,-0.0697,357.4993,356.6788,2.2308
10.36,-18.5242,-0.2382,-0.0696,357.5004,356.678,2.2314
10.38,-18.5242,-0.2381,-0.0697,357.4996,356.678,2.2311
10.4,-18.524,-0.2384,-0.0694,357.501,356.6793,2.2312
10.42,-18.5242,-0.2382,-0.0697,357.5001,356.6783,2.2312
10.44,-18.5243,-0.2377,-0.0699,357.4975,356.6776,2.2303
10.46,-18.5242,-0.2379,-0.0697,357.4987,356.6778,2.2304
10.48,-18.5243,-0.2379,-0.0698,357.4979,356.6768,2.2315
10.5,-18.5237,-0.2378,-0.0696,357.498,356.6812,2.2302
10.52,-18.5242,-0.2381,-0.0697,357.4988,356.6781,2.2319
10.54,-18.524,-0.238,-0.0696,357.4988,356.6799,2.2312
10.56,-18.5241,-0.238,-0.0697,357.4995,356.6779,2.231
10.58,-18.5245,-0.2377,-0.0699,357.4976,356.6764,2.2309
10.6,-18.5239,-0.2379,-0.0696,357.4988,356.6795,2.23
10.62,-18.5239,-0.2381,-0.0696,357.4999,356.6796,2.2302
10.64,-18.524,-0.2381,-0.0695,357.4998,356.6792,2.2313
10.66,-18.5244,-0.2381,-0.0698,357.4988,356.6774,2.2324
10.68,-18.5245,-0.2381,-0.0698,357.4995,356.6765,2.2331
10.7,-18.524,-0.238,-0.0696,357.4993,356.6796,2.2308
10.72,-18.524,-0.2382,-0.0696,357.4999,356.6795,2.232
10.74,-18.5241,-0.2382,-0.0696,357.4999,356.6794,2.231
10.76,-18.5242,-0.2381,-0.0697,357.4992,356.6782,2.2313
10.78,-18.5243,-0.2381,-0.0697,357.4993,356.6774,2.2317
10.8,-18.5243,-0.238,-0.0698,357.4989,356.6779,2.2316
10.82,-18.5243,-0.2381,-0.0697,357.4995,356.6779,2.2312
10.84,-18.524,-0.2382,-0.0695,357.4997,356.6791,2.2311
10.86,-18.5241,-0.2382,-0.0695,357.5,356.6784,2.2321
10.88,-18.5244,-0.2383,-0.0697,357.5004,356.6767,2.2331
10.9,-18.5244,-0.2381,-0.0698,357.4994,356.6768,2.2325
10.92,-18.5244,-0.2381,-0.0698,357.4993,356.6773,2.2328
10.94,-18.5242,-0.238,-0.0697,357.4989,356.6782,2.2322
10.96,-18.524,-0.2381,-0.0696,357.4994,356.6795,2.2309
10.98,-18.5243,-0.238,-0.0698,357.4988,356.6776,2.2309
11,-18.5241,-0.238,-0.0696,357.4994,356.6789,2.2302
11.02,-18.5238,-0.2377,-0.0697,357.4973,356.6813,2.2295
11.04,-18.5239,-0.238,-0.0696,357.4986,356.6802,2.2311
11.06,-18.5239,-0.238,-0.0696,357.499,356.6799,2.2303
11.08,-18.5242,-0.2381,-0.0697,357.4995,356.6788,2.2309
11.1,-18.5243,-0.2382,-0.0697,357.4997,356.6776,2.2322
11.12,-18.5242,-0.2381,-0.0698,357.4992,356.6786,2.2317
11.14,-18.5244,-0.2383,-0.0697,357.5001,356.6776,2.2327
11.16,-18.5245,-0.2385,-0.0697,357.5012,356.6768,2.2326
11.18,-18.5243,-0.2382,-0.0697,357.5004,356.6776,2.2323
11.2,-18.5241,-0.2382,-0.0697,357.5001,356.6787,2.2312
11.22,-18.524,-0.2382,-0.0696,357.5003,356.6797,2.2307
11.24,-18.5242,-0.2382,-0.0697,357.5004,356.6787,2.2312
11.26,-18.5243,-0.2382,-0.0697,357.5004,356.6784,2.2312
11.28,-18.5241,-0.2383,-0.0696,357.5005,356.6795,2.2313
11.3,-18.5241,-0.2383,-0.0695,357.501,356.6792,2.231
11.32,-18.5241,-0.238,-0.0696,357.4988,356.6789,2.2308
11.34,-18.5242,-0.2384,-0.0696,357.5011,356.6784,2.2316
11.36,-18.5241,-0.2383,-0.0696,357.501,356.6795,2.2301
11.38,-18.5242,-0.2381,-0.0697,357.5,356.6787,2.2305
11.4,-18.5241,-0.2381,-0.0697,357.4994,356.6789,2.2309
11.42,-18.5239,-0.2381,-0.0696,357.5,356.6802,2.2301
11.44,-18.524,-0.2379,-0.0697,357.4988,356.6797,2.2305
11.46,-18.5241,-0.2379,-0.0697,357.4983,356.6793,2.2314
11.48,-18.5242,-0.2381,-0.0697,357.499,356.6784,2.2316
11.5,-18.5243,-0.2381,-0.0697,357.4999,356.6779,2.2319
11.52,-18.5242,-0.2381,-0.0697,357.5,356.6789,2.2318
11.54,-18.5242,-0.238,-0.0697,357.499,356.6785,2.2315
11.56,-18.5241,-0.2382,-0.0696,357.5002,356.6796,2.2312
11.58,-18.5241,-0.2381,-0.0696,357.4999,356.6794,2.2316
11.6,-18.5243,-0.2382,-0.0697,357.5008,356.6776,2.2314
11.62,-18.524,-0.2378,-0.0697,357.4978,356.6804,2.2296
11.64,-18.5242,-0.238,-0.0697,357.4994,356.6794,2.2305
11.66,-18.5243,-0.2382,-0.0697,357.4999,356.6779,2.2315
11.68,-18.5244,-0.2381,-0.0698,357.4992,356.677,2.2316
11.7,-18.5243,-0.2379,-0.0698,357.4979,356.6779,2.2312
11.72,-18.524,-0.2378,-0.0697,357.4974,356.6792,2.2307
11.74,-18.524,-0.238,-0.0696,357.4989,356.6795,2.2309
11.76,-18.524,-0.2383,-0.0695,357.5008,356.6792,2.2316
11.78,-18.524,-0.2381,-0.0696,357.4992,356.6794,2.2305
11.8,-18.5242,-0.238,-0.0698,357.4989,356.6779,2.2315
11.82,-18.524,-0.238,-0.0697,357.4995,356.6789,2.2303
11.84,-18.524,-0.2381,-0.0696,357.4993,356.6801,2.2307
11.86,-18.5241,-0.2382,-0.0696,357.5002,356.6789,2.2302
11.88,-18.524,-0.2381,-0.0696,357.4998,356.6795,2.2306
11.9,-18.5238,-0.2381,-0.0695,357.4996,356.6808,2.2307
11.92,-18.5242,-0.2379,-0.0697,357.4984,356.6782,2.2315
11.94,-18.524,-0.2379,-0.0696,357.4992,356.6802,2.2311
11.96,-18.5242,-0.2381,-0.0696,357.5001,356.6787,2.2316
11.98,-18.5242,-0.2379,-0.0697,357.4987,356.6789,2.2311
12,-18.5241,-0.2381,-0.0696,357.4991,356.6794,2.231
12.02,-18.5241,-0.238,-0.0697,357.4987,356.6788,2.23
12.04,-18.5244,-0.2381,-0.0698,357.4994,356.6776,2.2313
12.06,-18.5243,-0.2382,-0.0696,357.4997,356.678,2.2319
12.08,-18.524,-0.2381,-0.0695,357.4997,356.68,2.2309
12.1,-18.5241,-0.2381,-0.0696,357.4999,356.6793,2.2308
12.12,-18.5242,-0.238,-0.0697,357.4994,356.6783,2.2313
12.14,-18.5243,-0.2382,-0.0697,357.4995,356.6778,2.232
12.16,-18.5244,-0.2381,-0.0698,357.4994,356.6761,2.2326
12.18,-18.5242,-0.238,-0.0697,357.4993,356.6782,2.2316
12.2,-18.5244,-0.2379,-0.0699,357.4991,356.6767,2.2312
12.22,-18.5241,-0.2379,-0.0697,357.4985,356.6788,2.2318
12.24,-18.5243,-0.2377,-0.0698,357.4976,356.6775,2.2313
12.26,-18.5246,-0.2377,-0.0699,357.4976,356.6757,2.2318
12.28,-18.5243,-0.2379,-0.0698,357.4986,356.6776,2.2311
12.3,-18.5242,-0.2379,-0.0698,357.498,356.6791,2.2303
12.32,-18.5243,-0.238,-0.0697,357.4991,356.6782,2.2309
12.34,-18.5242,-0.238,-0.0697,357.4992,356.6797,2.2312
12.36,-18.5242,-0.2381,-0.0697,357.4999,356.679,2.2301
12.38,-18.5241,-0.238,-0.0697,357.4991,356.6793,2.2312
12.4,-18.5241,-0.2381,-0.0696,357.5,356.6793,2.2311
12.42,-18.5242,-0.238,-0.0697,357.4993,356.6788,2.2312
12.44,-18.5243,-0.2378,-0.0698,357.4983,356.6782,2.2309
