time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.12,-18.6083,0.1321,-0.7595,0.1852,356.5598,2.3609
4.14,-18.6083,0.1321,-0.7595,0.1852,356.5598,2.3609
4.16,-18.6081,0.1319,-0.7593,0.1864,356.5613,2.36
4.18,-18.6083,0.1316,-0.7593,0.1875,356.5597,2.3599
4.2,-18.6086,0.1318,-0.7595,0.1862,356.5581,2.3609
4.22,-18.6084,0.132,-0.7594,0.185,356.5597,2.3608
4.24,-18.6086,0.1316,-0.7594,0.187,356.5581,2.3621
4.26,-18.6088,0.1318,-0.7596,0.1864,356.5566,2.3619
4.28,-18.6088,0.1318,-0.7596,0.1864,356.5564,2.3616
4.3,-18.6084,0.1318,-0.7594,0.1865,356.5587,2.3596
4.32,-18.6086,0.1317,-0.7594,0.1865,356.5577,2.3619
4.34,-18.6086,0.1319,-0.7596,0.1856,356.5572,2.3607
4.36,-18.6084,0.1321,-0.7595,0.1844,356.5598,2.3597
4.38,-18.6085,0.132,-0.7595,0.1854,356.5584,2.36
4.4,-18.6088,0.1319,-0.7596,0.1853,356.5565,2.3621
4.42,-18.6086,0.1318,-0.7594,0.1865,356.5584,2.3611
4.44,-18.6085,0.1319,-0.7594,0.1856,356.5585,2.3608
4.46,-18.6086,0.1318,-0.7594,0.1862,356.5579,2.3609
4.48,-18.6087,0.1317,-0.7595,0.1863,356.5572,2.3614
4.5,-18.6087,0.1317,-0.7595,0.1866,356.5565,2.3615
4.52,-18.6085,0.132,-0.7595,0.1861,356.5588,2.3601
4.54,-18.6085,0.1322,-0.7595,0.1847,356.5583,2.3589
4.56,-18.6084,0.1319,-0.7594,0.186,356.5604,2.3601
4.58,-18.6086,0.1319,-0.7595,0.1857,356.5578,2.3612
4.6,-18.6088,0.1317,-0.7595,0.1869,356.5567,2.3617
4.62,-18.6086,0.132,-0.7595,0.1854,356.5582,2.3595
4.64,-18.6087,0.132,-0.7596,0.186,356.5574,2.3596
4.66,-18.6086,0.132,-0.7594,0.1858,356.5583,2.3596
4.68,-18.6088,0.132,-0.7597,0.1855,356.5557,2.3603
4.7,-18.6094,0.1316,-0.7601,0.1869,356.5517,2.3631
4.72,-18.6093,0.1315,-0.7599,0.1874,356.5533,2.3618
4.74,-18.6092,0.1315,-0.7598,0.1875,356.5545,2.362
4.76,-18.6094,0.1314,-0.76,0.1874,356.5533,2.3629
4.78,-18.6095,0.1315,-0.7599,0.1865,356.5528,2.3646
4.8,-18.6095,0.1315,-0.76,0.1858,356.5531,2.3641
4.82,-18.61,0.1315,-0.7603,0.1864,356.5468,2.3653
4.84,-18.6095,0.1314,-0.7599,0.1874,356.5522,2.3633
4.86,-18.6098,0.1314,-0.7601,0.1873,356.5498,2.3645
4.88,-18.6095,0.1317,-0.76,0.1859,356.5525,2.363
4.9,-18.6097,0.1317,-0.7601,0.186,356.5511,2.3633
4.92,-18.6095,0.1318,-0.76,0.1858,356.5519,2.3636
4.94,-18.6094,0.1317,-0.76,0.1858,356.5527,2.3627
4.96,-18.6094,0.1318,-0.76,0.1852,356.5525,2.363
4.98,-18.6098,0.1314,-0.7601,0.1876,356.5502,2.3637
5,-18.6092,0.1317,-0.7599,0.186,356.5554,2.3621
5.02,-18.6099,0.1316,-0.7602,0.1869,356.5494,2.364
5.04,-18.6098,0.1315,-0.7601,0.1872,356.551,2.364
5.06,-18.6094,0.1316,-0.7599,0.1863,356.5539,2.3635
5.08,-18.6095,0.1314,-0.76,0.1879,356.5521,2.3641
5.1,-18.6096,0.1315,-0.76,0.1871,356.5515,2.365
5.12,-18.6098,0.1315,-0.7601,0.1865,356.5499,2.3642
5.14,-18.6096,0.1314,-0.76,0.1877,356.5513,2.3639
5.16,-18.6097,0.1315,-0.7601,0.1868,356.5504,2.3648
5.18,-18.6094,0.1318,-0.76,0.1854,356.5532,2.3637
5.2,-18.6096,0.1316,-0.76,0.1862,356.5521,2.3648
5.22,-18.6095,0.1314,-0.7599,0.1872,356.5527,2.3638
5.24,-18.6094,0.1316,-0.7599,0.1865,356.5528,2.3625
5.26,-18.6095,0.1315,-0.76,0.1872,356.5517,2.3628
5.28,-18.6096,0.1317,-0.7601,0.186,356.5523,2.3631
5.3,-18.6097,0.1316,-0.7599,0.1856,356.552,2.3638
5.32,-18.6098,0.1314,-0.7599,0.1861,356.5522,2.3649
5.34,-18.6096,0.1315,-0.7598,0.1873,356.5531,2.3628
5.36,-18.6098,0.1315,-0.76,0.1867,356.5509,2.3637
5.38,-18.6098,0.1317,-0.7601,0.1853,356.5513,2.3632
5.4,-18.6099,0.1316,-0.7602,0.186,356.5504,2.3641
