time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.8,-18.0226,0.1181,0.118,1.9309,5.7607,0.3138
4.82,-18.0227,0.1181,0.118,1.9309,5.7601,0.3136
4.84,-18.0227,0.1179,0.118,1.9321,5.7601,0.3139
4.86,-18.0227,0.1184,0.1178,1.93,5.7595,0.3126
4.88,-18.0227,0.1182,0.1179,1.9307,5.7596,0.3128
4.9,-18.0226,0.1182,0.118,1.9306,5.7599,0.3127
4.92,-18.0226,0.1184,0.1179,1.9299,5.76,0.3128
4.94,-18.0226,0.1182,0.1179,1.931,5.7601,0.3127
4.96,-18.0227,0.1181,0.118,1.9312,5.7605,0.3135
4.98,-18.0228,0.1177,0.1181,1.933,5.7595,0.3135
5,-18.0226,0.118,0.1181,1.932,5.7613,0.3132
5.02,-18.0227,0.1181,0.118,1.9308,5.7604,0.3129
5.04,-18.0226,0.1182,0.118,1.9308,5.7604,0.3124
5.06,-18.0228,0.1182,0.1179,1.9303,5.7586,0.3128
5.08,-18.0226,0.1182,0.118,1.9312,5.7609,0.3115
5.1,-18.0238,0.118,0.1173,1.9304,5.7531,0.3147
5.12,-18.0235,0.1178,0.1175,1.9321,5.7551,0.3146
5.14,-18.0235,0.1179,0.1175,1.9313,5.7559,0.3146
5.16,-18.0234,0.1179,0.1175,1.9307,5.7562,0.3156
5.18,-18.0235,0.118,0.1174,1.93,5.7552,0.3152
5.2,-18.0236,0.1178,0.1174,1.9317,5.7548,0.3156
5.22,-18.0238,0.1179,0.1173,1.9308,5.7537,0.3161
5.24,-18.0237,0.1181,0.1173,1.9299,5.7541,0.3148
5.26,-18.0236,0.1181,0.1174,1.9301,5.7546,0.3151
5.28,-18.0236,0.1183,0.1173,1.9295,5.7547,0.3145
5.3,-18.0238,0.1181,0.1173,1.9296,5.7536,0.3149
5.32,-18.0239,0.1179,0.1173,1.9312,5.753,0.3155
5.34,-18.0238,0.1178,0.1174,1.9318,5.7529,0.3151
5.36,-18.0238,0.1179,0.1174,1.9315,5.7533,0.315
5.38,-18.0238,0.1179,0.1174,1.9312,5.7538,0.3151
5.4,-18.0238,0.1179,0.1173,1.9312,5.753,0.3158
5.42,-18.0237,0.1181,0.1173,1.9301,5.7536,0.315
5.44,-18.0237,0.1181,0.1173,1.9305,5.7532,0.3147
5.46,-18.0239,0.1179,0.1173,1.9314,5.7527,0.3155
5.48,-18.0238,0.1182,0.1173,1.9299,5.7532,0.3142
5.5,-18.0235,0.1182,0.1174,1.9297,5.7551,0.3144
5.52,-18.0236,0.1179,0.1175,1.9313,5.7545,0.3153
5.54,-18.0237,0.118,0.1174,1.9311,5.754,0.3152
5.56,-18.0236,0.118,0.1175,1.9312,5.7543,0.3148
5.58,-18.0238,0.118,0.1173,1.9305,5.7534,0.3154
5.6,-18.0237,0.1183,0.1173,1.9293,5.754,0.3147
5.62,-18.0238,0.1183,0.1173,1.9297,5.7534,0.3141
5.64,-18.0239,0.118,0.1174,1.931,5.7526,0.3151
5.66,-18.0237,0.1181,0.1174,1.93,5.7541,0.3152
5.68,-18.0237,0.1181,0.1174,1.9305,5.7539,0.3153
5.7,-18.0236,0.1183,0.1175,1.9295,5.7548,0.3147
5.72,-18.0236,0.118,0.1176,1.9315,5.7553,0.3148
5.74,-18.0235,0.1181,0.1175,1.9305,5.7554,0.3143
5.76,-18.0235,0.1179,0.1176,1.9318,5.7556,0.3147
5.78,-18.0235,0.1179,0.1176,1.9318,5.7555,0.3154
5.8,-18.0237,0.118,0.1174,1.9307,5.7541,0.3153
5.82,-18.0237,0.1181,0.1175,1.9303,5.7542,0.3148
5.84,-18.0239,0.118,0.1174,1.9308,5.7528,0.3149
5.86,-18.0238,0.1177,0.1176,1.932,5.7534,0.316
5.88,-18.0235,0.118,0.1175,1.9304,5.7555,0.3156
5.9,-18.0238,0.1179,0.1175,1.9311,5.7537,0.3162
5.92,-18.0237,0.1181,0.1175,1.9304,5.754,0.315
5.94,-18.0237,0.1181,0.1174,1.9301,5.7536,0.3149
5.96,-18.024,0.1179,0.1174,1.9312,5.7527,0.3152
5.98,-18.0241,0.1177,0.1174,1.9318,5.7524,0.3164
6,-18.024,0.118,0.1173,1.93,5.7521,0.3158
6.02,-18.0239,0.1179,0.1174,1.9307,5.7531,0.3159
6.04,-18.0238,0.1181,0.1174,1.9303,5.7537,0.3154
6.06,-18.0237,0.1178,0.1176,1.9322,5.7545,0.3153
6.08,-18.0237,0.1179,0.1176,1.9312,5.755,0.3151
6.1,-18.024,0.1188,0.1169,1.9261,5.7517,0.3126
6.12,-18.0237,0.1189,0.117,1.926,5.7532,0.3122
6.14,-18.0236,0.1189,0.1171,1.9264,5.7534,0.3124
6.16,-18.0237,0.1186,0.1172,1.9276,5.7532,0.3136
6.18,-18.0235,0.1185,0.1173,1.9283,5.7546,0.3133
6.2,-18.0235,0.119,0.1171,1.9261,5.7543,0.3119
6.22,-18.0237,0.1188,0.1171,1.9266,5.7531,0.3127
6.24,-18.0237,0.1188,0.1171,1.927,5.753,0.3122
6.26,-18.0236,0.1188,0.1171,1.9271,5.7529,0.3122
6.28,-18.0236,0.1186,0.1172,1.9279,5.7539,0.3125
6.3,-18.0237,0.1187,0.1171,1.9275,5.7527,0.3125
6.32,-18.0236,0.1188,0.1172,1.9272,5.754,0.3122
6.34,-18.0238,0.1189,0.1171,1.9264,5.7528,0.3124
6.36,-18.0237,0.1187,0.1171,1.927,5.7531,0.3124
6.38,-18.0237,0.1188,0.1172,1.9265,5.7531,0.3133
6.4,-18.0236,0.1187,0.1173,1.9272,5.754,0.3133
6.42,-18.0236,0.1188,0.1173,1.9265,5.7541,0.3128
6.44,-18.0238,0.1189,0.1171,1.926,5.7527,0.3126
6.46,-18.0239,0.1187,0.1171,1.9273,5.7518,0.3131
6.48,-18.0238,0.1187,0.1172,1.9276,5.7529,0.3131
6.5,-18.0234,0.119,0.1172,1.9256,5.7546,0.3125
6.52,-18.0238,0.1186,0.1172,1.9272,5.7536,0.3135
6.54,-18.0236,0.1188,0.1173,1.9269,5.7546,0.3124
6.56,-18.0236,0.1187,0.1173,1.9273,5.7542,0.3126
6.58,-18.0237,0.1186,0.1173,1.9278,5.7535,0.3126
6.6,-18.0236,0.1188,0.1172,1.9266,5.7544,0.313
6.62,-18.0236,0.1188,0.1172,1.9269,5.754,0.312
6.64,-18.0236,0.1189,0.1172,1.9264,5.7546,0.3127
6.66,-18.0239,0.1189,0.1171,1.9262,5.7528,0.3134
6.68,-18.0238,0.1188,0.1172,1.9272,5.7531,0.3136
6.7,-18.0236,0.119,0.1172,1.9261,5.7545,0.3121
6.72,-18.0237,0.1191,0.1171,1.9255,5.7536,0.312
6.74,-18.0238,0.1188,0.1172,1.9265,5.7532,0.3126
6.76,-18.0237,0.119,0.1172,1.926,5.7537,0.312
6.78,-18.0237,0.1188,0.1172,1.9265,5.7539,0.3128
6.8,-18.0237,0.1188,0.1172,1.9269,5.7536,0.3126
6.82,-18.0235,0.1188,0.1173,1.9267,5.7544,0.3127
6.84,-18.0238,0.1187,0.1172,1.9271,5.7531,0.3131
6.86,-18.0237,0.119,0.1172,1.9263,5.7532,0.3122
6.88,-18.0236,0.1188,0.1173,1.9271,5.7541,0.3133
6.9,-18.0237,0.1188,0.1172,1.9267,5.7536,0.3126
6.92,-18.0238,0.1189,0.1172,1.9263,5.7527,0.3122
6.94,-18.0236,0.119,0.1172,1.926,5.7536,0.3121
6.96,-18.0236,0.1189,0.1173,1.9265,5.7539,0.3125
6.98,-18.0235,0.119,0.1172,1.926,5.7548,0.3121
7,-18.0235,0.119,0.1173,1.9258,5.7547,0.3113
7.02,-18.0237,0.1191,0.1172,1.9252,5.7534,0.312
7.04,-18.0235,0.119,0.1173,1.9262,5.7553,0.3118
7.06,-18.0237,0.119,0.1172,1.9255,5.7538,0.3124
7.08,-18.0236,0.1189,0.1172,1.9257,5.7543,0.3128
7.1,-18.0227,0.1184,0.1176,1.9291,5.7594,0.3123
7.12,-18.0225,0.1181,0.1179,1.9308,5.761,0.3125
7.14,-18.0226,0.1183,0.1177,1.9301,5.7602,0.3118
7.16,-18.0227,0.1183,0.1176,1.9303,5.7593,0.3125
7.18,-18.0228,0.1183,0.1176,1.9296,5.7593,0.3131
7.2,-18.0226,0.1182,0.1178,1.9308,5.7602,0.3125
7.22,-18.0225,0.1185,0.1177,1.929,5.7613,0.3125
7.24,-18.0225,0.1185,0.1177,1.9291,5.7604,0.3122
7.26,-18.0227,0.1182,0.1177,1.9306,5.7591,0.3134
7.28,-18.0228,0.1183,0.1177,1.9295,5.7589,0.3132
7.3,-18.0228,0.1183,0.1177,1.9298,5.7589,0.3132
7.32,-18.0227,0.1181,0.1178,1.9313,5.7595,0.3125
7.34,-18.0227,0.118,0.1179,1.9314,5.76,0.3133
7.36,-18.0228,0.118,0.1178,1.9321,5.759,0.3138
7.38,-18.0226,0.1181,0.1179,1.9313,5.7607,0.3131
7.4,-18.0228,0.1182,0.1177,1.9305,5.7591,0.3128
7.42,-18.0227,0.1182,0.1178,1.9306,5.7596,0.3128
7.44,-18.0226,0.1181,0.1179,1.9313,5.7603,0.3122
7.46,-18.0228,0.1179,0.1179,1.9321,5.759,0.3139
7.48,-18.0226,0.1183,0.1179,1.9308,5.7605,0.313
7.5,-18.0228,0.1181,0.1177,1.9308,5.7593,0.3132
7.52,-18.0228,0.118,0.1179,1.9316,5.76,0.3136
7.54,-18.0227,0.118,0.1179,1.932,5.7598,0.313
7.56,-18.0227,0.1181,0.1178,1.9307,5.76,0.3132
7.58,-18.0225,0.1183,0.1178,1.9298,5.7603,0.3126
7.6,-18.0227,0.1183,0.1178,1.9306,5.7593,0.3126
7.62,-18.0228,0.118,0.1179,1.9317,5.7594,0.3136
7.64,-18.0228,0.1182,0.1178,1.9309,5.7593,0.3127
7.66,-18.0229,0.1181,0.1178,1.931,5.7587,0.3135
7.68,-18.0227,0.1182,0.1179,1.9309,5.7598,0.3131
7.7,-18.0226,0.1184,0.1178,1.93,5.7599,0.3121
7.72,-18.0228,0.1182,0.1178,1.9308,5.7592,0.3137
7.74,-18.0227,0.1182,0.1179,1.9306,5.7602,0.3126
7.76,-18.0227,0.1182,0.1179,1.9305,5.7596,0.3129
7.78,-18.0227,0.1182,0.1179,1.9308,5.7601,0.3125
7.8,-18.0228,0.1182,0.1178,1.9307,5.7591,0.3131
7.82,-18.0228,0.1182,0.1178,1.93,5.7596,0.3127
7.84,-18.023,0.118,0.1179,1.9313,5.759,0.314
7.86,-18.0228,0.1181,0.1179,1.9305,5.7594,0.3137
7.88,-18.0228,0.1181,0.1179,1.9309,5.7595,0.313
7.9,-18.0226,0.1186,0.1179,1.9283,5.7608,0.3121
7.92,-18.0228,0.1183,0.1178,1.9296,5.7596,0.3131
7.94,-18.0227,0.1183,0.1179,1.9299,5.7596,0.3126
7.96,-18.0228,0.1183,0.1179,1.9295,5.7597,0.3126
7.98,-18.0231,0.1183,0.1177,1.9294,5.7579,0.3134
8,-18.0229,0.1185,0.1177,1.9285,5.7589,0.3134
8.02,-18.0226,0.1183,0.1179,1.9293,5.7607,0.3127
8.04,-18.0227,0.1185,0.1179,1.9291,5.7606,0.3124
8.059999,-18.0228,0.1183,0.1178,1.9299,5.7601,0.3133
8.08,-18.0228,0.1184,0.1178,1.9296,5.7589,0.3121
8.099999,-18.0235,0.1178,0.1175,1.9306,5.7557,0.3152
8.12,-18.0239,0.118,0.1172,1.9302,5.7533,0.3155
8.139999,-18.024,0.1177,0.1173,1.9322,5.752,0.3156
8.16,-18.0239,0.1179,0.1172,1.9306,5.7526,0.3156
8.179999,-18.0238,0.1178,0.1173,1.932,5.753,0.3157
8.2,-18.0237,0.1181,0.1173,1.9297,5.754,0.3151
8.22,-18.0237,0.1179,0.1173,1.9307,5.7536,0.3152
8.24,-18.0236,0.1181,0.1173,1.9299,5.7537,0.3149
8.26,-18.0238,0.118,0.1173,1.9302,5.7532,0.3147
8.28,-18.0239,0.118,0.1172,1.9306,5.7526,0.3152
8.3,-18.0238,0.1179,0.1173,1.9304,5.7532,0.3155
8.32,-18.0241,0.1179,0.1172,1.93,5.7517,0.316
8.34,-18.0241,0.118,0.1171,1.9295,5.7514,0.3158
8.36,-18.0238,0.1182,0.1172,1.9293,5.753,0.3149
8.38,-18.0239,0.1181,0.1172,1.9293,5.7529,0.3155
8.4,-18.0238,0.1181,0.1172,1.9297,5.7529,0.3152
8.42,-18.024,0.1181,0.1172,1.9295,5.7525,0.3158
8.44,-18.024,0.1181,0.1171,1.9298,5.7519,0.3152
8.46,-18.0239,0.1178,0.1173,1.9314,5.753,0.3159
8.48,-18.0237,0.118,0.1173,1.9306,5.7542,0.3152
8.5,-18.0237,0.1181,0.1173,1.93,5.7541,0.3144
8.52,-18.0238,0.1181,0.1173,1.9302,5.7532,0.3145
8.54,-18.0239,0.1181,0.1172,1.9297,5.7524,0.3149
8.559999,-18.0238,0.1183,0.1172,1.9287,5.753,0.3143
8.58,-18.0237,0.118,0.1174,1.93,5.754,0.3152
8.599999,-18.0238,0.1181,0.1173,1.93,5.7538,0.3149
8.62,-18.0238,0.1181,0.1173,1.9291,5.7537,0.315
8.639999,-18.0239,0.1182,0.1172,1.9291,5.7529,0.3148
8.66,-18.0238,0.1181,0.1173,1.9296,5.7531,0.314
8.679999,-18.0237,0.1181,0.1174,1.9301,5.7537,0.3148
8.7,-18.0237,0.1182,0.1173,1.9293,5.7533,0.3143
8.72,-18.0238,0.1182,0.1172,1.9295,5.7531,0.3148
8.74,-18.0237,0.1184,0.1172,1.9284,5.7534,0.3136
8.76,-18.0235,0.1181,0.1174,1.9302,5.7546,0.314
8.78,-18.0236,0.1182,0.1174,1.9299,5.7544,0.3143
