time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.58,-0.0005,0.0002,0.0001,357.2292,4.3478,349.0862
3.6,-0.0003,0.0001,0,357.2297,4.3489,349.0853
3.62,-0.0002,0.0006,-0.0002,357.2278,4.3503,349.0872
3.64,-0.0004,0.0002,0.0001,357.2294,4.3493,349.0868
3.66,-0.0005,0.0004,0.0001,357.2285,4.3486,349.0869
3.68,-0.0006,0.0001,0.0002,357.2296,4.3473,349.0861
3.7,-0.0005,0.0002,0.0001,357.2294,4.3477,349.0861
3.72,-0.0005,0.0001,0.0001,357.2291,4.3479,349.0855
3.74,-0.0003,0.0003,0,357.2286,4.3493,349.0865
3.76,-0.0002,0.0004,-0.0003,357.2282,4.3508,349.0861
3.78,0,0,-0.0002,357.2297,4.351,349.0851
3.8,0.0002,0.0001,-0.0004,357.2292,4.3523,349.0858
3.82,0.0001,0.0002,-0.0004,357.2285,4.3525,349.0856
3.84,0,0.0001,-0.0003,357.2292,4.3513,349.086
3.86,0.0003,0.0002,-0.0005,357.229,4.3523,349.0858
3.88,0.0002,0.0001,-0.0005,357.2293,4.3524,349.0862
3.9,-0.0001,0,-0.0002,357.2299,4.3503,349.0867
3.92,0.0002,0.0001,-0.0004,357.2285,4.3523,349.0857
3.94,0.0001,0,-0.0003,357.2296,4.3519,349.0856
3.96,0.0004,0.0001,-0.0005,357.2292,4.3535,349.0848
3.98,0.0002,0,-0.0003,357.2297,4.3523,349.0846
4,0.0001,0,-0.0002,357.2298,4.3519,349.0844
4.02,0.0002,-0.0001,-0.0003,357.23,4.3527,349.084
4.04,0.0003,-0.0004,-0.0002,357.2316,4.3528,349.084
4.06,0.0003,-0.0001,-0.0004,357.23,4.3532,349.084
4.08,0.0002,0.0001,-0.0004,357.2289,4.3525,349.085
4.1,0.0003,0.0001,-0.0005,357.2285,4.3535,349.0845
4.12,0.0001,0.0004,-0.0004,357.2271,4.3522,349.0858
4.14,0.0001,0.0002,-0.0003,357.2284,4.3523,349.0859
4.16,0.0003,0,-0.0003,357.2301,4.3526,349.0855
4.18,0,0.0002,-0.0003,357.2289,4.3514,349.0857
4.2,0,0.0001,-0.0002,357.229,4.3507,349.0852
4.22,0.0005,0.0001,-0.0005,357.229,4.3536,349.0854
4.24,0.0002,0,-0.0003,357.2292,4.3522,349.0854
4.26,0.0001,0.0001,-0.0003,357.2289,4.3515,349.086
4.28,0.0002,0,-0.0003,357.2293,4.3527,349.0854
4.3,0.0002,0,-0.0002,357.2294,4.3521,349.085
4.32,0.0003,0.0002,-0.0004,357.2286,4.3535,349.085
4.34,0.0005,0.0001,-0.0004,357.2292,4.354,349.0845
4.36,0.0005,0.0003,-0.0006,357.2276,4.3544,349.0851
4.38,0.0004,0.0001,-0.0005,357.2289,4.3541,349.0848
4.4,0.0006,0,-0.0005,357.2296,4.355,349.0837
4.42,0.0004,0.0002,-0.0004,357.2287,4.3534,349.0848
4.44,0.0003,0.0002,-0.0004,357.2283,4.3532,349.0849
4.46,-0.0001,0.0003,-0.0002,357.2282,4.3507,349.0863
4.48,-0.0001,0.0004,-0.0003,357.227,4.3518,349.0867
4.5,0.0002,0.0003,-0.0004,357.2271,4.3523,349.0854
4.52,0.0003,-0.0004,-0.0003,357.2314,4.3529,349.0844
4.54,0.0003,-0.0001,-0.0003,357.2302,4.3525,349.0851
4.56,0.0003,0.0001,-0.0004,357.2289,4.353,349.0854
4.58,0.0002,0.0004,-0.0004,357.2273,4.3524,349.0862
4.6,-0.0003,0.0001,-0.0001,357.2286,4.3497,349.0862
4.62,0,0.0002,-0.0002,357.2286,4.3509,349.0854
4.64,0.0002,0.0003,-0.0003,357.2278,4.3524,349.0852
4.66,0.0002,0.0001,-0.0003,357.229,4.3523,349.0855
4.68,0.0007,0,-0.0005,357.2298,4.3538,349.0847
4.7,0.0007,-0.0002,-0.0005,357.2306,4.3549,349.0839
4.72,0.0006,-0.0002,-0.0004,357.2302,4.3541,349.0834
4.74,0.0003,0.0001,-0.0003,357.2289,4.3532,349.0844
4.76,-0.0002,0.0005,-0.0003,357.2269,4.351,349.0869
4.78,0.0006,0.0005,-0.0006,357.2274,4.3547,349.0859
4.8,-0.0002,0.0007,-0.0004,357.2263,4.3508,349.0877
4.82,0.0002,0.0007,-0.0006,357.2256,4.3525,349.0861
4.84,0.0001,0.0006,-0.0005,357.2267,4.3516,349.0861
4.86,-0.0001,0.0004,-0.0004,357.2277,4.3506,349.0865
4.88,0.0001,0.0005,-0.0005,357.2273,4.3517,349.0861
4.9,0,0.0005,-0.0004,357.2269,4.3511,349.0866
4.92,0.0001,0.0004,-0.0004,357.2276,4.352,349.0854
4.94,0.0002,0.0005,-0.0005,357.2275,4.3523,349.0854
4.96,0.0001,0.0006,-0.0004,357.2269,4.3518,349.0863
4.98,0.0004,0.0005,-0.0005,357.227,4.3537,349.0857
5,0.0003,0.0008,-0.0006,357.2253,4.3539,349.0855
5.02,0.0006,0.0005,-0.0008,357.2267,4.3557,349.0844
5.04,0.0006,0.0006,-0.0007,357.2257,4.3555,349.0847
5.06,0.0002,0.0007,-0.0005,357.2257,4.3533,349.0854
5.08,0.0001,0.0007,-0.0005,357.2253,4.3529,349.0864
5.1,0.0003,0.0008,-0.0006,357.2248,4.3535,349.0856
5.12,0.0002,0.0006,-0.0005,357.2261,4.3527,349.0861
5.14,0.0001,0.0008,-0.0006,357.2256,4.3529,349.088
5.16,0,0.0006,-0.0005,357.2266,4.3517,349.0878
5.18,0,0.0005,-0.0004,357.2264,4.3519,349.0862
5.2,-0.0001,0.0006,-0.0004,357.2256,4.351,349.0863
5.22,0.0001,0.0005,-0.0004,357.2266,4.3519,349.086
5.24,0.0002,0.0008,-0.0005,357.2234,4.3522,349.0868
5.26,0.0003,0.0006,-0.0005,357.226,4.3529,349.086
5.28,0.0002,0.0007,-0.0005,357.2258,4.3528,349.0862
5.3,0.0003,0.0007,-0.0006,357.2253,4.3528,349.0866
5.32,0.0004,0.0005,-0.0005,357.227,4.3537,349.0852
5.34,0.0003,0.0005,-0.0005,357.2265,4.3533,349.0844
5.36,0.0005,0.0005,-0.0006,357.2263,4.3543,349.0844
5.38,0.0005,0.0006,-0.0006,357.2266,4.3546,349.0852
5.4,0.0005,0.0005,-0.0006,357.2263,4.3552,349.0844
5.42,0.0004,0.0006,-0.0005,357.2258,4.3537,349.0852
5.44,0.0004,0.0008,-0.0007,357.2252,4.3548,349.0861
5.46,0.0003,0.0006,-0.0005,357.2264,4.3537,349.0855
5.48,0,0.0008,-0.0004,357.2249,4.3521,349.0866
5.5,0.0002,0.0009,-0.0006,357.2248,4.3531,349.0871
5.52,0.0001,0.0004,-0.0004,357.2275,4.3525,349.0862
5.54,0.0002,0.0007,-0.0005,357.2266,4.3528,349.087
5.56,-0.0001,0.0007,-0.0003,357.2266,4.3513,349.0872
5.58,-0.0001,0.0006,-0.0003,357.2268,4.351,349.0876
5.6,0.0003,0.0004,-0.0005,357.2275,4.3527,349.0865
5.62,0.0003,0.0005,-0.0004,357.2268,4.3527,349.0862
5.64,0.0003,0.0008,-0.0006,357.2249,4.3538,349.0866
5.66,0.0005,0.0008,-0.0007,357.2254,4.3546,349.0857
5.68,0.0004,0.0006,-0.0006,357.2262,4.3542,349.0855
5.7,0.0006,0.0005,-0.0007,357.2269,4.3549,349.0848
5.72,0.0006,0.0005,-0.0007,357.227,4.3545,349.085
5.74,0.0005,0.0004,-0.0006,357.227,4.3536,349.0851
5.76,-0.0001,0.0001,-0.0002,357.2286,4.3502,349.0854
5.78,-0.0003,0.0002,-0.0001,357.2289,4.3496,349.0868
5.8,-0.0002,0.0002,-0.0003,357.2286,4.3501,349.0867
5.82,-0.0005,0.0003,-0.0001,357.2277,4.3485,349.0862
5.84,-0.0004,0.0003,-0.0002,357.2279,4.3491,349.0868
5.86,-0.0003,0.0002,-0.0002,357.2284,4.3495,349.0859
5.88,-0.0007,0.0001,0.0001,357.23,4.3468,349.0866
5.9,-0.0006,0.0003,0,357.2288,4.3475,349.0866
5.92,-0.0006,0,0.0001,357.23,4.3476,349.0862
5.94,-0.0005,0,0.0001,357.2299,4.3478,349.0859
5.96,-0.0003,0.0001,-0.0001,357.2291,4.3491,349.0857
5.98,-0.0004,0.0002,-0.0001,357.2291,4.3492,349.0858
6,-0.0003,0.0001,-0.0002,357.2296,4.3494,349.0858
6.02,-0.0004,0.0001,-0.0001,357.2294,4.3489,349.0858
6.04,-0.0001,0.0003,-0.0003,357.228,4.3504,349.0863
6.06,-0.0001,0.0001,-0.0002,357.2289,4.3502,349.0859
6.08,-0.0001,0.0002,-0.0003,357.2286,4.3512,349.0858
6.1,-0.0004,0.0007,-0.0002,357.226,4.3497,349.0868
6.12,-0.0002,0,-0.0001,357.2293,4.3499,349.0857
6.14,-0.0002,0.0002,-0.0002,357.2284,4.3502,349.0865
6.16,-0.0002,0.0002,-0.0002,357.2289,4.35,349.0863
6.18,-0.0004,0.0001,-0.0001,357.2292,4.3494,349.0863
6.2,-0.0002,0.0001,-0.0002,357.2294,4.3503,349.0858
6.22,-0.0004,0.0005,-0.0002,357.2274,4.349,349.0867
6.24,-0.0003,0.0003,-0.0001,357.229,4.3496,349.0863
6.26,-0.0003,0.0003,-0.0002,357.2288,4.3498,349.0863
6.28,-0.0002,0.0001,-0.0001,357.2296,4.3495,349.0853
6.3,-0.0004,0.0001,0,357.2292,4.3482,349.0857
6.32,-0.0004,0.0001,0,357.2289,4.3485,349.0851
6.34,-0.0002,0.0002,-0.0002,357.2292,4.3501,349.0852
6.36,-0.0003,0,0,357.2301,4.3489,349.0858
6.38,-0.0001,0.0002,-0.0003,357.2287,4.3505,349.0857
6.4,-0.0003,0.0003,-0.0001,357.2284,4.3492,349.0859
6.42,-0.0004,0.0005,-0.0002,357.2272,4.349,349.0869
6.44,-0.0003,0.0003,-0.0002,357.2288,4.3497,349.0868
6.46,-0.0004,0.0003,-0.0001,357.2285,4.3488,349.0862
6.48,-0.0004,0.0002,0,357.2288,4.3486,349.086
6.5,-0.0004,0.0003,0,357.2284,4.3487,349.0862
6.52,-0.0002,0.0002,0,357.2285,4.3495,349.0855
6.54,-0.0004,0.0001,0,357.2294,4.3486,349.0856
6.56,-0.0003,0.0001,0,357.229,4.349,349.0857
6.58,-0.0003,0.0002,-0.0001,357.2287,4.3493,349.086
6.6,-0.0003,0.0003,-0.0001,357.2285,4.3491,349.086
6.62,-0.0005,0.0003,0,357.2285,4.3484,349.0869
6.64,-0.0003,0,-0.0001,357.2296,4.3493,349.0861
6.66,-0.0002,0.0003,-0.0002,357.2287,4.3497,349.0865
6.68,-0.0003,0.0003,-0.0001,357.2284,4.3488,349.0867
6.7,-0.0001,0.0004,-0.0003,357.2285,4.3502,349.0869
6.72,-0.0003,0.0004,-0.0001,357.2282,4.3491,349.0869
