time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
54.4,4.3265,-1.1561,-2,0,0,40
54.42,4.32,-1.1615,-2,0,0,39.9286
54.44,4.2818,-1.1932,-2,0,0,39.5056
54.46,4.2087,-1.2526,-2,0,0,38.704
54.48,4.0999,-1.338,-2,0,0,37.5262
54.5,3.9541,-1.4469,-2,0,0,35.9773
54.52,3.77,-1.5758,-2,0,0,34.0641
54.54,3.5465,-1.7207,-2,0,0,31.7964
54.56,3.2824,-1.8761,-2,0,0,29.1876
54.58,2.9775,-2.0363,-2,0,0,26.2557
54.6,2.6325,-2.1946,-2,0,0,23.0238
54.62,2.249,-2.3439,-2,0,0,19.5205
54.64,1.8304,-2.4771,-2,0,0,15.7805
54.66,1.3815,-2.5875,-2,0,0,11.8442
54.68,0.9085,-2.6692,-2,0,0,7.7576
54.7,0.4192,-2.7177,-2,0,0,3.5711
54.72,-0.0777,-2.7303,-2,0,0,359.3382
54.74,-0.5733,-2.7063,-2,0,0,355.1139
54.76,-1.0585,-2.647,-2,0,0,350.9517
54.78,-1.5247,-2.5558,-2,0,0,346.9069
54.8,-1.9648,-2.4376,-2,0,0,343.0273
54.82,-2.3729,-2.2986,-2,0,0,339.3572
54.84,-2.7446,-2.1458,-2,0,0,335.9353
54.86,-3.0772,-1.9862,-2,0,0,332.7943
54.88,-3.3693,-1.8267,-2,0,0,329.9612
54.9,-3.6207,-1.674,-2,0,0,327.4574
54.92,-3.8318,-1.5336,-2,0,0,325.2992
54.94,-4.0037,-1.4105,-2,0,0,323.499
54.96,-4.1378,-1.3087,-2,0,0,322.0656
54.98,-4.2353,-1.2312,-2,0,0,321.0051
55,-4.2975,-1.1803,-2,0,0,320.3215
55.02,-4.3249,-1.1574,-2,0,0,320.0172
55.04,-4.3181,-1.1631,-2,0,0,320.0931
55.06,-4.2769,-1.1973,-2,0,0,320.549
55.08,-4.2007,-1.259,-2,0,0,321.3834
55.1,-4.0887,-1.3465,-2,0,0,322.5933
55.12,-3.9397,-1.4573,-2,0,0,324.174
55.14,-3.7523,-1.5878,-2,0,0,326.1184
55.16,-3.5252,-1.7338,-2,0,0,328.4162
55.18,-3.2576,-1.8899,-2,0,0,331.0538
55.2,-2.9492,-2.0502,-2,0,0,334.0126
55.22,-2.6008,-2.208,-2,0,0,337.2692
55.24,-2.2141,-2.3562,-2,0,0,340.7945
55.26,-1.7927,-2.4876,-2,0,0,344.5532
55.28,-1.3414,-2.5957,-2,0,0,348.5043
55.3,-0.8667,-2.6747,-2,0,0,352.6016
55.32,-0.3764,-2.7202,-2,0,0,356.7943
55.34,0.121,-2.7297,-2,0,0,1.0299
55.36,0.616,-2.7025,-2,0,0,5.2509
55.38,1.0997,-2.6403,-2,0,0,9.4038
55.4,1.564,-2.5465,-2,0,0,13.4362
55.42,2.0015,-2.4263,-2,0,0,17.2993
55.44,2.4065,-2.2858,-2,0,0,20.9494
55.46,2.775,-2.1321,-2,0,0,24.3482
55.48,3.1041,-1.9722,-2,0,0,27.4634
55.5,3.3927,-1.8132,-2,0,0,30.2688
55.52,3.6405,-1.6613,-2,0,0,32.7433
55.54,3.8482,-1.5222,-2,0,0,34.871
55.56,4.0168,-1.4008,-2,0,0,36.6397
55.58,4.1477,-1.3009,-2,0,0,38.041
55.6,4.2421,-1.2257,-2,0,0,39.069
55.62,4.3012,-1.1772,-2,0,0,39.72
55.64,4.3257,-1.1567,-2,0,0,39.9913
55.66,4.3159,-1.1649,-2,0,0,39.8824
55.68,4.2717,-1.2016,-2,0,0,39.3937
55.7,4.1925,-1.2656,-2,0,0,38.5266
55.72,4.0773,-1.3553,-2,0,0,37.2844
55.74,3.925,-1.4679,-2,0,0,35.6719
55.76,3.7342,-1.5999,-2,0,0,33.6965
55.78,3.5036,-1.747,-2,0,0,31.3686
55.8,3.2325,-1.9037,-2,0,0,28.7025
55.82,2.9206,-2.0641,-2,0,0,25.7169
55.84,2.5688,-2.2213,-2,0,0,22.4357
55.86,2.179,-2.3683,-2,0,0,18.8888
55.88,1.7547,-2.498,-2,0,0,15.1118
55.9,1.3011,-2.6038,-2,0,0,11.146
55.92,0.8246,-2.6801,-2,0,0,7.0372
55.94,0.3333,-2.7225,-2,0,0,2.8387
55.96,-0.1641,-2.7288,-2,0,0,358.6033
55.98,-0.6584,-2.6985,-2,0,0,354.3861
56,-1.1408,-2.6334,-2,0,0,350.2416
56.02,-1.603,-2.5371,-2,0,0,346.222
56.04,-2.0379,-2.4148,-2,0,0,342.3757
56.06,-2.4399,-2.273,-2,0,0,338.7459
56.08,-2.805,-2.1184,-2,0,0,335.3705
56.1,-3.1307,-1.9583,-2,0,0,332.2811
56.12,-3.4158,-1.7996,-2,0,0,329.5036
56.14,-3.6601,-1.6486,-2,0,0,327.0586
56.16,-3.8643,-1.5109,-2,0,0,324.9616
56.18,-4.0296,-1.3913,-2,0,0,323.2243
56.2,-4.1573,-1.2934,-2,0,0,321.8548
56.22,-4.2486,-1.2204,-2,0,0,320.8594
56.24,-4.3047,-1.1743,-2,0,0,320.2415
56.26,-4.3262,-1.1563,-2,0,0,320.0031
56.28,-4.3134,-1.167,-2,0,0,320.1449
56.3,-4.2662,-1.206,-2,0,0,320.6665
56.32,-4.1839,-1.2724,-2,0,0,321.5661
56.34,-4.0656,-1.3641,-2,0,0,322.8406
56.36,-3.91,-1.4786,-2,0,0,324.4849
56.38,-3.7158,-1.6121,-2,0,0,326.4913
56.4,-3.4818,-1.7602,-2,0,0,328.8491
56.42,-3.2071,-1.9176,-2,0,0,331.5437
56.44,-2.8917,-2.0779,-2,0,0,334.5559
56.46,-2.5365,-2.2345,-2,0,0,337.8613
56.48,-2.1434,-2.3804,-2,0,0,341.4308
56.5,-1.7164,-2.5082,-2,0,0,345.2259
56.52,-1.2605,-2.6117,-2,0,0,349.2059
56.54,-0.7825,-2.6851,-2,0,0,353.3235
56.56,-0.2904,-2.7245,-2,0,0,357.5273
56.58,0.2071,-2.7276,-2,0,0,1.7633
56.6,0.7008,-2.6942,-2,0,0,5.9763
56.62,1.1817,-2.6262,-2,0,0,10.112
56.64,1.6418,-2.5275,-2,0,0,14.1185
56.66,2.0741,-2.4032,-2,0,0,17.9477
56.68,2.473,-2.26,-2,0,0,21.5569
56.7,2.8348,-2.1047,-2,0,0,24.9087
56.72,3.157,-1.9445,-2,0,0,27.972
56.74,3.4385,-1.7862,-2,0,0,30.7215
56.76,3.6793,-1.6361,-2,0,0,33.1369
56.78,3.8802,-1.4998,-2,0,0,35.2037
56.8,4.0422,-1.3818,-2,0,0,36.9093
56.82,4.1666,-1.2861,-2,0,0,38.2462
56.84,4.2549,-1.2153,-2,0,0,39.209
56.86,4.3079,-1.1716,-2,0,0,39.7942
56.88,4.3264,-1.1561,-2,0,0,39.9997
56.9,4.3107,-1.1693,-2,0,0,39.825
56.92,4.2605,-1.2107,-2,0,0,39.2706
56.94,4.1751,-1.2794,-2,0,0,38.3383
56.96,4.0536,-1.3732,-2,0,0,37.0315
56.98,3.8948,-1.4895,-2,0,0,35.3556
57,3.6971,-1.6244,-2,0,0,33.3183
57.02,3.4596,-1.7736,-2,0,0,30.9307
57.04,3.1814,-1.9314,-2,0,0,28.2078
57.06,2.8624,-2.0918,-2,0,0,25.1682
57.08,2.5038,-2.2477,-2,0,0,21.8387
57.1,2.1077,-2.3922,-2,0,0,18.2491
57.12,1.678,-2.5183,-2,0,0,14.4362
57.14,1.2199,-2.6193,-2,0,0,10.4424
57.16,0.7404,-2.6899,-2,0,0,6.3153
57.18,0.2474,-2.7262,-2,0,0,2.1065
57.2,-0.2501,-2.7261,-2,0,0,357.8703
57.22,-0.7431,-2.6896,-2,0,0,353.6618
57.24,-1.2225,-2.6188,-2,0,0,349.5353
57.26,-1.6804,-2.5176,-2,0,0,345.5423
57.28,-2.11,-2.3915,-2,0,0,341.7305
57.3,-2.5059,-2.2469,-2,0,0,338.1423
57.32,-2.8643,-2.0909,-2,0,0,334.8143
57.34,-3.1831,-1.9305,-2,0,0,331.7763
57.36,-3.461,-1.7727,-2,0,0,329.0552
57.38,-3.6983,-1.6237,-2,0,0,326.6695
57.4,-3.8957,-1.4888,-2,0,0,324.6342
57.42,-4.0544,-1.3726,-2,0,0,322.9603
57.44,-4.1757,-1.2789,-2,0,0,321.6555
57.46,-4.2608,-1.2104,-2,0,0,320.7253
57.48,-4.3109,-1.1691,-2,0,0,320.173
57.5,-4.3264,-1.1561,-2,0,0,320.0004
57.52,-4.3077,-1.1717,-2,0,0,320.208
57.54,-4.2545,-1.2156,-2,0,0,320.7952
57.56,-4.166,-1.2865,-2,0,0,321.7601
57.58,-4.0414,-1.3824,-2,0,0,323.0991
57.6,-3.8792,-1.5005,-2,0,0,324.8066
57.62,-3.6782,-1.6369,-2,0,0,326.8747
57.64,-3.4371,-1.787,-2,0,0,329.2928
57.66,-3.1553,-1.9453,-2,0,0,332.044
57.68,-2.8329,-2.1055,-2,0,0,335.109
57.7,-2.471,-2.2608,-2,0,0,338.4623
57.72,-2.0718,-2.404,-2,0,0,342.0728
57.74,-1.6394,-2.5281,-2,0,0,345.9031
57.76,-1.1792,-2.6267,-2,0,0,349.9104
57.78,-0.6981,-2.6945,-2,0,0,354.0467
57.8,-0.2044,-2.7277,-2,0,0,358.26
57.82,0.2931,-2.7244,-2,0,0,2.496
57.84,0.7852,-2.6848,-2,0,0,6.6995
57.86,1.2631,-2.6112,-2,0,0,10.8164
57.88,1.7188,-2.5076,-2,0,0,14.7955
57.9,2.1457,-2.3796,-2,0,0,18.5895
57.92,2.5385,-2.2337,-2,0,0,22.1576
57.94,2.8936,-2.077,-2,0,0,25.4615
57.96,3.2088,-1.9167,-2,0,0,28.472
57.98,3.4832,-1.7594,-2,0,0,31.1648
58,3.717,-1.6113,-2,0,0,33.5207
58.02,3.911,-1.4779,-2,0,0,35.5251
58.04,4.0664,-1.3636,-2,0,0,37.1674
58.06,4.1845,-1.272,-2,0,0,38.4398
58.08,4.2665,-1.2058,-2,0,0,39.3374
58.1,4.3136,-1.1669,-2,0,0,39.857
58.12,4.3262,-1.1563,-2,0,0,39.9967
58.14,4.3045,-1.1744,-2,0,0,39.7561
58.16,4.2482,-1.2207,-2,0,0,39.1361
58.18,4.1567,-1.2939,-2,0,0,38.1387
58.2,4.0288,-1.3918,-2,0,0,36.7676
58.22,3.8633,-1.5116,-2,0,0,35.0279
58.24,3.6588,-1.6494,-2,0,0,32.9289
58.26,3.4143,-1.8005,-2,0,0,30.482
58.28,3.129,-1.9592,-2,0,0,27.7028
58.3,2.8031,-2.1193,-2,0,0,24.6117
58.32,2.4378,-2.2738,-2,0,0,21.2348
58.34,2.0356,-2.4156,-2,0,0,17.6038
58.36,1.6005,-2.5377,-2,0,0,13.7563
58.38,1.1382,-2.6338,-2,0,0,9.7359
58.4,0.6557,-2.6988,-2,0,0,5.5909
58.42,0.1613,-2.7288,-2,0,0,1.3734
58.44,-0.3361,-2.7224,-2,0,0,357.1381
58.46,-0.8273,-2.6797,-2,0,0,352.9399
58.48,-1.3035,-2.6033,-2,0,0,348.8329
58.5,-1.7571,-2.4974,-2,0,0,344.8669
58.52,-2.1812,-2.3675,-2,0,0,341.091
58.54,-2.5708,-2.2205,-2,0,0,337.5455
58.56,-2.9225,-2.0632,-2,0,0,334.2659
58.58,-3.2341,-1.9029,-2,0,0,331.282
58.6,-3.505,-1.7461,-2,0,0,328.6176
58.62,-3.7353,-1.5991,-2,0,0,326.2917
58.64,-3.9259,-1.4672,-2,0,0,324.3182
58.66,-4.078,-1.3547,-2,0,0,322.7078
58.68,-4.193,-1.2652,-2,0,0,321.4676
58.7,-4.272,-1.2013,-2,0,0,320.6026
58.72,-4.316,-1.1648,-2,0,0,320.1159
58.74,-4.3256,-1.1568,-2,0,0,320.0092
58.76,-4.301,-1.1773,-2,0,0,320.2826
58.78,-4.2417,-1.226,-2,0,0,320.9356
58.8,-4.1471,-1.3014,-2,0,0,321.9656
58.82,-4.016,-1.4014,-2,0,0,323.369
58.84,-3.8471,-1.5229,-2,0,0,325.1398
58.86,-3.6393,-1.6621,-2,0,0,327.2693
58.88,-3.3912,-1.814,-2,0,0,329.7457
58.9,-3.1024,-1.9731,-2,0,0,332.5529
58.92,-2.773,-2.133,-2,0,0,335.6697
58.94,-2.4044,-2.2867,-2,0,0,339.07
58.96,-1.9992,-2.427,-2,0,0,342.7213
58.98,-1.5615,-2.5471,-2,0,0,346.5855
59,-1.0971,-2.6407,-2,0,0,350.6187
59.02,-0.6133,-2.7028,-2,0,0,354.7722
59.04,-0.1182,-2.7297,-2,0,0,358.9933
59.06,0.379,-2.7201,-2,0,0,3.2276
59.08,0.8694,-2.6744,-2,0,0,7.4212
59.1,1.344,-2.5952,-2,0,0,11.5178
