time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
54.4,-17.9687,0.1454,-0.8162,354.4388,357.3291,2.5595
54.42,-17.9687,0.1454,-0.8162,354.4388,357.3291,2.5595
54.44,-17.9687,0.1456,-0.8163,354.4369,357.3284,2.5597
54.46,-17.9689,0.1457,-0.8165,354.4367,357.3264,2.5595
54.48,-17.969,0.1455,-0.8165,354.4375,357.3253,2.5604
54.5,-17.969,0.1455,-0.8165,354.4376,357.3251,2.5602
54.52,-17.9692,0.1455,-0.8166,354.4376,357.3241,2.5606
54.54,-17.9691,0.1455,-0.8165,354.438,357.3249,2.5607
54.56,-17.9689,0.1457,-0.8165,354.4365,357.3264,2.5592
54.58,-17.9689,0.1458,-0.8165,354.4361,357.3264,2.5594
54.6,-17.9691,0.1456,-0.8166,354.4371,357.3253,2.5596
54.62,-17.969,0.1457,-0.8166,354.4367,357.3257,2.5593
54.64,-17.9689,0.1456,-0.8165,354.4377,357.3258,2.5598
54.66,-17.9689,0.1456,-0.8165,354.4374,357.3261,2.5601
54.68,-17.969,0.1455,-0.8165,354.4377,357.326,2.5606
54.7,-17.969,0.1454,-0.8165,354.438,357.3257,2.5607
54.72,-17.9685,0.1456,-0.8163,354.4383,357.3289,2.5586
54.74,-17.9689,0.1454,-0.8165,354.4382,357.3262,2.5602
54.76,-17.969,0.1455,-0.8165,354.4375,357.3261,2.5606
54.78,-17.969,0.1455,-0.8165,354.4374,357.3257,2.5606
54.8,-17.9691,0.1456,-0.8167,354.4367,357.3242,2.5605
54.82,-17.9689,0.1456,-0.8166,354.4368,357.3258,2.5598
54.84,-17.9689,0.1458,-0.8166,354.436,357.326,2.5595
54.86,-17.9688,0.1459,-0.8166,354.4357,357.3262,2.5592
54.88,-17.9691,0.1456,-0.8166,354.4364,357.3254,2.5607
54.9,-17.9691,0.1458,-0.8167,354.4362,357.3243,2.5598
54.92,-17.9689,0.1458,-0.8166,354.4357,357.3259,2.5591
54.94,-17.9691,0.1455,-0.8166,354.4373,357.3249,2.5601
54.96,-17.969,0.1456,-0.8166,354.4367,357.3253,2.5602
54.98,-17.9688,0.1456,-0.8165,354.4371,357.3272,2.5592
55,-17.9688,0.1456,-0.8164,354.437,357.3276,2.56
55.02,-17.9689,0.1458,-0.8166,354.4356,357.3266,2.56
55.04,-17.9692,0.1456,-0.8167,354.4366,357.3246,2.5608
55.06,-17.9691,0.1457,-0.8166,354.4364,357.3247,2.5597
55.08,-17.9688,0.1458,-0.8166,354.4362,357.3271,2.5594
55.1,-17.9688,0.1457,-0.8165,354.4368,357.3267,2.5597
55.12,-17.9687,0.1455,-0.8164,354.4376,357.3279,2.5594
55.14,-17.9687,0.1456,-0.8165,354.4372,357.3271,2.559
55.16,-17.9692,0.1456,-0.8167,354.4368,357.3243,2.5607
55.18,-17.9689,0.1458,-0.8167,354.4355,357.3256,2.5598
55.2,-17.9688,0.1456,-0.8165,354.4368,357.3266,2.5598
55.22,-17.9687,0.1458,-0.8165,354.4362,357.3268,2.5593
55.24,-17.9689,0.1456,-0.8166,354.4366,357.327,2.5598
55.26,-17.9689,0.1457,-0.8165,354.436,357.3271,2.5606
55.28,-17.9689,0.1456,-0.8165,354.4364,357.3266,2.5605
55.3,-17.9688,0.1455,-0.8164,354.4379,357.3273,2.5595
55.32,-17.9687,0.1455,-0.8164,354.4379,357.3283,2.5596
55.34,-17.9688,0.1453,-0.8163,354.4388,357.3277,2.56
55.36,-17.9689,0.1455,-0.8164,354.4375,357.3269,2.5603
55.38,-17.9688,0.1455,-0.8164,354.4378,357.3275,2.5598
55.4,-17.9689,0.1453,-0.8164,354.4389,357.3261,2.5598
55.42,-17.9688,0.1456,-0.8164,354.437,357.3269,2.5595
55.44,-17.969,0.1454,-0.8164,354.438,357.3255,2.5609
55.46,-17.9689,0.1456,-0.8165,354.4373,357.3268,2.5597
55.48,-17.9689,0.1456,-0.8165,354.437,357.3263,2.5605
55.5,-17.9688,0.1457,-0.8165,354.4364,357.3276,2.5598
55.52,-17.9689,0.1456,-0.8165,354.4371,357.3275,2.56
55.54,-17.9688,0.1458,-0.8165,354.4359,357.3274,2.5598
55.56,-17.9688,0.1456,-0.8165,354.4373,357.3269,2.5596
55.58,-17.969,0.1455,-0.8165,354.4376,357.3258,2.5601
55.6,-17.9688,0.1455,-0.8164,354.4371,357.3279,2.5601
55.62,-17.9689,0.1455,-0.8164,354.4371,357.3271,2.5601
55.64,-17.9689,0.1457,-0.8165,354.4364,357.3266,2.5603
55.66,-17.9687,0.1457,-0.8165,354.4364,357.3283,2.5598
55.68,-17.9689,0.1456,-0.8165,354.4369,357.3271,2.56
55.7,-17.9688,0.1456,-0.8165,354.4369,357.3277,2.5596
55.72,-17.969,0.1459,-0.8166,354.4344,357.3261,2.5597
55.74,-17.9688,0.1458,-0.8165,354.4357,357.3271,2.5595
55.76,-17.9686,0.1455,-0.8163,354.4376,357.3291,2.5591
55.78,-17.9688,0.1456,-0.8164,354.4367,357.3275,2.5592
55.8,-17.9687,0.1457,-0.8164,354.4371,357.3278,2.559
55.82,-17.9687,0.1455,-0.8164,354.4374,357.3285,2.5596
55.84,-17.9686,0.1455,-0.8163,354.4379,357.3289,2.5596
55.86,-17.9691,0.1453,-0.8166,354.4387,357.3254,2.5609
55.88,-17.9689,0.1453,-0.8165,354.4385,357.3278,2.5607
55.9,-17.9689,0.1454,-0.8165,354.4383,357.3268,2.5604
55.92,-17.9689,0.1454,-0.8165,354.4379,357.3268,2.5599
