time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.62,-18.2226,0.3037,-0.1633,354.5675,357.4128,359.6679
11.64,-18.2219,0.3037,-0.1627,354.5685,357.4173,359.6667
11.66,-18.2228,0.3039,-0.1632,354.5674,357.4122,359.6673
11.68,-18.2223,0.3036,-0.1628,354.5685,357.4156,359.6671
11.7,-18.2225,0.3032,-0.163,354.571,357.4142,359.6678
11.72,-18.222,0.3033,-0.1628,354.5702,357.4168,359.6673
11.74,-18.222,0.3034,-0.1628,354.5711,357.4164,359.6669
11.76,-18.2213,0.3033,-0.1622,354.572,357.4211,359.6662
11.78,-18.2227,0.303,-0.163,354.5731,357.4147,359.6682
11.8,-18.223,0.3029,-0.1631,354.5733,357.4117,359.6693
11.82,-18.223,0.3028,-0.163,354.574,357.4116,359.669
11.84,-18.2223,0.3031,-0.1627,354.5728,357.4149,359.6687
11.86,-18.2213,0.303,-0.162,354.5736,357.4195,359.6682
11.88,-18.2225,0.3025,-0.1628,354.5757,357.4145,359.6696
11.9,-18.2217,0.3033,-0.1624,354.5724,357.4181,359.6669
11.92,-18.2231,0.303,-0.1632,354.573,357.4097,359.6697
11.94,-18.2224,0.3029,-0.1629,354.5728,357.4128,359.6696
11.96,-18.2223,0.3031,-0.1629,354.5724,357.4138,359.6681
11.98,-18.2221,0.3029,-0.163,354.5722,357.4141,359.6691
12,-18.2222,0.3033,-0.1632,354.5704,357.4149,359.6681
12.02,-18.2233,0.3028,-0.1637,354.573,357.4094,359.6691
12.04,-18.2225,0.3029,-0.1632,354.5727,357.4141,359.6681
12.06,-18.2218,0.3031,-0.1628,354.5712,357.4209,359.6662
12.08,-18.2221,0.3032,-0.1629,354.5711,357.4187,359.6672
12.1,-18.2209,0.3038,-0.1625,354.5686,357.4254,359.6637
12.12,-18.2214,0.3039,-0.1629,354.5672,357.424,359.6628
12.14,-18.2205,0.3046,-0.1629,354.5619,357.4315,359.6567
12.16,-18.2206,0.3046,-0.163,354.5614,357.4305,359.6567
12.18,-18.2204,0.3049,-0.163,354.5597,357.4315,359.6559
12.2,-18.2205,0.3049,-0.163,354.5603,357.4328,359.6542
