time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.72,0.0006,0.0002,-0.0004,351.5047,2.0116,357.6415
3.74,0.0006,0.0002,-0.0004,351.5047,2.0116,357.6415
3.76,0.0006,0.0002,-0.0004,351.5047,2.0116,357.6415
3.78,0.0007,0.0002,-0.0004,351.5045,2.0121,357.6411
3.8,0.0006,0.0003,-0.0003,351.5038,2.0119,357.6407
3.82,0.0006,0.0002,-0.0004,351.5037,2.012,357.6401
3.84,0.0005,0.0003,-0.0004,351.5038,2.0114,357.6415
3.86,0.0006,0.0002,-0.0004,351.5038,2.0121,357.6409
3.88,0.0004,0.0002,-0.0003,351.5044,2.0106,357.641
3.9,0.0003,0.0003,-0.0004,351.5032,2.0102,357.6411
3.92,0.0004,0.0004,-0.0004,351.5039,2.0108,357.6419
3.94,0.0005,0.0002,-0.0004,351.5042,2.011,357.6411
3.96,0.0006,0.0004,-0.0005,351.503,2.0112,357.6416
3.98,0.0006,0.0005,-0.0004,351.5024,2.0124,357.6415
4,0.0001,0.0002,-0.0002,351.5043,2.0093,357.6425
4.02,0.0002,0.0001,-0.0002,351.5046,2.0092,357.6419
4.04,0.0001,0.0003,-0.0002,351.5028,2.0091,357.6413
4.06,0.0001,0.0003,-0.0002,351.5041,2.0089,357.6414
4.08,0.0002,0.0004,-0.0002,351.5035,2.0096,357.6422
4.1,0.0001,0.0001,-0.0001,351.5049,2.0085,357.6416
4.12,0.0002,0.0003,-0.0002,351.5031,2.0093,357.641
4.14,0.0005,0.0002,-0.0004,351.503,2.0111,357.6406
4.16,-0.0001,0.0006,-0.0002,351.5025,2.008,357.6432
4.18,0.0002,0.0003,-0.0002,351.5039,2.0095,357.6419
4.2,0.0005,0.0002,-0.0003,351.5048,2.0116,357.6416
4.22,0.0004,0,-0.0002,351.5053,2.0103,357.6407
4.24,0.0008,0,-0.0004,351.5052,2.0128,357.6407
4.26,0.0008,0.0002,-0.0005,351.5035,2.0141,357.6389
4.28,0.0009,0,-0.0004,351.505,2.0138,357.6396
4.3,0.0006,0.0002,-0.0004,351.504,2.012,357.6408
4.32,0.0004,0.0003,-0.0003,351.5041,2.0107,357.6415
4.34,0.0003,0.0004,-0.0003,351.5033,2.0102,357.6421
4.36,0.0006,0.0004,-0.0004,351.5033,2.0129,357.6412
4.38,0.0006,0.0002,-0.0004,351.5042,2.0122,357.6419
4.4,0.0004,0.0002,-0.0003,351.5037,2.0105,357.6415
