time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.74,4.3265,-1.1561,-2,0,0,40
35.76,3.8901,-1.4928,-2,0,0,35.3067
35.78,4.0499,-1.376,-2,0,0,36.9922
35.8,4.1724,-1.2815,-2,0,0,38.3088
35.82,4.2587,-1.2122,-2,0,0,39.2509
35.84,4.3098,-1.17,-2,0,0,39.8153
35.86,4.3265,-1.1561,-2,0,0,40
35.88,4.3088,-1.1708,-2,0,0,39.8044
35.9,4.2567,-1.2138,-2,0,0,39.2291
35.92,4.1694,-1.2839,-2,0,0,38.2761
35.94,4.0459,-1.379,-2,0,0,36.9489
35.96,3.8849,-1.4964,-2,0,0,35.2529
35.98,3.6851,-1.6323,-2,0,0,33.196
36,3.4454,-1.7821,-2,0,0,30.7892
36.02,3.1649,-1.9403,-2,0,0,28.0483
36.04,2.8438,-2.1005,-2,0,0,24.9929
36.06,2.483,-2.256,-2,0,0,21.6483
36.08,2.085,-2.3997,-2,0,0,18.0455
36.1,1.6536,-2.5245,-2,0,0,14.2215
36.12,1.1941,-2.624,-2,0,0,10.2191
36.14,0.7135,-2.6928,-2,0,0,6.0855
36.16,0.2201,-2.7272,-2,0,0,1.8738
36.18,-0.2774,-2.725,-2,0,0,357.6377
36.2,-0.7698,-2.6866,-2,0,0,353.4323
36.22,-1.2483,-2.614,-2,0,0,349.3118
36.24,-1.7048,-2.5113,-2,0,0,345.3277
36.26,-2.1327,-2.384,-2,0,0,341.5271
36.28,-2.5266,-2.2385,-2,0,0,337.9518
36.3,-2.8829,-2.0821,-2,0,0,334.639
36.32,-3.1994,-1.9218,-2,0,0,331.6188
36.34,-3.4751,-1.7643,-2,0,0,328.9156
36.36,-3.7102,-1.6159,-2,0,0,326.5487
36.38,-3.9054,-1.4819,-2,0,0,324.533
36.4,-4.062,-1.3669,-2,0,0,322.8791
36.42,-4.1813,-1.2745,-2,0,0,321.5946
36.44,-4.2645,-1.2074,-2,0,0,320.6852
36.46,-4.3126,-1.1677,-2,0,0,320.1537
36.48,-4.3263,-1.1562,-2,0,0,320.002
36.5,-4.3057,-1.1734,-2,0,0,320.2305
36.52,-4.2505,-1.2188,-2,0,0,320.8385
36.54,-4.1601,-1.2912,-2,0,0,321.824
36.56,-4.0334,-1.3884,-2,0,0,323.1834
36.58,-3.8691,-1.5075,-2,0,0,324.9113
36.6,-3.6659,-1.6448,-2,0,0,326.999
36.62,-3.4227,-1.7956,-2,0,0,329.4351
36.64,-3.1387,-1.9541,-2,0,0,332.2041
36.66,-2.8141,-2.1143,-2,0,0,335.2856
36.68,-2.45,-2.269,-2,0,0,338.6539
36.7,-2.0489,-2.4113,-2,0,0,342.2774
36.72,-1.6147,-2.5342,-2,0,0,346.1192
36.74,-1.1532,-2.6312,-2,0,0,350.1349
36.76,-0.6712,-2.6972,-2,0,0,354.2768
36.78,-0.177,-2.7284,-2,0,0,358.4928
36.8,0.3204,-2.7231,-2,0,0,2.7284
36.82,0.8119,-2.6816,-2,0,0,6.9285
36.84,1.2888,-2.6062,-2,0,0,11.0392
36.86,1.7432,-2.5011,-2,0,0,15.0099
36.88,2.1683,-2.372,-2,0,0,18.7924
36.9,2.559,-2.2253,-2,0,0,22.3459
