time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.74,-18.567,-0.1269,1.8842,359.5822,355.1408,357.4142
35.76,-18.567,-0.1268,1.8841,359.5814,355.1407,357.4142
35.78,-18.5672,-0.127,1.8841,359.5822,355.1388,357.4156
35.8,-18.5671,-0.1265,1.884,359.5804,355.14,357.4153
35.82,-18.5673,-0.1266,1.884,359.5809,355.1389,357.4153
35.84,-18.5672,-0.1265,1.8839,359.58,355.1392,357.415
35.86,-18.5678,-0.1267,1.8838,359.5807,355.136,357.4169
35.88,-18.5674,-0.1268,1.8839,359.5814,355.1377,357.416
35.9,-18.5674,-0.1268,1.8839,359.5818,355.1375,357.4164
35.92,-18.5675,-0.1266,1.8838,359.5804,355.1375,357.4158
35.94,-18.5672,-0.1268,1.8841,359.5822,355.1401,357.4145
35.96,-18.5672,-0.1266,1.884,359.5802,355.1392,357.4146
35.98,-18.5674,-0.1266,1.8838,359.5799,355.1391,357.4148
36,-18.5673,-0.1268,1.8838,359.5813,355.1387,357.4138
36.02,-18.5673,-0.1269,1.884,359.5819,355.1386,357.4147
36.04,-18.5672,-0.1269,1.884,359.5818,355.1393,357.4146
36.06,-18.5672,-0.1271,1.8841,359.5829,355.1401,357.4151
36.08,-18.5671,-0.1268,1.884,359.5813,355.1397,357.4149
36.1,-18.5671,-0.1266,1.8841,359.5804,355.1399,357.4144
36.12,-18.567,-0.1264,1.8841,359.5789,355.1401,357.4148
36.14,-18.5668,-0.1265,1.8841,359.5795,355.141,357.4139
36.16,-18.567,-0.1265,1.884,359.5797,355.1402,357.4145
36.18,-18.5671,-0.1267,1.884,359.5809,355.1404,357.4146
36.2,-18.567,-0.1267,1.8841,359.5806,355.1405,357.4153
36.22,-18.5674,-0.1269,1.884,359.5822,355.1394,357.4151
36.24,-18.5674,-0.1268,1.884,359.5814,355.1385,357.4152
36.26,-18.5675,-0.127,1.884,359.5819,355.1375,357.4172
36.28,-18.5675,-0.1268,1.884,359.5808,355.1375,357.4166
36.3,-18.5677,-0.1269,1.8839,359.5827,355.1358,357.4172
36.32,-18.5675,-0.1268,1.8838,359.5814,355.1361,357.4162
