time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.24,-0.5248,0.5946,0.3466,354.4262,40.1687,291.6132
5.26,-0.5248,0.5946,0.3466,354.4262,40.1687,291.6132
5.28,-0.5342,0.5919,0.3977,356.0616,40.5369,291.3557
5.3,-0.537,0.6002,0.4202,356.7077,40.5619,290.6831
5.32,-0.5513,0.6319,0.4405,356.7421,41.0391,290.3538
5.34,-0.5723,0.7256,0.4407,355.3406,43.0755,290.1128
5.36,-0.69,0.9358,0.4612,356.1342,44.5816,305.0371
5.38,-0.8671,1.0566,0.616,357.0613,44.8582,308.5748
5.4,-0.9661,1.0543,0.708,357.684,44.511,309.291
5.42,-1.0672,1.0613,0.806,357.9269,43.8029,309.8289
5.44,-1.1687,1.083,0.9038,357.982,42.6965,310.6399
5.46,-1.251,1.1056,0.971,357.9373,41.7934,311.2941
5.48,-1.5793,1.1702,1.1674,358.7746,39.7355,313.0381
5.5,-1.7705,1.2069,1.2529,0.5747,40.1244,315.8526
5.52,-1.9991,1.2521,1.3583,1.7753,40.4549,317.921
5.54,-2.2618,1.3113,1.4819,1.8743,40.0671,319.2713
5.56,-2.5582,1.3743,1.6206,1.3499,39.1429,319.8787
5.58,-3.2269,1.4978,1.9031,358.8585,36.4582,319.2448
5.6,-3.5879,1.5371,2.0283,357.7768,35.19,318.3875
5.62,-3.9644,1.5472,2.1449,357.088,33.9285,317.5268
5.64,-4.3548,1.5339,2.2537,356.6899,32.6822,316.6481
5.66,-4.7601,1.5042,2.3505,356.3653,31.5141,315.6507
5.68,-5.6311,1.4159,2.5149,355.8123,29.2263,312.8839
5.7,-6.0996,1.3767,2.584,355.5177,28.0674,311.4168
5.72,-6.5908,1.3501,2.647,355.2602,26.7825,310.2723
5.74,-7.1065,1.344,2.7053,354.9142,25.4053,309.0894
5.76,-7.6425,1.3567,2.7552,354.4759,23.9714,308.067
5.78,-8.7633,1.4273,2.8107,353.7562,21.0485,306.2936
5.8,-9.3408,1.4817,2.8142,353.3719,19.6014,305.6954
5.82,-9.9208,1.5431,2.8006,352.9029,18.1133,305.2448
5.84,-10.503,1.5921,2.7724,352.5162,16.5652,304.9489
5.86,-11.0805,1.6199,2.7294,352.17,15.0945,304.4826
5.88,-12.2046,1.6242,2.5926,351.6375,12.598,303.149
5.9,-12.7467,1.6119,2.4923,351.4555,11.6906,302.1996
5.92,-13.2773,1.5866,2.3771,351.3397,10.9334,301.0868
5.94,-13.8025,1.5377,2.2592,351.7064,9.8194,300.2372
5.96,-14.3222,1.4706,2.1454,352.3602,8.4035,299.3497
5.98,-15.2976,1.3421,1.9342,353.0014,5.6627,299.5823
6,-15.7409,1.2811,1.8423,353.1643,4.2401,299.9803
6.02,-16.147,1.228,1.7568,353.1419,2.8501,300.2094
6.04,-16.4951,1.1941,1.6865,352.9071,1.686,300.5486
6.06,-16.801,1.1782,1.6225,352.6417,0.6905,301.2107
6.08,-17.2983,1.1464,1.5238,352.6636,358.9071,301.6792
6.1,-17.5002,1.1319,1.487,352.7895,357.9945,301.086
6.12,-17.6597,1.1195,1.4588,352.6083,357.5116,300.1472
6.14,-17.7837,1.1158,1.4334,352.0167,357.1989,299.7561
6.16,-17.8609,1.1153,1.4092,351.2808,357.1073,300.2422
6.18,-17.864,1.1109,1.3482,348.9901,357.6751,299.1489
6.2,-17.8389,1.1124,1.3312,348.3575,357.7305,297.0967
6.22,-17.8052,1.1117,1.3205,348.5082,357.5135,295.9663
6.24,-17.7679,1.1091,1.3266,348.5284,357.1497,295.7238
6.26,-17.7342,1.1055,1.3386,348.3012,357.0756,295.5633
6.28,-17.7037,1.1,1.3673,347.886,356.6288,295.4495
6.3,-17.7029,1.0976,1.3763,347.5969,356.2416,295.455
6.32,-17.699,1.0951,1.3782,347.0912,356.0684,295.2498
6.34,-17.6922,1.0953,1.3743,346.2939,355.9986,294.8233
6.36,-17.684,1.0962,1.3621,345.4944,355.9977,294.2546
6.38,-17.684,1.0994,1.34,344.8116,356.4138,293.6993
6.4,-17.6982,1.1001,1.3319,344.7258,356.3209,294.2335
6.42,-17.7128,1.1019,1.325,344.623,356.2082,295.0712
6.44,-17.7264,1.1009,1.3195,344.5689,356.1503,295.806
6.46,-17.7432,1.0996,1.3146,344.5179,356.0188,296.5145
6.48,-17.7811,1.097,1.3032,344.2099,355.5044,297.7685
6.5,-17.7952,1.0973,1.2962,343.9444,355.2375,298.2647
6.52,-17.7989,1.0975,1.2903,343.7081,355.0894,298.5708
6.54,-17.7985,1.0976,1.2834,343.6072,355.1155,298.7074
6.56,-17.7992,1.1004,1.2736,343.5234,355.1229,298.8276
6.58,-17.8012,1.1246,1.2538,343.3747,355.326,298.7072
6.6,-17.8038,1.1595,1.2385,342.9524,355.4039,298.614
6.62,-17.8108,1.2143,1.2196,342.2947,355.3562,298.7555
6.64,-17.8197,1.2929,1.1976,341.3227,355.1994,298.9489
6.66,-17.8331,1.3922,1.1763,340.3685,354.9593,299.2167
6.68,-17.8694,1.6156,1.1426,339.2985,353.6822,300.482
6.7,-17.8911,1.7455,1.1265,338.7631,352.974,301.1197
6.72,-17.9119,1.898,1.1104,337.9603,352.3091,301.6548
6.74,-17.9136,2.0771,1.0931,337.0154,351.7955,302.0593
6.76,-17.8895,2.2817,1.0709,335.8568,351.5659,302.1059
6.78,-17.7701,2.7563,0.9996,334.1706,351.5223,302.2632
6.8,-17.675,3.053,0.9397,333.3947,351.7313,302.4307
6.82,-17.5896,3.3034,0.881,332.7508,351.9901,302.6915
6.84,-17.4195,3.7732,0.7516,331.4873,352.5507,303.2798
6.86,-17.2582,4.1874,0.6181,330.3669,353.178,303.6894
6.88,-16.8891,5.0891,0.2575,327.7181,354.9038,304.1958
6.9,-16.688,5.5574,0.0336,326.0957,356.0947,303.9416
6.92,-16.4819,6.0308,-0.2178,324.2039,357.6522,302.9894
6.94,-16.2773,6.4988,-0.4901,322.1425,359.5444,301.3747
6.96,-16.0799,6.952,-0.7743,320.0677,1.591,299.3
6.98,-15.7215,7.808,-1.3633,316.7714,5.4228,295.3588
7,-15.5587,8.2132,-1.665,315.545,7.0983,293.764
7.02,-15.4014,8.6188,-1.9835,314.2965,8.8041,292.2305
7.04,-15.2574,9.0158,-2.3111,312.9893,10.4922,290.8269
7.06,-15.1246,9.4055,-2.6455,311.7406,12.0527,289.5089
7.08,-14.899,10.1385,-3.3192,309.6178,14.5165,287.2037
7.1,-14.7895,10.4712,-3.6563,308.8159,15.6503,286.2825
7.12,-14.6749,10.7818,-4.0023,308.1538,16.8859,285.5164
7.14,-14.559,11.0725,-4.357,307.6247,18.012,285.0929
7.16,-14.4427,11.3414,-4.7105,307.3552,18.8378,285.2319
7.18,-14.205,11.8115,-5.4135,307.7063,19.5675,287.1877
7.2,-14.0789,12.0105,-5.765,308.1414,19.6351,288.6005
7.22,-13.9401,12.1896,-6.1257,308.7526,19.6235,290.3239
7.24,-13.7873,12.3535,-6.4996,309.4874,19.6062,292.1568
7.26,-13.6132,12.5106,-6.8899,310.1399,19.7597,293.4884
7.28,-13.1816,12.8305,-7.7187,310.4644,21.127,294.1272
7.3,-12.9177,13.0023,-8.1516,309.9185,22.4379,293.2045
7.32,-12.6277,13.1981,-8.583,308.7566,23.945,291.5717
7.34,-12.331,13.4278,-8.9989,306.2941,25.4179,288.9361
7.36,-12.0482,13.685,-9.3774,305.252,26.0817,287.7962
7.38,-11.6279,14.3618,-10.0038,302.0858,27.0206,287.3059
7.4,-11.5155,14.8024,-10.2571,300.1316,26.8329,288.0067
7.42,-11.4624,15.302,-10.4945,297.7013,26.4334,288.6375
7.44,-11.449,15.8466,-10.7771,294.7354,26.2373,288.7161
7.46,-11.4226,16.3871,-10.863,292.6643,25.3681,289.5001
7.48,-11.5276,17.4536,-10.5024,290.3901,17.5138,296.9124
7.5,-11.6336,17.9821,-10.2278,289.9986,11.8134,302.5608
7.52,-11.7524,18.5072,-9.9328,289.8483,5.754,308.5269
7.54,-11.8219,18.9787,-9.6104,290.1184,0.0277,314.4825
7.56,-11.8221,19.3775,-9.0948,291.3305,355.3326,319.7888
7.58,-11.802,19.811,-7.3527,297.0368,347.6503,329.2428
7.6,-11.6366,19.8886,-6.4011,300.2097,346.2485,331.2866
7.62,-11.3541,19.9262,-5.5557,302.666,345.8668,331.8949
7.64,-11.0057,19.9284,-4.8078,304.4948,345.8966,331.7474
7.66,-10.6233,19.8846,-4.1338,305.9604,346.0898,331.3626
7.68,-9.834,19.6486,-2.9328,308.5106,346.9786,330.5904
7.7,-9.4404,19.4527,-2.3879,309.6336,347.6269,330.1992
7.72,-9.0498,19.2081,-1.8707,310.6147,348.3417,329.7645
7.74,-8.68,18.9158,-1.3797,311.431,349.0415,329.2439
7.76,-8.3095,18.5721,-0.9001,312.1237,349.8159,328.5861
7.78,-7.5992,17.7398,0.0159,313.1156,351.3021,326.8883
7.8,-7.2551,17.256,0.4639,313.3961,352.1393,325.6968
7.82,-6.9021,16.7298,0.9062,313.5498,353.1914,324.1315
7.84,-6.567,16.1652,1.3434,313.7645,354.3067,322.2992
7.86,-6.2278,15.5578,1.7923,314.2574,355.6501,320.2653
7.88,-5.5723,14.2507,2.7012,316.4434,358.4621,316.3121
7.9,-5.27,13.5539,3.1786,318.3263,359.5166,314.8183
7.92,-5.0132,12.8555,3.6559,320.184,0.2345,313.2242
7.94,-4.7699,12.1734,4.1205,321.6807,0.929,311.4655
7.96,-4.5438,11.5151,4.5734,322.9957,1.6327,309.9165
7.98,-4.1558,10.3181,5.4293,324.8401,2.9115,307.9579
8,-4.0033,9.79,5.8394,325.4838,3.4002,307.1212
8.02,-3.8653,9.2976,6.2492,326.0938,3.7986,306.4027
8.04,-3.7557,8.8737,6.6445,326.6136,4.0726,305.7538
8.059999,-3.6667,8.509,7.0392,327.2661,4.2331,305.0995
8.08,-3.5212,7.744,7.9238,329.5189,4.2464,304.6898
8.099999,-3.4328,7.2938,8.4201,331.7082,3.6761,305.3098
8.12,-3.341,6.8969,8.9151,333.8466,3.026,305.8383
8.139999,-3.2522,6.5253,9.4088,335.7368,2.5117,306.217
8.16,-3.1455,6.1295,9.9146,337.6757,2.1076,306.5284
8.179999,-2.9188,5.2348,10.9901,341.9906,1.3,307.4791
8.2,-2.862,4.8674,11.5185,344.1099,0.7083,308.3362
8.22,-2.885,4.5915,12.0405,346.0196,359.8072,309.4044
8.24,-2.9776,4.2795,12.59,347.7611,358.6412,310.3886
8.26,-3.0516,4.0116,13.1068,349.3524,357.5249,311.3349
8.28,-3.0524,3.0814,14.2106,353.7214,355.5157,312.3516
8.3,-3.0929,2.6125,14.782,355.9292,354.4391,312.676
8.32,-3.2241,2.1945,15.3553,357.8197,353.2307,313.0099
8.34,-3.3486,1.7683,15.9072,359.2353,352.1236,313.1436
8.36,-3.4931,1.3295,16.4552,0.1769,351.1539,312.8636
8.38,-3.7947,0.6434,17.4712,1.3804,349.5071,311.9745
8.4,-4.0633,0.475,17.9349,1.8147,348.5063,311.6844
8.42,-4.3344,0.3829,18.3523,2.5195,347.6732,311.7606
8.44,-4.6528,0.3505,18.7263,3.1472,346.8061,312.0377
8.46,-4.9735,0.3657,19.0404,3.5296,346.1334,312.1047
8.48,-5.4809,0.3737,19.4481,6.1895,345.9631,311.8573
8.5,-5.623,0.1525,19.544,10.031,346.5021,312.4052
8.52,-5.5391,-0.2235,19.5749,14.0149,348.303,313.7057
8.54,-5.2986,-0.7341,19.5378,17.5152,350.4156,315.5237
8.559999,-4.9533,-1.2498,19.4468,19.7918,352.1629,316.9827
8.58,-4.0269,-2.4016,19.0818,22.5826,355.9663,319.4231
8.599999,-3.582,-3.0123,18.8233,22.7592,356.5909,319.5583
8.62,-3.1938,-3.5435,18.4938,23.2735,356.8176,319.4065
8.639999,-2.8577,-4.0492,18.1104,24.9125,359.0315,320.5284
8.66,-2.6178,-4.4585,17.6887,26.599,1.1504,321.2757
8.679999,-2.2561,-5.1479,16.7362,29.9622,4.1814,321.8011
8.7,-2.1282,-5.4563,16.2003,31.099,4.9493,320.9905
8.72,-2.028,-5.6581,15.622,31.6099,5.4029,319.4296
8.74,-1.93,-5.7974,14.9978,31.5496,6.3071,317.7109
8.76,-1.8734,-5.8918,14.359,31.0489,7.6604,315.8367
8.78,-1.8324,-6.0022,13.0083,30.8444,8.5252,310.4767
8.8,-1.8509,-5.9936,12.3212,30.8428,8.1817,308.174
8.82,-1.901,-5.9605,11.6443,30.865,7.9416,306.7816
8.84,-1.9783,-5.8828,10.9817,31.2687,7.6485,305.3389
8.86,-2.0897,-5.7859,10.3355,31.598,7.0304,303.7745
8.88,-2.4295,-5.544,9.1327,34.6316,6.1922,303.7634
8.9,-2.6952,-5.4614,8.5927,38.0882,7.752,306.4393
8.92,-2.9764,-5.5049,8.0736,41.1633,7.2808,306.4671
8.94,-3.2625,-5.6816,7.5554,43.7254,5.4397,305.031
8.96,-3.5603,-5.9079,7.0313,47.4158,2.8309,302.9675
8.98,-4.1474,-6.4315,5.9662,55.2565,356.8214,297.4583
9,-4.4384,-6.6813,5.438,58.8557,352.3484,292.6914
9.02,-4.7168,-6.9,4.9171,62.3551,347.6121,286.6547
9.04,-4.9747,-7.0666,4.4293,65.7692,342.9065,279.338
9.059999,-5.2451,-7.1733,4.0021,68.96,336.1468,270.2191
9.08,-5.6579,-7.2014,3.5305,72.6681,322.4784,255.8795
9.099999,-5.8029,-7.1541,3.419,74.3744,311.5933,245.9227
9.12,-5.8234,-7.0903,3.4483,75.5777,306.491,242.3544
9.139999,-5.795,-7.0111,3.5545,76.6177,303.3587,241.2581
9.16,-5.7347,-6.9016,3.7477,77.4765,302.9306,243.0333
9.179999,-5.5688,-6.6608,4.1901,78.4979,311.1736,255.2391
9.2,-5.4464,-6.5139,4.3983,78.7943,315.9931,262.1889
9.22,-5.2825,-6.3421,4.5823,79.4337,319.5127,268.1967
9.24,-5.0789,-6.138,4.7516,80.5142,323.1264,274.7191
9.26,-4.8333,-5.9003,4.9243,81.8003,331.3926,285.8871
9.28,-4.3384,-5.3455,5.3619,81.8858,5.7977,326.0516
9.3,-4.1105,-5.0411,5.6379,80.1007,18.3562,341.7134
9.32,-3.9116,-4.721,5.9462,77.4382,25.3741,351.9915
9.34,-3.7418,-4.3851,6.2643,74.1959,28.6717,358.3073
9.36,-3.6269,-4.0548,6.5714,70.6373,29.7955,1.8787
9.38,-3.6037,-3.5129,7.0124,65.0991,28.229,2.1317
9.4,-3.6826,-3.3963,7.0451,64.6968,27.6181,0.3477
9.42,-3.8118,-3.4031,6.9297,66.5578,28.4289,359.5289
9.44,-3.9672,-3.4664,6.763,69.6601,29.7147,359.4918
9.46,-4.3572,-3.648,6.3645,75.9316,31.0992,358.8146
