time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
26.54,-18.6943,-0.2093,0.231,0.5772,339.5544,358.2389
26.56,-18.6943,-0.2093,0.231,0.5772,339.5544,358.2389
26.58,-18.694,-0.2089,0.2309,0.5748,339.5555,358.2385
26.6,-18.6941,-0.2091,0.2309,0.5765,339.5552,358.2395
26.62,-18.6943,-0.2093,0.2309,0.5775,339.5539,358.2391
26.64,-18.6943,-0.2093,0.231,0.5774,339.5539,358.2385
26.66,-18.6944,-0.2093,0.2309,0.5773,339.5533,358.239
26.68,-18.6943,-0.2091,0.2309,0.5763,339.5542,358.2386
26.7,-18.6942,-0.209,0.2309,0.5756,339.5545,358.2395
26.72,-18.6942,-0.2089,0.2309,0.5748,339.5543,358.2393
26.74,-18.6943,-0.2089,0.2309,0.5749,339.5538,358.2384
26.76,-18.6941,-0.2088,0.2309,0.5749,339.5552,358.2389
26.78,-18.6943,-0.2091,0.231,0.5767,339.5539,358.2394
26.8,-18.6946,-0.2091,0.2308,0.5765,339.5515,358.2396
26.82,-18.6945,-0.209,0.2309,0.576,339.553,358.239
26.84,-18.6943,-0.209,0.231,0.576,339.5539,358.2384
26.86,-18.6943,-0.2091,0.231,0.576,339.5538,358.2378
26.88,-18.6944,-0.2091,0.2309,0.576,339.5535,358.2383
26.9,-18.6944,-0.2092,0.231,0.5767,339.5532,358.24
26.92,-18.6945,-0.2092,0.2309,0.5768,339.5529,358.2395
26.94,-18.6946,-0.2091,0.2308,0.5766,339.5519,358.2392
26.96,-18.6945,-0.2092,0.2309,0.5767,339.5527,358.2382
26.98,-18.6943,-0.2091,0.231,0.5763,339.5542,358.2377
27,-18.694,-0.2089,0.231,0.5747,339.5568,358.2375
27.02,-18.6942,-0.2091,0.231,0.576,339.5542,358.2377
27.04,-18.6942,-0.2089,0.231,0.5749,339.5549,358.2384
27.06,-18.6945,-0.2092,0.2309,0.5771,339.5529,358.2385
27.08,-18.6943,-0.209,0.2309,0.576,339.554,358.2384
27.1,-18.6942,-0.209,0.231,0.5757,339.5545,358.2385
27.12,-18.6942,-0.2091,0.231,0.5759,339.5546,358.2383
27.14,-18.6944,-0.2091,0.231,0.5766,339.5539,358.2389
27.16,-18.6944,-0.2089,0.2309,0.575,339.5536,358.2386
27.18,-18.6943,-0.2092,0.231,0.5765,339.5536,358.2392
27.2,-18.6939,-0.2087,0.2309,0.5721,339.5561,358.2367
27.22,-18.6941,-0.2088,0.2309,0.5736,339.555,358.2379
27.24,-18.6943,-0.2085,0.2307,0.5728,339.5531,358.2382
27.26,-18.6941,-0.2086,0.2308,0.5732,339.5552,358.2373
27.28,-18.6943,-0.2085,0.2307,0.572,339.554,358.2381
27.3,-18.6942,-0.2084,0.2307,0.5718,339.5541,358.2376
27.32,-18.694,-0.2084,0.2308,0.5722,339.5548,358.2372
27.34,-18.6942,-0.2085,0.2308,0.572,339.5542,358.2383
27.36,-18.6941,-0.2082,0.2307,0.5708,339.5547,358.2376
27.38,-18.6944,-0.2085,0.2306,0.5725,339.553,358.238
27.4,-18.6943,-0.2084,0.2307,0.5719,339.5537,358.2377
27.42,-18.6945,-0.2084,0.2306,0.5716,339.5525,358.2389
27.44,-18.6945,-0.2084,0.2306,0.5714,339.5523,358.239
27.46,-18.6944,-0.2084,0.2307,0.5718,339.5529,358.2394
27.48,-18.6943,-0.2085,0.2307,0.5721,339.5531,358.238
27.5,-18.6944,-0.2085,0.2307,0.5721,339.5525,358.2385
27.52,-18.6942,-0.2085,0.2308,0.5728,339.5546,358.2384
27.54,-18.6943,-0.2085,0.2308,0.5729,339.5539,358.2383
27.56,-18.6939,-0.2084,0.2308,0.5718,339.5563,358.2367
27.58,-18.6942,-0.2085,0.2308,0.5726,339.5547,358.2376
27.6,-18.6941,-0.2082,0.2307,0.571,339.5549,358.2376
27.62,-18.6943,-0.2085,0.2307,0.5726,339.5537,358.2383
27.64,-18.6943,-0.2084,0.2307,0.5722,339.5538,358.2381
27.66,-18.6941,-0.2086,0.2308,0.573,339.5547,358.2385
27.68,-18.6942,-0.2084,0.2308,0.5717,339.5542,358.2382
27.7,-18.694,-0.2084,0.2309,0.5715,339.555,358.2376
27.72,-18.6942,-0.2085,0.2308,0.5728,339.5534,358.2383
27.74,-18.6943,-0.2085,0.2308,0.5724,339.5538,358.2379
27.76,-18.6942,-0.2085,0.2308,0.5727,339.5544,358.2371
27.78,-18.694,-0.2085,0.2309,0.5723,339.5558,358.2376
27.8,-18.6941,-0.2083,0.2308,0.5713,339.5549,358.2385
27.82,-18.6945,-0.2088,0.2308,0.5744,339.5526,358.2386
27.84,-18.6946,-0.2084,0.2306,0.572,339.5515,358.2381
27.86,-18.6945,-0.2085,0.2307,0.5731,339.5519,358.2391
27.88,-18.6944,-0.2086,0.2308,0.5732,339.5528,358.2384
27.9,-18.6942,-0.2085,0.2308,0.5723,339.5536,358.2383
27.92,-18.6943,-0.2084,0.2307,0.5717,339.5534,358.2381
27.94,-18.6939,-0.2084,0.2308,0.5712,339.5556,358.2366
27.96,-18.6942,-0.2084,0.2308,0.5717,339.554,358.237
27.98,-18.6943,-0.2084,0.2307,0.5719,339.5538,358.2384
28,-18.6943,-0.2085,0.2308,0.5725,339.5536,358.2382
28.02,-18.6945,-0.2085,0.2307,0.573,339.552,358.2392
28.04,-18.6944,-0.2085,0.2308,0.5731,339.5539,358.2379
28.06,-18.6939,-0.2086,0.231,0.5732,339.5569,358.2366
28.08,-18.6941,-0.2084,0.2308,0.5727,339.5546,358.2373
28.1,-18.6941,-0.2086,0.2309,0.5732,339.5547,358.2374
28.12,-18.6943,-0.2089,0.231,0.5746,339.5544,358.2376
28.14,-18.6943,-0.2086,0.2308,0.5731,339.554,358.2382
28.16,-18.6942,-0.2084,0.2309,0.5725,339.5547,358.2385
28.18,-18.6943,-0.2086,0.2309,0.5733,339.5538,358.2384
28.2,-18.694,-0.2087,0.231,0.5737,339.5551,358.2375
28.22,-18.694,-0.2087,0.2309,0.574,339.5552,358.2374
28.24,-18.6937,-0.2088,0.2311,0.5747,339.5576,358.2372
28.26,-18.6935,-0.209,0.2312,0.5756,339.5587,358.238
28.28,-18.6935,-0.209,0.2311,0.5757,339.5589,358.2368
28.3,-18.6935,-0.2086,0.231,0.5735,339.5586,358.2366
28.32,-18.6935,-0.2086,0.2311,0.5734,339.5585,358.2375
28.34,-18.6935,-0.2087,0.2311,0.574,339.5588,358.2375
28.36,-18.6939,-0.2089,0.231,0.5746,339.5564,358.2378
28.38,-18.6937,-0.209,0.2311,0.5756,339.5571,358.2374
28.4,-18.6936,-0.2087,0.2311,0.5743,339.5589,358.2368
28.42,-18.6936,-0.2088,0.2311,0.575,339.5583,358.2379
28.44,-18.6932,-0.2084,0.2312,0.5725,339.5597,358.2365
28.46,-18.6935,-0.2089,0.2312,0.5752,339.5588,358.2362
28.48,-18.6934,-0.2088,0.2312,0.5744,339.5595,358.2369
28.5,-18.6936,-0.2088,0.2311,0.5746,339.5582,358.2367
28.52,-18.6938,-0.2091,0.2312,0.5758,339.557,358.2378
28.54,-18.6938,-0.209,0.2311,0.5763,339.5567,358.2367
28.56,-18.6939,-0.2087,0.231,0.5744,339.5565,358.2377
28.58,-18.6937,-0.2086,0.231,0.5736,339.5572,358.2378
28.6,-18.6937,-0.2087,0.231,0.5744,339.5572,358.2377
28.62,-18.6937,-0.2086,0.231,0.5737,339.5571,358.2365
28.64,-18.6938,-0.2087,0.2311,0.5737,339.5565,358.2373
28.66,-18.694,-0.2088,0.231,0.5743,339.5562,358.2391
28.68,-18.6938,-0.2088,0.231,0.5745,339.5569,358.2375
28.7,-18.6937,-0.2088,0.2311,0.5749,339.5578,358.2366
28.72,-18.6939,-0.2087,0.231,0.5742,339.5568,358.2374
28.74,-18.6939,-0.2086,0.231,0.5735,339.5568,358.2372
28.76,-18.6938,-0.2087,0.231,0.5746,339.5565,358.2385
28.78,-18.6937,-0.2088,0.2311,0.575,339.5579,358.2369
28.8,-18.6939,-0.2088,0.231,0.5746,339.5564,358.2372
28.82,-18.6937,-0.2086,0.231,0.5737,339.5575,358.2365
28.84,-18.6935,-0.2087,0.2311,0.5742,339.5585,358.2359
28.86,-18.6937,-0.2088,0.2312,0.5751,339.5581,358.2366
28.88,-18.6932,-0.2087,0.2313,0.5742,339.5621,358.2347
28.9,-18.6935,-0.2087,0.2312,0.5744,339.5594,358.2374
28.92,-18.6936,-0.2086,0.2312,0.5742,339.5581,358.2379
28.94,-18.6933,-0.2087,0.2314,0.5745,339.5599,358.2379
28.96,-18.6936,-0.2085,0.2311,0.5725,339.5589,358.2372
28.98,-18.6933,-0.2087,0.2312,0.5736,339.5605,358.2352
29,-18.6935,-0.2087,0.2312,0.5742,339.5594,358.2367
29.02,-18.6937,-0.2088,0.2312,0.575,339.5586,358.2375
29.04,-18.6939,-0.2089,0.2311,0.5756,339.5573,358.2378
29.06,-18.6939,-0.2091,0.2311,0.5764,339.5566,358.2383
29.08,-18.694,-0.2086,0.231,0.5741,339.5557,358.2397
29.1,-18.6938,-0.2087,0.2311,0.5745,339.5564,358.2381
29.12,-18.6937,-0.2088,0.2311,0.575,339.557,358.2383
29.14,-18.6938,-0.2085,0.2311,0.5734,339.5571,358.239
29.16,-18.6938,-0.2089,0.2311,0.5755,339.5573,358.2375
29.18,-18.6939,-0.2089,0.2312,0.5757,339.5575,358.2373
29.2,-18.6942,-0.2088,0.2309,0.5745,339.5547,358.2381
29.22,-18.6942,-0.2089,0.2309,0.5742,339.5549,358.238
29.24,-18.6943,-0.2089,0.2308,0.575,339.5547,358.2384
29.26,-18.6941,-0.2088,0.2309,0.5748,339.555,358.2375
29.28,-18.694,-0.2089,0.231,0.5751,339.5554,358.2377
29.3,-18.6942,-0.2091,0.2309,0.5757,339.5541,358.2381
29.32,-18.6942,-0.2091,0.2309,0.5753,339.5548,358.2381
29.34,-18.6942,-0.2089,0.2309,0.5749,339.555,358.2374
29.36,-18.6946,-0.209,0.2307,0.5756,339.5522,358.2397
29.38,-18.6943,-0.209,0.2308,0.5755,339.5531,358.2388
29.4,-18.6943,-0.2087,0.2307,0.5746,339.5529,358.2376
29.42,-18.6946,-0.2088,0.2306,0.5746,339.5517,358.2383
29.44,-18.6945,-0.2089,0.2308,0.5751,339.5533,358.2384
29.46,-18.6946,-0.2089,0.2307,0.5749,339.552,358.2392
29.48,-18.6947,-0.2091,0.2307,0.5762,339.551,358.2397
29.5,-18.6947,-0.2089,0.2306,0.5754,339.5514,358.2389
29.52,-18.6945,-0.2089,0.2307,0.5752,339.5521,358.2386
29.54,-18.6942,-0.2087,0.2308,0.5737,339.5539,358.2381
29.56,-18.6947,-0.209,0.2307,0.5756,339.5519,358.2389
29.58,-18.6944,-0.2089,0.2307,0.5745,339.5535,358.238
29.6,-18.6946,-0.2088,0.2306,0.5742,339.5519,358.2391
29.62,-18.6946,-0.2091,0.2307,0.5766,339.5521,358.2385
29.64,-18.6945,-0.2088,0.2306,0.575,339.5529,358.2391
29.66,-18.6943,-0.2089,0.2309,0.5754,339.5544,358.2382
29.68,-18.6946,-0.209,0.2307,0.5762,339.5513,358.2396
29.7,-18.6945,-0.2088,0.2307,0.5748,339.5523,358.2394
29.72,-18.6947,-0.2088,0.2306,0.5744,339.5511,358.2392
29.74,-18.6945,-0.209,0.2308,0.5759,339.5526,358.2386
29.76,-18.6945,-0.209,0.2308,0.5757,339.5523,358.2386
29.78,-18.6948,-0.209,0.2306,0.5763,339.5502,358.2387
29.8,-18.6947,-0.2089,0.2307,0.5759,339.5512,358.2387
29.82,-18.6946,-0.2088,0.2307,0.5747,339.5522,358.24
29.84,-18.6947,-0.2088,0.2307,0.5747,339.5516,358.2401
29.86,-18.6947,-0.2089,0.2307,0.5749,339.5517,358.2391
29.88,-18.6945,-0.2089,0.2307,0.5753,339.5523,358.2391
29.9,-18.6945,-0.2087,0.2307,0.5742,339.5525,358.2393
29.92,-18.6944,-0.2086,0.2307,0.574,339.5532,358.2395
29.94,-18.6943,-0.209,0.2309,0.5762,339.5537,358.2382
29.96,-18.6946,-0.2088,0.2307,0.5747,339.5525,358.2387
29.98,-18.6945,-0.2088,0.2308,0.5748,339.5531,358.2387
30,-18.6945,-0.209,0.2308,0.5756,339.553,358.2397
30.02,-18.6948,-0.2092,0.2307,0.5768,339.5514,358.2397
30.04,-18.6948,-0.2089,0.2307,0.5755,339.5513,358.2404
30.06,-18.6945,-0.2091,0.2309,0.5759,339.5526,358.2398
30.08,-18.6946,-0.2086,0.2307,0.5738,339.5522,358.2393
30.1,-18.6942,-0.2086,0.2308,0.5733,339.5541,358.2381
30.12,-18.6941,-0.2087,0.2309,0.5739,339.5552,358.2382
30.14,-18.6945,-0.2086,0.2307,0.5736,339.5531,358.239
30.16,-18.6944,-0.2086,0.2307,0.5738,339.5535,358.2385
30.18,-18.6942,-0.2089,0.2309,0.5752,339.5544,358.2383
30.2,-18.6941,-0.2087,0.2308,0.5739,339.5552,358.2383
30.22,-18.6942,-0.2085,0.2307,0.5728,339.5545,358.238
30.24,-18.6944,-0.2084,0.2307,0.5726,339.5534,358.2379
30.26,-18.6944,-0.2083,0.2306,0.5717,339.5526,358.2388
30.28,-18.6943,-0.2085,0.2306,0.5722,339.5537,358.2392
30.3,-18.6942,-0.2083,0.2306,0.5718,339.5548,358.2386
30.32,-18.6944,-0.2083,0.2305,0.5717,339.5528,358.2388
30.34,-18.6943,-0.2083,0.2306,0.5719,339.5537,358.2385
30.36,-18.6946,-0.2084,0.2305,0.5722,339.5525,358.2389
30.38,-18.6943,-0.2083,0.2306,0.5709,339.5533,358.2384
30.4,-18.6945,-0.2083,0.2305,0.5716,339.5516,358.2389
30.42,-18.6944,-0.2084,0.2306,0.5718,339.5533,358.2389
30.44,-18.6944,-0.2087,0.2307,0.5736,339.5528,358.2387
30.46,-18.6942,-0.2084,0.2307,0.5713,339.5539,358.2378
30.48,-18.6944,-0.2085,0.2306,0.5726,339.553,358.2386
30.5,-18.6947,-0.2086,0.2305,0.5738,339.5509,358.2394
30.52,-18.6943,-0.2085,0.2307,0.5726,339.5531,358.238
30.54,-18.6944,-0.2085,0.2306,0.5725,339.5527,358.2377
