time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.52,-18.189,-0.2787,-0.1172,0.4417,352.996,359.2188
4.54,-18.1891,-0.2787,-0.1173,0.4412,352.9951,359.2188
4.56,-18.1891,-0.2787,-0.1173,0.4412,352.9951,359.2188
4.58,-18.1892,-0.2785,-0.1174,0.44,352.9935,359.2195
4.6,-18.1895,-0.2788,-0.1175,0.4416,352.9915,359.2206
4.62,-18.1892,-0.2785,-0.1175,0.4396,352.9936,359.2192
4.64,-18.1891,-0.2787,-0.1173,0.4411,352.9947,359.2195
4.66,-18.1891,-0.2788,-0.1173,0.4418,352.9943,359.2198
4.68,-18.1895,-0.2786,-0.1176,0.4401,352.9913,359.2199
4.7,-18.189,-0.2784,-0.1174,0.4399,352.9955,359.2189
4.72,-18.1889,-0.2785,-0.1172,0.4403,352.9961,359.2186
4.74,-18.1888,-0.2785,-0.1172,0.4404,352.997,359.2181
4.76,-18.1891,-0.2786,-0.1173,0.441,352.9951,359.2194
4.78,-18.1891,-0.2785,-0.1173,0.4405,352.9957,359.219
4.8,-18.1893,-0.279,-0.1173,0.4425,352.9939,359.221
4.82,-18.1895,-0.279,-0.1174,0.4427,352.993,359.2216
4.84,-18.1895,-0.2789,-0.1175,0.4421,352.9923,359.2212
4.86,-18.1892,-0.2789,-0.1172,0.4419,352.9949,359.2207
4.88,-18.1892,-0.2788,-0.1173,0.4413,352.9953,359.2199
4.9,-18.1872,-0.2794,-0.1162,0.4464,353.0085,359.2149
4.92,-18.1874,-0.2791,-0.1166,0.4441,353.0049,359.2168
4.94,-18.188,-0.2799,-0.1166,0.4479,353.0007,359.22
4.96,-18.1876,-0.2799,-0.1163,0.4482,353.0042,359.2196
4.98,-18.1875,-0.2795,-0.1164,0.4461,353.0052,359.2193
5,-18.1875,-0.2797,-0.1163,0.4477,353.0047,359.2183
5.02,-18.1878,-0.2798,-0.1165,0.4478,353.0024,359.219
5.04,-18.1875,-0.2795,-0.1164,0.4456,353.0037,359.2194
5.06,-18.1878,-0.2795,-0.1165,0.4459,353.0029,359.2195
5.08,-18.1876,-0.2795,-0.1164,0.4466,353.0049,359.2188
5.1,-18.1876,-0.2794,-0.1165,0.446,353.004,359.218
5.12,-18.1877,-0.2795,-0.1165,0.4464,353.0033,359.2184
5.14,-18.1879,-0.2795,-0.1166,0.4457,353.0022,359.2192
5.16,-18.188,-0.2797,-0.1165,0.4478,353.0013,359.2194
5.18,-18.1876,-0.2796,-0.1163,0.4471,353.0043,359.2186
5.2,-18.1878,-0.2796,-0.1164,0.4467,353.0025,359.2199
5.22,-18.1877,-0.2799,-0.1163,0.4482,353.0034,359.2203
5.24,-18.1879,-0.2797,-0.1166,0.4469,353.0023,359.2201
5.26,-18.1877,-0.2797,-0.1163,0.4472,353.0045,359.2191
5.28,-18.1877,-0.2795,-0.1164,0.446,353.0044,359.2183
5.3,-18.1878,-0.2794,-0.1165,0.4451,353.0027,359.2202
5.32,-18.1878,-0.2795,-0.1165,0.4459,353.0031,359.2189
5.34,-18.1876,-0.2795,-0.1164,0.4461,353.0042,359.2187
5.36,-18.1876,-0.2797,-0.1163,0.4469,353.0051,359.2191
5.38,-18.1877,-0.2796,-0.1164,0.4468,353.0041,359.2195
5.4,-18.1877,-0.2794,-0.1164,0.446,353.0042,359.2186
5.42,-18.1878,-0.2795,-0.1165,0.4455,353.0031,359.2189
5.44,-18.1879,-0.2796,-0.1165,0.4462,353.0021,359.22
5.46,-18.1876,-0.2796,-0.1163,0.447,353.0046,359.2191
5.48,-18.1874,-0.2793,-0.1162,0.446,353.0054,359.2187
5.5,-18.1872,-0.2793,-0.1162,0.4455,353.0065,359.2171
5.52,-18.1878,-0.2795,-0.1164,0.4456,353.0036,359.2187
5.54,-18.1876,-0.2796,-0.1163,0.4469,353.0045,359.2189
5.56,-18.1875,-0.2795,-0.1162,0.4463,353.0055,359.2181
5.58,-18.1875,-0.2796,-0.1162,0.447,353.005,359.2184
5.6,-18.1878,-0.2797,-0.1163,0.4475,353.0039,359.2201
5.62,-18.1877,-0.2797,-0.1163,0.4475,353.0042,359.2195
5.64,-18.1877,-0.2795,-0.1164,0.4457,353.0033,359.2196
5.66,-18.1879,-0.2793,-0.1165,0.445,353.0023,359.2204
5.68,-18.1877,-0.2796,-0.1163,0.4465,353.0042,359.2187
5.7,-18.1878,-0.2795,-0.1164,0.4462,353.0031,359.2193
5.72,-18.1878,-0.2795,-0.1164,0.4466,353.0035,359.2198
5.74,-18.1879,-0.2796,-0.1164,0.4471,353.0024,359.22
5.76,-18.1878,-0.2795,-0.1164,0.4462,353.0032,359.2196
5.78,-18.1878,-0.2795,-0.1164,0.4462,353.0031,359.219
5.8,-18.1878,-0.2793,-0.1164,0.4449,353.0027,359.2195
5.82,-18.1878,-0.2794,-0.1163,0.446,353.0036,359.2185
5.84,-18.1878,-0.2797,-0.1162,0.4471,353.0039,359.2194
5.86,-18.1876,-0.2793,-0.1162,0.4456,353.0052,359.2191
5.88,-18.1877,-0.2796,-0.1163,0.447,353.0043,359.2187
5.9,-18.1884,-0.2798,-0.1168,0.4468,352.9995,359.2208
5.92,-18.1886,-0.2797,-0.1171,0.4465,352.9986,359.2211
5.94,-18.1893,-0.2802,-0.1173,0.4478,352.9948,359.2237
5.96,-18.1893,-0.2798,-0.1175,0.4469,352.9925,359.2224
5.98,-18.1893,-0.2797,-0.1174,0.4464,352.993,359.222
6,-18.1894,-0.2798,-0.1174,0.4465,352.9928,359.2225
