time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.08,-17.6899,-0.283,-0.0514,358.5846,0.1255,1.3152
3.1,-17.6899,-0.283,-0.0514,358.5846,0.1255,1.3152
3.12,-17.6898,-0.2829,-0.0514,358.5842,0.1265,1.3145
3.14,-17.6896,-0.2826,-0.0514,358.5822,0.1274,1.3141
3.16,-17.6895,-0.2826,-0.0513,358.5832,0.1284,1.3128
3.18,-17.6896,-0.2823,-0.0514,358.582,0.1275,1.3126
3.2,-17.6893,-0.2825,-0.0512,358.5831,0.1298,1.3121
3.22,-17.6895,-0.2826,-0.0513,358.5834,0.129,1.3137
3.24,-17.6896,-0.2824,-0.0514,358.5817,0.1279,1.3138
3.26,-17.6895,-0.2824,-0.0513,358.5819,0.1285,1.3127
3.28,-17.6895,-0.2826,-0.0513,358.5827,0.1286,1.3132
3.3,-17.6895,-0.2825,-0.0513,358.5827,0.128,1.3126
3.32,-17.6896,-0.2826,-0.0514,358.5831,0.1274,1.3131
3.34,-17.6893,-0.2824,-0.0513,358.5822,0.1301,1.3111
3.36,-17.6891,-0.2821,-0.0512,358.5812,0.1308,1.3113
3.38,-17.6895,-0.2825,-0.0513,358.5829,0.129,1.3129
3.4,-17.6896,-0.2825,-0.0514,358.5826,0.1283,1.3129
3.42,-17.6896,-0.2827,-0.0514,358.5836,0.1269,1.3131
3.44,-17.69,-0.2822,-0.0517,358.5803,0.1239,1.3135
3.46,-17.6898,-0.2826,-0.0514,358.5833,0.126,1.3134
3.48,-17.6899,-0.2825,-0.0515,358.5825,0.1251,1.3139
3.5,-17.6895,-0.2825,-0.0513,358.5825,0.1278,1.3133
3.52,-17.6894,-0.2826,-0.0513,358.5828,0.1287,1.3125
3.54,-17.6893,-0.2822,-0.0513,358.5809,0.1291,1.3122
3.56,-17.6894,-0.2824,-0.0513,358.5823,0.1287,1.3126
3.58,-17.6894,-0.2826,-0.0512,358.5833,0.1285,1.3128
3.6,-17.6896,-0.2826,-0.0512,358.5826,0.1279,1.3128
3.62,-17.6895,-0.2822,-0.0513,358.5801,0.1284,1.3119
3.64,-17.6896,-0.2826,-0.0513,358.5827,0.1282,1.3129
3.66,-17.6895,-0.2826,-0.0513,358.5829,0.1286,1.3123
3.68,-17.6892,-0.2824,-0.0512,358.5831,0.1299,1.3116
3.7,-17.6895,-0.2826,-0.0513,358.5838,0.1284,1.3126
3.72,-17.6892,-0.2825,-0.0512,358.5833,0.1307,1.3113
3.74,-17.6897,-0.2827,-0.0513,358.5836,0.1281,1.3131
3.76,-17.6897,-0.2825,-0.0514,358.5826,0.1276,1.3126
3.78,-17.6896,-0.2826,-0.0513,358.5828,0.1272,1.3139
3.8,-17.6895,-0.2825,-0.0513,358.5824,0.1286,1.313
3.82,-17.6894,-0.2824,-0.0512,358.5821,0.1289,1.3122
3.84,-17.6897,-0.2825,-0.0513,358.5822,0.1271,1.3136
3.86,-17.6897,-0.2825,-0.0513,358.5822,0.1273,1.3135
3.88,-17.6893,-0.2819,-0.0513,358.5802,0.1301,1.3117
3.9,-17.6895,-0.2824,-0.0513,358.5824,0.1285,1.3122
3.92,-17.6894,-0.2828,-0.0511,358.5837,0.1292,1.3134
3.94,-17.6895,-0.2827,-0.0511,358.5836,0.1285,1.3126
3.96,-17.6896,-0.2824,-0.0512,358.5822,0.1282,1.3132
3.98,-17.6898,-0.2825,-0.0513,358.5824,0.1263,1.3142
4,-17.6889,-0.2831,-0.0508,358.5856,0.1317,1.3132
4.02,-17.6887,-0.2829,-0.0508,358.5847,0.1343,1.3132
4.04,-17.6887,-0.2829,-0.0508,358.5849,0.1333,1.3139
4.06,-17.6887,-0.2829,-0.0509,358.5847,0.1338,1.3124
4.08,-17.6887,-0.2832,-0.0507,358.5868,0.1343,1.3135
4.1,-17.6887,-0.2829,-0.0509,358.585,0.1336,1.3131
4.12,-17.6886,-0.2829,-0.0508,358.5845,0.1339,1.3129
4.14,-17.6884,-0.2828,-0.0507,358.5849,0.1349,1.3124
4.16,-17.6888,-0.2831,-0.0508,358.5862,0.1328,1.3134
4.18,-17.6888,-0.2831,-0.0508,358.5862,0.1329,1.314
4.2,-17.6887,-0.2832,-0.0507,358.5867,0.1332,1.3133
4.22,-17.6886,-0.2829,-0.0508,358.5847,0.1342,1.3121
4.24,-17.6884,-0.2824,-0.0509,358.5828,0.135,1.3106
4.26,-17.6887,-0.2831,-0.0508,358.5856,0.1337,1.3126
4.28,-17.6889,-0.283,-0.0509,358.5858,0.1313,1.314
4.3,-17.6889,-0.283,-0.0508,358.5859,0.1324,1.3133
4.32,-17.689,-0.2831,-0.0509,358.5859,0.1315,1.314
4.34,-17.6891,-0.2831,-0.051,358.5855,0.1302,1.3151
4.36,-17.6888,-0.2828,-0.0509,358.5841,0.132,1.3142
4.38,-17.6886,-0.2829,-0.0507,358.5854,0.1353,1.3126
4.4,-17.6887,-0.2829,-0.0508,358.5849,0.1331,1.3132
4.42,-17.6888,-0.283,-0.0508,358.586,0.1327,1.3124
4.44,-17.6888,-0.2827,-0.0509,358.5843,0.1322,1.313
4.46,-17.6886,-0.2831,-0.0507,358.5865,0.1336,1.3131
4.48,-17.6886,-0.2834,-0.0506,358.5877,0.1356,1.3135
4.5,-17.6888,-0.2833,-0.0507,358.5876,0.1334,1.3134
