time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
64.54,-17.6637,0.0075,-0.937,353.6984,353.9551,4.9483
64.56,-17.6637,0.0075,-0.937,353.6984,353.9551,4.9483
64.58,-17.6639,0.0071,-0.937,353.7,353.9531,4.9495
64.6,-17.6639,0.007,-0.937,353.7006,353.9532,4.9501
64.62,-17.6638,0.0072,-0.937,353.6997,353.9548,4.9503
64.64,-17.6639,0.0074,-0.9371,353.6984,353.9534,4.9495
64.66,-17.6639,0.0073,-0.9371,353.6989,353.953,4.9504
64.68,-17.6639,0.0074,-0.9371,353.6979,353.9531,4.9499
64.7,-17.6637,0.0072,-0.937,353.6995,353.9538,4.9494
64.72,-17.6637,0.0075,-0.9371,353.6988,353.9537,4.9492
64.74,-17.6638,0.0073,-0.937,353.6994,353.9539,4.9495
64.76,-17.6637,0.0075,-0.937,353.6981,353.9547,4.9491
64.78,-17.664,0.0072,-0.9371,353.6996,353.9531,4.9502
64.8,-17.6638,0.0072,-0.937,353.6995,353.9537,4.9492
64.82,-17.6638,0.0072,-0.937,353.6994,353.9532,4.9494
64.84,-17.6639,0.0071,-0.937,353.7,353.9526,4.9499
64.86,-17.6639,0.0072,-0.937,353.6993,353.9527,4.9499
64.88,-17.6638,0.0074,-0.9371,353.6989,353.9539,4.9496
64.9,-17.6638,0.0072,-0.937,353.6998,353.9536,4.9499
64.92,-17.6638,0.0071,-0.937,353.6998,353.9536,4.95
64.93999,-17.6639,0.0072,-0.937,353.6997,353.9533,4.9502
64.96,-17.6638,0.0072,-0.937,353.6997,353.9536,4.949
64.98,-17.6639,0.0072,-0.9371,353.6992,353.9535,4.949
65,-17.6641,0.0071,-0.9371,353.6997,353.952,4.9498
65.02,-17.6641,0.007,-0.9371,353.7006,353.9514,4.9503
65.04,-17.6639,0.007,-0.937,353.7007,353.9523,4.95
65.06,-17.6639,0.0071,-0.937,353.7004,353.9526,4.95
65.08,-17.664,0.0071,-0.9371,353.6997,353.9525,4.9504
65.1,-17.664,0.0071,-0.937,353.6995,353.9525,4.9505
65.12,-17.6639,0.0071,-0.937,353.7003,353.953,4.95
65.14,-17.6637,0.0073,-0.937,353.6987,353.9543,4.9501
65.16,-17.6639,0.0072,-0.937,353.6994,353.9535,4.9498
65.18,-17.6639,0.0073,-0.9371,353.6989,353.9528,4.9493
65.2,-17.6637,0.0074,-0.937,353.6987,353.954,4.9487
65.22,-17.6638,0.0073,-0.937,353.6994,353.9534,4.9486
65.24,-17.6637,0.0071,-0.9369,353.7007,353.9545,4.9492
65.26,-17.6639,0.007,-0.9369,353.7009,353.9532,4.9501
65.28,-17.6638,0.0072,-0.937,353.6997,353.954,4.9495
65.3,-17.6637,0.0073,-0.9369,353.6992,353.9547,4.9494
65.32,-17.6636,0.0074,-0.9369,353.6985,353.955,4.9488
65.34,-17.6637,0.0073,-0.9369,353.6996,353.9544,4.9494
65.36,-17.6638,0.0072,-0.937,353.6999,353.9537,4.9492
65.38,-17.6639,0.0071,-0.937,353.7002,353.9531,4.95
65.4,-17.6639,0.0074,-0.9371,353.6988,353.9532,4.9502
65.42,-17.6641,0.007,-0.937,353.7003,353.9519,4.9507
65.43999,-17.6634,0.0069,-0.9367,353.7014,353.9563,4.9489
65.46,-17.6638,0.0072,-0.937,353.7002,353.9528,4.9495
65.48,-17.6638,0.0072,-0.937,353.6996,353.9533,4.9496
65.5,-17.6639,0.0073,-0.937,353.6992,353.953,4.9494
65.52,-17.6638,0.0073,-0.937,353.6994,353.9538,4.9491
65.54,-17.6639,0.0071,-0.937,353.7003,353.953,4.9492
65.56,-17.664,0.0073,-0.9371,353.6987,353.9516,4.9499
65.58,-17.6641,0.0071,-0.9371,353.6999,353.9521,4.9507
65.6,-17.6639,0.0072,-0.937,353.6995,353.9536,4.9498
65.62,-17.664,0.0071,-0.937,353.6999,353.953,4.95
65.64,-17.664,0.0072,-0.937,353.6995,353.9529,4.9505
65.66,-17.6639,0.0073,-0.937,353.699,353.9536,4.9497
65.68,-17.6639,0.0072,-0.937,353.6993,353.9532,4.9497
65.7,-17.6639,0.0073,-0.9371,353.699,353.9534,4.9491
65.72,-17.664,0.0073,-0.9371,353.6986,353.9528,4.9496
65.74,-17.6644,0.0069,-0.9372,353.7005,353.9502,4.9509
65.76,-17.6641,0.0072,-0.9372,353.6992,353.9519,4.9503
65.78,-17.6641,0.0074,-0.9372,353.6983,353.9523,4.9491
65.8,-17.664,0.0073,-0.9371,353.6989,353.9532,4.9499
65.82,-17.6641,0.0074,-0.9372,353.6985,353.9522,4.9495
65.84,-17.6642,0.0071,-0.9371,353.6999,353.9515,4.9503
65.86,-17.6639,0.0072,-0.937,353.6996,353.9531,4.9496
65.88,-17.6641,0.0071,-0.9371,353.6999,353.9517,4.9501
65.9,-17.664,0.007,-0.9371,353.7,353.9524,4.9504
65.92,-17.664,0.0072,-0.9371,353.6991,353.9529,4.9505
65.93999,-17.664,0.0071,-0.9371,353.6996,353.9521,4.9503
65.96,-17.6641,0.007,-0.937,353.7001,353.9521,4.9506
65.98,-17.6637,0.0074,-0.937,353.6985,353.9544,4.9486
66,-17.6642,0.0073,-0.9372,353.6987,353.9519,4.9499
66.02,-17.6639,0.0073,-0.937,353.6989,353.9545,4.9495
66.04,-17.664,0.0073,-0.9371,353.6988,353.9528,4.9499
66.06,-17.664,0.0074,-0.9372,353.6983,353.953,4.9495
66.08,-17.6639,0.0074,-0.9371,353.6986,353.9535,4.9496
66.1,-17.664,0.0074,-0.9371,353.6984,353.9528,4.9499
66.12,-17.6638,0.0072,-0.937,353.6992,353.9546,4.9497
66.14,-17.6638,0.0071,-0.9369,353.7001,353.9551,4.9494
66.16,-17.6638,0.0072,-0.937,353.6997,353.9543,4.9485
66.18,-17.6638,0.0074,-0.937,353.6985,353.9536,4.9489
66.2,-17.664,0.0071,-0.9371,353.7003,353.9521,4.9497
66.22,-17.664,0.0072,-0.9371,353.7,353.9522,4.9497
66.24,-17.664,0.0074,-0.9371,353.6987,353.9522,4.9493
66.26,-17.6639,0.0074,-0.937,353.6988,353.9532,4.9492
66.28,-17.6642,0.0073,-0.9372,353.699,353.9511,4.9497
66.3,-17.6643,0.007,-0.9372,353.6999,353.9513,4.9505
66.32,-17.6639,0.0071,-0.937,353.6998,353.9535,4.9503
66.34,-17.6639,0.0072,-0.937,353.6998,353.9534,4.9496
66.36,-17.664,0.0073,-0.9371,353.6989,353.9527,4.9497
66.38,-17.6639,0.0073,-0.9371,353.6985,353.9533,4.9503
66.4,-17.664,0.0074,-0.9371,353.6979,353.9527,4.9497
66.42,-17.6641,0.0073,-0.9371,353.6987,353.9521,4.9499
66.43999,-17.664,0.0069,-0.9369,353.7006,353.9527,4.9499
66.46,-17.6642,0.0071,-0.9371,353.7006,353.9509,4.9506
66.48,-17.6639,0.0072,-0.9369,353.6993,353.9541,4.9492
66.5,-17.6641,0.0071,-0.937,353.7,353.9522,4.9499
66.52,-17.6643,0.0072,-0.9372,353.6993,353.9512,4.9506
66.54,-17.6641,0.0073,-0.9372,353.6985,353.9517,4.9506
66.56,-17.664,0.0072,-0.9371,353.6995,353.9525,4.9503
66.58,-17.664,0.0073,-0.9371,353.6994,353.9523,4.9501
66.6,-17.6639,0.0074,-0.9371,353.6986,353.9531,4.9497
66.62,-17.6639,0.0077,-0.9372,353.6972,353.9529,4.9494
66.64,-17.664,0.0075,-0.9372,353.6983,353.9527,4.9494
66.66,-17.6638,0.0072,-0.937,353.6996,353.9542,4.9492
66.68,-17.6638,0.0074,-0.937,353.6982,353.9546,4.9487
66.7,-17.6639,0.0073,-0.937,353.6986,353.954,4.9495
66.72,-17.6639,0.0074,-0.9371,353.6978,353.9534,4.9496
66.74,-17.6637,0.0076,-0.937,353.6971,353.955,4.9489
66.76,-17.6638,0.0074,-0.937,353.6985,353.9549,4.9491
66.78,-17.664,0.0071,-0.937,353.7001,353.953,4.9498
66.8,-17.6642,0.0071,-0.9371,353.7001,353.9525,4.9494
66.82,-17.6641,0.0073,-0.9371,353.699,353.953,4.9493
66.84,-17.664,0.0073,-0.937,353.6992,353.9536,4.9496
66.86,-17.6641,0.0072,-0.9371,353.6993,353.9518,4.9501
66.88,-17.6642,0.007,-0.937,353.6999,353.952,4.9503
66.9,-17.6642,0.0071,-0.937,353.6999,353.9518,4.951
66.92,-17.6642,0.0072,-0.9372,353.699,353.9518,4.9507
66.93999,-17.6643,0.0072,-0.9372,353.6989,353.9507,4.9508
66.96,-17.6641,0.0073,-0.9371,353.6988,353.9526,4.95
66.98,-17.664,0.0071,-0.9369,353.7,353.953,4.95
67,-17.6639,0.0072,-0.9369,353.6995,353.9538,4.9488
67.02,-17.664,0.0071,-0.937,353.6999,353.9535,4.9488
67.04,-17.6641,0.0071,-0.937,353.7005,353.9524,4.9488
67.06,-17.6641,0.0071,-0.9371,353.6999,353.9525,4.949
67.08,-17.6642,0.0069,-0.9371,353.7007,353.9516,4.9506
67.1,-17.6642,0.007,-0.9371,353.7004,353.9519,4.9504
67.12,-17.6642,0.0069,-0.9371,353.7008,353.9518,4.9507
67.14,-17.6641,0.0071,-0.9371,353.6995,353.9515,4.9504
67.16,-17.6641,0.0071,-0.9371,353.6996,353.9513,4.9505
67.18,-17.6643,0.0071,-0.9372,353.6999,353.9511,4.9498
67.2,-17.664,0.0073,-0.937,353.6989,353.9532,4.9487
67.22,-17.664,0.0072,-0.9371,353.6991,353.9536,4.9499
67.24,-17.664,0.0073,-0.9372,353.6985,353.9535,4.9488
67.26,-17.6638,0.0072,-0.937,353.6989,353.9541,4.9493
67.28,-17.6639,0.0072,-0.937,353.6993,353.9536,4.9499
67.3,-17.6639,0.0073,-0.937,353.6989,353.954,4.9489
67.32,-17.664,0.0072,-0.9371,353.699,353.9529,4.9491
67.34,-17.664,0.0073,-0.9371,353.6987,353.9527,4.949
67.36,-17.6631,0.0075,-0.9367,353.6982,353.9603,4.9453
67.38,-17.6638,0.0072,-0.937,353.6999,353.9538,4.95
67.4,-17.6642,0.0071,-0.9372,353.6993,353.9515,4.9512
67.42,-17.6641,0.0071,-0.9372,353.6995,353.9523,4.9507
