time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.04,-0.0005,-0.0002,0.0003,351.713,1.2624,346.3495
5.06,-0.0005,-0.0002,0.0003,351.713,1.2624,346.3495
5.08,-0.0001,-0.0002,0.0001,351.7127,1.265,346.348
5.1,-0.0003,0.0001,0.0001,351.7117,1.2646,346.3485
5.12,-0.0003,0,0.0001,351.712,1.2642,346.3485
5.14,-0.0007,-0.0002,0.0003,351.713,1.2601,346.3505
5.16,-0.0006,0,0.0003,351.7122,1.262,346.3497
5.18,-0.0003,0,0.0001,351.7117,1.2635,346.3491
5.2,-0.0004,-0.0001,0.0002,351.7123,1.2637,346.3487
5.22,-0.0002,0.0001,0,351.7112,1.2645,346.3489
5.24,-0.0005,-0.0002,0.0003,351.7131,1.2622,346.3493
5.26,-0.0003,-0.0004,0.0003,351.7141,1.2636,346.3479
5.28,-0.0004,-0.0004,0.0003,351.714,1.2635,346.3489
5.3,-0.0001,0,0.0001,351.7115,1.2647,346.3486
5.32,-0.0005,0,0.0002,351.712,1.2624,346.3495
5.34,0,0.0002,-0.0001,351.7109,1.2661,346.3486
5.36,-0.0003,0.0001,0.0001,351.7113,1.264,346.3493
5.38,-0.0003,-0.0001,0.0002,351.7125,1.2638,346.3481
5.4,-0.0003,-0.0001,0.0001,351.7118,1.2637,346.3489
5.42,-0.0003,0.0002,0.0001,351.7107,1.264,346.3497
5.44,-0.0001,0.0001,0,351.7114,1.2652,346.3495
5.46,0,-0.0001,0,351.7126,1.2655,346.3486
5.48,-0.0007,-0.0003,0.0005,351.7138,1.2622,346.3493
5.5,-0.0003,-0.0003,0.0002,351.713,1.2631,346.3487
5.52,-0.0003,-0.0002,0.0003,351.7131,1.2635,346.3487
5.54,-0.0005,0.0001,0.0002,351.7119,1.2626,346.3495
5.56,-0.0006,0.0001,0.0003,351.7118,1.2616,346.3494
5.58,-0.0005,0,0.0003,351.7122,1.2621,346.3491
5.6,-0.0005,-0.0001,0.0004,351.7123,1.262,346.3486
5.62,-0.0007,0.0002,0.0004,351.711,1.2612,346.3493
5.64,-0.0008,0,0.0004,351.7119,1.2613,346.3492
5.66,-0.0006,0.0001,0.0003,351.7115,1.262,346.3489
5.68,-0.0007,0.0001,0.0002,351.712,1.2619,346.349
5.7,-0.0006,-0.0002,0.0003,351.7129,1.2621,346.3494
5.72,-0.0003,-0.0002,0.0002,351.7126,1.2639,346.3485
5.74,-0.0004,0.0005,0,351.7089,1.2619,346.3498
5.76,-0.0008,0.0001,0.0003,351.7116,1.2607,346.3495
5.78,-0.0009,0.0001,0.0004,351.7118,1.2599,346.3492
5.8,-0.0007,0,0.0004,351.7125,1.2609,346.3494
5.82,-0.0008,0,0.0004,351.7126,1.261,346.3496
5.84,-0.001,-0.0004,0.0006,351.7144,1.2601,346.3485
5.86,-0.0009,-0.0005,0.0005,351.7151,1.261,346.3489
5.88,-0.0008,-0.0003,0.0005,351.7139,1.2613,346.3498
5.9,-0.0008,-0.0004,0.0005,351.7139,1.2612,346.3493
5.92,-0.0008,0,0.0004,351.7122,1.2605,346.3488
5.94,-0.0001,-0.0003,0.0001,351.7139,1.2664,346.3469
5.96,-0.0008,-0.0004,0.0005,351.7144,1.2604,346.348
5.98,-0.0013,0.0006,0.0003,351.7097,1.2588,346.3506
6,-0.001,0.0001,0.0004,351.712,1.2604,346.3502
6.02,-0.0009,0,0.0004,351.7124,1.2607,346.35
6.04,-0.001,-0.0001,0.0005,351.7128,1.2598,346.3499
6.06,-0.001,-0.0003,0.0006,351.7136,1.2595,346.3488
6.08,-0.0007,-0.0002,0.0003,351.7133,1.2613,346.3498
6.1,-0.0009,-0.0002,0.0005,351.7133,1.261,346.3494
6.12,-0.0006,-0.0003,0.0004,351.714,1.2618,346.3491
6.14,-0.0007,-0.0002,0.0003,351.7132,1.2618,346.3484
6.16,-0.0006,-0.0003,0.0003,351.7144,1.2622,346.3485
6.18,-0.0005,-0.0004,0.0003,351.7142,1.2619,346.3492
6.2,-0.0006,-0.0003,0.0003,351.7137,1.2613,346.3487
6.22,-0.0005,-0.0003,0.0003,351.7137,1.2625,346.3486
6.24,-0.0005,-0.0004,0.0003,351.7149,1.2621,346.3483
6.26,-0.0006,0.0002,0.0002,351.7116,1.2619,346.3486
6.28,-0.0005,-0.0001,0.0003,351.7133,1.2628,346.3491
6.3,-0.0006,-0.0003,0.0004,351.7143,1.2622,346.3481
6.32,-0.0006,-0.0003,0.0003,351.7135,1.262,346.3484
6.34,-0.0009,0.0001,0.0004,351.7116,1.2616,346.3495
6.36,-0.001,0.0003,0.0004,351.7108,1.2601,346.3502
6.38,-0.0006,0,0.0003,351.7115,1.2623,346.3483
6.4,-0.0006,-0.0002,0.0004,351.7136,1.2626,346.3484
6.42,-0.0006,-0.0004,0.0004,351.7141,1.2621,346.3483
6.44,-0.0008,-0.0003,0.0004,351.7139,1.2617,346.3487
6.46,-0.0006,-0.0002,0.0003,351.713,1.2623,346.3484
6.48,-0.0006,0,0.0003,351.7125,1.2627,346.348
6.5,-0.0008,-0.0001,0.0004,351.7126,1.2618,346.3481
6.52,-0.0009,-0.0005,0.0006,351.7148,1.2606,346.349
6.54,-0.0006,-0.0001,0.0003,351.7126,1.2617,346.349
6.56,-0.0008,0,0.0004,351.7126,1.261,346.3501
6.58,-0.0007,-0.0002,0.0005,351.7133,1.2617,346.3497
6.6,-0.0006,-0.0001,0.0004,351.7126,1.2617,346.3493
6.62,-0.0008,0.0002,0.0003,351.7112,1.2605,346.35
6.64,-0.0006,-0.0001,0.0004,351.713,1.262,346.3495
6.66,-0.0008,-0.0003,0.0005,351.7139,1.2609,346.3491
6.68,-0.0004,-0.0001,0.0002,351.7133,1.2636,346.3486
6.7,-0.0006,-0.0002,0.0004,351.7137,1.2619,346.3488
6.72,-0.0007,0.0001,0.0003,351.7122,1.2608,346.3496
