time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
2.86,-17.6763,-0.263,-0.3986,1.7751,358.2275,359.803
2.88,-17.6763,-0.263,-0.3986,1.7751,358.2275,359.803
2.9,-17.6765,-0.2631,-0.3986,1.7758,358.226,359.8036
2.92,-17.6764,-0.263,-0.3986,1.7753,358.2263,359.8033
2.94,-17.6763,-0.2631,-0.3985,1.7761,358.2271,359.8026
2.96,-17.6764,-0.263,-0.3986,1.7758,358.2262,359.8031
2.98,-17.6766,-0.2632,-0.3986,1.777,358.2253,359.803
3,-17.6767,-0.2633,-0.3986,1.7775,358.2246,359.8039
3.02,-17.6768,-0.2632,-0.3988,1.776,358.2239,359.8042
3.04,-17.6767,-0.2631,-0.3987,1.7761,358.2252,359.8038
3.06,-17.6764,-0.2632,-0.3986,1.7763,358.2266,359.8034
3.08,-17.6765,-0.2633,-0.3986,1.7775,358.2259,359.804
3.1,-17.6766,-0.2631,-0.3987,1.7765,358.2251,359.8023
3.12,-17.6764,-0.2629,-0.3987,1.7753,358.2257,359.8015
3.14,-17.6768,-0.2631,-0.3988,1.7761,358.2238,359.8039
3.16,-17.6764,-0.2631,-0.3986,1.7759,358.2263,359.8025
3.18,-17.6762,-0.2631,-0.3983,1.7764,358.2281,359.8029
3.2,-17.6765,-0.2631,-0.3986,1.7764,358.2253,359.804
3.22,-17.6765,-0.2633,-0.3985,1.7779,358.2256,359.8041
3.24,-17.6764,-0.2631,-0.3986,1.7766,358.2266,359.8031
3.26,-17.6763,-0.263,-0.3985,1.7758,358.2272,359.8027
3.28,-17.6763,-0.2632,-0.3985,1.777,358.2267,359.8029
3.3,-17.6765,-0.263,-0.3985,1.7758,358.2263,359.8023
3.32,-17.6763,-0.2631,-0.3984,1.7768,358.2272,359.8026
3.34,-17.6763,-0.2632,-0.3984,1.7773,358.2267,359.8026
3.36,-17.6769,-0.2632,-0.3987,1.7763,358.2238,359.8046
3.38,-17.6768,-0.2632,-0.3986,1.7771,358.2249,359.8043
3.4,-17.6763,-0.2634,-0.3984,1.7781,358.2272,359.803
3.42,-17.6763,-0.2631,-0.3984,1.777,358.2272,359.8025
3.44,-17.6763,-0.2631,-0.3985,1.7765,358.2271,359.8033
3.46,-17.6763,-0.2631,-0.3985,1.776,358.2278,359.8035
3.48,-17.6764,-0.2633,-0.3985,1.777,358.2275,359.8034
3.5,-17.6758,-0.2639,-0.3982,1.7816,358.2308,359.8044
3.52,-17.6752,-0.2638,-0.3978,1.7803,358.234,359.8024
3.54,-17.6754,-0.264,-0.3979,1.7812,358.2328,359.8036
3.56,-17.6752,-0.2632,-0.398,1.7767,358.234,359.8013
3.58,-17.6752,-0.2637,-0.3979,1.7797,358.234,359.8028
3.6,-17.6751,-0.2637,-0.3978,1.7801,358.2345,359.8031
3.62,-17.6752,-0.2638,-0.3979,1.7809,358.2342,359.8027
3.64,-17.6753,-0.2639,-0.3979,1.7812,358.2333,359.8026
3.66,-17.6755,-0.2636,-0.3981,1.7783,358.2314,359.8021
3.68,-17.6754,-0.2637,-0.398,1.78,358.2326,359.802
3.7,-17.675,-0.2638,-0.3977,1.7809,358.235,359.8023
3.72,-17.6755,-0.264,-0.3979,1.7825,358.232,359.8037
3.74,-17.6754,-0.264,-0.3979,1.7822,358.2328,359.8033
3.76,-17.6752,-0.2639,-0.3979,1.7817,358.2336,359.8025
3.78,-17.6752,-0.2637,-0.3979,1.7798,358.234,359.8016
3.8,-17.6751,-0.2638,-0.3978,1.7806,358.2345,359.8021
3.82,-17.6753,-0.2638,-0.3979,1.7811,358.2328,359.8026
3.84,-17.6753,-0.2639,-0.3978,1.7815,358.2331,359.803
3.86,-17.6754,-0.2638,-0.398,1.7812,358.2321,359.803
3.88,-17.6753,-0.2635,-0.398,1.7792,358.2334,359.8018
3.9,-17.6753,-0.2637,-0.3979,1.7803,358.233,359.8024
3.92,-17.6752,-0.2638,-0.3978,1.7808,358.2334,359.802
3.94,-17.6752,-0.2637,-0.3978,1.7805,358.2339,359.8016
3.96,-17.6751,-0.2637,-0.3978,1.7805,358.2348,359.8018
3.98,-17.6752,-0.2639,-0.3977,1.7813,358.2343,359.8021
4,-17.6754,-0.2639,-0.3979,1.7816,358.2327,359.802
4.02,-17.6752,-0.2637,-0.3978,1.7804,358.2338,359.8026
4.04,-17.6752,-0.2636,-0.3979,1.7803,358.2334,359.8021
4.06,-17.675,-0.2639,-0.3977,1.7824,358.2347,359.8015
4.08,-17.675,-0.2639,-0.3977,1.7824,358.2349,359.8019
4.1,-17.6751,-0.2638,-0.3978,1.7811,358.2348,359.8018
4.12,-17.6755,-0.2636,-0.398,1.7798,358.2324,359.8021
4.14,-17.6753,-0.2635,-0.398,1.7793,358.2333,359.8021
4.16,-17.6755,-0.2636,-0.398,1.7793,358.233,359.803
4.18,-17.6756,-0.264,-0.3979,1.7819,358.2319,359.8041
4.2,-17.6754,-0.264,-0.3978,1.7818,358.2331,359.8036
4.22,-17.6752,-0.2637,-0.3977,1.7809,358.2342,359.8022
4.24,-17.6755,-0.2638,-0.3979,1.7809,358.2325,359.8037
4.26,-17.6755,-0.2639,-0.3979,1.7815,358.2327,359.804
4.28,-17.6752,-0.2638,-0.3977,1.7805,358.2343,359.8036
4.3,-17.6754,-0.2638,-0.3978,1.781,358.2331,359.8038
4.32,-17.6754,-0.2639,-0.3978,1.7816,358.233,359.8043
4.34,-17.6754,-0.2637,-0.3979,1.7802,358.233,359.8032
4.36,-17.6753,-0.2637,-0.3978,1.7802,358.2343,359.8027
4.38,-17.6753,-0.2639,-0.3977,1.7813,358.2343,359.8033
4.4,-17.6752,-0.264,-0.3976,1.782,358.235,359.8039
4.42,-17.6753,-0.2636,-0.3978,1.7802,358.2339,359.8015
4.44,-17.6754,-0.2641,-0.3977,1.7824,358.2336,359.8028
4.46,-17.6755,-0.2639,-0.3979,1.7812,358.2325,359.8033
4.48,-17.6755,-0.2638,-0.398,1.7814,358.2319,359.8037
4.5,-17.6763,-0.2639,-0.3984,1.7805,358.2272,359.8054
4.52,-17.6764,-0.2637,-0.3985,1.7799,358.2266,359.8037
4.54,-17.6763,-0.264,-0.3984,1.7812,358.2277,359.8039
4.56,-17.6763,-0.264,-0.3984,1.7812,358.227,359.8045
4.58,-17.6763,-0.264,-0.3984,1.7811,358.2275,359.8044
4.6,-17.6764,-0.2638,-0.3985,1.7798,358.2271,359.8049
4.62,-17.6764,-0.2638,-0.3985,1.7801,358.2268,359.8052
4.64,-17.6763,-0.2641,-0.3984,1.7818,358.2277,359.8049
4.66,-17.6763,-0.264,-0.3984,1.7814,358.2277,359.8048
4.68,-17.6762,-0.2639,-0.3984,1.7808,358.228,359.804
4.7,-17.6764,-0.2638,-0.3985,1.7802,358.2263,359.8038
4.72,-17.6765,-0.2639,-0.3985,1.7814,358.226,359.8048
4.74,-17.6766,-0.2638,-0.3986,1.7801,358.2254,359.8041
4.76,-17.6764,-0.2638,-0.3985,1.7799,358.227,359.8038
4.78,-17.6765,-0.264,-0.3985,1.7811,358.2263,359.8048
4.8,-17.6768,-0.2642,-0.3986,1.782,358.2242,359.8064
4.82,-17.6764,-0.2639,-0.3985,1.781,358.2264,359.8043
4.84,-17.6764,-0.264,-0.3984,1.7812,358.2268,359.8046
4.86,-17.6763,-0.264,-0.3984,1.7814,358.2271,359.8046
4.88,-17.6762,-0.2638,-0.3983,1.7803,358.2286,359.8038
4.9,-17.6767,-0.2636,-0.3986,1.7793,358.2252,359.8051
4.92,-17.6765,-0.2639,-0.3985,1.7808,358.2262,359.8044
4.94,-17.6767,-0.2636,-0.3987,1.7791,358.2247,359.804
4.96,-17.6763,-0.2637,-0.3985,1.7795,358.2268,359.8043
4.98,-17.6764,-0.2641,-0.3984,1.7816,358.2269,359.8054
5,-17.6767,-0.2643,-0.3984,1.7824,358.2257,359.8066
5.02,-17.6764,-0.2639,-0.3984,1.7806,358.2265,359.8047
5.04,-17.6764,-0.2641,-0.3984,1.7819,358.2266,359.8055
5.06,-17.6761,-0.2639,-0.3983,1.7807,358.2285,359.8036
5.08,-17.6761,-0.2636,-0.3984,1.779,358.2289,359.8035
5.1,-17.6766,-0.2637,-0.3986,1.7797,358.2253,359.8043
5.12,-17.6764,-0.2643,-0.3983,1.7825,358.2268,359.8063
5.14,-17.6768,-0.2639,-0.3985,1.7801,358.2243,359.8057
5.16,-17.6765,-0.264,-0.3984,1.7805,358.2266,359.8055
5.18,-17.6765,-0.264,-0.3984,1.7807,358.2265,359.8047
5.2,-17.6763,-0.2639,-0.3983,1.7803,358.2281,359.8044
5.22,-17.6764,-0.2639,-0.3983,1.781,358.2275,359.805
5.24,-17.6765,-0.2639,-0.3984,1.7805,358.2268,359.8047
5.26,-17.6766,-0.2639,-0.3984,1.7804,358.2265,359.8052
5.28,-17.6766,-0.264,-0.3984,1.7807,358.2261,359.8054
5.3,-17.6766,-0.264,-0.3984,1.7813,358.2263,359.805
5.32,-17.6765,-0.2639,-0.3984,1.7806,358.2265,359.8041
5.34,-17.6766,-0.2641,-0.3983,1.7819,358.2257,359.8046
5.36,-17.6764,-0.2639,-0.3984,1.7811,358.2268,359.8038
5.38,-17.6765,-0.2639,-0.3984,1.7811,358.2261,359.804
5.4,-17.6764,-0.264,-0.3983,1.7824,358.227,359.804
5.42,-17.6764,-0.2641,-0.3982,1.7829,358.2274,359.8049
5.44,-17.6763,-0.2639,-0.3982,1.781,358.2279,359.8034
5.46,-17.6763,-0.2637,-0.3983,1.7797,358.2275,359.8035
5.48,-17.6767,-0.2638,-0.3985,1.7811,358.2263,359.8038
5.5,-17.6766,-0.2635,-0.3986,1.7786,358.2252,359.8034
5.52,-17.6761,-0.2628,-0.3987,1.7751,358.2274,359.8022
5.54,-17.6761,-0.2629,-0.3986,1.7751,358.2281,359.8029
5.56,-17.6764,-0.2632,-0.3987,1.7766,358.2264,359.8036
5.58,-17.6762,-0.2633,-0.3986,1.7777,358.2265,359.8022
5.6,-17.6763,-0.2634,-0.3986,1.7784,358.2262,359.8032
5.62,-17.6763,-0.2633,-0.3986,1.7779,358.2272,359.8018
5.64,-17.6763,-0.2631,-0.3986,1.7765,358.2272,359.8017
5.66,-17.6762,-0.2632,-0.3986,1.7768,358.2273,359.8026
5.68,-17.6764,-0.2629,-0.3987,1.7752,358.2264,359.8022
5.7,-17.6764,-0.2629,-0.3987,1.7752,358.2265,359.8016
5.72,-17.6762,-0.2633,-0.3986,1.7771,358.2276,359.8024
5.74,-17.6766,-0.2633,-0.3988,1.7774,358.2252,359.8033
5.76,-17.6764,-0.2631,-0.3987,1.7766,358.2262,359.8026
5.78,-17.676,-0.2631,-0.3985,1.7769,358.2284,359.8014
5.8,-17.6761,-0.2628,-0.3986,1.7749,358.2278,359.8012
5.82,-17.6762,-0.2631,-0.3986,1.7772,358.227,359.8014
5.84,-17.6765,-0.2631,-0.3987,1.7765,358.2259,359.8031
5.86,-17.6764,-0.2632,-0.3986,1.7773,358.2254,359.802
5.88,-17.6761,-0.2631,-0.3985,1.7764,358.2278,359.8012
5.9,-17.6762,-0.2632,-0.3986,1.7771,358.2273,359.8024
5.92,-17.6761,-0.2631,-0.3985,1.7765,358.2282,359.8019
5.94,-17.6762,-0.2632,-0.3985,1.777,358.2278,359.8021
5.96,-17.6763,-0.2632,-0.3986,1.7766,358.2269,359.8024
5.98,-17.6768,-0.2632,-0.3988,1.7767,358.2241,359.8038
6,-17.6766,-0.2633,-0.3987,1.7767,358.2253,359.8039
6.02,-17.6765,-0.2632,-0.3987,1.777,358.2252,359.8021
6.04,-17.6762,-0.2631,-0.3986,1.7761,358.2274,359.8015
6.06,-17.6764,-0.2633,-0.3986,1.7776,358.2257,359.8023
6.08,-17.6765,-0.2632,-0.3986,1.7767,358.2254,359.8026
6.1,-17.6764,-0.2629,-0.3987,1.7758,358.226,359.8016
6.12,-17.6763,-0.263,-0.3986,1.7752,358.2277,359.8021
6.14,-17.6764,-0.2631,-0.3986,1.7766,358.227,359.8026
6.16,-17.6763,-0.2631,-0.3986,1.7766,358.2274,359.8022
6.18,-17.6763,-0.2633,-0.3985,1.7777,358.2272,359.8023
6.2,-17.6762,-0.2629,-0.3985,1.7758,358.2274,359.8013
6.22,-17.6764,-0.2629,-0.3987,1.7755,358.2262,359.8019
6.24,-17.6767,-0.2631,-0.3987,1.7768,358.2245,359.8025
6.26,-17.6765,-0.2631,-0.3986,1.7768,358.2255,359.803
6.28,-17.6764,-0.263,-0.3986,1.7762,358.226,359.802
6.3,-17.676,-0.2627,-0.3984,1.7747,358.2288,359.8005
6.32,-17.6762,-0.2631,-0.3985,1.7763,358.2275,359.8017
6.34,-17.6763,-0.2631,-0.3985,1.7765,358.227,359.8017
6.36,-17.6763,-0.263,-0.3985,1.7765,358.2274,359.802
6.38,-17.676,-0.2631,-0.3984,1.7765,358.229,359.8021
6.4,-17.6764,-0.263,-0.3986,1.7757,358.2263,359.8019
6.42,-17.6766,-0.2629,-0.3987,1.7757,358.2243,359.8014
6.44,-17.6765,-0.2631,-0.3986,1.7765,358.2255,359.8014
6.46,-17.6765,-0.2631,-0.3986,1.7766,358.2252,359.8015
6.48,-17.6763,-0.2629,-0.3985,1.776,358.226,359.8018
6.5,-17.6753,-0.2634,-0.398,1.7778,358.2336,359.8011
6.52,-17.6754,-0.2636,-0.3981,1.7792,358.2333,359.8024
6.54,-17.6751,-0.2638,-0.3979,1.78,358.2343,359.8027
6.56,-17.6752,-0.2637,-0.398,1.7799,358.234,359.8023
6.58,-17.6752,-0.2638,-0.398,1.7813,358.2337,359.8023
6.6,-17.6752,-0.2635,-0.398,1.7799,358.2335,359.8005
6.62,-17.6754,-0.2636,-0.3981,1.779,358.2323,359.8013
6.64,-17.6754,-0.2638,-0.398,1.7804,358.2324,359.8028
6.66,-17.6753,-0.2636,-0.398,1.7795,358.2329,359.8017
6.68,-17.6752,-0.2636,-0.398,1.7797,358.2338,359.8017
6.7,-17.6754,-0.2637,-0.398,1.781,358.2323,359.803
6.72,-17.6756,-0.2636,-0.3981,1.7792,358.2318,359.8029
6.74,-17.6755,-0.2637,-0.3981,1.7802,358.2318,359.803
6.76,-17.6756,-0.2636,-0.3981,1.7793,358.2312,359.803
6.78,-17.6755,-0.2637,-0.3981,1.7802,358.2321,359.8024
6.8,-17.6755,-0.2637,-0.3981,1.7798,358.2322,359.8033
6.82,-17.6755,-0.2638,-0.398,1.7809,358.2326,359.8037
6.84,-17.6755,-0.264,-0.398,1.7815,358.2318,359.8023
6.86,-17.6753,-0.2637,-0.3979,1.7799,358.2339,359.8016
6.88,-17.6754,-0.2636,-0.3979,1.7799,358.2334,359.8023
6.9,-17.6752,-0.2636,-0.3979,1.7796,358.2339,359.8018
6.92,-17.6751,-0.2638,-0.3979,1.7811,358.2344,359.802
6.94,-17.6754,-0.2636,-0.3981,1.779,358.2328,359.8024
6.96,-17.6754,-0.2636,-0.398,1.7799,358.2326,359.8022
6.98,-17.6755,-0.2637,-0.3981,1.7798,358.232,359.8023
7,-17.6754,-0.2637,-0.398,1.7801,358.2327,359.8027
7.02,-17.6753,-0.2635,-0.398,1.7786,358.2333,359.8019
7.04,-17.6753,-0.2633,-0.398,1.7778,358.2335,359.8016
7.06,-17.6753,-0.2636,-0.3979,1.7797,358.2328,359.8026
7.08,-17.6753,-0.2635,-0.398,1.779,358.233,359.8019
7.1,-17.6755,-0.2636,-0.398,1.7794,358.2319,359.8027
7.12,-17.6755,-0.2637,-0.398,1.7796,358.2322,359.8039
7.14,-17.6756,-0.2635,-0.3982,1.7786,358.2312,359.8032
7.16,-17.6754,-0.2637,-0.398,1.7797,358.2324,359.8031
7.18,-17.6754,-0.2634,-0.398,1.7784,358.2329,359.8026
7.2,-17.6754,-0.2635,-0.398,1.7793,358.2323,359.8032
7.22,-17.6755,-0.2634,-0.3981,1.7783,358.2316,359.8019
7.24,-17.6753,-0.2635,-0.398,1.7789,358.2326,359.801
7.26,-17.6755,-0.2636,-0.3981,1.7789,358.232,359.8026
7.28,-17.6759,-0.2639,-0.3981,1.7806,358.2306,359.804
7.3,-17.6757,-0.2638,-0.3981,1.7806,358.2312,359.8035
7.32,-17.6756,-0.2636,-0.3981,1.7794,358.2314,359.8021
7.34,-17.6754,-0.2636,-0.3979,1.7801,358.233,359.8023
