time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
21.36,-2.3996,-9.5611,4.2197,87.9899,79.2593,138.6244
21.38,-2.4017,-9.5597,4.2272,87.9876,77.1725,136.5305
21.4,-2.4042,-9.5604,4.231,87.9884,76.4883,135.8494
21.42,-2.4059,-9.5602,4.2346,87.9897,75.5074,134.8695
21.44,-2.4063,-9.5622,4.237,87.9931,75.1,134.4605
21.46,-2.4087,-9.5612,4.2405,87.9944,74.3271,133.6895
21.48,-2.4085,-9.5603,4.2446,87.983,73.2971,132.649
21.5,-2.4069,-9.5601,4.2454,87.9776,72.9479,132.287
21.52,-2.4087,-9.5601,4.2461,87.9753,72.9824,132.3339
21.54,-2.408,-9.5605,4.246,87.9744,73.1041,132.451
21.56,-2.407,-9.5606,4.2454,87.9742,73.226,132.567
21.58,-2.4042,-9.5601,4.2421,87.964,74.086,133.4156
21.6,-2.4016,-9.5608,4.2393,87.9625,74.8124,134.135
21.62,-2.4008,-9.5607,4.2365,87.9582,75.5117,134.8351
21.64,-2.3995,-9.5613,4.2332,87.9572,76.432,135.7547
21.66,-2.3987,-9.5609,4.2296,87.9472,77.4321,136.7551
21.68,-2.3933,-9.5609,4.2222,87.9329,79.1847,138.4881
21.7,-2.3893,-9.5598,4.2185,87.9213,79.85,139.1436
21.72,-2.3885,-9.56,4.215,87.9167,80.8138,140.1121
21.74,-2.3858,-9.5607,4.2112,87.9099,81.7508,141.0407
21.76,-2.3854,-9.5597,4.2087,87.8991,82.3243,141.6155
21.78,-2.3803,-9.5593,4.2031,87.8819,83.5734,142.8499
21.8,-2.3788,-9.5604,4.2012,87.8729,84.1639,143.4391
21.82,-2.3778,-9.5603,4.2001,87.866,84.4539,143.7282
21.84,-2.3767,-9.5601,4.1994,87.8557,84.607,143.8786
21.86,-2.3739,-9.5607,4.1987,87.8513,84.7579,144.0174
21.88,-2.3734,-9.5603,4.2003,87.848,84.4924,143.752
21.9,-2.3721,-9.5605,4.2012,87.8408,84.2239,143.4784
21.92,-2.3731,-9.5609,4.2034,87.8404,83.8892,143.1493
21.94,-2.3733,-9.5614,4.2058,87.8433,83.3611,142.618
21.96,-2.3734,-9.5594,4.209,87.8333,82.3116,141.5634
21.98,-2.3768,-9.5617,4.2153,87.8482,81.5001,140.7554
22,-2.3753,-9.5617,4.2175,87.8535,80.889,140.1296
22.02,-2.3778,-9.5612,4.221,87.8558,79.8696,139.1174
22.04,-2.3812,-9.5607,4.2251,87.8574,79.0592,138.3093
22.06,-2.3825,-9.5611,4.2275,87.8724,78.4626,137.7071
22.08,-2.3865,-9.5595,4.2335,87.8795,76.852,136.0891
22.1,-2.3878,-9.5608,4.2351,87.8915,76.5369,135.77
22.12,-2.391,-9.5602,4.237,87.8987,76.0062,135.2381
22.14,-2.3932,-9.5597,4.2384,87.9116,75.4729,134.697
22.16,-2.3962,-9.5612,4.2388,87.9247,75.5043,134.7264
22.18,-2.399,-9.5604,4.2386,87.9435,75.1676,134.3766
22.2,-2.4001,-9.5612,4.238,87.9519,75.4387,134.6359
22.22,-2.403,-9.561,4.2372,87.9622,75.5361,134.735
22.24,-2.4058,-9.5609,4.2355,87.9724,75.8252,135.0203
22.26,-2.4071,-9.561,4.2334,87.9907,76.2269,135.414
22.28,-2.4093,-9.5602,4.2289,87.9993,77.2081,136.3891
22.3,-2.4083,-9.559,4.2261,87.9958,77.5755,136.7461
22.32,-2.4096,-9.5606,4.2236,88.0079,78.536,137.7025
22.34,-2.4103,-9.561,4.2209,88.0091,79.2946,138.4584
22.36,-2.4087,-9.5612,4.2178,88.0083,79.9525,139.1075
22.38,-2.4046,-9.5607,4.2121,88.0001,81.096,140.2352
22.4,-2.4042,-9.5612,4.2102,87.9942,81.914,141.0535
22.42,-2.4028,-9.5611,4.2087,87.9819,82.2825,141.4215
22.44,-2.397,-9.5588,4.2063,87.9736,82.4344,141.5601
22.46,-2.3969,-9.5601,4.2057,87.9571,82.8927,142.0186
22.48,-2.3949,-9.5599,4.2053,87.9264,83.3265,142.4623
22.5,-2.3891,-9.5613,4.2044,87.9155,83.5748,142.6999
22.52,-2.3882,-9.5615,4.2052,87.9053,83.5127,142.6416
22.54,-2.3857,-9.5613,4.2062,87.8875,83.3951,142.5228
22.56,-2.383,-9.5608,4.2073,87.8726,83.1826,142.3114
22.58,-2.3776,-9.561,4.2108,87.8426,82.4772,141.6054
22.6,-2.3758,-9.5616,4.2127,87.8348,82.2348,141.3659
22.62,-2.3735,-9.5603,4.2149,87.8155,81.6463,140.7744
22.64,-2.3719,-9.5618,4.2167,87.8087,81.5507,140.6761
22.66,-2.3714,-9.5607,4.2189,87.8024,80.9494,140.0773
22.68,-2.3709,-9.5615,4.2229,87.7905,80.3354,139.4641
22.7,-2.3698,-9.5612,4.2244,87.7947,79.8424,138.9625
22.72,-2.3712,-9.5603,4.2264,87.7903,79.4048,138.529
22.74,-2.3712,-9.5601,4.2274,87.7893,79.1435,138.2627
22.76,-2.3719,-9.562,4.2279,87.8082,79.2266,138.3395
22.78,-2.3744,-9.5601,4.2294,87.8111,78.5727,137.6778
22.8,-2.3794,-9.5614,4.2297,87.8254,78.6211,137.7284
22.82,-2.3796,-9.5609,4.229,87.8375,78.5209,137.6186
22.84,-2.3814,-9.5605,4.2286,87.8497,78.5024,137.5895
22.86,-2.3838,-9.5598,4.2277,87.8634,78.5267,137.6049
22.88,-2.3905,-9.5597,4.2253,87.9028,78.7933,137.8615
22.9,-2.3944,-9.5613,4.2237,87.9232,79.2066,138.2729
22.92,-2.3973,-9.5611,4.2221,87.9385,79.5203,138.5783
22.94,-2.4005,-9.5599,4.2208,87.9553,79.5689,138.6218
22.96,-2.4029,-9.5601,4.2189,87.9665,79.8921,138.941
22.98,-2.4059,-9.5608,4.2159,87.9934,80.5837,139.6122
23,-2.4066,-9.5604,4.214,87.9986,80.8258,139.8436
23.02,-2.4086,-9.5606,4.213,88.0087,81.1768,140.195
23.04,-2.4106,-9.561,4.2124,88.0155,81.3975,140.415
23.06,-2.4105,-9.5605,4.2114,88.0146,81.4529,140.4611
23.08,-2.4115,-9.5607,4.2107,88.0149,81.7467,140.7534
23.1,-2.4106,-9.5607,4.2103,88.0154,81.7655,140.7659
23.12,-2.4091,-9.561,4.2106,88.0067,81.8288,140.8274
23.14,-2.4079,-9.5603,4.2114,87.9961,81.597,140.5961
23.16,-2.405,-9.5608,4.212,87.9854,81.5692,140.5563
23.18,-2.4019,-9.5607,4.2143,87.9558,81.2132,140.2067
23.2,-2.3989,-9.5613,4.2154,87.9496,81.1331,140.1262
23.22,-2.3967,-9.5605,4.2168,87.93,80.7736,139.7703
23.24,-2.3946,-9.5608,4.2184,87.9153,80.5735,139.5721
23.26,-2.3897,-9.5594,4.2199,87.8935,80.2052,139.1923
23.28,-2.3861,-9.5606,4.2222,87.8656,80.0777,139.0762
23.3,-2.3833,-9.5609,4.2231,87.8506,80.0516,139.0531
23.32,-2.3807,-9.5603,4.2239,87.8331,79.7904,138.7893
23.34,-2.379,-9.5608,4.225,87.823,79.8016,138.797
23.36,-2.3774,-9.5606,4.2251,87.8136,79.7652,138.7613
23.38,-2.3726,-9.5606,4.2251,87.7943,79.7785,138.7684
23.4,-2.3729,-9.56,4.2252,87.7875,79.852,138.848
23.42,-2.3718,-9.5603,4.2247,87.7839,79.9669,138.9558
23.44,-2.3701,-9.5592,4.2239,87.777,79.9777,138.9583
23.46,-2.3699,-9.5606,4.2227,87.7849,80.3621,139.3324
23.48,-2.3708,-9.5603,4.2201,87.7919,80.8326,139.7995
23.5,-2.3733,-9.5608,4.2193,87.8002,81.2276,140.1978
23.52,-2.3739,-9.5607,4.2172,87.8086,81.4804,140.4369
23.54,-2.3776,-9.5609,4.2162,87.8204,81.7568,140.7131
23.56,-2.3767,-9.561,4.2137,87.8423,82.1664,141.1026
23.58,-2.3827,-9.5606,4.2114,87.8584,82.4747,141.4117
23.6,-2.3862,-9.5607,4.2105,87.8716,82.6195,141.5587
23.62,-2.3875,-9.5611,4.2093,87.8838,82.8734,141.7984
23.64,-2.3893,-9.5611,4.2084,87.8956,83.013,141.9289
23.66,-2.3936,-9.56,4.2084,87.9092,82.884,141.8027
23.68,-2.3956,-9.5606,4.2074,87.933,82.9052,141.8036
23.7,-2.3983,-9.5605,4.208,87.9404,82.8235,141.7227
23.72,-2.4007,-9.5613,4.2086,87.9521,82.7444,141.6409
23.74,-2.4023,-9.5605,4.2095,87.9596,82.4361,141.3254
23.76,-2.4047,-9.5608,4.2105,87.9691,82.1888,141.0817
23.78,-2.4043,-9.56,4.2128,87.9711,81.4561,140.3336
23.8,-2.4048,-9.5613,4.2141,87.9711,81.386,140.2604
23.82,-2.4058,-9.5611,4.216,87.9707,80.9627,139.8411
23.84,-2.4067,-9.5601,4.2185,87.9667,80.3344,139.2173
23.86,-2.4049,-9.5609,4.2194,87.9594,80.1391,139.0097
23.88,-2.4022,-9.5608,4.2221,87.9527,79.5901,138.4562
23.9,-2.4017,-9.5604,4.2236,87.9415,79.2468,138.1172
23.92,-2.401,-9.5603,4.2249,87.9291,79.0342,137.9082
23.94,-2.3975,-9.5601,4.2252,87.9179,78.8956,137.7615
23.96,-2.3951,-9.561,4.2258,87.9118,79.0363,137.8944
23.98,-2.3934,-9.5605,4.2268,87.8951,78.8878,137.7551
24,-2.3923,-9.5616,4.2268,87.8803,79.2493,138.1219
24.02,-2.3882,-9.5603,4.2259,87.8624,79.2684,138.1321
24.04,-2.3868,-9.5603,4.2253,87.8558,79.4974,138.3603
24.06,-2.3834,-9.5618,4.2235,87.8427,80.254,139.1037
24.08,-2.3806,-9.5603,4.2214,87.8298,80.4491,139.304
24.1,-2.3778,-9.5597,4.2188,87.8208,80.854,139.7023
24.12,-2.3785,-9.5603,4.2178,87.8179,81.4068,140.2558
24.14,-2.3791,-9.5606,4.2163,87.8152,81.9286,140.7813
24.16,-2.3756,-9.5615,4.2141,87.8116,82.5438,141.379
24.18,-2.3756,-9.5609,4.2105,87.8057,83.0767,141.9126
24.2,-2.3769,-9.5595,4.2096,87.8031,83.2377,142.0744
24.22,-2.3758,-9.5612,4.2077,87.8086,83.8525,142.6809
24.24,-2.3756,-9.5607,4.2064,87.8106,83.9672,142.7908
24.26,-2.377,-9.5609,4.2055,87.813,84.2526,143.077
24.28,-2.3781,-9.5603,4.2042,87.8221,84.3568,143.1668
24.3,-2.3792,-9.5607,4.2039,87.8271,84.5103,143.318
24.32,-2.3803,-9.561,4.204,87.8341,84.4379,143.2437
24.34,-2.3815,-9.5616,4.2041,87.8428,84.4381,143.2375
24.36,-2.3831,-9.5622,4.205,87.854,84.2961,143.0852
24.38,-2.3862,-9.5603,4.207,87.8695,83.4663,142.2533
24.4,-2.3899,-9.5611,4.2089,87.8796,83.2408,142.037
24.42,-2.3895,-9.5609,4.2101,87.8803,82.8656,141.6509
24.44,-2.3879,-9.5612,4.211,87.8897,82.4593,141.2277
24.46,-2.3924,-9.5618,4.2132,87.8999,82.1769,140.9512
24.48,-2.3972,-9.5603,4.2182,87.9063,81.0602,139.8383
24.5,-2.397,-9.5616,4.2194,87.9093,80.8276,139.5999
24.52,-2.3986,-9.561,4.221,87.9176,80.1047,138.8735
24.54,-2.3986,-9.5608,4.2225,87.92,79.6852,138.4427
24.56,-2.3996,-9.5605,4.224,87.9214,79.4789,138.2366
24.58,-2.4002,-9.5611,4.226,87.9244,78.9863,137.7433
24.6,-2.4025,-9.5617,4.227,87.9244,79.0045,137.7679
24.62,-2.4019,-9.5612,4.2274,87.9251,78.8799,137.6348
24.64,-2.402,-9.5614,4.2274,87.924,78.9058,137.6558
24.66,-2.4023,-9.5611,4.2273,87.9227,78.8706,137.6225
24.68,-2.4005,-9.5612,4.2261,87.9157,79.2764,138.0196
24.7,-2.4005,-9.5605,4.2249,87.9099,79.4718,138.2138
24.72,-2.3983,-9.5607,4.2233,87.9078,79.8495,138.5851
24.74,-2.3972,-9.5603,4.2218,87.9015,80.1954,138.9285
24.76,-2.396,-9.5603,4.2199,87.8989,80.5197,139.249
24.78,-2.3928,-9.5613,4.216,87.8871,81.7263,140.4404
24.8,-2.3901,-9.5602,4.2142,87.8812,81.7775,140.4888
24.82,-2.39,-9.5615,4.2127,87.8737,82.4918,141.2083
24.84,-2.3894,-9.5621,4.2112,87.8679,83.0373,141.752
24.86,-2.3879,-9.5611,4.2096,87.8628,83.1196,141.8268
24.88,-2.3847,-9.5619,4.2064,87.8495,84.0294,142.7311
24.9,-2.3858,-9.5618,4.2059,87.8406,84.3016,143.0182
24.92,-2.3828,-9.5611,4.2049,87.8325,84.3573,143.0585
24.94,-2.3814,-9.5612,4.2043,87.8311,84.487,143.1787
24.96,-2.3809,-9.56,4.2044,87.8235,84.4067,143.0954
24.98,-2.3781,-9.56,4.2041,87.8225,84.4518,143.1376
25,-2.3785,-9.5604,4.2049,87.8179,84.3462,143.0351
25.02,-2.3786,-9.5613,4.2054,87.8138,84.3697,143.055
25.04,-2.3787,-9.5612,4.2063,87.8109,84.1329,142.8139
25.06,-2.3782,-9.5611,4.2075,87.8191,83.7668,142.4406
25.08,-2.3786,-9.5614,4.2104,87.817,83.3148,141.9895
25.1,-2.3812,-9.5608,4.2123,87.8245,82.6374,141.321
25.12,-2.382,-9.5614,4.214,87.8228,82.5196,141.1942
25.14,-2.3817,-9.5617,4.2151,87.8254,82.3126,140.9791
25.16,-2.3835,-9.5616,4.2168,87.8305,81.9763,140.6419
25.18,-2.3873,-9.5613,4.2203,87.8465,81.1167,139.7878
25.2,-2.3878,-9.5616,4.2211,87.8495,80.9345,139.5953
25.22,-2.389,-9.5613,4.2217,87.8561,80.6475,139.3024
25.24,-2.3908,-9.5622,4.2226,87.8647,80.6051,139.2578
25.26,-2.3915,-9.561,4.223,87.8649,80.3698,139.0193
25.28,-2.3949,-9.561,4.2233,87.8791,80.1342,138.7791
25.3,-2.3955,-9.5606,4.223,87.8849,80.0932,138.7312
25.32,-2.3967,-9.5618,4.2222,87.8955,80.3942,139.0268
25.34,-2.3967,-9.5616,4.2213,87.9017,80.431,139.0601
25.36,-2.3997,-9.5614,4.2211,87.9126,80.538,139.1706
25.38,-2.4012,-9.5611,4.2192,87.915,81.0414,139.663
25.4,-2.4005,-9.5621,4.2175,87.9172,81.6366,140.2532
25.42,-2.4005,-9.5613,4.2165,87.9155,81.5956,140.2088
25.44,-2.3994,-9.5604,4.2151,87.9195,81.6722,140.2787
25.46,-2.4,-9.5611,4.2134,87.9133,82.3185,140.921
25.48,-2.3978,-9.5613,4.2103,87.9073,82.9536,141.5503
25.5,-2.3988,-9.5604,4.21,87.904,82.9443,141.5464
25.52,-2.3968,-9.5614,4.2086,87.8969,83.4639,142.0581
25.54,-2.3946,-9.5621,4.2074,87.8924,83.8147,142.4008
25.56,-2.3933,-9.5613,4.2068,87.8849,83.8722,142.4568
25.58,-2.3896,-9.5617,4.2059,87.8649,84.1384,142.7228
25.6,-2.3893,-9.5601,4.2067,87.8541,83.9633,142.5479
25.62,-2.387,-9.5605,4.2064,87.846,84.1189,142.6977
25.64,-2.3867,-9.5606,4.2068,87.8391,84.0664,142.6511
25.66,-2.3824,-9.5602,4.2066,87.822,83.9769,142.55
25.68,-2.3813,-9.5624,4.208,87.8152,83.9891,142.5677
25.7,-2.3793,-9.5612,4.209,87.8061,83.6346,142.2074
25.72,-2.3794,-9.5618,4.2103,87.8123,83.2403,141.789
25.74,-2.3882,-9.6267,4.222,85.1978,351.187,50.0558
25.76,-2.3232,-9.6787,4.1621,79.4381,330.804,29.2598
25.78,-1.9851,-9.6717,3.8334,78.1116,324.7547,12.7943
25.8,-1.7545,-9.656,3.5882,82.0894,311.8463,359.4207
25.82,-1.4888,-9.6252,3.3242,85.5823,271.6952,320.9207
25.84,-1.1854,-9.5685,3.0646,83.3614,182.001,230.582
25.86,-0.8655,-9.4884,2.8405,76.0546,144.8787,193.0074
25.88,-0.4329,-8.9895,2.6426,46.9464,129.9034,174.1046
25.9,-0.5679,-8.7293,2.8025,42.3963,136.2959,166.3828
25.92,-0.7292,-8.4541,3.2011,43.5046,138.9615,173.1954
25.94,-0.917,-8.22,3.782,49.1422,134.1338,172.7277
25.96,-1.2276,-7.9638,4.4179,59.6171,125.0951,162.0196
25.98,-1.8972,-7.1333,5.7375,81.8418,103.731,130.9905
26,-2.1402,-6.5242,6.3831,83.1108,53.4585,86.7109
26.02,-2.337,-5.8089,6.9912,79.1982,13.1854,44.7138
26.04,-2.4132,-4.9971,7.5312,73.1096,359.7899,26.2619
26.06,-2.394,-4.0582,7.9793,61.4782,351.5056,20.7275
26.08,-2.0975,-1.9697,8.4681,44.4973,351.0074,33.0854
26.1,-1.8325,-0.9446,8.5368,37.1933,356.5962,36.6682
26.12,-1.4934,0.0092,8.4497,31.0304,2.9936,42.1707
26.14,-1.0965,0.8719,8.2077,26.9266,9.6107,45.1044
26.16,-0.6666,1.6327,7.8129,24.0527,16.8652,47.0617
26.18,0.1412,2.7999,6.6395,21.9643,37.2198,57.4743
26.2,0.4053,3.2113,5.9528,23.7322,47.4348,61.5578
26.22,0.5032,3.5195,5.2986,26.8826,53.3516,65.7506
26.24,0.4599,3.7331,4.7129,30.5619,52.5555,68.783
26.26,0.3165,3.8666,4.1605,35.3606,47.3724,68.4377
26.28,-0.0948,3.9765,3.0166,46.3029,30.694,58.6439
26.3,-0.2969,3.9736,2.422,50.6502,21.8866,52.7052
26.32,-0.4528,3.937,1.8195,54.073,14.2635,47.9871
26.34,-0.5468,3.8604,1.2234,57.172,8.6432,44.8784
26.36,-0.5803,3.7475,0.6546,60.1157,6.5935,44.0999
26.38,-0.5013,3.4602,-0.3468,66.4016,13.1661,53.3432
26.4,-0.413,3.3236,-0.751,67.9933,22.6197,63.3336
26.42,-0.316,3.211,-1.0812,67.959,32.3228,72.4908
26.44,-0.2273,3.1157,-1.3308,66.2922,38.1125,77.0828
26.46,-0.1538,3.0564,-1.4878,63.0968,38.2961,76.0582
26.48,-0.0651,2.9909,-1.6647,55.3559,38.3141,74.4988
26.5,-0.0375,2.963,-1.7074,52.2307,37.388,73.7289
26.52,-0.0038,2.9278,-1.7235,49.2707,36.5451,73.3121
26.54,0.0469,2.8862,-1.7156,46.5916,36.5652,73.497
26.56,0.1186,2.8454,-1.6794,43.5134,36.8944,74.3633
26.58,0.2955,2.7667,-1.5669,35.177,39.3849,76.3531
26.6,0.3547,2.6928,-1.4983,32.3252,39.567,77.0653
26.62,0.399,2.5825,-1.4285,30.9703,38.7212,77.2243
26.64,0.4303,2.4452,-1.3584,31.079,37.8891,77.2883
26.66,0.4619,2.2941,-1.2702,31.8516,36.8204,77.0669
26.68,0.526,2.0246,-1.0655,33.0977,34.2463,76.4426
26.7,0.5612,1.9312,-0.9661,33.2775,32.7591,75.303
26.72,0.6004,1.8608,-0.8636,32.7716,31.334,73.9822
26.74,0.6442,1.809,-0.7675,31.7179,30.3842,73.2252
26.76,0.6908,1.7599,-0.6821,30.568,29.9949,73.2483
26.78,0.7566,1.6599,-0.5614,30.6523,30.058,73.1182
26.8,0.7803,1.6194,-0.5175,31.4116,29.308,72.5213
26.82,0.8021,1.6044,-0.4888,32.0936,28.4024,71.5049
26.84,0.8236,1.6167,-0.4752,32.074,28.1642,70.8367
26.86,0.84,1.65,-0.4759,31.7217,28.5055,70.9184
26.88,0.8204,1.7564,-0.5221,31.0881,28.8541,71.3717
26.9,0.7798,1.8049,-0.5724,31.2573,28.6291,70.9495
26.92,0.7166,1.8449,-0.6364,32.0811,28.2881,70.4526
26.94,0.6349,1.8763,-0.7119,33.1834,28.183,70.4188
26.96,0.5279,1.8999,-0.7961,34.4089,28.6614,70.7362
26.98,0.2071,1.9276,-0.9492,37.9798,28.344,70.5841
27,-0.0287,1.9436,-0.9923,40.132,26.2796,69.211
27.02,-0.3204,1.9672,-1.0026,41.7632,22.5781,66.5265
27.04,-0.6746,2.0128,-0.9835,42.7847,16.4349,61.5519
27.06,-1.0779,2.088,-0.9413,42.873,6.1316,52.1318
27.08,-1.762,2.3542,-0.8862,36.1529,341.07,31.955
27.1,-1.8988,2.4933,-0.889,31.4446,332.8766,28.8848
27.12,-1.8438,2.578,-0.8944,28.9955,328.5803,29.6023
27.14,-1.588,2.601,-0.8922,30.0619,328.9202,34.3831
27.16,-0.9836,2.5856,-0.8844,33.8235,337.4717,43.3397
27.18,0.7024,2.7254,-1.1722,31.0378,35.5583,78.3499
27.2,1.3241,2.9484,-1.6189,19.5342,63.975,89.6614
27.22,1.555,3.1006,-2.005,11.3585,82.5097,93.8644
27.24,1.591,3.1563,-2.1562,6.7237,91.3734,94.613
27.26,1.5192,3.0822,-2.1028,4.8076,93.3059,101.7362
