time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
159.02,4.3265,-1.1561,-2,0,0,40
159.04,3.2794,-1.8778,-2,0,0,29.1582
159.06,3.5439,-1.7223,-2,0,0,31.7706
159.08,3.7679,-1.5773,-2,0,0,34.042
159.1,3.9524,-1.4481,-2,0,0,35.9591
159.12,4.0985,-1.339,-2,0,0,37.5118
159.14,4.2078,-1.2534,-2,0,0,38.6934
159.16,4.2812,-1.1937,-2,0,0,39.499
159.18,4.3198,-1.1616,-2,0,0,39.9261
159.2,4.324,-1.1581,-2,0,0,39.9731
159.22,4.294,-1.1832,-2,0,0,39.6399
159.24,4.2292,-1.2361,-2,0,0,38.9276
159.26,4.1289,-1.3156,-2,0,0,37.8386
159.28,3.992,-1.4192,-2,0,0,36.3771
159.3,3.8171,-1.5437,-2,0,0,34.5493
159.32,3.603,-1.6852,-2,0,0,32.3643
159.34,3.3486,-1.8387,-2,0,0,29.8348
159.36,3.0533,-1.9984,-2,0,0,26.9773
159.38,2.7177,-2.1577,-2,0,0,23.814
159.4,2.3431,-2.3098,-2,0,0,20.3719
159.42,1.9324,-2.4474,-2,0,0,16.6843
159.44,1.4901,-2.5638,-2,0,0,12.7905
159.46,1.0222,-2.6527,-2,0,0,8.7349
159.48,0.536,-2.7094,-2,0,0,4.5673
159.5,0.04,-2.7307,-2,0,0,0.3402
159.52,-0.4568,-2.7153,-2,0,0,356.1089
159.54,-0.9451,-2.6641,-2,0,0,351.9279
159.56,-1.4165,-2.58,-2,0,0,347.851
159.58,-1.8634,-2.4677,-2,0,0,343.928
159.6,-2.2795,-2.333,-2,0,0,340.2045
159.62,-2.6601,-2.1828,-2,0,0,336.7207
159.64,-3.0022,-2.0241,-2,0,0,333.5105
159.66,-3.3039,-1.8641,-2,0,0,330.6024
159.68,-3.5649,-1.7092,-2,0,0,328.019
159.7,-3.7854,-1.5654,-2,0,0,325.7778
159.72,-3.9665,-1.4378,-2,0,0,323.8919
159.74,-4.1094,-1.3306,-2,0,0,322.3711
159.76,-4.2155,-1.2472,-2,0,0,321.222
159.78,-4.2859,-1.1898,-2,0,0,320.449
159.8,-4.3215,-1.1602,-2,0,0,320.0548
159.82,-4.3228,-1.1591,-2,0,0,320.0408
159.84,-4.2897,-1.1867,-2,0,0,320.4069
159.86,-4.2219,-1.242,-2,0,0,321.1519
159.88,-4.1185,-1.3236,-2,0,0,322.2733
159.9,-3.9784,-1.4292,-2,0,0,323.7669
159.92,-3.8001,-1.5554,-2,0,0,325.626
159.94,-3.5826,-1.6981,-2,0,0,327.8414
159.96,-3.3246,-1.8524,-2,0,0,330.4001
159.98,-3.0258,-2.0123,-2,0,0,333.2849
160,-2.6867,-2.1713,-2,0,0,336.4736
160.02,-2.3089,-2.3224,-2,0,0,339.9383
160.04,-1.8953,-2.4584,-2,0,0,343.6454
160.06,-1.4505,-2.5726,-2,0,0,347.5551
160.08,-0.9807,-2.6589,-2,0,0,351.6224
160.1,-0.4933,-2.7127,-2,0,0,355.7974
160.12,0.0032,-2.7308,-2,0,0,0.0269
160.14,0.4995,-2.7122,-2,0,0,4.2562
160.16,0.9867,-2.658,-2,0,0,8.43
160.18,1.4563,-2.5713,-2,0,0,12.4957
160.2,1.9007,-2.4568,-2,0,0,16.403
160.22,2.3139,-2.3205,-2,0,0,20.1073
160.24,2.6913,-2.1693,-2,0,0,23.5686
160.26,3.0299,-2.0102,-2,0,0,26.7537
160.28,3.3281,-1.8504,-2,0,0,29.6345
160.3,3.5856,-1.6962,-2,0,0,32.1889
160.32,3.8027,-1.5537,-2,0,0,34.3999
160.34,3.9804,-1.4277,-2,0,0,36.2544
