time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.52,0.0003,-0.0004,0,355.5675,353.7239,358.0893
5.54,0.0003,-0.0004,0,355.5675,353.7239,358.0893
5.56,0.0003,-0.0004,0,355.5675,353.7239,358.0893
5.58,0.0003,-0.0003,-0.0001,355.5669,353.7238,358.0898
5.6,0.0003,-0.0006,0.0001,355.5685,353.7238,358.0888
5.62,0.0003,-0.0005,0.0001,355.5684,353.7233,358.0898
5.64,0,-0.0008,0.0002,355.5697,353.7218,358.0899
5.66,0.0005,-0.0005,0,355.5689,353.7254,358.089
5.68,0.0002,-0.0005,0.0002,355.5681,353.7224,358.09
5.7,0.0004,-0.0004,0,355.5675,353.7235,358.0894
5.72,0.0003,-0.0003,0,355.567,353.7231,358.0901
5.74,0.0003,-0.0003,0,355.5671,353.7229,358.0904
5.76,0.0004,-0.0005,0,355.5679,353.7234,358.0895
5.78,0.0003,-0.0006,0.0001,355.569,353.7237,358.0898
5.8,0.0003,-0.0005,0.0001,355.5684,353.7232,358.0898
5.82,0.0003,-0.0005,0.0001,355.5683,353.7232,358.0904
5.84,0.0002,-0.0002,0,355.5669,353.7231,358.091
5.86,0.0005,-0.0004,-0.0001,355.5677,353.7249,358.09
5.88,0.0003,-0.0003,0,355.5676,353.7236,358.0906
5.9,0.0003,-0.0003,0,355.5673,353.7236,358.0901
5.92,0.0004,-0.0003,-0.0001,355.5669,353.724,358.0896
5.94,0.0004,-0.0004,0,355.5672,353.7245,358.0898
5.96,0.0004,-0.0002,-0.0001,355.5664,353.7239,358.0907
5.98,0.0002,0,0,355.5664,353.7231,358.0918
6,0.0003,-0.0004,0,355.568,353.7234,358.0905
6.02,0,-0.0006,0.0002,355.5689,353.7225,358.09
6.04,0.0002,-0.0006,0.0003,355.5695,353.7225,358.0892
6.06,0.0002,-0.0006,0.0002,355.5691,353.7223,358.0896
6.08,0.0002,-0.0003,0,355.5679,353.7234,358.0901
6.1,0.0001,-0.0001,0.0001,355.5669,353.723,358.0906
6.12,0.0001,-0.0002,0.0001,355.5675,353.7231,358.0896
6.14,0.0003,-0.0005,0.0001,355.5683,353.7233,358.0894
6.16,0.0004,-0.0005,0,355.5685,353.7238,358.0893
6.18,0.0002,-0.0004,0,355.5674,353.7231,358.0903
6.2,0.0004,-0.0002,-0.0001,355.5668,353.7247,358.0906
6.22,0.0003,-0.0003,0,355.5676,353.7238,358.0907
6.24,0.0003,-0.0004,0,355.5674,353.7241,358.0907
6.26,0.0005,-0.0004,-0.0001,355.5677,353.7249,358.0901
6.28,0.0005,-0.0003,-0.0001,355.5672,353.7247,358.0905
6.3,0.0006,-0.0004,-0.0001,355.5679,353.7255,358.0901
6.32,0.0006,-0.0007,0,355.5694,353.725,358.0885
6.34,0.0004,-0.0006,0.0001,355.5688,353.7242,358.0888
6.36,0.0002,-0.0005,0.0001,355.5678,353.7233,358.0892
6.38,0.0003,-0.0002,-0.0001,355.5666,353.7233,358.0898
6.4,0.0002,-0.0004,0.0001,355.5677,353.7225,358.09
6.42,0.0003,-0.0004,0.0001,355.5679,353.7234,358.0903
6.44,0.0003,-0.0004,0.0001,355.5677,353.7238,358.09
6.46,0.0003,-0.0004,0.0001,355.5679,353.7236,358.0896
6.48,0.0005,-0.0002,-0.0001,355.5662,353.7247,358.0898
6.5,0.0003,-0.0004,0,355.5675,353.7241,358.0897
6.52,0.0001,-0.0006,0.0002,355.5691,353.7223,358.0896
6.54,0.0001,-0.0005,0.0002,355.5689,353.7223,358.09
6.56,0.0003,-0.0005,0.0001,355.5686,353.7238,358.0903
6.58,0.0004,-0.0003,0,355.5672,353.7243,358.0898
6.6,0.0001,-0.0004,0.0001,355.5678,353.7225,358.0907
6.62,-0.0002,-0.0005,0.0002,355.5689,353.7207,358.0912
6.64,0.0001,-0.0004,0.0001,355.5677,353.7226,358.0903
6.66,-0.0002,-0.0001,0.0002,355.5665,353.7211,358.0917
6.68,0.0003,-0.0002,0,355.567,353.7235,358.0909
6.7,0.0002,-0.0004,0,355.5677,353.7231,358.0907
6.72,0.0004,-0.0004,0,355.568,353.7237,358.089
6.74,0.0004,-0.0003,0,355.5676,353.7244,358.0894
6.76,0.0003,-0.0004,0.0001,355.5681,353.7234,358.0899
6.78,0.0006,-0.0001,-0.0003,355.5662,353.7249,358.0903
6.8,0.0005,-0.0001,-0.0002,355.5658,353.7247,358.0906
6.82,0.0003,-0.0002,-0.0001,355.5665,353.7244,358.09
6.84,0.0002,-0.0003,0,355.5673,353.7234,358.0897
6.86,0.0002,-0.0005,0,355.5679,353.7237,358.089
6.88,0.0004,-0.0002,-0.0001,355.5666,353.7246,358.0897
6.9,0,-0.0002,0.0001,355.5667,353.722,358.0906
6.92,0.0002,-0.0003,0.0001,355.5673,353.7231,358.0909
6.94,0.0001,-0.0002,0.0001,355.5671,353.7226,358.0912
6.96,0.0002,-0.0001,0,355.567,353.7233,358.0916
6.98,0.0006,0,-0.0002,355.5659,353.7249,358.0909
7,0.0003,-0.0005,0.0001,355.5679,353.724,358.0901
7.02,0,-0.0005,0.0002,355.568,353.7217,358.0906
7.04,0.0001,-0.0004,0.0001,355.5679,353.723,358.0902
7.06,0.0003,-0.0006,0.0001,355.5685,353.7237,358.0898
7.08,0.0003,-0.0005,0.0001,355.5677,353.7241,358.089
7.1,0.0004,-0.0003,0,355.5673,353.7244,358.0901
7.12,0.0005,-0.0003,-0.0001,355.5669,353.7257,358.0894
7.14,0.0002,-0.0001,0,355.566,353.7233,358.0906
7.16,0.0004,0,-0.0001,355.5647,353.7241,358.0899
7.18,0.0002,0,-0.0001,355.5648,353.7229,358.0918
7.2,0.0002,-0.0001,-0.0001,355.566,353.7232,358.0914
7.22,0.0002,-0.0001,-0.0001,355.5664,353.7231,358.0911
7.24,0.0003,0.0001,-0.0002,355.565,353.724,358.0905
7.26,0.0003,-0.0001,-0.0001,355.5662,353.724,358.0906
7.28,0.0006,-0.0003,-0.0001,355.5673,353.7251,358.0898
7.3,0.0003,-0.0002,-0.0001,355.5669,353.724,358.0906
7.32,0.0005,-0.0002,-0.0001,355.5666,353.7247,358.0899
7.34,0.0003,-0.0004,0,355.5681,353.7235,358.0901
7.36,0.0002,-0.0005,0,355.5688,353.7239,358.0894
7.38,0.0002,-0.0003,0,355.5676,353.7233,358.0898
7.4,0.0003,-0.0001,-0.0001,355.5671,353.7238,358.0911
7.42,0.0002,-0.0001,0,355.5669,353.7234,358.0908
