time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.8,-18.1989,0.03,0.3701,356.0958,354.4232,4.1584
3.82,-18.1989,0.03,0.3701,356.0958,354.4232,4.1584
3.84,-18.1991,0.0298,0.3701,356.0968,354.4227,4.1591
3.86,-18.199,0.0302,0.37,356.0949,354.4228,4.1585
3.88,-18.1989,0.0297,0.3702,356.097,354.4245,4.1595
3.9,-18.1989,0.0301,0.3701,356.0952,354.4235,4.1588
3.92,-18.199,0.0299,0.3701,356.0955,354.423,4.1597
3.94,-18.1986,0.0301,0.3703,356.0949,354.4251,4.1585
3.96,-18.1987,0.0303,0.3702,356.094,354.4254,4.1581
3.98,-18.199,0.0299,0.3701,356.0954,354.4233,4.1598
4,-18.199,0.0299,0.3702,356.0959,354.423,4.1594
4.02,-18.1988,0.0301,0.3701,356.0945,354.4242,4.1593
4.04,-18.1989,0.03,0.3701,356.0955,354.4233,4.1593
4.06,-18.199,0.0299,0.3701,356.0959,354.4235,4.1594
4.08,-18.1992,0.03,0.3701,356.0952,354.4215,4.1601
4.1,-18.1989,0.0299,0.3702,356.0959,354.424,4.159
4.12,-18.1989,0.03,0.3701,356.0958,354.4235,4.1586
4.14,-18.1991,0.0301,0.37,356.0949,354.4229,4.1589
4.16,-18.1989,0.0302,0.3701,356.0946,354.4239,4.1584
4.18,-18.199,0.0302,0.37,356.0944,354.4231,4.1588
4.2,-18.199,0.0297,0.3702,356.0964,354.4241,4.1596
4.22,-18.1988,0.0298,0.3702,356.0966,354.4246,4.1591
4.24,-18.1989,0.03,0.3702,356.0955,354.4243,4.1587
4.26,-18.199,0.0299,0.3702,356.0959,354.4238,4.1583
4.28,-18.199,0.0298,0.3702,356.0963,354.4233,4.1593
4.3,-18.1989,0.0304,0.3701,356.093,354.424,4.1584
4.32,-18.199,0.0298,0.3702,356.097,354.4233,4.1593
4.34,-18.1991,0.0299,0.3702,356.0961,354.4232,4.1593
4.36,-18.1991,0.0297,0.3702,356.0971,354.4224,4.1595
4.38,-18.199,0.0301,0.3701,356.0947,354.423,4.1593
4.4,-18.199,0.03,0.3702,356.0956,354.4235,4.1584
4.42,-18.1989,0.03,0.3703,356.0956,354.4246,4.1582
4.44,-18.1989,0.0299,0.3703,356.0958,354.4241,4.1582
4.46,-18.199,0.0299,0.3703,356.0956,354.4238,4.1582
4.48,-18.1988,0.0299,0.3704,356.0962,354.425,4.1584
4.5,-18.1989,0.0299,0.3704,356.096,354.4243,4.1595
4.52,-18.1994,0.0305,0.3697,356.0916,354.4201,4.1608
4.54,-18.2003,0.0297,0.3694,356.095,354.4154,4.1613
4.56,-18.2,0.0298,0.3694,356.0957,354.4176,4.1603
4.58,-18.2005,0.0298,0.3692,356.0955,354.4138,4.1614
4.6,-18.2003,0.0295,0.3694,356.0968,354.4148,4.162
4.62,-18.2001,0.0297,0.3694,356.0959,354.4163,4.1617
4.64,-18.2002,0.0297,0.3693,356.096,354.416,4.1609
4.66,-18.2003,0.0298,0.3693,356.0956,354.4153,4.1615
4.68,-18.2004,0.0294,0.3694,356.0972,354.4145,4.1622
4.7,-18.2003,0.0301,0.3693,356.0948,354.4151,4.1604
4.72,-18.2006,0.0298,0.3692,356.0957,354.4133,4.1615
4.74,-18.2005,0.0297,0.3692,356.0957,354.414,4.1617
4.76,-18.2005,0.0297,0.3693,356.0959,354.4142,4.162
4.78,-18.2003,0.0298,0.3693,356.0952,354.4158,4.1617
4.8,-18.2002,0.0298,0.3693,356.0956,354.416,4.1618
4.82,-18.2003,0.0296,0.3694,356.0968,354.415,4.162
4.84,-18.2004,0.0296,0.3694,356.0967,354.4147,4.1618
