time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.44,0.0002,0,0,357.4997,351.2957,0.0969
3.46,0.0001,0.0002,0,357.4987,351.2954,0.0975
3.48,0.0003,0.0001,-0.0001,357.499,351.2964,0.0972
3.5,0.0001,0.0001,0.0001,357.499,351.2953,0.0977
3.52,-0.0002,0.0003,0.0001,357.4988,351.2939,0.0984
3.54,0,0,0.0001,357.4997,351.2948,0.0979
3.56,-0.0005,0.0001,0.0003,357.4995,351.2918,0.0981
3.58,0.0001,0,0,357.4997,351.2955,0.0977
3.6,0.0003,0,0,357.4993,351.2969,0.0974
3.62,0.0001,0.0002,0,357.4987,351.2957,0.0981
3.64,0.0001,0.0002,0,357.4983,351.2959,0.0977
3.66,-0.0001,0.0002,0.0001,357.4983,351.2945,0.0985
3.68,0,-0.0002,0.0002,357.5004,351.2951,0.0969
3.7,0,-0.0002,0.0002,357.5004,351.2951,0.0969
3.72,-0.0003,0,0.0003,357.4995,351.294,0.0975
3.74,-0.0003,0,0.0003,357.4995,351.294,0.0975
3.76,0.0002,-0.0001,0.0001,357.4998,351.2961,0.0969
3.78,0.0002,-0.0001,0.0001,357.4998,351.2961,0.0969
3.8,0.0001,-0.0001,0,357.4995,351.2948,0.0976
3.82,0.0001,-0.0001,0,357.4995,351.2948,0.0976
3.84,0,0,0.0001,357.4996,351.2947,0.0976
3.86,0,0,0.0001,357.4996,351.2947,0.0976
3.88,-0.0001,-0.0001,0.0002,357.4999,351.2943,0.0971
3.9,-0.0002,-0.0002,0.0002,357.5004,351.2944,0.0972
3.92,-0.0002,-0.0003,0.0003,357.5008,351.2932,0.097
3.94,-0.0001,-0.0001,0.0002,357.5003,351.2943,0.0975
3.96,0,-0.0002,0.0002,357.5005,351.2949,0.0972
3.98,0.0002,-0.0001,0,357.5005,351.2959,0.097
4,0,0.0003,0,357.4977,351.2946,0.0977
4.02,-0.0001,-0.0001,0.0002,357.5001,351.2941,0.0969
4.04,-0.0003,-0.0005,0.0004,357.5015,351.2926,0.096
4.06,-0.0002,-0.0003,0.0003,357.5015,351.2939,0.0968
4.08,-0.0002,-0.0003,0.0003,357.5008,351.2938,0.0963
4.1,0.0002,0,0,357.4991,351.295,0.0964
4.12,-0.0001,-0.0001,0.0002,357.4998,351.2939,0.0964
4.14,-0.0003,-0.0002,0.0004,357.5007,351.2925,0.0971
4.16,-0.0001,0,0.0002,357.4993,351.294,0.0965
4.18,0.0001,-0.0002,0.0001,357.5003,351.2948,0.0964
4.2,0,0,0.0001,357.4992,351.2947,0.0972
4.22,0,-0.0002,0.0001,357.5002,351.2944,0.0965
4.24,0.0001,-0.0003,0.0001,357.5006,351.2955,0.0958
4.26,-0.0001,-0.0003,0.0002,357.5008,351.2944,0.0966
4.28,0.0001,-0.0002,0.0001,357.5002,351.2953,0.0961
4.3,0,0,0.0002,357.4995,351.2949,0.0969
4.32,-0.0003,-0.0002,0.0003,357.5011,351.2934,0.0963
