time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.5,-18.3771,-0.0138,0.0717,354.5135,354.4134,347.9897
9.52,-18.3771,-0.0138,0.0717,354.5135,354.4134,347.9897
9.54,-18.3769,-0.0139,0.0719,354.5134,354.4155,347.9902
9.559999,-18.3773,-0.0139,0.0716,354.5135,354.413,347.9912
9.58,-18.3767,-0.0135,0.0719,354.5119,354.4167,347.9897
9.599999,-18.3768,-0.0133,0.0718,354.5111,354.4159,347.9889
9.62,-18.377,-0.0138,0.0718,354.5134,354.4153,347.9902
9.639999,-18.377,-0.0135,0.0717,354.5114,354.4149,347.9899
9.66,-18.3777,-0.0139,0.0715,354.5139,354.4105,347.9906
9.679999,-18.3772,-0.0137,0.0716,354.5125,354.4138,347.9906
9.7,-18.377,-0.0137,0.0719,354.5127,354.4155,347.9908
9.719999,-18.3769,-0.0136,0.0718,354.5115,354.4158,347.9899
9.74,-18.3769,-0.0137,0.0718,354.513,354.4154,347.99
9.76,-18.3772,-0.0139,0.0715,354.5138,354.4123,347.9908
9.78,-18.3772,-0.0139,0.0717,354.5137,354.4135,347.9904
9.8,-18.3772,-0.0137,0.0717,354.5129,354.4137,347.9901
9.82,-18.3771,-0.0136,0.0717,354.5123,354.4142,347.9896
9.84,-18.3773,-0.014,0.0717,354.5143,354.4127,347.9905
9.86,-18.3773,-0.0139,0.0716,354.5134,354.4125,347.9906
9.88,-18.3775,-0.0138,0.0714,354.5123,354.4116,347.9907
9.9,-18.3773,-0.0137,0.0716,354.512,354.4131,347.9908
9.92,-18.3768,-0.0135,0.0718,354.5112,354.4159,347.9901
9.94,-18.3771,-0.0136,0.0716,354.5114,354.4141,347.9908
9.96,-18.377,-0.0136,0.0717,354.5122,354.4145,347.9897
9.98,-18.3768,-0.0136,0.0718,354.5121,354.4156,347.9896
10,-18.3772,-0.0138,0.0717,354.5128,354.4129,347.99
10.02,-18.3769,-0.0139,0.0718,354.5133,354.4137,347.9905
10.04,-18.3774,-0.0139,0.0715,354.5133,354.4112,347.9911
10.06,-18.3765,-0.0134,0.0719,354.511,354.4181,347.9896
10.08,-18.377,-0.0134,0.0716,354.5111,354.4145,347.9888
10.1,-18.3766,-0.0134,0.0718,354.5105,354.4167,347.9885
10.12,-18.3768,-0.0136,0.0718,354.5124,354.416,347.9891
10.14,-18.3768,-0.0134,0.0717,354.511,354.4154,347.9896
10.16,-18.3768,-0.013,0.0716,354.5091,354.4151,347.9882
10.18,-18.3767,-0.013,0.0717,354.5087,354.4158,347.9881
10.2,-18.3768,-0.0136,0.0717,354.5118,354.4153,347.9888
10.22,-18.377,-0.0133,0.0715,354.5109,354.4146,347.989
10.24,-18.3767,-0.0132,0.0716,354.5107,354.4162,347.9873
10.26,-18.3767,-0.013,0.0716,354.5089,354.4164,347.988
10.28,-18.3772,-0.0134,0.0714,354.5114,354.4138,347.9886
10.3,-18.3769,-0.0133,0.0716,354.5106,354.4154,347.9887
10.32,-18.3771,-0.0135,0.0716,354.5114,354.4142,347.9894
10.34,-18.3769,-0.0135,0.0718,354.5115,354.4155,347.989
10.36,-18.3771,-0.0136,0.0717,354.5117,354.4138,347.9903
10.38,-18.377,-0.0133,0.0717,354.5105,354.4149,347.989
10.4,-18.3769,-0.0136,0.0718,354.5121,354.4152,347.9893
10.42,-18.377,-0.0137,0.0718,354.5127,354.4145,347.9903
10.44,-18.3771,-0.0138,0.0717,354.5128,354.4137,347.991
10.46,-18.3769,-0.0134,0.0717,354.5112,354.4148,347.9901
10.48,-18.3769,-0.0134,0.0716,354.5105,354.4149,347.9894
10.5,-18.3767,-0.0133,0.0718,354.51,354.4171,347.989
10.52,-18.377,-0.0134,0.0717,354.5108,354.4148,347.9894
10.54,-18.377,-0.0133,0.0717,354.5107,354.4147,347.989
10.56,-18.3771,-0.0137,0.0716,354.513,354.4136,347.9901
10.58,-18.377,-0.0135,0.0716,354.5118,354.4142,347.989
10.6,-18.377,-0.0133,0.0717,354.5106,354.4149,347.9888
10.62,-18.3769,-0.0136,0.0719,354.5123,354.4156,347.9893
10.64,-18.3769,-0.0134,0.0717,354.5105,354.4149,347.9893
10.66,-18.377,-0.0133,0.0716,354.5104,354.4147,347.9891
10.68,-18.3772,-0.0135,0.0716,354.5121,354.4132,347.9892
10.7,-18.3768,-0.0135,0.0718,354.5111,354.4155,347.9893
10.72,-18.377,-0.0135,0.0717,354.5112,354.415,347.9893
10.74,-18.3769,-0.0132,0.0717,354.5101,354.4157,347.989
10.76,-18.377,-0.0132,0.0716,354.5093,354.4147,347.9887
10.78,-18.3766,-0.0131,0.0718,354.5092,354.4167,347.9883
10.8,-18.3769,-0.0133,0.0717,354.5109,354.4153,347.9884
10.82,-18.3767,-0.0134,0.0718,354.5117,354.4162,347.9884
10.84,-18.3766,-0.0133,0.072,354.5114,354.4163,347.9883
10.86,-18.3771,-0.0135,0.0717,354.5114,354.4144,347.9898
10.88,-18.3771,-0.0136,0.0717,354.5119,354.4144,347.9898
10.9,-18.3767,-0.0135,0.0719,354.5121,354.4168,347.9883
10.92,-18.3767,-0.0136,0.0719,354.5125,354.4162,347.9881
10.94,-18.377,-0.0136,0.0717,354.5129,354.4142,347.9895
10.96,-18.377,-0.0131,0.0716,354.5099,354.4154,347.9889
10.98,-18.3771,-0.0134,0.0716,354.5111,354.4143,347.9899
11,-18.3769,-0.0134,0.0718,354.5109,354.4153,347.989
11.02,-18.3769,-0.0134,0.0717,354.5112,354.4154,347.9908
11.04,-18.3768,-0.0133,0.0717,354.5111,354.4153,347.9898
11.06,-18.3769,-0.0133,0.0716,354.5107,354.4142,347.9892
11.08,-18.3769,-0.0136,0.0717,354.5127,354.4144,347.9896
11.1,-18.3766,-0.0135,0.0719,354.5126,354.4164,347.989
11.12,-18.3767,-0.0136,0.0718,354.5125,354.4156,347.9892
11.14,-18.3767,-0.0137,0.0719,354.5126,354.4159,347.9895
11.16,-18.3765,-0.0137,0.072,354.5125,354.417,347.9898
11.18,-18.3766,-0.0134,0.0719,354.5113,354.4165,347.9894
11.2,-18.3769,-0.0133,0.0717,354.511,354.4148,347.989
11.22,-18.3767,-0.0135,0.0719,354.5118,354.4164,347.9888
11.24,-18.3764,-0.0135,0.072,354.5121,354.4175,347.9881
11.26,-18.3765,-0.0137,0.072,354.5134,354.4176,347.9889
11.28,-18.3767,-0.0136,0.0719,354.5128,354.4161,347.9889
11.3,-18.3769,-0.0138,0.0718,354.5135,354.4154,347.9898
11.32,-18.3766,-0.0137,0.072,354.5134,354.4173,347.9889
11.34,-18.3767,-0.0135,0.0718,354.5122,354.4166,347.9881
11.36,-18.3762,-0.0137,0.0722,354.513,354.4191,347.9887
11.38,-18.3763,-0.0135,0.072,354.5116,354.418,347.9886
11.4,-18.3766,-0.0135,0.0719,354.5117,354.416,347.9895
11.42,-18.3768,-0.0136,0.0718,354.5125,354.4158,347.9891
11.44,-18.3767,-0.0134,0.0718,354.5107,354.4151,347.9895
11.46,-18.3766,-0.0139,0.072,354.5141,354.4162,347.9896
11.48,-18.3766,-0.0135,0.0718,354.5117,354.4166,347.9888
11.5,-18.3767,-0.0138,0.0719,354.5134,354.4164,347.99
11.52,-18.3764,-0.0137,0.0721,354.5125,354.4184,347.9885
11.54,-18.3764,-0.0136,0.072,354.5123,354.4175,347.9886
11.56,-18.3767,-0.0135,0.0719,354.5115,354.4159,347.9892
11.58,-18.3767,-0.0134,0.0718,354.5111,354.4158,347.9889
11.6,-18.3762,-0.0135,0.0721,354.5124,354.4198,347.9878
11.62,-18.3765,-0.0137,0.0721,354.5133,354.4178,347.9888
11.64,-18.3764,-0.0133,0.072,354.5111,354.4183,347.9886
11.66,-18.3764,-0.0137,0.0721,354.513,354.4187,347.9884
11.68,-18.3763,-0.0134,0.0721,354.5112,354.4188,347.989
11.7,-18.3766,-0.0134,0.0719,354.5114,354.4165,347.9894
11.72,-18.3764,-0.0135,0.072,354.5113,354.4181,347.9899
11.74,-18.3765,-0.0136,0.072,354.5126,354.4173,347.9893
11.76,-18.3763,-0.0136,0.0721,354.513,354.4181,347.9881
11.78,-18.3762,-0.0135,0.0722,354.5124,354.4197,347.9877
11.8,-18.3764,-0.0134,0.072,354.5111,354.4182,347.9883
11.82,-18.3767,-0.0133,0.0717,354.5105,354.4156,347.9888
11.84,-18.3763,-0.0133,0.072,354.5103,354.4176,347.989
11.86,-18.3767,-0.0134,0.0718,354.5111,354.4163,347.989
11.88,-18.3768,-0.0135,0.0719,354.5118,354.4156,347.9896
11.9,-18.3768,-0.0135,0.0718,354.5112,354.4152,347.9902
11.92,-18.3768,-0.0135,0.0719,354.5118,354.416,347.9894
11.94,-18.377,-0.0136,0.0718,354.5122,354.4148,347.9897
11.96,-18.3765,-0.0135,0.072,354.5122,354.4171,347.9888
11.98,-18.3766,-0.0135,0.0719,354.5124,354.4168,347.9884
12,-18.3768,-0.0136,0.0718,354.5119,354.416,347.9897
12.02,-18.377,-0.0136,0.0717,354.5115,354.4143,347.9897
12.04,-18.3768,-0.0137,0.0719,354.5124,354.415,347.9897
12.06,-18.3772,-0.0139,0.0717,354.5132,354.4135,347.9914
12.08,-18.3772,-0.0138,0.0716,354.5135,354.4131,347.9903
12.1,-18.3769,-0.0139,0.0718,354.5133,354.4148,347.9904
12.12,-18.3768,-0.0138,0.0718,354.5127,354.4162,347.9908
12.14,-18.3769,-0.0138,0.0718,354.5128,354.416,347.99
12.16,-18.3772,-0.0139,0.0717,354.513,354.4139,347.9912
12.18,-18.377,-0.0135,0.0717,354.5111,354.4143,347.9905
12.2,-18.3772,-0.0136,0.0716,354.5121,354.4131,347.9906
12.22,-18.3771,-0.0139,0.0718,354.5128,354.4145,347.9912
12.24,-18.3772,-0.0139,0.0717,354.5133,354.4132,347.9911
12.26,-18.3768,-0.0136,0.0718,354.5123,354.4152,347.9895
12.28,-18.3767,-0.0136,0.0718,354.5121,354.4162,347.9893
12.3,-18.3768,-0.0136,0.0718,354.5117,354.4156,347.9895
12.32,-18.3769,-0.0136,0.0718,354.5122,354.4156,347.989
12.34,-18.3771,-0.0137,0.0717,354.5124,354.4147,347.9901
12.36,-18.3771,-0.0134,0.0716,354.5114,354.4139,347.9897
12.38,-18.3766,-0.0137,0.072,354.5123,354.4165,347.989
12.4,-18.377,-0.0137,0.0717,354.5125,354.4141,347.9901
12.42,-18.377,-0.0136,0.0716,354.512,354.4138,347.9903
12.44,-18.3767,-0.0134,0.0718,354.511,354.4155,347.9899
12.46,-18.3771,-0.0136,0.0716,354.5116,354.4136,347.9898
12.48,-18.3772,-0.0135,0.0716,354.5115,354.4128,347.9898
12.5,-18.377,-0.0133,0.0716,354.5107,354.4138,347.9899
12.52,-18.3769,-0.0135,0.0717,354.5108,354.4147,347.9907
12.54,-18.3771,-0.0137,0.0717,354.5117,354.4146,347.9904
12.56,-18.377,-0.0134,0.0716,354.5117,354.4144,347.9896
12.58,-18.3771,-0.0134,0.0716,354.5114,354.4138,347.9898
12.6,-18.3771,-0.0136,0.0717,354.5114,354.414,347.9903
12.62,-18.377,-0.0133,0.0716,354.5107,354.4134,347.9892
12.64,-18.3767,-0.0132,0.0718,354.5102,354.4158,347.989
12.66,-18.3771,-0.0135,0.0717,354.5117,354.4136,347.9899
12.68,-18.377,-0.0138,0.0718,354.5129,354.4143,347.99
12.7,-18.3771,-0.014,0.0718,354.514,354.414,347.9904
12.72,-18.3773,-0.0138,0.0715,354.5127,354.4125,347.9916
12.74,-18.3773,-0.0135,0.0715,354.5112,354.4127,347.9908
12.76,-18.3773,-0.0135,0.0714,354.5112,354.4119,347.9907
12.78,-18.377,-0.0136,0.0716,354.5121,354.4136,347.9896
12.8,-18.3771,-0.0136,0.0716,354.5113,354.4135,347.99
12.82,-18.3768,-0.0137,0.0719,354.5117,354.4157,347.9904
12.84,-18.377,-0.0136,0.0717,354.5114,354.4149,347.9908
12.86,-18.377,-0.0137,0.0717,354.5128,354.4139,347.99
12.88,-18.3768,-0.0136,0.0718,354.5122,354.4159,347.9898
12.9,-18.3771,-0.0136,0.0716,354.5121,354.4135,347.9907
12.92,-18.3771,-0.0135,0.0716,354.5117,354.4137,347.9907
12.94,-18.3769,-0.0135,0.0718,354.5118,354.4153,347.9894
12.96,-18.3771,-0.0137,0.0717,354.5118,354.4146,347.9904
12.98,-18.3771,-0.0135,0.0717,354.5111,354.4141,347.9903
13,-18.377,-0.0136,0.0717,354.5115,354.4142,347.99
13.02,-18.3771,-0.0137,0.0717,354.5127,354.4129,347.9901
13.04,-18.3768,-0.0135,0.0717,354.5119,354.4153,347.9883
13.06,-18.377,-0.0132,0.0715,354.5096,354.414,347.9902
13.08,-18.3769,-0.0131,0.0716,354.5091,354.4149,347.9894
13.1,-18.3768,-0.0131,0.0716,354.5095,354.4149,347.9886
13.12,-18.3768,-0.0131,0.0716,354.5099,354.4151,347.9878
13.14,-18.3764,-0.0134,0.072,354.5112,354.4175,347.9881
13.16,-18.3771,-0.0136,0.0716,354.5119,354.4135,347.9893
13.18,-18.3771,-0.0132,0.0716,354.5102,354.4132,347.9894
13.2,-18.377,-0.0132,0.0716,354.5103,354.4139,347.9888
13.22,-18.3767,-0.0131,0.0718,354.5098,354.4166,347.9887
13.24,-18.3769,-0.0129,0.0715,354.5084,354.4154,347.9888
13.26,-18.377,-0.013,0.0715,354.5089,354.4141,347.9894
13.28,-18.377,-0.0134,0.0716,354.511,354.4144,347.9893
13.3,-18.377,-0.0135,0.0716,354.5116,354.4142,347.9899
13.32,-18.377,-0.0133,0.0716,354.5098,354.4145,347.9895
13.34,-18.3764,-0.0132,0.0719,354.51,354.4186,347.9874
13.36,-18.3771,-0.0135,0.0716,354.5116,354.4146,347.9887
13.38,-18.3768,-0.0131,0.0717,354.5097,354.4149,347.9883
13.4,-18.3771,-0.0135,0.0717,354.5118,354.414,347.9899
13.42,-18.377,-0.0136,0.0717,354.5116,354.4146,347.9899
13.44,-18.377,-0.0135,0.0717,354.5109,354.4147,347.9898
13.46,-18.3764,-0.0134,0.0721,354.5115,354.4181,347.9882
13.48,-18.3766,-0.0135,0.072,354.5119,354.4174,347.9892
13.5,-18.3769,-0.0132,0.0716,354.5089,354.4153,347.9894
13.52,-18.377,-0.0133,0.0716,354.5095,354.4153,347.9892
13.54,-18.3769,-0.0132,0.0716,354.5096,354.4157,347.9888
13.56,-18.3768,-0.0131,0.0717,354.5093,354.4155,347.9888
13.58,-18.3768,-0.0132,0.0717,354.5099,354.4156,347.9889
13.6,-18.3771,-0.0132,0.0715,354.5099,354.4137,347.9886
13.62,-18.377,-0.0133,0.0715,354.51,354.4144,347.9878
13.64,-18.3769,-0.0134,0.0716,354.5112,354.4143,347.9886
13.66,-18.3771,-0.0134,0.0715,354.5113,354.4128,347.9894
13.68,-18.3768,-0.0131,0.0717,354.5102,354.4154,347.9888
13.7,-18.3768,-0.0134,0.0718,354.5119,354.416,347.989
13.72,-18.377,-0.0133,0.0716,354.5103,354.415,347.9895
13.74,-18.3766,-0.0133,0.0719,354.5104,354.4171,347.9893
13.76,-18.3765,-0.0134,0.0719,354.5115,354.4171,347.9883
13.78,-18.3767,-0.0133,0.0718,354.5114,354.4161,347.9883
13.8,-18.3772,-0.0135,0.0715,354.5114,354.4131,347.9898
13.82,-18.3769,-0.0131,0.0717,354.5102,354.4151,347.9886
13.84,-18.3764,-0.0132,0.072,354.5108,354.4178,347.9885
13.86,-18.3771,-0.0133,0.0715,354.5104,354.4134,347.9896
13.88,-18.377,-0.0131,0.0716,354.51,354.4146,347.989
13.9,-18.3769,-0.0133,0.0717,354.5107,354.4158,347.989
13.92,-18.3769,-0.0133,0.0717,354.5105,354.415,347.9897
13.94,-18.3765,-0.0131,0.0719,354.5099,354.417,347.9882
13.96,-18.3763,-0.013,0.072,354.5089,354.4185,347.9875
13.98,-18.3767,-0.0132,0.0718,354.5104,354.416,347.9886
14,-18.3768,-0.0131,0.0717,354.5103,354.4155,347.9885
14.02,-18.3767,-0.013,0.0716,354.509,354.4153,347.989
14.04,-18.3766,-0.0133,0.0717,354.5112,354.4164,347.9887
14.06,-18.3766,-0.0132,0.0717,354.51,354.4159,347.9889
14.08,-18.3768,-0.0135,0.0717,354.512,354.4153,347.9886
14.1,-18.3766,-0.0131,0.0718,354.5098,354.4171,347.9886
14.12,-18.3765,-0.0131,0.0718,354.5101,354.4176,347.9882
14.14,-18.3768,-0.0134,0.0717,354.5114,354.4154,347.9889
14.16,-18.3766,-0.0132,0.0718,354.5105,354.416,347.9895
14.18,-18.3765,-0.0134,0.0718,354.5117,354.4173,347.9882
14.2,-18.3767,-0.0133,0.0717,354.5111,354.4159,347.9881
14.22,-18.3767,-0.0133,0.0718,354.511,354.4169,347.9888
14.24,-18.3768,-0.0135,0.0717,354.5117,354.4158,347.9893
14.26,-18.377,-0.0133,0.0716,354.5107,354.415,347.9888
14.28,-18.3769,-0.0133,0.0717,354.5107,354.4158,347.989
14.3,-18.3768,-0.0135,0.0718,354.512,354.4156,347.9887
14.32,-18.377,-0.0133,0.0716,354.5104,354.4143,347.9894
14.34,-18.3766,-0.0131,0.0718,354.5095,354.417,347.989
14.36,-18.3768,-0.0133,0.0716,354.5113,354.4163,347.9894
14.38,-18.3769,-0.0134,0.0716,354.5114,354.4154,347.9895
14.4,-18.3766,-0.0135,0.0719,354.5124,354.4171,347.9886
14.42,-18.3766,-0.0134,0.0719,354.5117,354.4167,347.9885
14.44,-18.3769,-0.0134,0.0717,354.5118,354.4148,347.9892
14.46,-18.3766,-0.0133,0.0718,354.5113,354.4166,347.9881
14.48,-18.3766,-0.0136,0.0719,354.5125,354.4167,347.9884
14.5,-18.3763,-0.0134,0.0721,354.5111,354.4188,347.9891
14.52,-18.3762,-0.013,0.072,354.5098,354.419,347.9882
14.54,-18.3763,-0.0126,0.0719,354.5066,354.4185,347.9885
14.56,-18.3772,-0.0133,0.0715,354.5107,354.4124,347.9913
