time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.48,-17.6135,-0.1917,-0.1676,359.4619,352.9176,1.4074
3.5,-17.6136,-0.1916,-0.1677,359.4613,352.9162,1.4075
3.52,-17.6134,-0.1916,-0.1676,359.4612,352.918,1.4076
3.54,-17.6137,-0.1917,-0.1677,359.4619,352.9164,1.4086
3.56,-17.6133,-0.1917,-0.1676,359.4613,352.9188,1.4062
3.58,-17.6135,-0.1916,-0.1676,359.4614,352.9182,1.4073
3.6,-17.6137,-0.1913,-0.1679,359.459,352.9165,1.4077
3.62,-17.6135,-0.1916,-0.1676,359.4605,352.918,1.4083
3.64,-17.6136,-0.1914,-0.1678,359.4602,352.9161,1.4087
3.66,-17.6134,-0.1914,-0.1676,359.4601,352.9185,1.4078
3.68,-17.6134,-0.1916,-0.1675,359.4614,352.9191,1.4082
3.7,-17.6135,-0.1916,-0.1677,359.4617,352.9178,1.4086
3.72,-17.6137,-0.1915,-0.1677,359.4605,352.9168,1.4085
3.74,-17.6135,-0.1916,-0.1676,359.4608,352.9182,1.4076
3.76,-17.6131,-0.1915,-0.1675,359.4608,352.9216,1.4049
3.78,-17.6133,-0.1916,-0.1676,359.4608,352.9198,1.4064
3.8,-17.6137,-0.1918,-0.1676,359.4617,352.9176,1.4078
3.82,-17.6136,-0.1916,-0.1677,359.461,352.9162,1.4082
3.84,-17.6133,-0.1916,-0.1675,359.4605,352.9177,1.4076
3.86,-17.6135,-0.1915,-0.1677,359.4605,352.9164,1.4086
3.88,-17.6137,-0.1916,-0.1678,359.4604,352.9161,1.4093
3.9,-17.6134,-0.1915,-0.1677,359.4601,352.9183,1.4071
3.92,-17.6134,-0.1915,-0.1676,359.4602,352.9187,1.4078
3.94,-17.6136,-0.1917,-0.1677,359.4618,352.9167,1.4088
3.96,-17.6137,-0.1915,-0.1678,359.4601,352.916,1.4086
3.98,-17.6136,-0.1916,-0.1677,359.461,352.9168,1.409
4,-17.6137,-0.1917,-0.1678,359.4612,352.9157,1.4093
4.02,-17.6135,-0.1914,-0.1677,359.4599,352.9176,1.4071
4.04,-17.6136,-0.1915,-0.1677,359.4607,352.9171,1.4079
4.06,-17.6137,-0.1915,-0.1678,359.4601,352.9148,1.4088
4.08,-17.6138,-0.1916,-0.1678,359.4605,352.9148,1.4089
4.1,-17.6138,-0.1917,-0.1678,359.4611,352.9153,1.4096
4.12,-17.6137,-0.1919,-0.1677,359.4621,352.9166,1.4091
4.14,-17.6135,-0.1917,-0.1676,359.4612,352.9175,1.4081
4.16,-17.6134,-0.1919,-0.1675,359.4628,352.9189,1.4082
4.18,-17.6135,-0.1916,-0.1677,359.4611,352.9171,1.408
4.2,-17.6134,-0.1916,-0.1677,359.4608,352.9184,1.4074
4.22,-17.6135,-0.1916,-0.1677,359.4605,352.9171,1.408
4.24,-17.6133,-0.1917,-0.1675,359.4617,352.9185,1.4079
4.26,-17.6135,-0.1914,-0.1677,359.4598,352.9173,1.4083
4.28,-17.6139,-0.1917,-0.1679,359.4604,352.914,1.41
4.3,-17.6138,-0.1918,-0.1678,359.4616,352.9154,1.409
4.32,-17.6133,-0.1916,-0.1676,359.4608,352.919,1.4077
4.34,-17.6138,-0.1918,-0.1678,359.4619,352.9149,1.41
4.36,-17.6137,-0.1918,-0.1677,359.462,352.9165,1.4087
4.38,-17.6136,-0.1916,-0.1677,359.4605,352.9174,1.4082
4.4,-17.6135,-0.1915,-0.1677,359.4602,352.9177,1.408
4.42,-17.6134,-0.1917,-0.1675,359.4617,352.9177,1.4074
4.44,-17.6138,-0.1918,-0.1677,359.4618,352.9154,1.4086
4.46,-17.6136,-0.1918,-0.1676,359.4618,352.9164,1.4082
4.48,-17.6133,-0.1916,-0.1675,359.4613,352.9191,1.4074
4.5,-17.6134,-0.1916,-0.1676,359.4613,352.9178,1.4079
4.52,-17.6137,-0.1915,-0.1678,359.4608,352.916,1.408
4.54,-17.6135,-0.1913,-0.1677,359.4597,352.917,1.4077
4.56,-17.6135,-0.1917,-0.1676,359.4612,352.9178,1.4082
4.58,-17.6135,-0.1917,-0.1676,359.461,352.9178,1.4085
4.6,-17.6132,-0.1922,-0.1674,359.464,352.92,1.4071
4.62,-17.6135,-0.1917,-0.1677,359.4615,352.9175,1.4088
4.64,-17.6133,-0.1915,-0.1676,359.4604,352.919,1.4074
4.66,-17.6134,-0.1915,-0.1676,359.4606,352.9182,1.4077
4.68,-17.6136,-0.1915,-0.1677,359.4603,352.9166,1.408
4.7,-17.6135,-0.1916,-0.1676,359.461,352.9177,1.4077
