time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.26,-18.5389,0.1861,-0.9011,356.3578,2.0393,359.0677
5.28,-18.539,0.1861,-0.9011,356.3576,2.0393,359.068
5.3,-18.539,0.1861,-0.901,356.3576,2.0393,359.0685
5.32,-18.5388,0.1859,-0.9009,356.3592,2.0403,359.0685
5.34,-18.5391,0.1861,-0.901,356.358,2.0391,359.0685
5.36,-18.5391,0.1859,-0.901,356.3591,2.0385,359.0689
5.38,-18.5389,0.186,-0.901,356.3587,2.04,359.0684
5.4,-18.539,0.1861,-0.901,356.3582,2.0398,359.0678
5.42,-18.539,0.1862,-0.901,356.3576,2.0396,359.0685
5.44,-18.539,0.1862,-0.901,356.3578,2.0393,359.0682
5.46,-18.5392,0.1863,-0.9012,356.3564,2.0372,359.0687
5.48,-18.5398,0.1865,-0.9017,356.3552,2.0338,359.069
5.5,-18.5396,0.1859,-0.9014,356.3588,2.036,359.0699
5.52,-18.5396,0.1861,-0.9015,356.3573,2.036,359.069
5.54,-18.5397,0.186,-0.9015,356.3574,2.0353,359.0698
5.56,-18.5396,0.1861,-0.9015,356.3571,2.0353,359.0696
5.58,-18.5398,0.1858,-0.9015,356.3584,2.0339,359.07
5.6,-18.5398,0.1858,-0.9015,356.3582,2.0337,359.0706
5.62,-18.5396,0.1859,-0.9015,356.3577,2.0347,359.0703
5.64,-18.5396,0.1858,-0.9014,356.3587,2.0353,359.0697
5.66,-18.5396,0.186,-0.9014,356.3577,2.0361,359.0692
5.68,-18.5397,0.1859,-0.9015,356.3579,2.035,359.0695
5.7,-18.5398,0.1858,-0.9015,356.3589,2.0345,359.0702
5.72,-18.5398,0.186,-0.9016,356.3576,2.0335,359.0694
5.74,-18.5397,0.1859,-0.9014,356.3581,2.0343,359.0698
5.76,-18.5398,0.1861,-0.9015,356.3568,2.0338,359.0701
5.78,-18.5397,0.1861,-0.9015,356.3571,2.0341,359.0696
5.8,-18.5397,0.1859,-0.9015,356.3582,2.0346,359.0705
5.82,-18.5397,0.1858,-0.9014,356.3585,2.035,359.0701
5.84,-18.5396,0.1859,-0.9014,356.3577,2.0354,359.0692
5.86,-18.5395,0.1858,-0.9013,356.3586,2.0364,359.0691
5.88,-18.5396,0.186,-0.9014,356.3574,2.0353,359.069
5.9,-18.5398,0.1857,-0.9014,356.3592,2.034,359.0701
5.92,-18.5396,0.1859,-0.9014,356.3583,2.0352,359.0693
5.94,-18.5396,0.1857,-0.9014,356.359,2.035,359.0694
5.96,-18.5399,0.1856,-0.9014,356.3602,2.0337,359.0704
5.98,-18.5399,0.1859,-0.9015,356.3576,2.0335,359.0706
6,-18.5397,0.1857,-0.9014,356.3586,2.0353,359.0709
6.02,-18.5398,0.1859,-0.9015,356.3576,2.0342,359.0706
6.04,-18.5398,0.186,-0.9015,356.3578,2.0343,359.0702
6.06,-18.5399,0.186,-0.9016,356.3575,2.0334,359.0701
6.08,-18.5398,0.1859,-0.9015,356.3581,2.0344,359.0704
6.1,-18.5399,0.1859,-0.9015,356.3579,2.0337,359.0707
6.12,-18.5395,0.1859,-0.9013,356.3578,2.0362,359.07
6.14,-18.5396,0.186,-0.9013,356.3579,2.0355,359.0697
6.16,-18.5397,0.1859,-0.9014,356.3581,2.0346,359.0699
6.18,-18.54,0.1859,-0.9016,356.3577,2.033,359.0701
6.2,-18.5396,0.1859,-0.9014,356.358,2.0353,359.0697
6.22,-18.5398,0.1858,-0.9015,356.3589,2.0344,359.07
6.24,-18.5396,0.1859,-0.9014,356.3581,2.0354,359.0698
6.26,-18.5397,0.186,-0.9014,356.3576,2.0352,359.0687
6.28,-18.5395,0.1857,-0.9013,356.3593,2.0359,359.0694
6.3,-18.5396,0.1859,-0.9014,356.3576,2.0353,359.0688
6.32,-18.5397,0.1859,-0.9014,356.3583,2.0348,359.0698
6.34,-18.5396,0.186,-0.9014,356.3575,2.0355,359.0688
6.36,-18.5397,0.186,-0.9014,356.3577,2.0349,359.069
6.38,-18.5398,0.1858,-0.9015,356.3582,2.0345,359.0699
6.4,-18.5398,0.1858,-0.9014,356.358,2.0338,359.0704
6.42,-18.5397,0.186,-0.9014,356.358,2.0349,359.0695
6.44,-18.5397,0.186,-0.9014,356.3577,2.0348,359.0693
6.46,-18.5395,0.1859,-0.9012,356.3582,2.0373,359.0688
6.48,-18.5394,0.1865,-0.9014,356.3562,2.037,359.0677
6.5,-18.5394,0.1862,-0.9014,356.3568,2.037,359.0681
6.52,-18.5396,0.1863,-0.9016,356.3563,2.0354,359.068
6.54,-18.5396,0.1865,-0.9016,356.3549,2.035,359.0685
6.56,-18.5398,0.1865,-0.9017,356.3551,2.034,359.0685
6.58,-18.5396,0.1864,-0.9016,356.3557,2.0353,359.0682
6.6,-18.5394,0.1866,-0.9016,356.3548,2.0358,359.0682
6.62,-18.5397,0.1866,-0.9017,356.3543,2.0345,359.0681
6.64,-18.5395,0.1867,-0.9016,356.3541,2.035,359.0686
6.66,-18.5395,0.1866,-0.9016,356.3544,2.0348,359.0678
6.68,-18.5397,0.1864,-0.9017,356.3556,2.0344,359.0685
6.7,-18.5398,0.1867,-0.9018,356.3537,2.033,359.0686
6.72,-18.5398,0.1862,-0.9016,356.3566,2.0337,359.0687
6.74,-18.5398,0.1864,-0.9018,356.355,2.033,359.0689
6.76,-18.5397,0.1862,-0.9016,356.3564,2.034,359.0692
6.78,-18.5397,0.1862,-0.9016,356.3566,2.034,359.069
6.8,-18.5396,0.1863,-0.9016,356.3567,2.0347,359.0686
6.82,-18.5398,0.1864,-0.9017,356.356,2.0337,359.068
6.84,-18.5396,0.1865,-0.9016,356.3553,2.0344,359.0682
6.86,-18.5394,0.1863,-0.9014,356.3564,2.0358,359.0686
6.88,-18.5394,0.1866,-0.9016,356.3547,2.0357,359.0671
6.9,-18.5397,0.1864,-0.9017,356.355,2.0342,359.0684
6.92,-18.5397,0.1864,-0.9016,356.3553,2.0349,359.0684
6.94,-18.5396,0.1867,-0.9016,356.3542,2.0352,359.0676
6.96,-18.5395,0.1864,-0.9015,356.3557,2.0357,359.0685
6.98,-18.5395,0.1864,-0.9014,356.3559,2.0367,359.069
7,-18.5394,0.1865,-0.9014,356.3557,2.0372,359.0681
7.02,-18.5395,0.1865,-0.9015,356.3555,2.0361,359.0686
7.04,-18.5395,0.1865,-0.9015,356.356,2.0356,359.0679
7.06,-18.5397,0.1863,-0.9016,356.3563,2.0339,359.0686
7.08,-18.5396,0.1862,-0.9015,356.3563,2.0352,359.0687
7.1,-18.5396,0.1864,-0.9016,356.3554,2.0348,359.0685
7.12,-18.5398,0.1865,-0.9017,356.3555,2.0337,359.0683
7.14,-18.5395,0.1866,-0.9015,356.3547,2.0355,359.0679
7.16,-18.5394,0.1865,-0.9015,356.3556,2.0362,359.0668
7.18,-18.5394,0.1865,-0.9014,356.3554,2.0364,359.0672
7.2,-18.5394,0.1865,-0.9014,356.3549,2.0362,359.0676
7.22,-18.5398,0.1863,-0.9016,356.3556,2.0343,359.0686
7.24,-18.5399,0.1864,-0.9016,356.3554,2.0329,359.069
7.26,-18.5401,0.1861,-0.9016,356.357,2.0326,359.0688
7.28,-18.5399,0.1862,-0.9015,356.3561,2.034,359.0694
7.3,-18.5398,0.1864,-0.9016,356.3557,2.0338,359.0682
7.32,-18.5399,0.1863,-0.9016,356.3556,2.0332,359.069
7.34,-18.5399,0.1863,-0.9016,356.3563,2.0337,359.0685
7.36,-18.5397,0.1864,-0.9015,356.3555,2.0353,359.0685
7.38,-18.5397,0.1864,-0.9015,356.356,2.0346,359.0685
7.4,-18.5397,0.1862,-0.9014,356.3568,2.0348,359.0692
7.42,-18.5393,0.1861,-0.9012,356.3582,2.0383,359.0677
7.44,-18.5394,0.1865,-0.9014,356.3555,2.0371,359.068
7.46,-18.5393,0.1864,-0.9013,356.3555,2.0382,359.0681
7.48,-18.5391,0.1863,-0.9012,356.3569,2.0387,359.0678
7.5,-18.5387,0.186,-0.901,356.3587,2.0417,359.0671
7.52,-18.539,0.186,-0.9011,356.3588,2.0387,359.0682
7.54,-18.5389,0.1857,-0.9009,356.3602,2.0402,359.068
7.56,-18.539,0.1856,-0.901,356.3603,2.0391,359.0695
7.58,-18.5389,0.1859,-0.901,356.3589,2.0394,359.0681
7.6,-18.539,0.1861,-0.9011,356.3576,2.039,359.0675
7.62,-18.5388,0.1861,-0.901,356.3585,2.0404,359.0671
7.64,-18.539,0.186,-0.9011,356.3584,2.0391,359.0679
7.66,-18.5391,0.1859,-0.9011,356.3585,2.0392,359.069
7.68,-18.539,0.1861,-0.9011,356.3579,2.0396,359.068
7.7,-18.5389,0.1859,-0.901,356.3587,2.0402,359.068
7.72,-18.5391,0.1859,-0.9011,356.3586,2.0385,359.0681
7.74,-18.539,0.186,-0.9011,356.3579,2.0391,359.0689
7.76,-18.5389,0.1861,-0.901,356.3578,2.0397,359.0682
7.78,-18.5388,0.1857,-0.9008,356.36,2.0404,359.0689
7.8,-18.5391,0.1856,-0.901,356.3602,2.0386,359.07
7.82,-18.5392,0.1859,-0.9011,356.3586,2.038,359.0689
7.84,-18.539,0.1861,-0.9012,356.3577,2.038,359.0687
7.86,-18.5389,0.1861,-0.9011,356.3575,2.0392,359.0681
7.88,-18.539,0.186,-0.9011,356.3583,2.0386,359.0688
7.9,-18.5387,0.186,-0.9009,356.3584,2.0407,359.0678
7.92,-18.5386,0.1861,-0.9009,356.358,2.0422,359.0673
7.94,-18.5389,0.186,-0.901,356.3585,2.039,359.0681
7.96,-18.5389,0.1859,-0.901,356.3591,2.0392,359.0678
7.98,-18.5389,0.1859,-0.901,356.3594,2.0392,359.0682
8,-18.5389,0.186,-0.901,356.3589,2.0396,359.0683
8.02,-18.539,0.186,-0.9011,356.3579,2.0391,359.0688
8.04,-18.5391,0.186,-0.9012,356.3584,2.0384,359.0685
8.059999,-18.539,0.1858,-0.9011,356.3589,2.0387,359.0689
8.08,-18.5391,0.1859,-0.9011,356.3582,2.039,359.0692
8.099999,-18.5392,0.1859,-0.9012,356.3586,2.0371,359.0695
8.12,-18.5391,0.1858,-0.901,356.3592,2.0386,359.0692
8.139999,-18.5392,0.1857,-0.901,356.3601,2.0383,359.0695
8.16,-18.5391,0.1859,-0.9011,356.3589,2.0382,359.0686
8.179999,-18.539,0.1856,-0.901,356.3602,2.0392,359.0697
8.2,-18.5389,0.186,-0.9011,356.3584,2.0399,359.0689
8.22,-18.5389,0.1858,-0.901,356.3592,2.0396,359.0689
8.24,-18.5389,0.186,-0.901,356.3593,2.0393,359.0683
8.26,-18.539,0.1858,-0.9009,356.3599,2.0393,359.0688
8.28,-18.5389,0.1858,-0.901,356.3595,2.0403,359.0685
8.3,-18.539,0.186,-0.9011,356.3576,2.0391,359.0684
8.32,-18.5389,0.1861,-0.901,356.3578,2.0396,359.0681
8.34,-18.5391,0.1859,-0.901,356.3584,2.0389,359.0688
8.36,-18.5391,0.1863,-0.9012,356.3557,2.0384,359.0682
8.38,-18.5391,0.1864,-0.9012,356.3559,2.0382,359.0681
8.4,-18.5392,0.1862,-0.9012,356.3568,2.0375,359.0685
8.42,-18.5392,0.1861,-0.9011,356.3576,2.038,359.0687
8.44,-18.5392,0.1861,-0.9012,356.3573,2.0381,359.0686
8.46,-18.5392,0.1857,-0.9009,356.3597,2.039,359.0695
8.48,-18.5396,0.1857,-0.9013,356.3599,2.036,359.0691
8.5,-18.5395,0.186,-0.9014,356.358,2.0357,359.0681
8.52,-18.5395,0.1858,-0.9013,356.3581,2.0354,359.0706
8.54,-18.5393,0.1858,-0.9012,356.3588,2.0368,359.0694
8.559999,-18.5395,0.1861,-0.9014,356.3577,2.0354,359.0691
8.58,-18.5394,0.186,-0.9013,356.358,2.0367,359.0694
