time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
13.2,-0.0007,0.0004,0.0002,357.4304,1.9629,357.6953
13.22,-0.0008,0.0002,0.0003,357.4322,1.9622,357.6957
13.24,-0.0005,0,0.0002,357.4327,1.9634,357.694
13.26,-0.0004,0.0002,0.0001,357.4313,1.9644,357.6949
13.28,-0.0003,0.0004,0.0001,357.4305,1.9652,357.6952
13.3,-0.0005,0.0008,0,357.429,1.965,357.6954
13.32,-0.0009,0.0007,0.0002,357.43,1.9628,357.695
13.34,-0.0005,0.0006,0,357.4304,1.9638,357.6956
13.36,-0.0009,0.0009,0.0001,357.4292,1.9624,357.6965
13.38,-0.0006,0.0008,0,357.4291,1.9637,357.6953
13.4,-0.0002,0.0007,-0.0001,357.4288,1.9654,357.6947
13.42,-0.0005,0.0009,0,357.4279,1.9643,357.6951
13.44,-0.0005,0.0005,0.0001,357.431,1.9649,357.696
13.46,-0.0003,0.0006,-0.0001,357.4294,1.965,357.694
13.48,-0.0006,-0.0007,0.0005,357.4341,1.9642,357.6946
13.5,-0.0003,-0.0001,0.0003,357.4325,1.964,357.6947
13.52,-0.0003,0.0007,-0.0001,357.4291,1.965,357.6954
13.54,-0.0006,0.0003,0.0001,357.431,1.9642,357.6952
13.56,-0.0004,0.0003,0,357.4313,1.9646,357.6947
13.58,-0.0003,0.0004,0,357.4303,1.9659,357.6949
13.6,-0.0001,0,0,357.4323,1.9663,357.6941
13.62,-0.0002,0.0006,-0.0001,357.4293,1.9664,357.6944
13.64,-0.0004,0.0004,0,357.4307,1.9645,357.6946
13.66,-0.0007,0.0002,0.0003,357.4319,1.9637,357.6954
13.68,-0.0006,0.0008,0,357.4286,1.9643,357.6951
13.7,0.0001,-0.0003,0,357.4334,1.9669,357.6931
13.72,-0.0003,0.0003,0,357.4309,1.9643,357.694
13.74,-0.0003,0.0007,-0.0001,357.4286,1.9647,357.6947
13.76,-0.0007,0.0011,-0.0001,357.4281,1.9626,357.6946
13.78,-0.0006,0.0011,-0.0002,357.428,1.9637,357.696
13.8,-0.0004,0.0009,-0.0002,357.4284,1.9648,357.6951
13.82,-0.0004,0.0007,0,357.429,1.965,357.6945
13.84,-0.0006,0.0005,0.0001,357.4301,1.9636,357.6949
13.86,-0.0002,0,0,357.4316,1.9657,357.6941
13.88,-0.0002,0,0,357.4325,1.9655,357.695
13.9,-0.0001,0,0,357.4319,1.9658,357.6936
13.92,-0.0004,0.0005,-0.0001,357.4294,1.9652,357.6948
13.94,-0.0003,0.0004,-0.0001,357.4303,1.9654,357.6954
13.96,-0.0003,0.0005,-0.0001,357.4301,1.9659,357.6955
13.98,-0.0003,0.0003,0,357.4315,1.9652,357.6946
14,-0.0008,0.0006,0.0001,357.4295,1.9623,357.6956
14.02,-0.0009,0.0005,0.0002,357.4308,1.9622,357.6959
14.04,-0.0007,0.0008,0,357.428,1.9644,357.6961
14.06,-0.0009,0.0006,0.0001,357.4295,1.9624,357.6965
14.08,-0.0005,0.0001,0.0001,357.4321,1.9642,357.6965
14.1,-0.0003,-0.0001,0.0001,357.4334,1.9652,357.6952
14.12,-0.0004,0.0004,0,357.4305,1.964,357.6947
14.14,-0.0003,0.0003,-0.0001,357.4311,1.9654,357.6949
14.16,-0.0009,0.0007,0.0002,357.4278,1.9624,357.6949
14.18,-0.0006,0.0004,0.0001,357.4291,1.9639,357.6941
14.2,-0.0004,0.0001,0.0002,357.4315,1.9647,357.6946
14.22,-0.0009,0.0005,0.0003,357.43,1.9627,357.6953
14.24,-0.0007,0.0003,0.0002,357.4309,1.9625,357.6943
14.26,-0.0005,0.0004,0.0001,357.4304,1.9641,357.6954
14.28,-0.0005,0.0001,0.0002,357.4325,1.9639,357.6957
14.3,-0.0007,0.0009,-0.0001,357.4274,1.963,357.697
14.32,-0.0005,0.0005,-0.0001,357.4293,1.9638,357.6958
14.34,-0.0003,0.0007,-0.0002,357.4279,1.9653,357.6949
14.36,-0.0005,0.0003,0,357.4312,1.9635,357.6958
14.38,-0.0006,0.0008,0,357.4288,1.963,357.6953
14.4,-0.0007,0.0005,0.0001,357.4301,1.9629,357.6946
14.42,-0.0007,0.0002,0.0002,357.432,1.9641,357.6938
14.44,-0.0006,0.0005,0.0001,357.4303,1.9643,357.6957
14.46,-0.0006,0.0008,-0.0001,357.4281,1.9636,357.6955
14.48,-0.0007,0,0.0002,357.4324,1.9632,357.6953
14.5,-0.0004,-0.0001,0.0001,357.4326,1.9645,357.695
14.52,-0.0007,0.0003,0.0001,357.4308,1.9632,357.6949
14.54,-0.0008,0.0002,0.0003,357.4313,1.9622,357.6949
14.56,-0.0004,0,0.0001,357.432,1.9647,357.6944
14.58,-0.0004,0.0003,0,357.4307,1.9659,357.695
14.6,-0.0005,0,0.0002,357.4326,1.9644,357.6949
14.62,-0.0005,0.0003,0,357.4308,1.9644,357.6951
14.64,-0.0004,0.0003,0,357.4307,1.9646,357.6949
14.66,-0.0006,0.0004,0.0001,357.4309,1.964,357.6946
14.68,-0.0004,0.0004,0,357.431,1.9655,357.6947
14.7,-0.0002,0.0004,-0.0001,357.4306,1.9656,357.695
14.72,-0.0003,0.0004,0.0001,357.4306,1.9655,357.6952
14.74,-0.0004,0.0003,0.0001,357.4309,1.9647,357.6943
14.76,-0.0002,0.0007,-0.0001,357.4278,1.9659,357.6933
14.78,-0.0004,0.0009,-0.0001,357.4272,1.9647,357.6952
14.8,-0.0006,0.0004,0.0001,357.4302,1.9636,357.6945
14.82,-0.0006,0.0005,0.0002,357.4294,1.963,357.6944
14.84,-0.0004,0.0006,0,357.4288,1.9644,357.6951
14.86,-0.0006,0.0002,0.0001,357.4308,1.9629,357.6949
14.88,-0.0004,0,0.0001,357.4321,1.9642,357.6948
14.9,-0.0008,0.0007,0.0001,357.4287,1.9628,357.6948
14.92,-0.0009,0.0006,0.0001,357.4294,1.9622,357.6951
14.94,-0.0008,0.0004,0.0002,357.4306,1.962,357.6951
14.96,-0.0004,0.0004,0,357.4302,1.9643,357.6942
14.98,-0.0008,0.0009,0,357.4276,1.9622,357.6947
15,-0.0005,0.0005,-0.0001,357.4306,1.9637,357.6946
15.02,-0.0008,0.0004,0.0002,357.4307,1.962,357.6948
15.04,-0.0008,0.0002,0.0002,357.4314,1.9622,357.695
15.06,-0.0003,0.0006,-0.0002,357.4295,1.965,357.6956
15.08,-0.0005,0.0005,0,357.4302,1.9635,357.6953
15.1,-0.001,-0.0006,0.0008,357.4347,1.9603,357.6935
15.12,-0.0005,0.0003,0.0002,357.4308,1.9643,357.6944
15.14,-0.0006,0.0004,0.0002,357.4305,1.9633,357.6941
15.16,-0.0001,0.0006,-0.0002,357.4288,1.9662,357.6945
15.18,-0.0005,0.0006,0,357.4292,1.9638,357.6952
15.2,-0.0005,0.0007,0,357.4285,1.9638,357.6952
15.22,-0.0012,0.0009,0.0002,357.4275,1.9614,357.6965
15.24,-0.0011,0.0005,0.0004,357.43,1.9606,357.6956
15.26,-0.0005,0.0006,0,357.429,1.9643,357.6941
15.28,-0.0006,0.0006,0,357.4294,1.9638,357.6946
15.3,-0.0007,0.001,0,357.4276,1.9628,357.6953
15.32,-0.0004,0.0008,-0.0001,357.4286,1.9649,357.6954
15.34,-0.0004,0.0005,0,357.4303,1.964,357.6948
15.36,-0.0002,0.0005,-0.0001,357.4296,1.9659,357.6944
15.38,-0.0008,0.0006,0.0001,357.4291,1.9627,357.6948
15.4,-0.0004,0.0003,0,357.4308,1.9647,357.6948
15.42,-0.0008,0.0004,0.0002,357.431,1.9628,357.6956
15.44,-0.0005,0.0005,0,357.4301,1.9636,357.6944
15.46,-0.0007,0.0004,0.0001,357.4308,1.9632,357.6954
15.48,-0.0004,0.0002,0.0001,357.4315,1.9647,357.6949
15.5,-0.0007,0.0004,0.0001,357.4309,1.963,357.6952
15.52,-0.001,0.0004,0.0003,357.4309,1.9611,357.6963
15.54,-0.001,0.0005,0.0002,357.4298,1.9607,357.6954
15.56,-0.0001,0.0003,0,357.4309,1.9672,357.6936
15.58,-0.0006,0.0003,0.0001,357.4316,1.9635,357.6959
15.6,-0.0002,0.0004,-0.0001,357.4299,1.9667,357.6958
15.62,-0.0006,0.0005,0.0001,357.4297,1.9645,357.6959
15.64,-0.0006,0.0006,0.0001,357.4297,1.9637,357.696
15.66,-0.0004,0.0004,0.0001,357.4298,1.9645,357.6947
15.68,-0.0001,0.0006,-0.0001,357.429,1.9665,357.695
15.7,-0.0005,0.0007,0,357.4283,1.9643,357.6949
15.72,-0.0006,0.0006,0.0001,357.4289,1.9634,357.6947
15.74,-0.0009,0.0002,0.0004,357.4312,1.9623,357.6952
15.76,-0.0001,0,0.0001,357.4321,1.966,357.6944
15.78,-0.0004,-0.0001,0.0001,357.4322,1.9648,357.6945
15.8,-0.0007,0.0004,0.0002,357.4304,1.9627,357.6952
15.82,-0.0005,0.0004,0,357.4299,1.9637,357.6948
15.84,-0.0004,0.0007,-0.0001,357.4288,1.9646,357.6943
15.86,-0.0004,0.0003,0,357.4303,1.9646,357.6939
15.88,-0.0005,0.0005,0.0001,357.4293,1.9644,357.694
15.9,-0.0001,0.0004,-0.0001,357.4295,1.9662,357.6932
15.92,-0.0005,0.0007,0,357.4283,1.9641,357.6949
15.94,-0.0001,0.0003,-0.0001,357.4301,1.9657,357.6942
15.96,-0.0005,0.0005,0,357.4294,1.9632,357.6948
15.98,-0.0006,0.0005,0.0001,357.43,1.9619,357.6943
16,-0.0006,0.0005,0.0001,357.4295,1.9627,357.6938
16.02,-0.0003,0.0006,-0.0001,357.4286,1.9642,357.6932
16.04,-0.0007,0.0006,0,357.4298,1.9623,357.6947
16.06,-0.0005,0.0006,-0.0001,357.4295,1.9637,357.6951
16.08,-0.0003,0.0006,-0.0002,357.4289,1.9643,357.6955
16.1,-0.0005,0.0004,0.0001,357.4301,1.9636,357.695
16.12,-0.0006,0.0004,0.0001,357.4293,1.9638,357.695
16.14,-0.0005,0.0004,0.0001,357.4297,1.9635,357.6944
16.16,-0.0003,0.0005,-0.0001,357.4297,1.9638,357.6946
16.18,-0.0008,0.0007,0.0001,357.4286,1.9615,357.6955
16.2,-0.0007,0.0007,0,357.4286,1.9626,357.6954
16.22,-0.0007,0.0008,-0.0001,357.4281,1.9629,357.6959
16.24,-0.0005,0.0007,-0.0001,357.429,1.9648,357.6957
16.26,-0.0005,0.0003,0,357.4312,1.9638,357.6945
