time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.32,4.3265,-1.1561,-2,0,0,40
12.34,4.2985,-1.1794,-2,0,0,39.69
12.36,4.3251,-1.1572,-2,0,0,39.9854
12.38,4.3175,-1.1636,-2,0,0,39.9006
12.4,4.2755,-1.1984,-2,0,0,39.4359
12.42,4.1985,-1.2608,-2,0,0,38.5927
12.44,4.0857,-1.3489,-2,0,0,37.3741
12.46,3.9358,-1.4601,-2,0,0,35.7849
12.48,3.7474,-1.5911,-2,0,0,33.8321
12.5,3.5194,-1.7373,-2,0,0,31.5261
12.52,3.2509,-1.8936,-2,0,0,28.8809
12.54,2.9416,-2.054,-2,0,0,25.9148
12.56,2.5922,-2.2116,-2,0,0,22.6513
12.58,2.2047,-2.3595,-2,0,0,19.1202
12.6,1.7825,-2.4905,-2,0,0,15.3565
12.62,1.3305,-2.598,-2,0,0,11.4011
12.64,0.8554,-2.6762,-2,0,0,7.3009
12.66,0.3648,-2.7209,-2,0,0,3.1067
12.68,-0.1325,-2.7295,-2,0,0,358.872
12.7,-0.6274,-2.7015,-2,0,0,354.6516
12.72,-1.1108,-2.6385,-2,0,0,350.501
12.74,-1.5745,-2.544,-2,0,0,346.472
12.76,-2.0113,-2.4232,-2,0,0,342.613
12.78,-2.4156,-2.2824,-2,0,0,338.9684
12.8,-2.7831,-2.1284,-2,0,0,335.5759
12.82,-3.1113,-1.9685,-2,0,0,332.4676
12.84,-3.399,-1.8095,-2,0,0,329.6695
12.86,-3.6458,-1.6578,-2,0,0,327.2029
12.88,-3.8526,-1.5191,-2,0,0,325.0836
12.9,-4.0203,-1.3982,-2,0,0,323.3233
12.92,-4.1503,-1.2989,-2,0,0,321.9305
12.94,-4.2439,-1.2242,-2,0,0,320.9114
12.96,-4.3022,-1.1764,-2,0,0,320.2694
12.98,-4.3258,-1.1566,-2,0,0,320.0069
13,-4.3152,-1.1655,-2,0,0,320.1246
13.02,-4.2702,-1.2027,-2,0,0,320.6222
13.04,-4.1902,-1.2674,-2,0,0,321.498
13.06,-4.0742,-1.3576,-2,0,0,322.749
13.08,-3.921,-1.4707,-2,0,0,324.3701
13.1,-3.7293,-1.6032,-2,0,0,326.3538
13.12,-3.4978,-1.7506,-2,0,0,328.6899
13.14,-3.2257,-1.9075,-2,0,0,331.3638
13.16,-2.9129,-2.0678,-2,0,0,334.3566
13.18,-2.5601,-2.2249,-2,0,0,337.6443
13.2,-2.1694,-2.3716,-2,0,0,341.1973
13.22,-1.7444,-2.5008,-2,0,0,344.9793
13.24,-1.2902,-2.606,-2,0,0,348.9489
13.26,-0.8134,-2.6814,-2,0,0,353.0592
13.28,-0.3218,-2.7231,-2,0,0,357.2595
13.3,0.1756,-2.7285,-2,0,0,1.4951
13.32,0.6698,-2.6974,-2,0,0,5.7112
13.34,1.1519,-2.6315,-2,0,0,9.8537
13.36,1.6135,-2.5345,-2,0,0,13.8698
13.38,2.0477,-2.4117,-2,0,0,17.7116
13.4,2.4489,-2.2695,-2,0,0,21.3358
13.42,2.8131,-2.1147,-2,0,0,24.7051
13.44,3.1378,-1.9546,-2,0,0,27.7875
13.46,3.4219,-1.796,-2,0,0,30.5574
13.48,3.6653,-1.6452,-2,0,0,32.9947
13.5,3.8686,-1.5079,-2,0,0,35.0833
13.52,4.033,-1.3887,-2,0,0,36.812
13.54,4.1598,-1.2914,-2,0,0,38.1725
13.56,4.2503,-1.219,-2,0,0,39.1592
13.58,4.3056,-1.1735,-2,0,0,39.7683
13.6,4.3263,-1.1562,-2,0,0,39.9979
13.62,4.3127,-1.1676,-2,0,0,39.8473
13.64,4.2647,-1.2073,-2,0,0,39.3169
13.66,4.1816,-1.2742,-2,0,0,38.4084
13.68,4.0624,-1.3666,-2,0,0,37.1252
13.7,3.9059,-1.4815,-2,0,0,35.4723
13.72,3.7108,-1.6154,-2,0,0,33.4576
13.74,3.4758,-1.7638,-2,0,0,31.0917
13.76,3.2002,-1.9213,-2,0,0,28.3895
13.78,2.8839,-2.0817,-2,0,0,25.3698
13.8,2.5277,-2.2381,-2,0,0,22.0579
13.82,2.1339,-2.3836,-2,0,0,18.4838
13.84,1.7061,-2.5109,-2,0,0,14.6835
13.86,1.2497,-2.6137,-2,0,0,10.6998
13.88,0.7712,-2.6864,-2,0,0,6.5797
13.9,0.2789,-2.725,-2,0,0,2.3745
13.92,-0.2187,-2.7272,-2,0,0,358.1381
13.94,-0.7122,-2.693,-2,0,0,353.9262
13.96,-1.1927,-2.6242,-2,0,0,349.7929
13.98,-1.6522,-2.5248,-2,0,0,345.7901
14,-2.0838,-2.4001,-2,0,0,341.9652
14.02,-2.4819,-2.2565,-2,0,0,338.3617
14.04,-2.8428,-2.101,-2,0,0,335.0163
14.06,-3.1641,-1.9407,-2,0,0,331.9598
14.08,-3.4446,-1.7825,-2,0,0,329.218
14.1,-3.6845,-1.6327,-2,0,0,326.8105
14.12,-3.8844,-1.4968,-2,0,0,324.7527
14.14,-4.0455,-1.3793,-2,0,0,323.0554
14.16,-4.1691,-1.2841,-2,0,0,321.7271
14.18,-4.2565,-1.214,-2,0,0,320.7731
14.2,-4.3087,-1.1709,-2,0,0,320.1967
14.22,-4.3265,-1.1561,-2,0,0,320.0001
14.24,-4.3099,-1.1699,-2,0,0,320.1836
14.26,-4.2589,-1.212,-2,0,0,320.7469
14.28,-4.1727,-1.2813,-2,0,0,321.688
14.3,-4.0504,-1.3757,-2,0,0,323.0035
14.32,-3.8906,-1.4924,-2,0,0,324.688
14.34,-3.6921,-1.6278,-2,0,0,326.7336
14.36,-3.4536,-1.7772,-2,0,0,329.1294
14.38,-3.1744,-1.9352,-2,0,0,331.86
14.4,-2.8546,-2.0955,-2,0,0,334.9057
14.42,-2.495,-2.2513,-2,0,0,338.2419
14.44,-2.0981,-2.3954,-2,0,0,341.8371
14.46,-1.6676,-2.5209,-2,0,0,345.6547
14.48,-1.209,-2.6213,-2,0,0,349.6522
14.5,-0.729,-2.6912,-2,0,0,353.7821
14.52,-0.2358,-2.7266,-2,0,0,357.9922
14.54,0.2617,-2.7257,-2,0,0,2.2283
14.56,0.7545,-2.6884,-2,0,0,6.4358
14.58,1.2335,-2.6168,-2,0,0,10.5598
14.6,1.6908,-2.5149,-2,0,0,14.549
14.62,2.1197,-2.3883,-2,0,0,18.3561
14.64,2.5147,-2.2433,-2,0,0,21.9389
14.66,2.8722,-2.0872,-2,0,0,25.2604
14.68,3.19,-1.9268,-2,0,0,28.2903
14.7,3.467,-1.7691,-2,0,0,31.0041
14.72,3.7034,-1.6203,-2,0,0,33.3818
14.74,3.8999,-1.4858,-2,0,0,35.4088
14.76,4.0576,-1.3702,-2,0,0,37.0743
14.78,4.1781,-1.277,-2,0,0,38.3704
14.8,4.2624,-1.2091,-2,0,0,39.2918
14.82,4.3116,-1.1685,-2,0,0,39.8353
14.84,4.3264,-1.1561,-2,0,0,39.9991
14.86,4.3069,-1.1724,-2,0,0,39.7826
14.88,4.2528,-1.217,-2,0,0,39.1865
14.9,4.1636,-1.2885,-2,0,0,38.2129
14.92,4.038,-1.385,-2,0,0,36.8651
14.94,3.8749,-1.5035,-2,0,0,35.149
14.96,3.673,-1.6403,-2,0,0,33.0725
14.98,3.431,-1.7906,-2,0,0,30.6472
15,3.1483,-1.9491,-2,0,0,27.8883
15.02,2.825,-2.1092,-2,0,0,24.8163
15.04,2.4621,-2.2643,-2,0,0,21.4566
15.06,2.0621,-2.4071,-2,0,0,17.8403
15.08,1.6289,-2.5307,-2,0,0,14.0054
15.1,1.1681,-2.6286,-2,0,0,9.9945
15.12,0.6867,-2.6956,-2,0,0,5.8558
15.14,0.1928,-2.728,-2,0,0,1.641
15.16,-0.3047,-2.7239,-2,0,0,357.4052
15.18,-0.7966,-2.6835,-2,0,0,353.2031
15.2,-1.2741,-2.6091,-2,0,0,349.0888
15.22,-1.7292,-2.5049,-2,0,0,345.1133
15.24,-2.1553,-2.3764,-2,0,0,341.3241
15.26,-2.5472,-2.2302,-2,0,0,337.7628
15.28,-2.9014,-2.0733,-2,0,0,334.4651
15.3,-3.2156,-1.913,-2,0,0,331.4617
15.32,-3.4891,-1.7558,-2,0,0,328.7766
15.34,-3.7219,-1.6081,-2,0,0,326.4287
15.36,-3.915,-1.475,-2,0,0,324.4324
15.38,-4.0695,-1.3612,-2,0,0,322.7987
