time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.32,0.0004,-0.0011,-0.0003,357.0212,359.1756,0.557
12.34,0.0002,-0.0011,-0.0001,357.0206,359.1745,0.5571
12.36,0.0004,-0.0012,-0.0002,357.0204,359.1749,0.5559
12.38,0.0006,-0.0011,-0.0003,357.0202,359.1759,0.5563
12.4,0.0008,-0.0013,-0.0004,357.021,359.1777,0.5564
12.42,0.001,-0.0014,-0.0004,357.0216,359.1774,0.5554
12.44,0.0003,-0.0013,-0.0001,357.0216,359.1748,0.5561
12.46,0.0004,-0.001,-0.0002,357.0197,359.175,0.5564
12.48,0.0003,-0.0009,-0.0002,357.0198,359.1747,0.5566
12.5,0.0003,-0.001,-0.0002,357.0198,359.1749,0.5561
12.52,0.0001,-0.001,-0.0001,357.0201,359.1742,0.5571
12.54,0.0004,-0.0009,-0.0003,357.0191,359.1754,0.5567
12.56,0.0002,-0.0011,0,357.0204,359.1743,0.5566
12.58,0.0004,-0.001,-0.0002,357.0196,359.1749,0.5571
12.6,0.0005,-0.0009,-0.0004,357.0194,359.176,0.5578
12.62,0.0004,-0.0008,-0.0004,357.0187,359.1759,0.5577
12.64,0.0005,-0.001,-0.0003,357.02,359.1764,0.5571
12.66,0.0006,-0.0011,-0.0004,357.0203,359.1766,0.5564
12.68,0.0004,-0.001,-0.0003,357.0203,359.1753,0.5566
12.7,0.0002,-0.0011,-0.0001,357.0209,359.1735,0.5573
12.72,0.0005,-0.0009,-0.0004,357.0189,359.1756,0.5569
12.74,0.0007,-0.0009,-0.0004,357.0192,359.1768,0.5567
12.76,0.0008,-0.0008,-0.0005,357.0185,359.1777,0.5573
12.78,0.0007,-0.0012,-0.0004,357.0208,359.1767,0.556
12.8,0.0003,-0.0009,-0.0002,357.0193,359.175,0.5575
12.82,0.0008,-0.0008,-0.0005,357.019,359.1774,0.5577
12.84,0.001,-0.001,-0.0005,357.0201,359.1787,0.5568
12.86,0.0001,-0.0011,0,357.0214,359.1745,0.5565
12.88,0.0006,-0.0014,-0.0002,357.0223,359.1767,0.5557
12.9,0.0005,-0.001,-0.0003,357.02,359.1763,0.5563
12.92,0.0007,-0.0012,-0.0004,357.0211,359.1772,0.556
12.94,0.0005,-0.0009,-0.0003,357.0198,359.1767,0.5574
12.96,0.0001,-0.0013,0.0001,357.0215,359.1729,0.5561
12.98,0.0006,-0.001,-0.0003,357.0197,359.1763,0.5562
13,0.0008,-0.0001,-0.0008,357.015,359.1786,0.5594
13.02,0.0001,0,-0.0004,357.0141,359.1754,0.5594
13.04,0.0009,-0.0008,-0.0006,357.0183,359.1785,0.5578
13.06,0.0003,-0.0005,-0.0004,357.0168,359.1755,0.5579
13.08,0.0005,-0.0006,-0.0005,357.0175,359.176,0.5579
