time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.66,-18.47,-0.0968,-1.0201,357.8766,347.5395,358.1237
8.679999,-18.4701,-0.0966,-1.0201,357.876,347.5395,358.1242
8.7,-18.4701,-0.0966,-1.0201,357.876,347.5395,358.1242
8.72,-18.4701,-0.0966,-1.0201,357.876,347.5395,358.1242
8.74,-18.4715,-0.0977,-1.0203,357.8768,347.5336,358.1272
8.76,-18.4709,-0.0977,-1.0202,357.8758,347.5348,358.1261
8.78,-18.4711,-0.0972,-1.0204,357.8717,347.5338,358.1246
8.8,-18.4718,-0.097,-1.0206,357.8725,347.5327,358.1257
8.82,-18.4717,-0.0962,-1.021,357.8699,347.5306,358.1251
8.84,-18.4713,-0.097,-1.0207,357.8676,347.5306,358.1246
8.86,-18.4729,-0.0977,-1.0213,357.8662,347.5234,358.1276
8.88,-18.4718,-0.097,-1.0209,357.8623,347.5279,358.1245
8.9,-18.4717,-0.0965,-1.0212,357.8619,347.527,358.1232
8.92,-18.4715,-0.0961,-1.0212,357.8586,347.5265,358.1228
8.94,-18.4734,-0.0983,-1.0215,357.8609,347.5173,358.1241
8.96,-18.472,-0.0975,-1.021,357.86,347.5223,358.1213
8.98,-18.4721,-0.0969,-1.0211,357.8598,347.5229,358.1203
9,-18.4728,-0.0965,-1.0216,357.8581,347.5207,358.1223
9.02,-18.4724,-0.0971,-1.0212,357.8595,347.5235,358.121
9.04,-18.4717,-0.0973,-1.0206,357.8597,347.5256,358.1217
9.059999,-18.4717,-0.0971,-1.0205,357.8629,347.5279,358.1259
9.08,-18.4713,-0.0969,-1.0201,357.8678,347.5309,358.1254
9.099999,-18.4705,-0.0969,-1.0198,357.8723,347.5363,358.1299
9.12,-18.4701,-0.0969,-1.0197,357.8731,347.5394,358.1334
9.139999,-18.4705,-0.0974,-1.0193,357.8804,347.5385,358.1359
9.16,-18.4701,-0.0968,-1.0195,357.878,347.5398,358.1353
9.179999,-18.4697,-0.096,-1.0197,357.8752,347.54,358.1336
9.2,-18.4699,-0.0964,-1.0196,357.8739,347.5395,358.133
9.22,-18.4703,-0.0966,-1.0197,357.8722,347.538,358.1336
9.24,-18.4703,-0.0967,-1.0198,357.8725,347.5358,358.1338
9.26,-18.4704,-0.0968,-1.0198,357.872,347.535,358.1331
9.28,-18.4704,-0.0966,-1.02,357.8697,347.5358,358.1317
9.3,-18.4708,-0.0971,-1.0201,357.87,347.533,358.1327
9.32,-18.4709,-0.097,-1.0199,357.8702,347.5326,358.1321
9.34,-18.4717,-0.0971,-1.0206,357.8706,347.5294,358.1312
9.36,-18.4719,-0.0972,-1.0207,357.8709,347.5284,358.1297
9.38,-18.4725,-0.0975,-1.0209,357.8713,347.5265,358.1286
9.4,-18.4726,-0.0974,-1.0212,357.8724,347.5261,358.1278
9.42,-18.4728,-0.0973,-1.0213,357.8725,347.5261,358.1269
9.44,-18.473,-0.0976,-1.0215,357.8739,347.5237,358.1259
9.46,-18.4734,-0.0974,-1.0219,357.8725,347.5216,358.1274
9.48,-18.4731,-0.0972,-1.0216,357.8719,347.523,358.1271
9.5,-18.4726,-0.0975,-1.021,357.8729,347.5251,358.1263
9.52,-18.4726,-0.0972,-1.0213,357.8718,347.5246,358.1257
9.54,-18.4727,-0.0971,-1.0213,357.8679,347.5232,358.1258
9.559999,-18.4726,-0.097,-1.0212,357.8688,347.5244,358.1264
9.58,-18.4724,-0.097,-1.0212,357.87,347.5268,358.125
9.599999,-18.4725,-0.0972,-1.0211,357.8722,347.5256,358.1284
9.62,-18.4722,-0.0974,-1.0207,357.8749,347.528,358.1279
9.639999,-18.4719,-0.0976,-1.0206,357.8806,347.531,358.1303
9.66,-18.4721,-0.0977,-1.0205,357.8815,347.5305,358.1316
9.679999,-18.4718,-0.0975,-1.0205,357.8799,347.5321,358.1318
9.7,-18.472,-0.0975,-1.0207,357.8801,347.5305,358.1328
9.719999,-18.4718,-0.0973,-1.0207,357.8804,347.532,358.1319
9.74,-18.4716,-0.0971,-1.0205,357.8804,347.5334,358.1319
9.76,-18.4715,-0.0971,-1.0206,357.88,347.5335,358.1315
9.78,-18.4718,-0.0975,-1.0204,357.8804,347.5312,358.1324
