time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.94,5.829,0.6346,-2,0,0,60
4.96,1.8674,-2.4665,-2,0,0,16.1078
4.98,2.0083,-2.4242,-2,0,0,17.3602
5,2.147,-2.3792,-2,0,0,18.6016
5.02,2.2834,-2.3316,-2,0,0,19.8313
5.04,2.4174,-2.2817,-2,0,0,21.0487
5.06,2.5489,-2.2295,-2,0,0,22.2531
5.08,2.6779,-2.1751,-2,0,0,23.444
5.1,2.8041,-2.1189,-2,0,0,24.6206
5.12,2.9276,-2.0607,-2,0,0,25.7825
5.14,3.0483,-2.0009,-2,0,0,26.9291
5.16,3.1661,-1.9396,-2,0,0,28.0599
5.18,3.281,-1.8769,-2,0,0,29.1744
5.2,3.393,-1.813,-2,0,0,30.2722
5.22,3.5021,-1.7479,-2,0,0,31.3528
5.24,3.6081,-1.682,-2,0,0,32.4159
5.26,3.7111,-1.6152,-2,0,0,33.461
5.28,3.8112,-1.5478,-2,0,0,34.4879
5.3,3.9082,-1.4799,-2,0,0,35.4962
5.32,4.0023,-1.4116,-2,0,0,36.4857
5.34,4.0933,-1.343,-2,0,0,37.456
5.36,4.1814,-1.2744,-2,0,0,38.4068
5.38,4.2666,-1.2057,-2,0,0,39.3381
5.4,4.3489,-1.1372,-2,0,0,40.2495
5.42,4.4283,-1.0689,-2,0,0,41.141
5.44,4.5048,-1.001,-2,0,0,42.0123
5.46,4.5786,-0.9335,-2,0,0,42.8632
5.48,4.6496,-0.8666,-2,0,0,43.6938
5.5,4.718,-0.8004,-2,0,0,44.5038
5.52,4.7837,-0.735,-2,0,0,45.2931
5.54,4.8467,-0.6704,-2,0,0,46.0618
5.56,4.9073,-0.6067,-2,0,0,46.8097
5.58,4.9654,-0.5441,-2,0,0,47.5367
5.6,5.021,-0.4825,-2,0,0,48.243
5.62,5.0742,-0.4221,-2,0,0,48.9283
5.64,5.1252,-0.363,-2,0,0,49.5928
5.66,5.1739,-0.3052,-2,0,0,50.2363
5.68,5.2203,-0.2487,-2,0,0,50.859
5.7,5.2647,-0.1936,-2,0,0,51.4607
5.72,5.3069,-0.14,-2,0,0,52.0416
5.74,5.3471,-0.0879,-2,0,0,52.6017
5.76,5.3854,-0.0374,-2,0,0,53.1409
5.78,5.4217,0.0115,-2,0,0,53.6594
5.8,5.4561,0.0587,-2,0,0,54.1571
5.82,5.4888,0.1043,-2,0,0,54.6342
5.84,5.5196,0.1481,-2,0,0,55.0905
5.86,5.5488,0.1902,-2,0,0,55.5263
5.88,5.5762,0.2305,-2,0,0,55.9415
5.9,5.6021,0.269,-2,0,0,56.3362
5.92,5.6263,0.3057,-2,0,0,56.7105
5.94,5.649,0.3405,-2,0,0,57.0643
5.96,5.6702,0.3734,-2,0,0,57.3978
5.98,5.69,0.4045,-2,0,0,57.711
6,5.7083,0.4336,-2,0,0,58.0039
6.02,5.7252,0.4608,-2,0,0,58.2766
6.04,5.7407,0.4861,-2,0,0,58.5292
6.06,5.7549,0.5094,-2,0,0,58.7616
6.08,5.7678,0.5308,-2,0,0,58.974
6.1,5.7794,0.5502,-2,0,0,59.1663
6.12,5.7898,0.5675,-2,0,0,59.3386
6.14,5.7989,0.583,-2,0,0,59.4909
6.16,5.8068,0.5964,-2,0,0,59.6233
6.18,5.8134,0.6078,-2,0,0,59.7357
6.2,5.8189,0.6172,-2,0,0,59.8283
6.22,5.8232,0.6245,-2,0,0,59.9009
6.24,5.8263,0.6299,-2,0,0,59.9537
6.26,5.8282,0.6333,-2,0,0,59.9867
6.28,5.829,0.6346,-2,0,0,59.9998
6.3,5.8286,0.6339,-2,0,0,59.993
6.32,5.827,0.6312,-2,0,0,59.9664
6.34,5.8243,0.6265,-2,0,0,59.9199
6.36,5.8204,0.6197,-2,0,0,59.8536
6.38,5.8153,0.611,-2,0,0,59.7674
6.4,5.809,0.6002,-2,0,0,59.6613
6.42,5.8015,0.5874,-2,0,0,59.5353
6.44,5.7928,0.5727,-2,0,0,59.3893
6.46,5.7829,0.5559,-2,0,0,59.2234
6.48,5.7717,0.5372,-2,0,0,59.0375
6.5,5.7592,0.5165,-2,0,0,58.8316
6.52,5.7454,0.4938,-2,0,0,58.6055
6.54,5.7303,0.4691,-2,0,0,58.3594
6.56,5.7138,0.4425,-2,0,0,58.0931
6.58,5.6959,0.414,-2,0,0,57.8067
