time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.32,5.829,0.6346,-2,0,0,60
3.34,-5.7707,0.5356,-2,0,0,300.9782
3.36,-5.7581,0.5147,-2,0,0,301.1857
3.38,-5.7442,0.4919,-2,0,0,301.4134
3.4,-5.729,0.4671,-2,0,0,301.6611
3.42,-5.7124,0.4403,-2,0,0,301.929
3.44,-5.6945,0.4116,-2,0,0,302.2171
3.46,-5.6751,0.381,-2,0,0,302.5254
3.48,-5.6542,0.3486,-2,0,0,302.854
3.5,-5.6319,0.3142,-2,0,0,303.203
3.52,-5.608,0.278,-2,0,0,303.5724
3.54,-5.5825,0.2399,-2,0,0,303.9622
3.56,-5.5555,0.2,-2,0,0,304.3725
3.58,-5.5267,0.1583,-2,0,0,304.8033
3.6,-5.4963,0.1149,-2,0,0,305.2548
3.62,-5.4641,0.0698,-2,0,0,305.7269
3.64,-5.4301,0.0229,-2,0,0,306.2196
3.66,-5.3942,-0.0256,-2,0,0,306.7331
3.68,-5.3565,-0.0757,-2,0,0,307.2674
3.7,-5.3167,-0.1274,-2,0,0,307.8225
3.72,-5.275,-0.1807,-2,0,0,308.3984
3.74,-5.2311,-0.2354,-2,0,0,308.9952
3.76,-5.1852,-0.2915,-2,0,0,309.6128
3.78,-5.137,-0.349,-2,0,0,310.2514
3.8,-5.0866,-0.4079,-2,0,0,310.9108
3.82,-5.0339,-0.468,-2,0,0,311.5912
3.84,-4.9789,-0.5292,-2,0,0,312.2924
3.86,-4.9214,-0.5916,-2,0,0,313.0145
3.88,-4.8615,-0.655,-2,0,0,313.7574
3.9,-4.799,-0.7194,-2,0,0,314.5211
3.92,-4.7339,-0.7847,-2,0,0,315.3055
3.94,-4.6662,-0.8507,-2,0,0,316.1106
3.96,-4.5959,-0.9175,-2,0,0,316.9362
3.98,-4.5227,-0.9848,-2,0,0,317.7823
4,-4.4468,-1.0526,-2,0,0,318.6487
4.02,-4.3681,-1.1208,-2,0,0,319.5354
4.04,-4.2865,-1.1893,-2,0,0,320.442
4.06,-4.2021,-1.2579,-2,0,0,321.3686
4.08,-4.1147,-1.3266,-2,0,0,322.3148
4.1,-4.0243,-1.3952,-2,0,0,323.2805
4.12,-3.931,-1.4636,-2,0,0,324.2653
4.14,-3.8347,-1.5316,-2,0,0,325.2691
4.16,-3.7353,-1.5991,-2,0,0,326.2916
4.18,-3.633,-1.6661,-2,0,0,327.3325
4.2,-3.5277,-1.7322,-2,0,0,328.3913
4.22,-3.4194,-1.7975,-2,0,0,329.4677
4.24,-3.3081,-1.8617,-2,0,0,330.5615
4.26,-3.1939,-1.9247,-2,0,0,331.672
4.28,-3.0767,-1.9864,-2,0,0,332.799
