time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.02,5.829,0.6346,-2,0,0,60
35.04,3.9884,-1.4218,-2,0,0,36.3389
35.06,3.7964,-1.5579,-2,0,0,34.3355
35.08,3.5924,-1.6919,-2,0,0,32.2579
35.1,3.3765,-1.8226,-2,0,0,30.1089
35.12,3.1486,-1.9489,-2,0,0,27.8915
35.14,2.9093,-2.0696,-2,0,0,25.6094
35.16,2.6587,-2.1834,-2,0,0,23.2664
35.18,2.3975,-2.2893,-2,0,0,20.867
35.2,2.1264,-2.3861,-2,0,0,18.4161
35.22,1.8461,-2.4726,-2,0,0,15.919
35.24,1.5577,-2.548,-2,0,0,13.3812
35.26,1.2622,-2.6114,-2,0,0,10.8089
35.28,0.961,-2.6618,-2,0,0,8.2084
35.3,0.6552,-2.6988,-2,0,0,5.5862
35.32,0.3463,-2.7219,-2,0,0,2.9493
35.34,0.0358,-2.7307,-2,0,0,0.3044
35.36,-0.275,-2.7252,-2,0,0,357.6588
35.38,-0.5844,-2.7054,-2,0,0,355.0194
35.4,-0.891,-2.6715,-2,0,0,352.3932
35.42,-1.1934,-2.6241,-2,0,0,349.7871
35.44,-1.4903,-2.5637,-2,0,0,347.2078
35.46,-1.7804,-2.491,-2,0,0,344.6615
35.48,-2.0627,-2.4069,-2,0,0,342.1545
35.5,-2.336,-2.3124,-2,0,0,339.6925
35.52,-2.5995,-2.2085,-2,0,0,337.2808
35.54,-2.8526,-2.0964,-2,0,0,334.9245
35.56,-3.0946,-1.9772,-2,0,0,332.628
35.58,-3.3251,-1.8521,-2,0,0,330.3954
35.6,-3.5438,-1.7223,-2,0,0,328.2303
35.62,-3.7505,-1.589,-2,0,0,326.1361
35.64,-3.9453,-1.4533,-2,0,0,324.1154
35.66,-4.1281,-1.3162,-2,0,0,322.1706
35.68,-4.2991,-1.1789,-2,0,0,320.3037
35.7,-4.4585,-1.0423,-2,0,0,318.5165
35.72,-4.6067,-0.9073,-2,0,0,316.8101
35.74,-4.7439,-0.7748,-2,0,0,315.1855
35.76,-4.8707,-0.6454,-2,0,0,313.6437
35.78,-4.9874,-0.5199,-2,0,0,312.1849
35.8,-5.0944,-0.3989,-2,0,0,310.8097
35.82,-5.1923,-0.2829,-2,0,0,309.5179
35.84,-5.2814,-0.1725,-2,0,0,308.3098
35.86,-5.3623,-0.068,-2,0,0,307.1851
35.88,-5.4354,0.0301,-2,0,0,306.1436
35.9,-5.501,0.1216,-2,0,0,305.185
35.92,-5.5597,0.2062,-2,0,0,304.3089
35.94,-5.6117,0.2836,-2,0,0,303.515
35.96,-5.6575,0.3536,-2,0,0,302.8029
35.98,-5.6973,0.4161,-2,0,0,302.172
36,-5.7314,0.471,-2,0,0,301.6222
36.02,-5.7601,0.518,-2,0,0,301.1529
36.04,-5.7836,0.5572,-2,0,0,300.7639
36.06,-5.8021,0.5884,-2,0,0,300.455
36.08,-5.8157,0.6117,-2,0,0,300.2257
36.1,-5.8245,0.6269,-2,0,0,300.076
36.12,-5.8287,0.634,-2,0,0,300.0059
36.14,-5.8281,0.6331,-2,0,0,300.015
36.16,-5.8229,0.6241,-2,0,0,300.1037
36.18,-5.813,0.607,-2,0,0,300.2718
36.2,-5.7983,0.5819,-2,0,0,300.5195
36.22,-5.7786,0.5488,-2,0,0,300.847
36.24,-5.7539,0.5078,-2,0,0,301.2546
36.26,-5.724,0.4589,-2,0,0,301.7425
36.28,-5.6886,0.4023,-2,0,0,302.3111
36.3,-5.6474,0.338,-2,0,0,302.9608
36.32,-5.6002,0.2663,-2,0,0,303.6918
36.34,-5.5467,0.1872,-2,0,0,304.5048
36.36,-5.4864,0.101,-2,0,0,305.4
36.38,-5.4191,0.0079,-2,0,0,306.3777
36.4,-5.3443,-0.0917,-2,0,0,307.4385
36.42,-5.2615,-0.1976,-2,0,0,308.5826
36.44,-5.1704,-0.3093,-2,0,0,309.8101
36.46,-5.0704,-0.4265,-2,0,0,311.1212
36.48,-4.9612,-0.5486,-2,0,0,312.5158
36.5,-4.8422,-0.6751,-2,0,0,313.9938
36.52,-4.7131,-0.8052,-2,0,0,315.5549
36.54,-4.5733,-0.9384,-2,0,0,317.1985
36.56,-4.4225,-1.0739,-2,0,0,318.9238
36.58,-4.2604,-1.2107,-2,0,0,320.7297
36.6,-4.0867,-1.3481,-2,0,0,322.6147
36.62,-3.9012,-1.4849,-2,0,0,324.5773
36.64,-3.7037,-1.6202,-2,0,0,326.6153
36.66,-3.4941,-1.7528,-2,0,0,328.7262
36.68,-3.2727,-1.8816,-2,0,0,330.9072
36.7,-3.0395,-2.0054,-2,0,0,333.155
36.72,-2.7949,-2.1231,-2,0,0,335.4658
36.74,-2.5393,-2.2334,-2,0,0,337.8354
36.76,-2.2734,-2.3352,-2,0,0,340.2592
36.78,-1.998,-2.4274,-2,0,0,342.7321
36.8,-1.7138,-2.5089,-2,0,0,345.2487
36.82,-1.422,-2.5788,-2,0,0,347.8032
36.84,-1.1237,-2.6363,-2,0,0,350.3894
36.86,-0.8202,-2.6806,-2,0,0,353.0007
36.88,-0.5128,-2.7112,-2,0,0,355.6306
36.9,-0.203,-2.7277,-2,0,0,358.2721
36.92,0.1079,-2.7299,-2,0,0,0.9181
36.94,0.4181,-2.7178,-2,0,0,3.5617
36.96,0.7264,-2.6915,-2,0,0,6.1959
36.98,1.0313,-2.6513,-2,0,0,8.8136
37,1.3313,-2.5978,-2,0,0,11.4082
37.02,1.6252,-2.5316,-2,0,0,13.9731
37.04,1.9119,-2.4535,-2,0,0,16.5019
