time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.02,0,0,0,0,0,0
35.04,0,0,0,0,0,0
35.06,0,0,0,0,0,0
35.08,0,0,0,0,0,0
35.1,0,0,0,0,0,0
35.12,0,0,0,0,0,0
35.14,0,0,0,0,0,0
35.16,0,0,0,0,0,0
35.18,0,0,0,0,0,0
35.2,0,0,0,0,0,0
35.22,0,0,0,0,0,0
35.24,0,0,0,0,0,0
35.26,0,0,0,0,0,0
35.28,0,0,0,0,0,0
35.3,0,0,0,0,0,0
35.32,0,0,0,0,0,0
35.34,0,0,0,0,0,0
35.36,0,0,0,0,0,0
35.38,0,0,0,0,0,0
35.4,0,0,0,0,0,0
35.42,0,0,0,0,0,0
35.44,0,0,0,0,0,0
35.46,0,0,0,0,0,0
35.48,0,0,0,0,0,0
35.5,0,0,0,0,0,0
35.52,0,0,0,0,0,0
35.54,0,0,0,0,0,0
35.56,0,0,0,0,0,0
35.58,0,0,0,0,0,0
35.6,0,0,0,0,0,0
35.62,0,0,0,0,0,0
35.64,0,0,0,0,0,0
35.66,0,0,0,0,0,0
35.68,0,0,0,0,0,0
35.7,0,0,0,0,0,0
35.72,0,0,0,0,0,0
35.74,0,0,0,0,0,0
35.76,0,0,0,0,0,0
35.78,0,0,0,0,0,0
35.8,0,0,0,0,0,0
35.82,0,0,0,0,0,0
35.84,0,0,0,0,0,0
35.86,0,0,0,0,0,0
35.88,0,0,0,0,0,0
35.9,0,0,0,0,0,0
35.92,0,0,0,0,0,0
35.94,0,0,0,0,0,0
35.96,0,0,0,0,0,0
35.98,0,0,0,0,0,0
36,0,0,0,0,0,0
36.02,0,0,0,0,0,0
36.04,0,0,0,0,0,0
36.06,0,0,0,0,0,0
36.08,0,0,0,0,0,0
36.1,0,0,0,0,0,0
36.12,0,0,0,0,0,0
36.14,0,0,0,0,0,0
36.16,0,0,0,0,0,0
36.18,0,0,0,0,0,0
36.2,0,0,0,0,0,0
36.22,0,0,0,0,0,0
36.24,0,0,0,0,0,0
36.26,0,0,0,0,0,0
36.28,0,0,0,0,0,0
36.3,0,0,0,0,0,0
36.32,0,0,0,0,0,0
36.34,0,0,0,0,0,0
36.36,0,0,0,0,0,0
36.38,0,0,0,0,0,0
36.4,0,0,0,0,0,0
36.42,0,0,0,0,0,0
36.44,0,0,0,0,0,0
36.46,0,0,0,0,0,0
36.48,0,0,0,0,0,0
36.5,0,0,0,0,0,0
36.52,0,0,0,0,0,0
36.54,0,0,0,0,0,0
36.56,0,0,0,0,0,0
36.58,0,0,0,0,0,0
36.6,0,0,0,0,0,0
36.62,0,0,0,0,0,0
36.64,0,0,0,0,0,0
36.66,0,0,0,0,0,0
36.68,0,0,0,0,0,0
36.7,0,0,0,0,0,0
36.72,0,0,0,0,0,0
36.74,0,0,0,0,0,0
36.76,0,0,0,0,0,0
36.78,0,0,0,0,0,0
36.8,0,0,0,0,0,0
36.82,0,0,0,0,0,0
36.84,0,0,0,0,0,0
36.86,0,0,0,0,0,0
36.88,0,0,0,0,0,0
36.9,0,0,0,0,0,0
36.92,0,0,0,0,0,0
36.94,0,0,0,0,0,0
36.96,0,0,0,0,0,0
36.98,0,0,0,0,0,0
37,0,0,0,0,0,0
37.02,0,0,0,0,0,0
37.04,0,0,0,0,0,0
37.06,0,0,0,0,0,0
37.08,0,0,0,0,0,0
37.1,0,0,0,0,0,0
37.12,0,0,0,0,0,0
37.14,0,0,0,0,0,0
37.16,0,0,0,0,0,0
37.18,0,0,0,0,0,0
37.2,0,0,0,0,0,0
37.22,0,0,0,0,0,0
37.24,0,0,0,0,0,0
37.26,0,0,0,0,0,0
37.28,0,0,0,0,0,0
37.3,0,0,0,0,0,0
37.32,0,0,0,0,0,0
37.34,0,0,0,0,0,0
37.36,0,0,0,0,0,0
37.38,0,0,0,0,0,0
37.4,0,0,0,0,0,0
37.42,0,0,0,0,0,0
37.44,0,0,0,0,0,0
37.46,0,0,0,0,0,0
37.48,0,0,0,0,0,0
37.5,0,0,0,0,0,0
37.52,0,0,0,0,0,0
37.54,0,0,0,0,0,0
37.56,0,0,0,0,0,0
37.58,0,0,0,0,0,0
37.6,0,0,0,0,0,0
37.62,0,0,0,0,0,0
37.64,0,0,0,0,0,0
37.66,0,0,0,0,0,0
37.68,0,0,0,0,0,0
37.7,0,0,0,0,0,0
37.72,0,0,0,0,0,0
37.74,0,0,0,0,0,0
37.76,0,0,0,0,0,0
37.78,0,0,0,0,0,0
37.8,0,0,0,0,0,0
37.82,0,0,0,0,0,0
37.84,0,0,0,0,0,0
37.86,0,0,0,0,0,0
37.88,0,0,0,0,0,0
37.9,0,0,0,0,0,0
37.92,0,0,0,0,0,0
37.94,0,0,0,0,0,0
37.96,0,0,0,0,0,0
37.98,0,0,0,0,0,0
38,0,0,0,0,0,0
38.02,0,0,0,0,0,0
38.04,0,0,0,0,0,0
38.06,0,0,0,0,0,0
38.08,0,0,0,0,0,0
38.1,0,0,0,0,0,0
38.12,0,0,0,0,0,0
38.14,0,0,0,0,0,0
38.16,0,0,0,0,0,0
38.18,0,0,0,0,0,0
38.2,0,0,0,0,0,0
38.22,0,0,0,0,0,0
38.24,0,0,0,0,0,0
38.26,0,0,0,0,0,0
38.28,0,0,0,0,0,0
38.3,0,0,0,0,0,0
38.32,0,0,0,0,0,0
38.34,0,0,0,0,0,0
38.36,0,0,0,0,0,0
38.38,0,0,0,0,0,0
38.4,0,0,0,0,0,0
38.42,0,0,0,0,0,0
38.44,0,0,0,0,0,0
38.46,0,0,0,0,0,0
38.48,0,0,0,0,0,0
