ppid,ppt,met,observed,coord
P02_A_NoMet_Solo_1,A (solo),No,No,N/A (solo trial)
P02_A_NoMet_Solo_2,A (solo),No,No,N/A (solo trial)
P02_A_Met_Solo_1,A (solo),Yes,No,N/A (solo trial)
P02_A_Met_Solo_2,A (solo),Yes,No,N/A (solo trial)
P02_A_NoMet_Observed_1,A (solo),No,Yes,N/A (solo trial)
P02_A_NoMet_Observed_2,A (solo),No,Yes,N/A (solo trial)
P02_A_Met_Observed_1,A (solo),Yes,Yes,N/A (solo trial)
P02_A_Met_Observed_2,A (solo),Yes,Yes,N/A (solo trial)
P02_B_NoMet_Solo_1,B (solo),No,No,N/A (solo trial)
P02_B_NoMet_Solo_2,B (solo),No,No,N/A (solo trial)
P02_B_Met_Solo_1,B (solo),Yes,No,N/A (solo trial)
P02_B_Met_Solo_2,B (solo),Yes,No,N/A (solo trial)
P02_B_NoMet_Observed_1,B (solo),No,Yes,N/A (solo trial)
P02_B_NoMet_Observed_2,B (solo),No,Yes,N/A (solo trial)
P02_B_Met_Observed_1,B (solo),Yes,Yes,N/A (solo trial)
P02_B_Met_Observed_2,B (solo),Yes,Yes,N/A (solo trial)
P02_AB_Spont_1,AB (joint),N/A (joint trial),N/A (joint trial),Spontaneous
P02_AB_Spont_2,AB (joint),N/A (joint trial),N/A (joint trial),Spontaneous
P02_AB_Int_1,AB (joint),N/A (joint trial),N/A (joint trial),Intentional
P02_AB_Int_2,AB (joint),N/A (joint trial),N/A (joint trial),Intentional
