ppid,ppt,met,observed,coord,met_type,pendulum_A,pendulum_B
SAMPLE,A,Yes,Yes,In,Slow,Red,Red
P_210317120759,A,Yes,Yes,In,Fast,Red,Red
P_210317121314,A,Yes,Yes,In,Fast,Red,Red
P_210317121606,A,Yes,Yes,In,Fast,Red,Red
P_210317121733,A,Yes,Yes,In,Fast,Red,Red
P_210317122152,A,Yes,Yes,In,Fast,Red,Red
P_210317122337,A,Yes,Yes,In,Fast,Red,Red
P_210317122630,A,Yes,Yes,In,Fast,Red,Red
P_210317122809,A,Yes,Yes,In,Fast,Red,Red
P_210317143130,A,Yes,Yes,In,Fast,Red,Red
P_210317143332,A,Yes,Yes,In,Fast,Red,Red
P_210317143420,A,Yes,Yes,In,Fast,Red,Red
P_210317143552,A,Yes,Yes,In,Fast,Red,Red
P_210317143716,A,Yes,Yes,In,Fast,Red,Red
P_210317143907,A,Yes,Yes,In,Fast,Red,Red
P_210317144201,A,Yes,Yes,In,Fast,Red,Red
P_210317144403,A,Yes,Yes,In,Fast,Red,Red
P_210317144559,A,Yes,Yes,In,Fast,Red,Red
P_210317144739,A,Yes,Yes,In,Fast,Red,Red
P_210317144910,A,Yes,Yes,In,Fast,Red,Red
P_210317145105,A,Yes,Yes,In,Fast,Red,Red
P_210317145257,A,Yes,Yes,In,Fast,Red,Red
P_210317145452,A,Yes,Yes,In,Fast,Red,Red
P_210318092542,A,Yes,Yes,In,Fast,Red,Red
P_210318093423,A,Yes,Yes,In,Fast,Red,Red
P_210318093515,A,Yes,Yes,In,Fast,Red,Red
P_210318093706,A,Yes,Yes,In,Fast,Red,Red
P_210318093939,A,Yes,Yes,In,Fast,Red,Red
P_210318094128,A,Yes,Yes,In,Fast,Red,Red
