time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.64273,5.829,0.6346,-2,0,0,60
11.67299,-4.1698,-1.2835,-2,0,0,321.719
11.68971,-3.943,-1.4549,-2,0,0,324.139
11.70667,-3.6975,-1.6242,-2,0,0,326.6776
11.7227,-3.4333,-1.7893,-2,0,0,329.33
11.73926,-3.4333,-1.7893,-2,0,0,329.33
11.75591,-3.1505,-1.9479,-2,0,0,332.0905
11.7728,-2.8496,-2.0978,-2,0,0,334.9522
11.78896,-2.5315,-2.2366,-2,0,0,337.9073
11.80579,-2.1972,-2.362,-2,0,0,340.9469
11.82211,-1.8484,-2.472,-2,0,0,344.0609
11.84045,-1.4868,-2.5645,-2,0,0,347.2383
11.8576,-1.4868,-2.5645,-2,0,0,347.2383
11.87372,-1.1147,-2.6378,-2,0,0,350.4674
11.89068,-0.7344,-2.6906,-2,0,0,353.7356
11.90673,-0.3488,-2.7217,-2,0,0,357.0296
11.92362,0.0395,-2.7307,-2,0,0,0.336
11.93985,0.0395,-2.7307,-2,0,0,0.336
11.95666,0.4274,-2.7172,-2,0,0,3.641
11.97373,0.8122,-2.6816,-2,0,0,6.9309
11.98971,1.191,-2.6246,-2,0,0,10.1921
12.00672,1.5612,-2.5472,-2,0,0,13.4117
12.02272,1.9203,-2.451,-2,0,0,16.5772
12.03972,1.9203,-2.451,-2,0,0,16.5772
12.05582,2.2664,-2.3377,-2,0,0,19.6769
12.07285,2.5975,-2.2094,-2,0,0,22.7001
12.08895,2.9122,-2.0682,-2,0,0,25.6369
12.10583,3.2094,-1.9163,-2,0,0,28.4787
12.12279,3.4885,-1.7562,-2,0,0,31.2177
12.13875,3.4885,-1.7562,-2,0,0,31.2177
12.15522,3.7489,-1.5901,-2,0,0,33.8475
12.17178,3.9906,-1.4202,-2,0,0,36.3623
12.18875,4.2136,-1.2487,-2,0,0,38.7577
12.20492,4.4185,-1.0775,-2,0,0,41.0301
12.22175,4.6055,-0.9084,-2,0,0,43.1765
12.23805,4.6055,-0.9084,-2,0,0,43.1765
12.25462,4.7756,-0.7431,-2,0,0,45.1952
12.27118,4.9293,-0.5831,-2,0,0,47.0844
12.2878,5.0677,-0.4296,-2,0,0,48.8435
12.30475,5.1915,-0.2838,-2,0,0,50.472
12.32088,5.3017,-0.1467,-2,0,0,51.97
12.33779,5.3017,-0.1467,-2,0,0,51.97
12.35481,5.3992,-0.0189,-2,0,0,53.3376
12.37058,5.4848,0.0987,-2,0,0,54.5756
12.38814,5.5592,0.2055,-2,0,0,55.6844
12.40413,5.6234,0.3012,-2,0,0,56.6648
12.42028,5.6778,0.3853,-2,0,0,57.5176
12.43734,5.6778,0.3853,-2,0,0,57.5176
12.45352,5.7231,0.4575,-2,0,0,58.2437
12.47054,5.7599,0.5177,-2,0,0,58.8436
12.48661,5.7886,0.5655,-2,0,0,59.3182
12.50357,5.8094,0.6009,-2,0,0,59.6678
12.51982,5.8094,0.6009,-2,0,0,59.6678
12.53625,5.8227,0.6237,-2,0,0,59.8929
12.55282,5.8287,0.634,-2,0,0,59.9939
12.56974,5.8273,0.6316,-2,0,0,59.9708
12.58595,5.8186,0.6167,-2,0,0,59.8236
12.60268,5.8025,0.5891,-2,0,0,59.552
12.61908,5.8025,0.5891,-2,0,0,59.552
12.63576,5.7788,0.5491,-2,0,0,59.1559
12.65275,5.7472,0.4967,-2,0,0,58.6347
12.66878,5.7073,0.432,-2,0,0,57.9879
12.68535,5.6586,0.3553,-2,0,0,57.2146
12.70192,5.6006,0.2669,-2,0,0,56.3144
12.71876,5.6006,0.2669,-2,0,0,56.3144
12.73505,5.5327,0.167,-2,0,0,55.2862
12.75175,5.4542,0.0561,-2,0,0,54.1294
12.7682,5.3643,-0.0654,-2,0,0,52.8431
12.78475,5.2622,-0.1967,-2,0,0,51.427
12.80132,5.147,-0.3372,-2,0,0,49.8803
12.8185,5.147,-0.3372,-2,0,0,49.8803
12.8346,5.0179,-0.486,-2,0,0,48.2032
12.85145,4.8739,-0.6421,-2,0,0,46.3955
12.86776,4.7141,-0.8042,-2,0,0,44.4579
12.88415,4.5378,-0.9711,-2,0,0,42.3914
12.90072,4.3442,-1.1411,-2,0,0,40.1978
12.91768,4.3442,-1.1411,-2,0,0,40.1978
12.93385,4.1327,-1.3127,-2,0,0,37.8791
12.95042,3.9027,-1.4838,-2,0,0,35.4388
12.96698,3.6541,-1.6525,-2,0,0,32.8804
12.98355,3.3867,-1.8167,-2,0,0,30.2094
13.00086,3.1007,-1.974,-2,0,0,27.4311
13.01677,3.1007,-1.974,-2,0,0,27.4311
13.03325,2.7969,-2.1222,-2,0,0,24.5531
13.04982,2.4759,-2.2589,-2,0,0,21.5829
13.06638,2.1391,-2.3818,-2,0,0,18.5301
13.08295,1.7879,-2.489,-2,0,0,15.4044
13.09968,1.7879,-2.489,-2,0,0,15.4044
13.11608,1.4244,-2.5783,-2,0,0,12.2175
13.13277,1.0507,-2.6483,-2,0,0,8.9807
13.14922,0.6694,-2.6974,-2,0,0,5.7074
13.16578,0.283,-2.7248,-2,0,0,2.4102
13.18235,-0.1053,-2.7299,-2,0,0,359.1032
13.19892,-0.1053,-2.7299,-2,0,0,359.1032
13.21589,-0.493,-2.7127,-2,0,0,355.7997
13.23289,-0.8769,-2.6734,-2,0,0,352.5138
13.24885,-1.2545,-2.6128,-2,0,0,349.2586
13.26579,-1.6229,-2.5322,-2,0,0,346.0475
13.28245,-1.98,-2.433,-2,0,0,342.8922
13.29976,-1.98,-2.433,-2,0,0,342.8922
13.31576,-2.3236,-2.317,-2,0,0,339.8048
13.33215,-2.652,-2.1863,-2,0,0,336.7955
13.34879,-2.9638,-2.0431,-2,0,0,333.8743
13.36578,-3.2581,-1.8897,-2,0,0,331.0494
13.38185,-3.534,-1.7284,-2,0,0,328.3286
13.39874,-3.534,-1.7284,-2,0,0,328.3286
13.41577,-3.7912,-1.5615,-2,0,0,325.7178
13.43173,-4.0297,-1.3912,-2,0,0,323.223
13.44812,-4.2497,-1.2195,-2,0,0,320.8481
13.4648,-4.4514,-1.0486,-2,0,0,318.597
