time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
2.473855,0.5744,-0.3164,-8.7836,72.95,196.0902,54.5678
2.50508,0.585,0.1399,-10.4552,68.0325,192.851,49.4497
2.53173,0.5858,0.2979,-10.8571,66.803,192.1673,48.4207
2.548416,0.5972,0.5251,-11.3515,65.3343,191.2168,47.526
2.565432,0.6086,0.7613,-11.7932,63.9914,190.2998,46.9161
2.581461,0.6264,1.0094,-12.1867,62.8096,189.4044,46.4105
2.597997,0.6264,1.0094,-12.1867,62.8096,189.4044,46.4105
2.614564,0.6564,1.4693,-12.8388,60.7416,187.9479,45.5793
2.63113,0.6724,1.6684,-13.0979,59.9016,187.3314,45.2053
2.647697,0.6988,1.8435,-13.3122,59.1967,186.6969,44.9512
2.664351,0.7229,1.9827,-13.479,58.6247,186.0571,44.7675
2.68083,0.7525,2.085,-13.6071,58.1798,185.5244,44.5629
2.69744,0.7525,2.085,-13.6071,58.1798,185.5244,44.5629
2.714443,0.8,2.1643,-13.7323,57.7043,184.7178,44.1874
2.73053,0.8164,2.1482,-13.7257,57.6787,184.4744,43.9807
2.747451,0.8337,2.1041,-13.6771,57.8196,184.3421,43.819
2.764424,0.8491,2.0169,-13.5667,58.1413,184.3336,43.745
2.780274,0.8546,1.9019,-13.4065,58.6787,184.5245,43.8577
2.797265,0.8546,1.9019,-13.4065,58.6787,184.5245,43.8577
2.813365,0.8618,1.6164,-12.9311,60.2725,185.3375,44.5394
2.830167,0.8573,1.4547,-12.61,61.3619,185.9558,45.1797
2.847946,0.8536,1.3001,-12.225,62.672,186.6433,46.0571
2.865332,0.8463,1.1593,-11.7762,64.1611,187.3222,46.9785
2.881365,0.8229,1.0188,-11.1142,66.3035,188.1097,48.2219
2.897646,0.8229,1.0188,-11.1142,66.3035,188.1097,48.2219
2.914585,0.7891,0.8612,-10.0489,69.8781,189.6841,50.7783
2.930779,0.7578,0.7756,-9.3804,72.1378,191.1182,52.7977
2.947346,0.7147,0.6788,-8.6877,74.4313,193.3964,55.578
2.963912,0.6553,0.5889,-7.982,76.6498,196.6839,58.9917
2.980479,0.5858,0.5212,-7.2605,78.8615,201.3969,63.7191
2.997807,0.5858,0.5212,-7.2605,78.8615,201.3969,63.7191
3.013613,0.4311,0.4311,-5.8156,82.7957,218.8228,81.2359
3.030211,0.3757,0.4202,-5.2839,83.9033,229.3411,91.7038
3.046746,0.2879,0.4024,-4.597,84.7947,247.933,110.087
3.063313,0.2017,0.4046,-3.9345,84.9827,269.8011,131.6611
3.079879,0.2017,0.4046,-3.9345,84.9827,269.8011,131.6611
3.096446,0.023,0.4257,-2.7092,83.6089,300.7266,161.9158
3.113012,-0.0431,0.4458,-2.1653,82.5769,309.7921,170.6976
3.130515,-0.1389,0.4763,-1.5429,81.2356,317.0372,177.732
3.146494,-0.1853,0.5283,-1.2027,80.4322,320.517,181.0216
3.162713,-0.2373,0.5611,-0.8101,79.4935,323.6652,183.9547
3.179474,-0.2373,0.5611,-0.8101,79.4935,323.6652,183.9547
3.195846,-0.3315,0.6095,-0.1639,77.9596,327.8754,188.2082
3.212549,-0.374,0.5866,0.0692,77.5429,328.9927,189.1423
3.229522,-0.3995,0.5448,0.2375,77.436,330.1391,189.9893
3.245546,-0.4078,0.4779,0.3362,77.4142,330.3514,189.8612
3.262468,-0.4131,0.4174,0.3774,77.7248,330.5738,189.9092
3.279439,-0.4131,0.4174,0.3774,77.7248,330.5738,189.9092
3.295453,-0.3738,0.2485,0.2852,78.7922,330.2645,189.1807
3.31245,-0.3414,0.1169,0.1465,79.1922,328.8577,187.5353
3.328462,-0.297,-0.0288,-0.0454,79.8341,326.9418,185.5041
3.345534,-0.2393,-0.1604,-0.2992,80.6021,324.7467,183.1406
3.361512,-0.168,-0.2796,-0.6131,81.3919,322.1216,180.3425
3.378457,-0.168,-0.2796,-0.6131,81.3919,322.1216,180.3425
3.394646,0.031,-0.496,-1.4165,83.4583,313.1022,171.6413
3.411212,0.1309,-0.5847,-1.8759,84.5285,305.174,164.4074
3.428502,0.2642,-0.6396,-2.395,85.5636,292.5477,152.4299
3.444516,0.3876,-0.6823,-2.9487,86.2449,272.4013,133.2617
3.460912,0.5173,-0.6936,-3.5399,86.3044,246.3819,108.4686
3.47752,0.5173,-0.6936,-3.5399,86.3044,246.3819,108.4686
3.494046,0.7815,-0.6273,-4.8186,84.3502,208.4521,72.7143
3.510612,0.8949,-0.5493,-5.4862,82.6879,199.6517,64.5669
3.527179,0.9989,-0.4463,-6.1679,80.8994,193.7866,59.2072
3.543746,1.0919,-0.3332,-6.8653,78.9913,190.4054,55.9722
3.560447,1.1811,-0.1906,-7.5595,77.0672,187.9008,53.4068
3.57747,1.1811,-0.1906,-7.5595,77.0672,187.9008,53.4068
3.593587,1.2895,0.124,-8.9132,73.1465,185.621,51.0354
3.610775,1.3181,0.3157,-9.5518,71.3338,185.1904,50.3845
3.6269,1.3299,0.5179,-10.1638,69.514,184.9028,49.7123
3.643241,1.3196,0.7269,-10.7393,67.75,184.8049,48.966
3.660262,1.2948,0.9435,-11.2753,66.0552,185.2139,48.4898
3.676279,1.2948,0.9435,-11.2753,66.0552,185.2139,48.4898
3.692846,1.2243,1.4033,-12.1819,63.2217,185.4443,47.5987
3.709442,1.19,1.5667,-12.467,62.3067,185.4639,47.4128
3.726485,1.1245,1.8119,-12.8854,60.9581,185.5492,47.1024
3.742546,1.0774,1.9385,-13.1039,60.2512,185.6873,46.802
3.759424,1.0774,1.9385,-13.1039,60.2512,185.6873,46.802
3.776236,0.9377,2.2373,-13.5841,58.7063,186.0352,46.299
3.792246,0.8962,2.2989,-13.6855,58.3645,186.082,46.4713
3.808812,0.842,2.342,-13.7786,58.0175,186.1045,46.9396
3.82538,0.7886,2.3525,-13.8261,57.7843,186.1417,47.3408
3.842319,0.7307,2.3298,-13.8272,57.6991,186.3268,47.6032
3.859441,0.7307,2.3298,-13.8272,57.6991,186.3268,47.6032
3.875079,0.5946,2.1965,-13.6756,57.978,187.0507,47.7313
3.891646,0.5262,2.0935,-13.5167,58.4259,187.6191,47.94
3.908549,0.4575,1.9669,-13.3006,59.0601,188.2715,48.3932
3.924779,0.3919,1.8092,-13.0363,59.845,189.1034,49.2094
3.941457,0.3264,1.6302,-12.7166,60.7957,190.0156,50.3365
3.958443,0.3264,1.6302,-12.7166,60.7957,190.0156,50.3365
3.974479,0.1984,1.223,-11.9353,63.1254,192.1681,52.923
3.991471,0.1269,0.9967,-11.4809,64.4339,193.573,54.3617
4.008302,0.0572,0.7746,-10.9841,65.841,195.1735,55.8571
4.024179,-0.0157,0.5441,-10.455,67.2759,196.9777,57.5471
4.040746,-0.0856,0.3275,-9.8907,68.7571,199.0199,59.5789
4.057392,-0.0856,0.3275,-9.8907,68.7571,199.0199,59.5789
4.073879,-0.2186,-0.0742,-8.6817,71.8751,204.2655,64.8576
4.090446,-0.2886,-0.2465,-8.0457,73.3728,207.2693,67.789
4.107415,-0.3539,-0.3896,-7.3932,74.9789,210.508,71.0472
