time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.326992,5.829,0.6346,-2,0,0,60
4.351374,-5.4416,0.0387,-2,0,0,306.0531
4.367941,-5.4124,-0.0011,-2,0,0,306.4738
4.38511,-5.3819,-0.0421,-2,0,0,306.9089
4.401076,-5.35,-0.0842,-2,0,0,307.3585
4.418489,-5.35,-0.0842,-2,0,0,307.3585
4.434235,-5.3167,-0.1274,-2,0,0,307.8225
4.450777,-5.2821,-0.1717,-2,0,0,308.301
4.467344,-5.246,-0.217,-2,0,0,308.7939
4.483911,-5.2084,-0.2633,-2,0,0,309.3014
4.500477,-5.1694,-0.3105,-2,0,0,309.8233
4.517043,-5.1694,-0.3105,-2,0,0,309.8233
4.533611,-5.1288,-0.3588,-2,0,0,310.3598
4.550177,-5.0866,-0.4079,-2,0,0,310.9108
4.566742,-5.0429,-0.4579,-2,0,0,311.4763
4.58331,-4.9975,-0.5087,-2,0,0,312.0563
4.599877,-4.9975,-0.5087,-2,0,0,312.0563
4.616602,-4.9505,-0.5603,-2,0,0,312.6508
4.633008,-4.9017,-0.6126,-2,0,0,313.2598
4.649922,-4.8512,-0.6657,-2,0,0,313.8832
4.666365,-4.799,-0.7194,-2,0,0,314.5211
4.68271,-4.745,-0.7737,-2,0,0,315.1733
4.699367,-4.745,-0.7737,-2,0,0,315.1733
4.71631,-4.6891,-0.8286,-2,0,0,315.8399
4.732814,-4.6314,-0.884,-2,0,0,316.5208
4.749203,-4.5718,-0.9398,-2,0,0,317.216
4.766066,-4.5103,-0.9961,-2,0,0,317.9253
4.782432,-4.4468,-1.0526,-2,0,0,318.6487
4.798854,-4.4468,-1.0526,-2,0,0,318.6487
4.815244,-4.3814,-1.1094,-2,0,0,319.3862
4.83181,-4.3141,-1.1664,-2,0,0,320.1376
4.848377,-4.2447,-1.2236,-2,0,0,320.9028
4.864987,-4.1733,-1.2808,-2,0,0,321.6818
4.88151,-4.0998,-1.338,-2,0,0,322.4744
4.898361,-4.0998,-1.338,-2,0,0,322.4744
4.914643,-4.0243,-1.3952,-2,0,0,323.2804
4.93121,-3.9468,-1.4522,-2,0,0,324.0999
4.947775,-3.8671,-1.509,-2,0,0,324.9324
4.964343,-3.7854,-1.5654,-2,0,0,325.7781
4.981061,-3.7016,-1.6215,-2,0,0,326.6365
4.997477,-3.7016,-1.6215,-2,0,0,326.6365
5.014986,-3.6157,-1.6772,-2,0,0,327.5077
5.03061,-3.5277,-1.7322,-2,0,0,328.3913
5.047176,-3.4376,-1.7867,-2,0,0,329.2871
5.063743,-3.3455,-1.8404,-2,0,0,330.195
5.08031,-3.2514,-1.8934,-2,0,0,331.1147
5.096877,-3.2514,-1.8934,-2,0,0,331.1147
5.113443,-3.1551,-1.9454,-2,0,0,332.0458
5.13001,-3.0569,-1.9965,-2,0,0,332.9883
5.146575,-2.9567,-2.0466,-2,0,0,333.9418
5.163143,-2.8546,-2.0955,-2,0,0,334.906
5.179708,-2.8546,-2.0955,-2,0,0,334.906
5.196275,-2.7505,-2.1431,-2,0,0,335.8805
5.213173,-2.6445,-2.1895,-2,0,0,336.8652
5.229548,-2.5367,-2.2345,-2,0,0,337.8596
5.245976,-2.4271,-2.2779,-2,0,0,338.8634
5.262625,-2.3157,-2.3199,-2,0,0,339.8763
5.279124,-2.3157,-2.3199,-2,0,0,339.8763
5.295866,-2.2027,-2.3601,-2,0,0,340.8978
5.312243,-2.088,-2.3987,-2,0,0,341.9276
5.328984,-1.9718,-2.4355,-2,0,0,342.9654
5.345376,-1.8541,-2.4704,-2,0,0,344.0106
5.362583,-1.7349,-2.5033,-2,0,0,345.0629
5.37851,-1.7349,-2.5033,-2,0,0,345.0629
5.395076,-1.6144,-2.5343,-2,0,0,346.1219
5.411644,-1.4927,-2.5632,-2,0,0,347.1871
5.428643,-1.3697,-2.5899,-2,0,0,348.258
5.444777,-1.2457,-2.6145,-2,0,0,349.3343
5.462452,-1.1207,-2.6368,-2,0,0,350.4153
5.477909,-1.1207,-2.6368,-2,0,0,350.4153
5.495656,-0.9948,-2.6569,-2,0,0,351.5008
5.511415,-0.868,-2.6746,-2,0,0,352.5901
5.527858,-0.7406,-2.6899,-2,0,0,353.6829
5.544177,-0.6125,-2.7028,-2,0,0,354.7785
5.561611,-0.484,-2.7133,-2,0,0,355.8766
5.578508,-0.484,-2.7133,-2,0,0,355.8766
5.593875,-0.355,-2.7214,-2,0,0,356.9765
5.610443,-0.2258,-2.727,-2,0,0,358.0779
5.62701,-0.0963,-2.7301,-2,0,0,359.1801
5.643948,0.0332,-2.7307,-2,0,0,0.2828
5.660143,0.1627,-2.7288,-2,0,0,1.3852
5.676782,0.1627,-2.7288,-2,0,0,1.3852
5.693489,0.2921,-2.7244,-2,0,0,2.4871
5.709843,0.4212,-2.7176,-2,0,0,3.5878
5.727346,0.55,-2.7083,-2,0,0,4.6868
5.742975,0.6783,-2.6965,-2,0,0,5.7837
5.759542,0.6783,-2.6965,-2,0,0,5.7837
5.77705,0.806,-2.6823,-2,0,0,6.8779
5.792676,0.9331,-2.6658,-2,0,0,7.969
5.809248,1.0595,-2.6469,-2,0,0,9.0564
5.825813,1.1849,-2.6256,-2,0,0,10.1397
5.843423,1.3095,-2.6022,-2,0,0,11.2184
5.858944,1.3095,-2.6022,-2,0,0,11.2184
5.875511,1.4329,-2.5765,-2,0,0,12.2919
5.892077,1.5553,-2.5486,-2,0,0,13.36
5.908644,1.6764,-2.5187,-2,0,0,14.422
5.925211,1.7962,-2.4867,-2,0,0,15.4777
5.941777,1.9146,-2.4527,-2,0,0,16.5264
5.958457,1.9146,-2.4527,-2,0,0,16.5264
5.97491,2.0316,-2.4168,-2,0,0,17.5678
5.991477,2.147,-2.3792,-2,0,0,18.6016
6.008041,2.2609,-2.3397,-2,0,0,19.6272
6.02461,2.373,-2.2986,-2,0,0,20.6443
6.041177,2.4835,-2.2558,-2,0,0,21.6526
6.058749,2.4835,-2.2558,-2,0,0,21.6526
6.074308,2.5922,-2.2116,-2,0,0,22.6516
6.091618,2.6991,-2.1659,-2,0,0,23.6411
6.10819,2.8041,-2.1189,-2,0,0,24.6206
6.124052,2.9072,-2.0705,-2,0,0,25.5899
6.140588,3.0084,-2.021,-2,0,0,26.5486
6.157269,3.0084,-2.021,-2,0,0,26.5486
6.173709,3.1076,-1.9705,-2,0,0,27.4964
6.190277,3.2047,-1.9189,-2,0,0,28.4332
6.206924,3.2999,-1.8663,-2,0,0,29.3585
6.22341,3.393,-1.813,-2,0,0,30.2721
6.240436,3.4841,-1.7588,-2,0,0,31.1739
6.2573,3.4841,-1.7588,-2,0,0,31.1739
6.273651,3.5731,-1.7041,-2,0,0,32.0635
6.290046,3.66,-1.6487,-2,0,0,32.9407
6.306243,3.7448,-1.5928,-2,0,0,33.8053
6.322828,3.8276,-1.5365,-2,0,0,34.6573
6.339375,3.8276,-1.5365,-2,0,0,34.6573
6.355943,3.9082,-1.4799,-2,0,0,35.4962
6.372739,3.9868,-1.423,-2,0,0,36.3221
6.389151,4.0633,-1.3659,-2,0,0,37.1346
6.40567,4.1377,-1.3087,-2,0,0,37.9338
6.422557,4.2101,-1.2515,-2,0,0,38.7194
6.438776,4.2101,-1.2515,-2,0,0,38.7194
6.455694,4.2805,-1.1943,-2,0,0,39.4914
6.472454,4.3489,-1.1372,-2,0,0,40.2495
6.488476,4.4152,-1.0803,-2,0,0,40.9938
6.505247,4.4796,-1.0236,-2,0,0,41.7241
6.52161,4.5421,-0.9672,-2,0,0,42.4403
6.538268,4.5421,-0.9672,-2,0,0,42.4403
6.555451,4.6026,-0.9112,-2,0,0,43.1423
6.572398,4.6612,-0.8555,-2,0,0,43.8302
6.587877,4.718,-0.8004,-2,0,0,44.5037
6.604444,4.7729,-0.7458,-2,0,0,45.163
6.62101,4.826,-0.6918,-2,0,0,45.8079
6.637576,4.826,-0.6918,-2,0,0,45.8079
6.654144,4.8773,-0.6384,-2,0,0,46.4383
6.67071,4.9269,-0.5857,-2,0,0,47.0543
6.687276,4.9748,-0.5337,-2,0,0,47.6559
6.703841,5.021,-0.4825,-2,0,0,48.243
6.720411,5.0655,-0.4321,-2,0,0,48.8155
6.736983,5.0655,-0.4321,-2,0,0,48.8155
6.753543,5.1085,-0.3826,-2,0,0,49.3736
6.77026,5.1498,-0.3339,-2,0,0,49.9171
6.786677,5.1896,-0.2862,-2,0,0,50.4462
6.803556,5.2279,-0.2394,-2,0,0,50.9607
6.820103,5.2647,-0.1936,-2,0,0,51.4607
6.83643,5.2647,-0.1936,-2,0,0,51.4607
6.852943,5.3,-0.1488,-2,0,0,51.9462
6.86973,5.334,-0.1051,-2,0,0,52.4173
6.886932,5.3665,-0.0625,-2,0,0,52.8739
6.902824,5.3977,-0.021,-2,0,0,53.3161
6.919209,5.3977,-0.021,-2,0,0,53.3161
6.936142,5.4276,0.0194,-2,0,0,53.7438
6.952343,5.4561,0.0587,-2,0,0,54.1571
6.968908,5.4834,0.0968,-2,0,0,54.5561
6.986406,5.5095,0.1337,-2,0,0,54.9407
7.002043,5.5344,0.1694,-2,0,0,55.311
7.018652,5.5344,0.1694,-2,0,0,55.311
7.035176,5.5581,0.2038,-2,0,0,55.667
7.051743,5.5806,0.2371,-2,0,0,56.0087
7.06831,5.6021,0.269,-2,0,0,56.3362
7.084876,5.6224,0.2997,-2,0,0,56.6495
7.10147,5.6416,0.3291,-2,0,0,56.9486
7.118074,5.6416,0.3291,-2,0,0,56.9486
7.134847,5.6598,0.3572,-2,0,0,57.2336
7.151142,5.677,0.384,-2,0,0,57.5045
7.168387,5.6931,0.4095,-2,0,0,57.7612
7.184277,5.7083,0.4336,-2,0,0,58.0039
7.200842,5.7224,0.4564,-2,0,0,58.2326
7.21741,5.7224,0.4564,-2,0,0,58.2326
7.233977,5.7357,0.4779,-2,0,0,58.4472
7.250544,5.748,0.498,-2,0,0,58.6479
7.26711,5.7594,0.5168,-2,0,0,58.8346
7.283677,5.7698,0.5341,-2,0,0,59.0074
7.300243,5.7794,0.5502,-2,0,0,59.1663
7.317125,5.7794,0.5502,-2,0,0,59.1663
7.333377,5.7881,0.5648,-2,0,0,59.3112
7.349955,5.796,0.578,-2,0,0,59.4423
7.366551,5.803,0.5899,-2,0,0,59.5596
7.383078,5.8091,0.6004,-2,0,0,59.6629
7.399663,5.8091,0.6004,-2,0,0,59.6629
7.416753,5.8144,0.6095,-2,0,0,59.7525
7.433167,5.8189,0.6172,-2,0,0,59.8283
7.449536,5.8226,0.6235,-2,0,0,59.8902
7.465909,5.8254,0.6283,-2,0,0,59.9383
7.482487,5.8274,0.6318,-2,0,0,59.9727
7.499043,5.8274,0.6318,-2,0,0,59.9727
7.51561,5.8286,0.6339,-2,0,0,59.9932
7.532176,5.829,0.6346,-2,0,0,60
7.548743,5.8286,0.6339,-2,0,0,59.993
7.56531,5.8274,0.6318,-2,0,0,59.9722
7.582091,5.8253,0.6283,-2,0,0,59.9376
7.598442,5.8253,0.6283,-2,0,0,59.9376
7.615786,5.8225,0.6234,-2,0,0,59.8892
7.631577,5.8188,0.617,-2,0,0,59.8271
7.648275,5.8143,0.6093,-2,0,0,59.7511
7.66471,5.809,0.6002,-2,0,0,59.6613
7.681277,5.8029,0.5897,-2,0,0,59.5577
7.697843,5.8029,0.5897,-2,0,0,59.5577
7.71441,5.7959,0.5778,-2,0,0,59.4402
7.730977,5.788,0.5645,-2,0,0,59.3089
7.747696,5.7793,0.5499,-2,0,0,59.1637
7.76411,5.7697,0.5339,-2,0,0,59.0046
7.780675,5.7592,0.5165,-2,0,0,58.8316
7.797243,5.7592,0.5165,-2,0,0,58.8316
7.81381,5.7478,0.4977,-2,0,0,58.6446
7.830377,5.7355,0.4775,-2,0,0,58.4437
7.847538,5.7222,0.4561,-2,0,0,58.2288
7.863922,5.708,0.4332,-2,0,0,57.9999
7.880077,5.6928,0.4091,-2,0,0,57.7569
7.897756,5.6928,0.4091,-2,0,0,57.7569
7.91321,5.6767,0.3836,-2,0,0,57.4999
7.930051,5.6595,0.3567,-2,0,0,57.2288
7.946343,5.6413,0.3286,-2,0,0,56.9436
7.962908,5.622,0.2992,-2,0,0,56.6443
7.979477,5.622,0.2992,-2,0,0,56.6443
7.996043,5.6017,0.2685,-2,0,0,56.3307
8.01261,5.5803,0.2365,-2,0,0,56.003
8.029287,5.5577,0.2032,-2,0,0,55.661
8.045743,5.534,0.1688,-2,0,0,55.3047
8.06251,5.5091,0.1331,-2,0,0,54.9342
8.078876,5.5091,0.1331,-2,0,0,54.9342
8.096295,5.483,0.0961,-2,0,0,54.5493
8.112008,5.4557,0.058,-2,0,0,54.1501
8.128922,5.4271,0.0188,-2,0,0,53.7365
8.145144,5.3972,-0.0217,-2,0,0,53.3085
8.162126,5.366,-0.0632,-2,0,0,52.8661
8.178276,5.366,-0.0632,-2,0,0,52.8661
8.195161,5.3334,-0.1059,-2,0,0,52.4092
8.211639,5.2994,-0.1496,-2,0,0,51.9379
8.227977,5.2641,-0.1944,-2,0,0,51.4521
8.245457,5.2272,-0.2402,-2,0,0,50.9518
8.261317,5.1889,-0.287,-2,0,0,50.437
8.277849,5.1889,-0.287,-2,0,0,50.437
8.294243,5.1491,-0.3348,-2,0,0,49.9078
8.311462,5.1077,-0.3834,-2,0,0,49.3639
8.327527,5.0648,-0.433,-2,0,0,48.8056
8.343943,5.0202,-0.4834,-2,0,0,48.2328
8.360587,4.974,-0.5346,-2,0,0,47.6454
8.377076,4.974,-0.5346,-2,0,0,47.6454
8.39388,4.9261,-0.5866,-2,0,0,47.0436
8.41021,4.8764,-0.6393,-2,0,0,46.4273
8.427453,4.8251,-0.6927,-2,0,0,45.7966
8.4435,4.7719,-0.7468,-2,0,0,45.1514
8.459909,4.7719,-0.7468,-2,0,0,45.1514
8.476946,4.717,-0.8014,-2,0,0,44.4919
8.493043,4.6602,-0.8565,-2,0,0,43.8181
8.510383,4.6015,-0.9121,-2,0,0,43.13
8.526176,4.541,-0.9682,-2,0,0,42.4277
8.54307,4.4785,-1.0246,-2,0,0,41.7112
8.559311,4.4785,-1.0246,-2,0,0,41.7112
8.575878,4.4141,-1.0813,-2,0,0,40.9806
8.592443,4.3477,-1.1382,-2,0,0,40.2361
8.609012,4.2793,-1.1953,-2,0,0,39.4777
8.62558,4.2089,-1.2525,-2,0,0,38.7055
8.642416,4.1364,-1.3097,-2,0,0,37.9196
8.65871,4.1364,-1.3097,-2,0,0,37.9196
8.675491,4.0619,-1.3669,-2,0,0,37.1202
8.691844,3.9854,-1.424,-2,0,0,36.3073
8.70841,3.9068,-1.4809,-2,0,0,35.4813
8.724977,3.8261,-1.5375,-2,0,0,34.642
8.741597,3.7433,-1.5938,-2,0,0,33.7898
8.75811,3.7433,-1.5938,-2,0,0,33.7898
8.774828,3.6584,-1.6497,-2,0,0,32.925
8.791634,3.5715,-1.7051,-2,0,0,32.0475
8.80781,3.4825,-1.7598,-2,0,0,31.1576
8.824377,3.3914,-1.8139,-2,0,0,30.2557
8.840943,3.2982,-1.8673,-2,0,0,29.3418
8.85751,3.2982,-1.8673,-2,0,0,29.3418
8.874077,3.203,-1.9198,-2,0,0,28.4162
8.890643,3.1058,-1.9714,-2,0,0,27.4793
