time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
13.64953,5.829,0.6346,-2,0,0,60
13.67041,-5.6332,0.3163,-2,0,0,303.1816
13.68723,-5.6861,0.3984,-2,0,0,302.3503
13.70354,-5.73,0.4686,-2,0,0,301.6458
13.72011,-5.7653,0.5266,-2,0,0,301.0671
13.73668,-5.7653,0.5266,-2,0,0,301.0671
13.75324,-5.7926,0.5724,-2,0,0,300.6138
13.76981,-5.8122,0.6056,-2,0,0,300.2853
13.78646,-5.8242,0.6264,-2,0,0,300.0812
13.80294,-5.8289,0.6345,-2,0,0,300.0013
13.81997,-5.8289,0.6345,-2,0,0,300.0013
13.83654,-5.8263,0.63,-2,0,0,300.0454
13.8528,-5.8164,0.6129,-2,0,0,300.2137
13.86921,-5.7991,0.5832,-2,0,0,300.5063
13.88578,-5.774,0.5411,-2,0,0,300.9236
13.90234,-5.741,0.4866,-2,0,0,301.4661
13.91891,-5.741,0.4866,-2,0,0,301.4661
13.93615,-5.6996,0.4199,-2,0,0,302.1344
13.95216,-5.6494,0.3412,-2,0,0,302.929
13.96861,-5.5898,0.2507,-2,0,0,303.851
13.98518,-5.5202,0.1489,-2,0,0,304.9009
14.00216,-5.4398,0.0362,-2,0,0,306.0797
14.01831,-5.4398,0.0362,-2,0,0,306.0797
14.03488,-5.3479,-0.087,-2,0,0,307.3878
14.05149,-5.2436,-0.2199,-2,0,0,308.8262
14.06801,-5.1261,-0.3619,-2,0,0,310.3948
14.08458,-4.9945,-0.512,-2,0,0,312.0943
14.10144,-4.8479,-0.6692,-2,0,0,313.924
14.11771,-4.8479,-0.6692,-2,0,0,313.924
14.13457,-4.6854,-0.8322,-2,0,0,315.8835
14.15084,-4.5062,-0.9997,-2,0,0,317.9716
14.16744,-4.3096,-1.1701,-2,0,0,320.1868
14.18398,-4.095,-1.3418,-2,0,0,322.5262
14.20063,-3.8619,-1.5126,-2,0,0,324.987
14.21711,-3.8619,-1.5126,-2,0,0,324.987
14.23368,-3.61,-1.6808,-2,0,0,327.5646
14.25024,-3.3395,-1.8439,-2,0,0,330.2545
14.26716,-3.0505,-1.9998,-2,0,0,333.05
14.28338,-2.7436,-2.1462,-2,0,0,335.9445
14.30022,-2.4199,-2.2807,-2,0,0,338.9292
14.31651,-2.4199,-2.2807,-2,0,0,338.9292
14.33326,-2.0805,-2.4012,-2,0,0,341.9952
14.34964,-1.7271,-2.5054,-2,0,0,345.1319
14.36629,-1.3616,-2.5916,-2,0,0,348.3284
14.38278,-0.9865,-2.6581,-2,0,0,351.5721
14.39934,-0.9865,-2.6581,-2,0,0,351.5721
14.41621,-0.6041,-2.7036,-2,0,0,354.8506
14.43248,-0.2173,-2.7273,-2,0,0,358.1502
14.44942,0.1712,-2.7286,-2,0,0,1.4578
14.46561,0.5584,-2.7076,-2,0,0,4.7591
14.48218,0.9415,-2.6646,-2,0,0,8.0408
14.49879,0.9415,-2.6646,-2,0,0,8.0408
14.51531,1.3176,-2.6005,-2,0,0,11.2893
14.53188,1.6843,-2.5166,-2,0,0,14.492
14.54844,2.0393,-2.4144,-2,0,0,17.6364
14.56512,2.3804,-2.2958,-2,0,0,20.7114
14.58158,2.7061,-2.1628,-2,0,0,23.7062
14.59814,2.7061,-2.1628,-2,0,0,23.7062
14.6149,3.015,-2.0177,-2,0,0,26.6119
14.63128,3.3062,-1.8628,-2,0,0,29.4195
14.64796,3.5789,-1.7004,-2,0,0,32.1222
14.66441,3.833,-1.5328,-2,0,0,34.7135
14.68152,4.0683,-1.3621,-2,0,0,37.1884
14.69761,4.0683,-1.3621,-2,0,0,37.1884
14.71411,4.2851,-1.1905,-2,0,0,39.5423
14.73095,4.4839,-1.0198,-2,0,0,41.7724
14.74724,4.6651,-0.8519,-2,0,0,43.8756
14.76381,4.8295,-0.6882,-2,0,0,45.8505
14.78038,4.9779,-0.5303,-2,0,0,47.6956
14.79694,4.9779,-0.5303,-2,0,0,47.6956
14.81351,5.1113,-0.3793,-2,0,0,49.4105
14.83028,5.2304,-0.2363,-2,0,0,50.9947
14.84721,5.3362,-0.1022,-2,0,0,52.4485
14.86323,5.4295,0.0221,-2,0,0,53.772
14.87978,5.4295,0.0221,-2,0,0,53.772
