time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
13.64953,-0.1139,1.0584,-0.5018,77.0472,76.6446,90.3716
13.67041,-0.0901,1.0593,-0.4867,77.2356,76.8653,90.5969
13.68723,-0.0707,1.06,-0.4699,77.3947,77.179,90.9101
13.70354,-0.0516,1.0609,-0.449,77.5587,77.6214,91.349
13.72011,-0.033,1.0618,-0.4244,77.7231,78.1811,91.902
13.73668,-0.033,1.0618,-0.4244,77.7231,78.1811,91.902
13.75324,0.0016,1.0636,-0.3654,78.0405,79.6606,93.3601
13.76981,0.0169,1.0644,-0.3318,78.1851,80.5596,94.2448
13.78646,0.0307,1.0652,-0.296,78.3186,81.5553,95.2259
13.80294,0.0425,1.0658,-0.2586,78.4353,82.6361,96.2904
13.81997,0.0425,1.0658,-0.2586,78.4353,82.6361,96.2904
13.83654,0.06,1.0667,-0.1806,78.6137,84.9636,98.5843
13.8528,0.0654,1.0669,-0.1411,78.6722,86.1776,99.7799
13.86921,0.0677,1.067,-0.1117,78.699,87.0891,100.6772
13.88578,0.0689,1.067,-0.0731,78.7187,88.3015,101.8715
13.90234,0.0676,1.0669,-0.0357,78.7159,89.4764,103.0271
13.91891,0.0676,1.0669,-0.0357,78.7159,89.4764,103.0271
13.93615,0.0565,1.0663,0.0414,78.6341,91.8839,105.3919
13.95216,0.0503,1.0661,0.0644,78.5846,92.586,106.0814
13.96861,0.0403,1.0657,0.0924,78.5032,93.4264,106.9046
13.98518,0.0284,1.0653,0.1171,78.4095,94.1535,107.6167
14.00216,0.015,1.0649,0.1382,78.3027,94.7467,108.1954
14.01831,0.015,1.0649,0.1382,78.3027,94.7467,108.1954
14.03488,-0.0157,1.0643,0.1684,78.0672,95.5506,108.978
14.05149,-0.0323,1.064,0.1773,77.9437,95.7518,109.1712
14.06801,-0.0495,1.0639,0.1817,77.819,95.8233,109.2363
14.08458,-0.067,1.0639,0.1819,77.6953,95.7661,109.1767
14.10144,-0.0842,1.0639,0.1776,77.5761,95.5878,108.9967
14.11771,-0.0842,1.0639,0.1776,77.5761,95.5878,108.9967
14.13457,-0.1172,1.0643,0.1562,77.3571,94.8817,108.2951
14.15084,-0.1324,1.0645,0.1396,77.2592,94.376,107.7956
14.16744,-0.1464,1.0649,0.1191,77.1701,93.7711,107.1989
14.18398,-0.1589,1.0652,0.0952,77.0916,93.0862,106.5248
14.20063,-0.1697,1.0655,0.0681,77.024,92.3255,105.7765
14.21711,-0.1697,1.0655,0.0681,77.024,92.3255,105.7765
14.23368,-0.1859,1.066,0.0059,76.9201,90.6115,104.0908
14.25024,-0.1909,1.0662,-0.0282,76.8858,89.6831,103.1789
